outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,epop_p50,-2,2,1,amt_dur,.0016446055540152,0.002,.0031080600046406,0.003,.5967081242165224,592508,inc_y_gt_p,0,-.004447192,.007736403,3,-2,-1.9258108
inc_y_gt_p5,epop_p50,-2,2,1,amt_dur,.001994618828411,0.002,.0030964365293939,0.003,.5194694706725749,592508,inc_y_gt_p,5,-.0040743966,.0080636349,3,-2,-1.9100214
inc_y_gt_p10,epop_p50,-2,2,1,amt_dur,-.0008036485986404,-0.001,.0030601216574937,0.003,.7928442119327568,592508,inc_y_gt_p,10,-.0068014869,.00519419,3,-2,-2.0362532
inc_y_gt_p15,epop_p50,-2,2,1,amt_dur,-.0015067003663806,-0.002,.0029855477477909,0.003,.6137956161762979,592508,inc_y_gt_p,15,-.0073583741,.0043449732,3,-2,-2.0679681
inc_y_gt_p20,epop_p50,-2,2,1,amt_dur,-.00121743044085,-0.001,.002950108299466,0.003,.6798470748281261,592508,inc_y_gt_p,20,-.0069996426,.0045647817,3,-2,-2.054919
inc_y_gt_p25,epop_p50,-2,2,1,amt_dur,-.0051088759026165,-0.005*,.0029635550623913,0.003,.0847290643986115,592508,inc_y_gt_p,25,-.010917444,.000699692,2,-2,-2.2304647
inc_y_gt_p30,epop_p50,-2,2,1,amt_dur,-.0013049863135603,-0.001,.0029187423275158,0.003,.6547998039451065,592508,inc_y_gt_p,30,-.0070257215,.0044157486,3,-2,-2.0588689
inc_y_gt_p35,epop_p50,-2,2,1,amt_dur,-.0006351419343109,-0.001,.0026692060025999,0.003,.8119191375362831,592508,inc_y_gt_p,35,-.0058667855,.0045965021,3,-2,-2.0286517
inc_y_gt_p40,epop_p50,-2,2,1,amt_dur,.0008004167254184,0.001,.0023840258830697,0.002,.7370664813129564,592508,inc_y_gt_p,40,-.003872274,.0054731076,3,-2,-1.9638927
inc_y_gt_p45,epop_p50,-2,2,1,amt_dur,.0001138063198766,0.000,.0023162948462242,0.002,.9608134789714973,592508,inc_y_gt_p,45,-.0044261315,.0046537444,3,-2,-1.9948661
inc_y_gt_p50,epop_p50,-2,2,1,amt_dur,.0016857275798529,0.002,.0022003173964828,0.002,.4436013550713125,592508,inc_y_gt_p,50,-.0026268945,.0059983497,3,-2,-1.9239558
inc_y_gt_p55,epop_p50,-2,2,1,amt_dur,.0030190086343285,0.003,.0021389587956807,0.002,.1581187719325469,592508,inc_y_gt_p,55,-.0011733506,.0072113681,3,-2,-1.8638105
inc_y_gt_p60,epop_p50,-2,2,1,amt_dur,.0040157279755096,0.004*,.0020570312014164,0.002,.0509179835888369,592508,inc_y_gt_p,60,-.00001605318,.008047509,2,-2,-1.8188479
inc_y_gt_p65,epop_p50,-2,2,1,amt_dur,.0032633116958031,0.003*,.0019807515990233,0.002,.0994563119498408,592508,inc_y_gt_p,65,-.00061896147,.007145585,2,-2,-1.8527899
inc_y_gt_p70,epop_p50,-2,2,1,amt_dur,.0028876376751865,0.003,.0018765256406141,0.002,.1238513718562901,592508,inc_y_gt_p,70,-.00079035258,.0065656281,3,-2,-1.8697368
inc_y_gt_p75,epop_p50,-2,2,1,amt_dur,.0016475940399022,0.002,.0016616497909009,0.002,.3214240559759715,592508,inc_y_gt_p,75,-.0016092395,.0049044276,3,-2,-1.925676
inc_y_gt_p80,epop_p50,-2,2,1,amt_dur,.00094424743566,0.001,.00159206988432,0.002,.5531195653478959,592508,inc_y_gt_p,80,-.0021762096,.0040647043,3,-2,-1.9574044
inc_y_gt_p85,epop_p50,-2,2,1,amt_dur,.0016783801056844,0.002,.0014757396191361,0.001,.2554097956588935,592508,inc_y_gt_p,85,-.0012140695,.0045708297,3,-2,-1.9242872
