outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,epop_p75,-2,2,1,amt_dur,-.0004309809742577,-0.000,.0024159346067363,0.002,.8584163161777131,634092,taxable_income_gt_p,0,-.005166213,.0043042507,3,-2,-2.0149634
taxable_income_gt_p5,epop_p75,-2,2,1,amt_dur,.001205581659238,0.001,.0025271096751639,0.003,.6333208951194079,634092,taxable_income_gt_p,5,-.0037475533,.0061587165,3,-2,-1.9581432
taxable_income_gt_p10,epop_p75,-2,2,1,amt_dur,.0013431021019306,0.001,.0025819666969267,0.003,.60293542078558,634092,taxable_income_gt_p,10,-.0037175526,.0064037568,3,-2,-1.9533687
taxable_income_gt_p15,epop_p75,-2,2,1,amt_dur,.0002951550141396,0.000,.002526289567035,0.003,.906992326850773,634092,taxable_income_gt_p,15,-.0046563726,.0052466826,3,-2,-1.9897524
taxable_income_gt_p20,epop_p75,-2,2,1,amt_dur,.0002736379159087,0.000,.0024305013301093,0.002,.9103598490042475,634092,taxable_income_gt_p,20,-.0044901446,.0050374204,3,-2,-1.9904995
taxable_income_gt_p25,epop_p75,-2,2,1,amt_dur,-.0016868464045874,-0.002,.0025067780808805,0.003,.5010036143786673,634092,taxable_income_gt_p,25,-.0066001313,.0032264385,3,-2,-2.0585659
taxable_income_gt_p30,epop_p75,-2,2,1,amt_dur,-.0028246317303876,-0.003,.0025617710869692,0.003,.2701999148200923,634092,taxable_income_gt_p,30,-.0078457035,.0021964395,3,-2,-2.0980687
taxable_income_gt_p35,epop_p75,-2,2,1,amt_dur,-.004938219810188,-0.005*,.0026459388989412,0.003,.061997095679023,634092,taxable_income_gt_p,35,-.01012426,.00024782043,2,-2,-2.1714509
taxable_income_gt_p40,epop_p75,-2,2,1,amt_dur,-.0040091222573195,-0.004,.002731005817077,0.003,.1421070836059656,634092,taxable_income_gt_p,40,-.0093618939,.0013436491,3,-2,-2.1391933
taxable_income_gt_p45,epop_p75,-2,2,1,amt_dur,-.0039730770562469,-0.004,.0027302620382948,0.003,.1456173500800504,634092,taxable_income_gt_p,45,-.0093243904,.0013782366,3,-2,-2.1379418
taxable_income_gt_p50,epop_p75,-2,2,1,amt_dur,-.0048838855186301,-0.005*,.0026249112298822,0.003,.0628051920835996,634092,taxable_income_gt_p,50,-.010028712,.00026094049,2,-2,-2.1695642
taxable_income_gt_p55,epop_p75,-2,2,1,amt_dur,-.00314667282607,-0.003,.0026329960338329,0.003,.2320541286298934,634092,taxable_income_gt_p,55,-.0083073452,.0020139995,3,-2,-2.1092498
