outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,female,-2,2,1,1,amt_dur,firstapp,.0002878244447757,0.000,.0008446175832708,0.001,.7332739168862855,583643,inc_tot_gt_p,0,-.001367626,.0019432749,3,-2,-1.984319
inc_tot_gt_p5,female,-2,2,1,1,amt_dur,firstapp,.0007921206717769,0.001,.001629809033817,0.002,.6269538572899924,583643,inc_tot_gt_p,5,-.0024023051,.0039865463,3,-2,-1.9568443
inc_tot_gt_p10,female,-2,2,1,1,amt_dur,firstapp,.0023200265931161,0.002,.001970966287078,0.002,.2391584598830657,583643,inc_tot_gt_p,10,-.0015430673,.0061831204,3,-2,-1.873602
inc_tot_gt_p15,female,-2,2,1,1,amt_dur,firstapp,4.05498651095e-06,0.000,.0021670843949718,0.002,.9985070264417738,583643,inc_tot_gt_p,15,-.0042434302,.0042515402,3,-2,-1.9997791
inc_tot_gt_p20,female,-2,2,1,1,amt_dur,firstapp,.0005092591719541,0.001,.0021924872896423,0.002,.8163252774802428,583643,inc_tot_gt_p,20,-.0037880158,.0048065344,3,-2,-1.9722549
inc_tot_gt_p25,female,-2,2,1,1,amt_dur,firstapp,.0010576096717825,0.001,.0022623594753174,0.002,.6401571103508732,583643,inc_tot_gt_p,25,-.003376615,.0054918341,3,-2,-1.9423801
inc_tot_gt_p30,female,-2,2,1,1,amt_dur,firstapp,.0042731245653025,0.004*,.0022121024771163,0.002,.0533995274567894,583643,inc_tot_gt_p,30,-.000062596293,.0086088451,2,-2,-1.7671949
inc_tot_gt_p35,female,-2,2,1,1,amt_dur,firstapp,.0046489427950617,0.005**,.0022418994942286,0.002,.0381136838678825,583643,inc_tot_gt_p,35,.00025481978,.0090430658,1,-2,-1.7467198
inc_tot_gt_p40,female,-2,2,1,1,amt_dur,firstapp,.0054447464746619,0.005**,.0023448173110588,0.002,.0202334401582474,583643,inc_tot_gt_p,40,.00084890454,.010040589,1,-2,-1.7033635
inc_tot_gt_p45,female,-2,2,1,1,amt_dur,firstapp,.0047493764396815,0.005*,.002474916945678,0.002,.0549871348447731,583643,inc_tot_gt_p,45,-.00010146078,.0096002137,2,-2,-1.7412481
inc_tot_gt_p50,female,-2,2,1,1,amt_dur,firstapp,.0047369751251329,0.005*,.0026527472869474,0.003,.0741536000534964,583643,inc_tot_gt_p,50,-.00046240955,.0099363597,2,-2,-1.7419237
inc_tot_gt_p55,female,-2,2,1,1,amt_dur,firstapp,.0073419774035683,0.007***,.0026689635862568,0.003,.0059449462163474,583643,inc_tot_gt_p,55,.0021108089,.012573146,1,-2,-1.6
inc_tot_gt_p60,female,-2,2,1,1,amt_dur,firstapp,.0045644243504693,0.005,.0028247065762454,0.003,.1061211125052024,583643,inc_tot_gt_p,60,-.00097200053,.010100849,3,-2,-1.7513245
