outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,female,-2,2,1,amt_dur,-.000101390187747,-0.000,.0007589231693123,0.001,.8937211614530649,628526,inc_tot_gt_p,0,-.0015888796,.0013860993,3,-2,-2.0081024
inc_tot_gt_p5,female,-2,2,1,amt_dur,-.0004990091054136,-0.000,.0014433619225041,0.001,.7295486040761272,628526,inc_tot_gt_p,5,-.0033279986,.0023299803,3,-2,-2.0398769
inc_tot_gt_p10,female,-2,2,1,amt_dur,.0024972692773375,0.002,.0018129921907081,0.002,.1683822792982723,628526,inc_tot_gt_p,10,-.0010561955,.0060507338,3,-2,-1.8004379
inc_tot_gt_p15,female,-2,2,1,amt_dur,-.0004654001538958,-0.000,.0019298288517865,0.002,.8094305117629419,628526,inc_tot_gt_p,15,-.0042478647,.0033170644,3,-2,-2.0371912
inc_tot_gt_p20,female,-2,2,1,amt_dur,-.0001315698424186,-0.000,.0019363650085751,0.002,.9458280940237077,628526,inc_tot_gt_p,20,-.0039268453,.0036637057,3,-2,-2.010514
inc_tot_gt_p25,female,-2,2,1,amt_dur,.0008157805576988,0.001,.0019602061595764,0.002,.6772858513052935,628526,inc_tot_gt_p,25,-.0030262235,.0046577845,3,-2,-1.9348092
inc_tot_gt_p30,female,-2,2,1,amt_dur,.0027026757972787,0.003,.0019166337671044,0.002,.1585083225604203,628526,inc_tot_gt_p,30,-.0010539264,.0064592781,3,-2,-1.7840234
inc_tot_gt_p35,female,-2,2,1,amt_dur,.0022114581510666,0.002,.0019698266172619,0.002,.2615816889638174,628526,inc_tot_gt_p,35,-.001649402,.0060723182,3,-2,-1.8232777
inc_tot_gt_p40,female,-2,2,1,amt_dur,.0019714507334723,0.002,.0020937408223991,0.002,.3464033884765609,628526,inc_tot_gt_p,40,-.0021322812,.0060751829,3,-2,-1.8424572
inc_tot_gt_p45,female,-2,2,1,amt_dur,.0020578339855455,0.002,.0021782912503714,0.002,.3448136354271428,628526,inc_tot_gt_p,45,-.0022116168,.006327285,3,-2,-1.8355541
inc_tot_gt_p50,female,-2,2,1,amt_dur,.0019000468521292,0.002,.0023305187824614,0.002,.414908564721193,628526,inc_tot_gt_p,50,-.00266777,.0064678635,3,-2,-1.8481632
inc_tot_gt_p55,female,-2,2,1,amt_dur,.0031795785061624,0.003,.0023531877014542,0.002,.1766408220979402,628526,inc_tot_gt_p,55,-.0014326693,.0077918265,3,-2,-1.7459131
inc_tot_gt_p60,female,-2,2,1,amt_dur,.0010093386963285,0.001,.002473255992952,0.002,.6832001969947303,628526,inc_tot_gt_p,60,-.003838243,.0058569205,3,-2,-1.9193416
inc_tot_gt_p65,female,-2,2,1,amt_dur,.0009278357204574,0.001,.0025803158696685,0.003,.719160278260748,628526,inc_tot_gt_p,65,-.0041295835,.0059852549,3,-2,-1.9258547
inc_tot_gt_p70,female,-2,2,1,amt_dur,.0032816410156659,0.003,.0025125743475272,0.003,.1915256986102225,628526,inc_tot_gt_p,70,-.0016430047,.0082062865,3,-2,-1.7377571
inc_tot_gt_p75,female,-2,2,1,amt_dur,-.000207780914294,-0.000,.0023534939921528,0.002,.9296494127673445,628526,inc_tot_gt_p,75,-.004820629,.0044050673,3,-2,-2.0166042
inc_tot_gt_p80,female,-2,2,1,amt_dur,.0004427931458429,0.000,.0021592170332659,0.002,.8375169117806015,628526,inc_tot_gt_p,80,-.0037892722,.0046748584,3,-2,-1.9646155
inc_tot_gt_p85,female,-2,2,1,amt_dur,.001506525622062,0.002,.0020380738352846,0.002,.4597926881922557,628526,inc_tot_gt_p,85,-.002488099,.0055011502,3,-2,-1.8796103
inc_tot_gt_p90,female,-2,2,1,amt_dur,.0008037721192818,0.001,.0017399058439121,0.002,.6441087820832301,628526,inc_tot_gt_p,90,-.0026064434,.0042139874,3,-2,-1.9357688
inc_tot_gt_p95,female,-2,2,1,amt_dur,.0009503942581189,0.001,.00150002963567,0.002,.5263539066759563,628526,inc_tot_gt_p,95,-.0019896638,.0038904524,3,-2,-1.924052
inc_tot_gt_p0,female,0,2,1,amt_dur,-.0003204553747467,-0.000,.0007641120313482,0.001,.6749372881989754,628526,inc_tot_gt_p,0,-.001818115,.0011772042,3,0,-.025608269
inc_tot_gt_p5,female,0,2,1,amt_dur,-.0018981688427358,-0.002,.0016050033031047,0.002,.2369475927021989,628526,inc_tot_gt_p,5,-.0050439755,.0012476377,3,0,-.15168671
inc_tot_gt_p10,female,0,2,1,amt_dur,-.0008053822095104,-0.001,.0020690545686134,0.002,.6970910115972346,628526,inc_tot_gt_p,10,-.004860729,.0032499647,3,0,-.064359806
inc_tot_gt_p15,female,0,2,1,amt_dur,-.0023637917477429,-0.002,.0022860580876814,0.002,.3011368964701966,628526,inc_tot_gt_p,15,-.0068444656,.002116882,3,0,-.18889563
