outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,female,-2,2,1,0,amt_dur,firstapp,-.000118289902064,-0.000,.0007622200693257,0.001,.8766708168962515,701488,inc_tot_gt_p,0,-.0016122413,.0013756615,3,-2,-2.0076926
inc_tot_gt_p5,female,-2,2,1,0,amt_dur,firstapp,-.0004984381132803,-0.000,.0014450321061954,0.001,.7301460043014947,701488,inc_tot_gt_p,5,-.003330701,.0023338248,3,-2,-2.0324137
inc_tot_gt_p10,female,-2,2,1,0,amt_dur,firstapp,.0025327179273571,0.003,.0018142572807558,0.002,.1627148941691621,701488,inc_tot_gt_p,10,-.0010232263,.0060886624,3,-2,-1.8352959
inc_tot_gt_p15,female,-2,2,1,0,amt_dur,firstapp,-.0004410340690014,-0.000,.0019309298500441,0.002,.8193318174193081,701488,inc_tot_gt_p,15,-.0042256564,.0033435884,3,-2,-2.0286808
inc_tot_gt_p20,female,-2,2,1,0,amt_dur,firstapp,-.0001374921016558,-0.000,.0019373308253289,0.002,.9434218719810047,701488,inc_tot_gt_p,20,-.0039346605,.0036596763,3,-2,-2.0089412
inc_tot_gt_p25,female,-2,2,1,0,amt_dur,firstapp,.0008202510760914,0.001,.0019609235135009,0.002,.6757298195704238,701488,inc_tot_gt_p,25,-.003023159,.0046636611,3,-2,-1.9466586
inc_tot_gt_p30,female,-2,2,1,0,amt_dur,firstapp,.0027373301556922,0.003,.0019171226235693,0.002,.1533429220704003,701488,inc_tot_gt_p,30,-.0010202302,.0064948904,3,-2,-1.8219898
inc_tot_gt_p35,female,-2,2,1,0,amt_dur,firstapp,.0022449808419021,0.002,.0019702954941764,0.002,.2545333310582903,701488,inc_tot_gt_p,35,-.0016167983,.0061067599,3,-2,-1.8540076
inc_tot_gt_p40,female,-2,2,1,0,amt_dur,firstapp,.0019403987319625,0.002,.0020940534338843,0.002,.3541242021249631,701488,inc_tot_gt_p,40,-.0021639459,.0060447436,3,-2,-1.8738147
inc_tot_gt_p45,female,-2,2,1,0,amt_dur,firstapp,.0020101362632563,0.002,.0021784252608691,0.002,.3561409007515515,701488,inc_tot_gt_p,45,-.0022595772,.0062798499,3,-2,-1.8692796
inc_tot_gt_p50,female,-2,2,1,0,amt_dur,firstapp,.0018592001554289,0.002,.0023305170034507,0.002,.4250097983732111,701488,inc_tot_gt_p,50,-.0027086132,.0064270133,3,-2,-1.8790951
