outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,female,-2,2,1,1,amt_dur,firstapp,.0025529977041962,0.003,.0028793101192275,0.003,.3752591475623607,583643,inc_work_gt_p,0,-.0030904501,.0081964452,3,-2,-1.86761
inc_work_gt_p5,female,-2,2,1,1,amt_dur,firstapp,.0029202928875509,0.003,.0030591401753077,0.003,.3397765091430628,583643,inc_work_gt_p,5,-.0030756218,.0089162076,3,-2,-1.8485633
inc_work_gt_p10,female,-2,2,1,1,amt_dur,firstapp,.0036440681370272,0.004,.0031021671446617,0.003,.2401242016134416,583643,inc_work_gt_p,10,-.0024361794,.0097243162,3,-2,-1.8110306
inc_work_gt_p15,female,-2,2,1,1,amt_dur,firstapp,.0008996621500358,0.001,.0031106023691923,0.003,.7724103569202861,583643,inc_work_gt_p,15,-.0051971185,.0069964426,3,-2,-1.9533465
inc_work_gt_p20,female,-2,2,1,1,amt_dur,firstapp,.0014451879893805,0.001,.003134877660563,0.003,.6447976394940648,583643,inc_work_gt_p,20,-.0046991725,.0075895484,3,-2,-1.9250573
inc_work_gt_p25,female,-2,2,1,1,amt_dur,firstapp,.0031843665435997,0.003,.0031275529882447,0.003,.3086022194284496,583643,inc_work_gt_p,25,-.0029456373,.0093143703,3,-2,-1.8348693
inc_work_gt_p30,female,-2,2,1,1,amt_dur,firstapp,.0033125569208838,0.003,.0031117427682674,0.003,.287089755692422,583643,inc_work_gt_p,30,-.0027864589,.0094115725,3,-2,-1.8282218
inc_work_gt_p35,female,-2,2,1,1,amt_dur,firstapp,.0051432859431527,0.005*,.0031003915273559,0.003,.0971366259797301,583643,inc_work_gt_p,35,-.00093348144,.011220054,2,-2,-1.7332861
inc_work_gt_p40,female,-2,2,1,1,amt_dur,firstapp,.0068407513466256,0.007**,.0031581799756418,0.003,.0303107350237253,583643,inc_work_gt_p,40,.00065071858,.013030784,1,-2,-1.6452613
inc_work_gt_p45,female,-2,2,1,1,amt_dur,firstapp,.0077135651971612,0.008**,.0030839034474526,0.003,.0123779966481625,583643,inc_work_gt_p,45,.0016691145,.013758016,1,-2,-1.6
inc_work_gt_p50,female,-2,2,1,1,amt_dur,firstapp,.0055390246324905,0.006*,.0028464473436022,0.003,.0516648728561941,583643,inc_work_gt_p,50,-.000040012161,.011118062,2,-2,-1.7127645
inc_work_gt_p55,female,-2,2,1,1,amt_dur,firstapp,.0053346419277416,0.005**,.0026857928760523,0.003,.0470093725388415,583643,inc_work_gt_p,55,.000070487891,.010598796,1,-2,-1.723363
inc_work_gt_p60,female,-2,2,1,1,amt_dur,firstapp,.0046058894300218,0.005*,.0026196410281816,0.003,.0787147193998828,583643,inc_work_gt_p,60,-.00052860699,.0097403862,2,-2,-1.7611538
inc_work_gt_p65,female,-2,2,1,1,amt_dur,firstapp,.0048566569467864,0.005*,.0025154342756606,0.003,.0535181822282857,583643,inc_work_gt_p,65,-.00007359423,.0097869085,2,-2,-1.7481499
inc_work_gt_p70,female,-2,2,1,1,amt_dur,firstapp,.0032000816869861,0.003,.0023808154978141,0.002,.1789159047892558,583643,inc_work_gt_p,70,-.0014663166,.0078664804,3,-2,-1.8340544
inc_work_gt_p75,female,-2,2,1,1,amt_dur,firstapp,.0021464542660762,0.002,.0023373452041707,0.002,.3584487290360875,583643,inc_work_gt_p,75,-.0024347424,.0067276508,3,-2,-1.888692
inc_work_gt_p80,female,-2,2,1,1,amt_dur,firstapp,-.0016867665852451,-0.002,.0021977869489189,0.002,.4427958684172292,583643,inc_work_gt_p,80,-.0059944289,.0026208959,3,-2,-2.0874701
inc_work_gt_p85,female,-2,2,1,1,amt_dur,firstapp,-.0001888882220268,-0.000,.0020582459252907,0.002,.9268798413207742,583643,inc_work_gt_p,85,-.0042230501,.0038452737,3,-2,-2.0097952
inc_work_gt_p90,female,-2,2,1,1,amt_dur,firstapp,-.0021004345483717,-0.002,.001593916957971,0.002,.187580307946077,583643,inc_work_gt_p,90,-.005224512,.0010236427,3,-2,-2.1089215
inc_work_gt_p95,female,-2,2,1,1,amt_dur,firstapp,-.0002945808187108,-0.000,.0013104613188295,0.001,.8221418704938198,583643,inc_work_gt_p,95,-.0028630849,.0022739233,3,-2,-2.015276
inc_work_gt_p0,female,0,2,1,1,amt_dur,firstapp,.004617592193812,0.005,.0029539165615501,0.003,.1180069195078974,583643,inc_work_gt_p,0,-.0011720842,.010407269,3,0,.23945308
inc_work_gt_p5,female,0,2,1,1,amt_dur,firstapp,.0061794641524181,0.006**,.0030398838991563,0.003,.0420762370290232,583643,inc_work_gt_p,5,.00022129172,.012137637,1,0,.32044658
inc_work_gt_p10,female,0,2,1,1,amt_dur,firstapp,.0054899299415677,0.005*,.0031626713746714,0.003,.0825936124508249,583643,inc_work_gt_p,10,-.00070890598,.011688766,2,0,.28468964
inc_work_gt_p15,female,0,2,1,1,amt_dur,firstapp,.0015431250702911,0.002,.0031601765276199,0.003,.6253361883031685,583643,inc_work_gt_p,15,-.004650821,.0077370713,3,0,.080021366
inc_work_gt_p20,female,0,2,1,1,amt_dur,firstapp,.0022782579248245,0.002,.0031899380018984,0.003,.4751046689103559,583643,inc_work_gt_p,20,-.0039740205,.0085305367,3,0,.11814293
inc_work_gt_p25,female,0,2,1,1,amt_dur,firstapp,.0021790877305747,0.002,.0032181249494105,0.003,.4983255640011258,583643,inc_work_gt_p,25,-.004128437,.0084866127,3,0,.11300029
inc_work_gt_p30,female,0,2,1,1,amt_dur,firstapp,-.0011627053751199,-0.001,.003211094679637,0.003,.7172856550583095,583643,inc_work_gt_p,30,-.0074564507,.0051310402,3,0,-.060294058
inc_work_gt_p35,female,0,2,1,1,amt_dur,firstapp,.0016413483939512,0.002,.0031876543833811,0.003,.6066187296083201,583643,inc_work_gt_p,35,-.0046064542,.0078891506,3,0,.085114904
inc_work_gt_p40,female,0,2,1,1,amt_dur,firstapp,.0019232777089802,0.002,.0031353358123116,0.003,.5396003080280025,583643,inc_work_gt_p,40,-.0042219805,.0080685355,3,0,.099734828
inc_work_gt_p45,female,0,2,1,1,amt_dur,firstapp,.0027014688902991,0.003,.0030840580299944,0.003,.3810617681939985,583643,inc_work_gt_p,45,-.0033432848,.0087462226,3,0,.14008924
inc_work_gt_p50,female,0,2,1,1,amt_dur,firstapp,.0010204010718733,0.001,.0032144696394735,0.003,.75091058201628,583643,inc_work_gt_p,50,-.0052799596,.0073207617,3,0,.052914627
inc_work_gt_p55,female,0,2,1,1,amt_dur,firstapp,-.0006293198133095,-0.001,.0031736956365287,0.003,.8428167512734908,583643,inc_work_gt_p,55,-.0068497634,.0055911238,3,0,-.032634445
inc_work_gt_p60,female,0,2,1,1,amt_dur,firstapp,-.0014389763554903,-0.001,.0030495942054828,0.003,.6370291447958283,583643,inc_work_gt_p,60,-.0074161808,.0045382283,3,0,-.07462056
inc_work_gt_p65,female,0,2,1,1,amt_dur,firstapp,.0010488689390411,0.001,.0029546867685899,0.003,.7226018497268156,583643,inc_work_gt_p,65,-.0047423169,.0068400549,3,0,.054390877
inc_work_gt_p70,female,0,2,1,1,amt_dur,firstapp,-.0018935387591501,-0.002,.002802663051016,0.003,.4992829792353531,583643,inc_work_gt_p,70,-.0073867585,.0035996807,3,0,-.098192662
inc_work_gt_p75,female,0,2,1,1,amt_dur,firstapp,-.0006625995493844,-0.001,.0027700263570061,0.003,.8109484932540103,583643,inc_work_gt_p,75,-.0060918513,.0047666519,3,0,-.034360223
inc_work_gt_p80,female,0,2,1,1,amt_dur,firstapp,-.0017271210382232,-0.002,.0025442827266991,0.003,.4972510242220879,583643,inc_work_gt_p,80,-.0067139152,.003259673,3,0,-.089562789
inc_work_gt_p85,female,0,2,1,1,amt_dur,firstapp,-.0014332820552628,-0.001,.0023485769440305,0.002,.5416800894566489,583643,inc_work_gt_p,85,-.006036493,.0031699287,3,0,-.074325271
inc_work_gt_p90,female,0,2,1,1,amt_dur,firstapp,-.0009213901111231,-0.001,.0016050175023451,0.002,.565922920679244,583643,inc_work_gt_p,90,-.0040672245,.0022244442,3,0,-.047780246
inc_work_gt_p95,female,0,2,1,1,amt_dur,firstapp,-5.54684452917e-06,-0.000,.0012194621724186,0.001,.996370766231563,583643,inc_work_gt_p,95,-.0023956927,.0023845991,3,0,-.00028764101
inc_work_gt_p0,female,1,2,1,1,amt_dur,firstapp,.0025816551684726,0.003,.0036323332727375,0.004,.4772455114276768,583643,inc_work_gt_p,0,-.0045377179,.0097010285,3,1,1.1338761
inc_work_gt_p5,female,1,2,1,1,amt_dur,firstapp,.0025466782131455,0.003,.0037512621159126,0.004,.4972121398161583,583643,inc_work_gt_p,5,-.0048057954,.0098991515,3,1,1.1320623
inc_work_gt_p10,female,1,2,1,1,amt_dur,firstapp,.0057587292610014,0.006,.0039202705428148,0.004,.141846752167294,583643,inc_work_gt_p,10,-.001925001,.01344246,3,1,1.2986287
inc_work_gt_p15,female,1,2,1,1,amt_dur,firstapp,.0016401265704067,0.002,.0039704135044288,0.004,.6795438508685241,583643,inc_work_gt_p,15,-.0061418838,.0094221374,3,1,1.0850515
inc_work_gt_p20,female,1,2,1,1,amt_dur,firstapp,.0028173206527279,0.003,.0040114029602627,0.004,.4824765587665694,583643,inc_work_gt_p,20,-.0050450293,.010679671,3,1,1.1460969
inc_work_gt_p25,female,1,2,1,1,amt_dur,firstapp,.0054691229912215,0.005,.0040935563226862,0.004,.1815423413282219,583643,inc_work_gt_p,25,-.0025542474,.013492493,3,1,1.2836107
inc_work_gt_p30,female,1,2,1,1,amt_dur,firstapp,.0035944221742987,0.004,.0041209330647076,0.004,.3830826439183694,583643,inc_work_gt_p,30,-.0044826064,.011671451,3,1,1.1863948
inc_work_gt_p35,female,1,2,1,1,amt_dur,firstapp,.0054130190526249,0.005,.0041694909850991,0.004,.1942068377804306,583643,inc_work_gt_p,35,-.0027591833,.013585221,3,1,1.2807013
inc_work_gt_p40,female,1,2,1,1,amt_dur,firstapp,.0043121800235851,0.004,.0041529745314935,0.004,.2991169455791989,583643,inc_work_gt_p,40,-.0038276501,.01245201,3,1,1.2236154
inc_work_gt_p45,female,1,2,1,1,amt_dur,firstapp,.0035262639104192,0.004,.0041384258610887,0.004,.3941729034494554,583643,inc_work_gt_p,45,-.004585051,.011637579,3,1,1.1828604
inc_work_gt_p50,female,1,2,1,1,amt_dur,firstapp,.0013289803752669,0.001,.0041463277915459,0.004,.748575073017544,583643,inc_work_gt_p,50,-.0067978222,.0094557833,3,1,1.0689166
inc_work_gt_p55,female,1,2,1,1,amt_dur,firstapp,.0009573053061401,0.001,.004088584173558,0.004,.8148760599429832,583643,inc_work_gt_p,55,-.0070563196,.0089709302,3,1,1.0496427
inc_work_gt_p60,female,1,2,1,1,amt_dur,firstapp,-.0007312945446549,-0.001,.0039530017007617,0.004,.8532316151750088,583643,inc_work_gt_p,60,-.008479178,.0070165889,3,1,.9620775
inc_work_gt_p65,female,1,2,1,1,amt_dur,firstapp,.0015517713498043,0.002,.0037904122525993,0.004,.682251709054317,583643,inc_work_gt_p,65,-.0058774366,.0089809792,3,1,1.0804697
inc_work_gt_p70,female,1,2,1,1,amt_dur,firstapp,.0001657116080698,0.000,.0036035566610891,0.004,.9633218593356628,583643,inc_work_gt_p,70,-.0068972595,.0072286827,3,1,1.0085932
inc_work_gt_p75,female,1,2,1,1,amt_dur,firstapp,.0003643884335992,0.000,.0033396529768697,0.003,.9131157635786892,583643,inc_work_gt_p,75,-.0061813314,.0069101085,3,1,1.018896
inc_work_gt_p80,female,1,2,1,1,amt_dur,firstapp,.000816810911574,0.001,.003045941261309,0.003,.7885739594413872,583643,inc_work_gt_p,80,-.0051532341,.0067868559,3,1,1.0423571
inc_work_gt_p85,female,1,2,1,1,amt_dur,firstapp,.0034806901623536,0.003,.0025768874167134,0.003,.1767841739811488,583643,inc_work_gt_p,85,-.0015700092,.0085313898,3,1,1.1804971
inc_work_gt_p90,female,1,2,1,1,amt_dur,firstapp,.0007911427770982,0.001,.0020494738845421,0.002,.6994810665264393,583643,inc_work_gt_p,90,-.003225826,.0048081116,3,1,1.041026
inc_work_gt_p95,female,1,2,1,1,amt_dur,firstapp,.0007827377326466,0.001,.0014442142197468,0.001,.5878325113522374,583643,inc_work_gt_p,95,-.0020479222,.0036133977,3,1,1.0405902
inc_work_gt_p0,female,2,2,1,1,amt_dur,firstapp,.0042839695275568,0.004,.0037334605337724,0.004,.2511977926624192,583643,inc_work_gt_p,0,-.0030336131,.011601552,3,2,2.2221525
inc_work_gt_p5,female,2,2,1,1,amt_dur,firstapp,.0050139261205059,0.005,.003800438674641,0.004,.1870717530803059,583643,inc_work_gt_p,5,-.0024349338,.012462785,3,2,2.2600057
inc_work_gt_p10,female,2,2,1,1,amt_dur,firstapp,.0049881842658691,0.005,.0038733125965163,0.004,.1978072152107666,583643,inc_work_gt_p,10,-.0026035085,.012579877,3,2,2.2586708
