outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,female,-2,2,1,amt_dur,.0025274979846135,0.003,.0024617055755233,0.002,.3045516262928645,628526,inc_work_gt_p,0,-.002297445,.0073524411,3,-2,-1.8376083
inc_work_gt_p5,female,-2,2,1,amt_dur,.0023560546643238,0.002,.0026381599946745,0.003,.3718230652234136,628526,inc_work_gt_p,5,-.002814739,.0075268485,3,-2,-1.8486236
inc_work_gt_p10,female,-2,2,1,amt_dur,.0012366094380246,0.001,.0027322482111648,0.003,.650839312327627,628526,inc_work_gt_p,10,-.0041185971,.006591816,3,-2,-1.9205478
inc_work_gt_p15,female,-2,2,1,amt_dur,.0014019666068212,0.001,.0027098675098062,0.003,.6049086227210715,628526,inc_work_gt_p,15,-.0039093737,.006713307,3,-2,-1.9099237
inc_work_gt_p20,female,-2,2,1,amt_dur,.002429936656306,0.002,.0026601140131088,0.003,.3609969783706977,628526,inc_work_gt_p,20,-.0027838869,.0076437602,3,-2,-1.8438767
inc_work_gt_p25,female,-2,2,1,amt_dur,.0058698036871359,0.006**,.0027117494326131,0.003,.0304218935403849,628526,inc_work_gt_p,25,.00055477477,.011184833,1,-2,-1.6228653
inc_work_gt_p30,female,-2,2,1,amt_dur,.0062256852751639,0.006**,.0026368109078407,0.003,.0182242320535263,628526,inc_work_gt_p,30,.0010575359,.011393835,1,-2,-1.6
inc_work_gt_p35,female,-2,2,1,amt_dur,.0025932446218853,0.003,.0024705672580967,0.002,.2938788476150976,628526,inc_work_gt_p,35,-.0022490672,.0074355565,3,-2,-1.8333842
inc_work_gt_p40,female,-2,2,1,amt_dur,.0023514472091387,0.002,.0023948896200863,0.002,.3261708312252414,628526,inc_work_gt_p,40,-.0023425363,.0070454311,3,-2,-1.8489196
inc_work_gt_p45,female,-2,2,1,amt_dur,.0014058982256426,0.001,.0023068673577037,0.002,.5422338251844132,628526,inc_work_gt_p,45,-.0031155618,.0059273583,3,-2,-1.9096711
inc_work_gt_p50,female,-2,2,1,amt_dur,-.0000638440074939,-0.000,.0022607522316713,0.002,.9774706579102446,628526,inc_work_gt_p,50,-.0044949185,.0043672305,3,-2,-2.004102
inc_work_gt_p55,female,-2,2,1,amt_dur,.0009348483089373,0.001,.0022082317137939,0.002,.6720429344560827,628526,inc_work_gt_p,55,-.0033932859,.0052629826,3,-2,-1.939936
inc_work_gt_p60,female,-2,2,1,amt_dur,.0010765785271413,0.001,.0021341607543459,0.002,.6139458406492149,628526,inc_work_gt_p,60,-.0031063766,.0052595334,3,-2,-1.9308299
inc_work_gt_p65,female,-2,2,1,amt_dur,.0004334366325336,0.000,.0021251518976289,0.002,.8383885773680199,628526,inc_work_gt_p,65,-.003731861,.0045987344,3,-2,-1.9721518
inc_work_gt_p70,female,-2,2,1,amt_dur,.0011369870387703,0.001,.0020904783982411,0.002,.5865193607134693,628526,inc_work_gt_p,70,-.0029603506,.0052343248,3,-2,-1.9269487
inc_work_gt_p75,female,-2,2,1,amt_dur,-.0002975727298554,-0.000,.0020143631215337,0.002,.8825597080748053,628526,inc_work_gt_p,75,-.0042457245,.0036505789,3,-2,-2.019119
inc_work_gt_p80,female,-2,2,1,amt_dur,-.0008233731656098,-0.001,.0018379086563116,0.002,.65415798353949,628526,inc_work_gt_p,80,-.0044256742,.0027789278,3,-2,-2.0529017
inc_work_gt_p85,female,-2,2,1,amt_dur,.0025259771971548,0.003,.0017828058477411,0.002,.156528226750707,628526,inc_work_gt_p,85,-.00096832227,.0060202768,3,-2,-1.8377061
