outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,female,-2,2,1,0,amt_dur,firstapp,.0025456126763395,0.003,.0024613296941578,0.002,.30102493892308,701488,inc_work_gt_p,0,-.0022785936,.0073698191,3,-2,-1.8353878
inc_work_gt_p5,female,-2,2,1,0,amt_dur,firstapp,.0024113091611238,0.002,.0026006771707397,0.003,.3538324874244076,701488,inc_work_gt_p,5,-.0026860181,.0075086365,3,-2,-1.8440726
inc_work_gt_p10,female,-2,2,1,0,amt_dur,firstapp,.0028754845096609,0.003,.0026559571395816,0.003,.2789641134665837,701488,inc_work_gt_p,10,-.0023301914,.0080811605,3,-2,-1.8140566
inc_work_gt_p15,female,-2,2,1,0,amt_dur,firstapp,.0017379232693911,0.002,.0026913000898282,0.003,.5184387284917464,701488,inc_work_gt_p,15,-.0035370248,.0070128716,3,-2,-1.8876171
inc_work_gt_p20,female,-2,2,1,0,amt_dur,firstapp,.0013017982807061,0.001,.0027244758478058,0.003,.6327820987514237,701488,inc_work_gt_p,20,-.0040381742,.0066417707,3,-2,-1.9158192
inc_work_gt_p25,female,-2,2,1,0,amt_dur,firstapp,.0019434269016971,0.002,.0027087550464808,0.003,.4730910516768501,701488,inc_work_gt_p,25,-.003365733,.007252587,3,-2,-1.8743283
inc_work_gt_p30,female,-2,2,1,0,amt_dur,firstapp,.0024596726981238,0.002,.0026717994948968,0.003,.3572585911484144,701488,inc_work_gt_p,30,-.0027770542,.0076963999,3,-2,-1.8409451
inc_work_gt_p35,female,-2,2,1,0,amt_dur,firstapp,.0037596298640525,0.004,.0026520362846654,0.003,.156299074870359,701488,inc_work_gt_p,35,-.0014383612,.0089576207,3,-2,-1.7568834
inc_work_gt_p40,female,-2,2,1,0,amt_dur,firstapp,.0058366697531499,0.006**,.0026913630676879,0.003,.0301101490564323,701488,inc_work_gt_p,40,.00056159816,.011111741,1,-2,-1.6225716
inc_work_gt_p45,female,-2,2,1,0,amt_dur,firstapp,.0061857229172311,0.006**,.0026421542144463,0.003,.0192253882696179,701488,inc_work_gt_p,45,.0010071007,.011364345,1,-2,-1.6
inc_work_gt_p50,female,-2,2,1,0,amt_dur,firstapp,.0040454681290954,0.004,.0024793810243019,0.002,.1027573172828407,701488,inc_work_gt_p,50,-.00081411866,.008905055,3,-2,-1.7383996
inc_work_gt_p55,female,-2,2,1,0,amt_dur,firstapp,.0015451834938165,0.002,.0024100628032457,0.002,.5214342034146571,701488,inc_work_gt_p,55,-.0031785397,.0062689064,3,-2,-1.9000807
inc_work_gt_p60,female,-2,2,1,0,amt_dur,firstapp,.0010343170542622,0.001,.0023103642001869,0.002,.6543809225676345,701488,inc_work_gt_p,60,-.0034939968,.0055626309,3,-2,-1.9331158
inc_work_gt_p65,female,-2,2,1,0,amt_dur,firstapp,.00122033657222,0.001,.0022345674308733,0.002,.5849862318727236,701488,inc_work_gt_p,65,-.0031594157,.0056000887,3,-2,-1.9210869
inc_work_gt_p70,female,-2,2,1,0,amt_dur,firstapp,.0010981407332022,0.001,.0021279625889529,0.002,.6058186864172102,701488,inc_work_gt_p,70,-.003072666,.0052689472,3,-2,-1.9289887
inc_work_gt_p75,female,-2,2,1,0,amt_dur,firstapp,.0012781842647062,0.001,.002072343457209,0.002,.5373797782242851,701488,inc_work_gt_p,75,-.0027836089,.0053399773,3,-2,-1.9173461
inc_work_gt_p80,female,-2,2,1,0,amt_dur,firstapp,-.0009772955468536,-0.001,.001942251485375,0.002,.6148411167189161,701488,inc_work_gt_p,80,-.0047841086,.0028295175,3,-2,-2.0631969
inc_work_gt_p85,female,-2,2,1,0,amt_dur,firstapp,.0024816663992847,0.002,.0017858000015926,0.002,.1646330230919529,701488,inc_work_gt_p,85,-.0010185016,.0059818346,3,-2,-1.839523
inc_work_gt_p90,female,-2,2,1,0,amt_dur,firstapp,-.0002890987857165,-0.000,.0014266223068498,0.001,.8394123960979117,701488,inc_work_gt_p,90,-.0030852784,.002507081,3,-2,-2.0186946
inc_work_gt_p95,female,-2,2,1,0,amt_dur,firstapp,.0007787828010001,0.001,.0012030159068147,0.001,.517401191907672,701488,inc_work_gt_p,95,-.0015791283,.003136694,3,-2,-1.94964
inc_work_gt_p0,female,0,2,1,0,amt_dur,firstapp,.0042816452749859,0.004*,.0024901058861025,0.002,.0855329198119254,701488,inc_work_gt_p,0,-.00059896224,.0091622528,2,0,.27687275
inc_work_gt_p5,female,0,2,1,0,amt_dur,firstapp,.0043619362901168,0.004*,.0025682416227858,0.003,.0894326028025225,701488,inc_work_gt_p,5,-.00067181728,.0093956897,2,0,.28206477
inc_work_gt_p10,female,0,2,1,0,amt_dur,firstapp,.0018917563424471,0.002,.0026788335661103,0.003,.4800736210650136,701488,inc_work_gt_p,10,-.0033587574,.00714227,3,0,.12233049
inc_work_gt_p15,female,0,2,1,0,amt_dur,firstapp,-.0014959465682555,-0.001,.002683875261863,0.003,.5772668936954087,701488,inc_work_gt_p,15,-.006756342,.0037644489,3,0,-.09673544
inc_work_gt_p20,female,0,2,1,0,amt_dur,firstapp,-.000315457269808,-0.000,.0027118188548753,0.003,.9073937436371302,701488,inc_work_gt_p,20,-.0056306222,.0049997075,3,0,-.020399056
