outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,female,-2,2,1,amt_dur,.0015569880907232,0.002,.0029531706230288,0.003,.598037785753476,639956,inc_y_gt_p,0,-.0042312262,.0073452024,3,-2,-1.9175711
inc_y_gt_p5,female,-2,2,1,amt_dur,.0019718370990972,0.002,.0029085216669011,0.003,.497803781020342,639956,inc_y_gt_p,5,-.0037288654,.0076725394,3,-2,-1.8956084
inc_y_gt_p10,female,-2,2,1,amt_dur,.0023194243549436,0.002,.0028502613556511,0.003,.4157851013045933,639956,inc_y_gt_p,10,-.003267088,.0079059368,3,-2,-1.8772068
inc_y_gt_p15,female,-2,2,1,amt_dur,.0022875957854831,0.002,.0027797049416756,0.003,.4105305345756997,639956,inc_y_gt_p,15,-.0031606259,.0077358177,3,-2,-1.8788918
inc_y_gt_p20,female,-2,2,1,amt_dur,.0033845548300602,0.003,.0027503558100201,0.003,.218479654486227,639956,inc_y_gt_p,20,-.0020061426,.0087752519,3,-2,-1.8208175
inc_y_gt_p25,female,-2,2,1,amt_dur,.0048161968669241,0.005*,.0027379119973094,0.003,.0785673078150464,639956,inc_y_gt_p,25,-.00055011065,.010182505,2,-2,-1.7450246
inc_y_gt_p30,female,-2,2,1,amt_dur,.0047350597880707,0.005*,.0027061925332362,0.003,.0801706929534654,639956,inc_y_gt_p,30,-.00056907756,.010039197,2,-2,-1.74932
inc_y_gt_p35,female,-2,2,1,amt_dur,.0004247645533013,0.000,.0025153927497728,0.003,.8659022810423471,639956,inc_y_gt_p,35,-.0045054052,.0053549344,3,-2,-1.9775125
inc_y_gt_p40,female,-2,2,1,amt_dur,-.000135698189368,-0.000,.0022348969971252,0.002,.9515840096113143,639956,inc_y_gt_p,40,-.0045160963,.0042447001,3,-2,-2.007184
inc_y_gt_p45,female,-2,2,1,amt_dur,-.0002322702381105,-0.000,.0021448285825268,0.002,.9137633574488115,639956,inc_y_gt_p,45,-.0044361344,.0039715939,3,-2,-2.0122967
inc_y_gt_p50,female,-2,2,1,amt_dur,-.0000856720752654,-0.000,.0020390668548727,0.002,.9664865509777535,639956,inc_y_gt_p,50,-.004082243,.0039108992,3,-2,-2.0045357
inc_y_gt_p55,female,-2,2,1,amt_dur,-.0016659448071606,-0.002,.0019779556128387,0.002,.3996465716133922,639956,inc_y_gt_p,55,-.0055427379,.0022108483,3,-2,-2.0881972
inc_y_gt_p60,female,-2,2,1,amt_dur,-.0025858327989724,-0.003,.0019070343177781,0.002,.1751196187491399,639956,inc_y_gt_p,60,-.0063236202,.0011519544,3,-2,-2.1368973
inc_y_gt_p65,female,-2,2,1,amt_dur,-.0029079642957674,-0.003,.0018359980145652,0.002,.113228423139835,639956,inc_y_gt_p,65,-.0065065203,.00069059181,3,-2,-2.1539512
inc_y_gt_p70,female,-2,2,1,amt_dur,-.0013871555394102,-0.001,.0017508326486869,0.002,.4281972075716584,639956,inc_y_gt_p,70,-.0048187873,.0020444763,3,-2,-2.0734377
inc_y_gt_p75,female,-2,2,1,amt_dur,-.0011324965198071,-0.001,.0015756316335646,0.002,.4722920975642896,639956,inc_y_gt_p,75,-.0042207344,.0019557416,3,-2,-2.0599558
inc_y_gt_p80,female,-2,2,1,amt_dur,.0003333467997056,0.000,.0015271019320796,0.002,.8272057581845241,639956,inc_y_gt_p,80,-.002659773,.0033264665,3,-2,-1.9823523
inc_y_gt_p85,female,-2,2,1,amt_dur,-.0012136592251149,-0.001,.0013964422070019,0.001,.3847899234818686,639956,inc_y_gt_p,85,-.0039506857,.0015233675,3,-2,-2.0642526
inc_y_gt_p90,female,-2,2,1,amt_dur,-.0008023299104505,-0.001,.0011675217809439,0.001,.4919533403451397,639956,inc_y_gt_p,90,-.0030906727,.0014860128,3,-2,-2.0424764
inc_y_gt_p95,female,-2,2,1,amt_dur,-.0000253135037251,-0.000,.0008911701542139,0.001,.9773393535126498,639956,inc_y_gt_p,95,-.001772007,.00172138,3,-2,-2.0013402
inc_y_gt_p0,female,0,2,1,amt_dur,-.0015060766175436,-0.002,.003150886835034,0.003,.6326618457256203,639956,inc_y_gt_p,0,-.007681815,.0046696616,3,0,-.07973358
inc_y_gt_p5,female,0,2,1,amt_dur,-.0011088637319133,-0.001,.0031257175519951,0.003,.7227738770141156,639956,inc_y_gt_p,5,-.00723527,.0050175427,3,0,-.058704633
inc_y_gt_p10,female,0,2,1,amt_dur,-.0013107711935678,-0.001,.0031073014722395,0.003,.6731456598663466,639956,inc_y_gt_p,10,-.0074010822,.0047795395,3,0,-.069393866
inc_y_gt_p15,female,0,2,1,amt_dur,-.0011895805438602,-0.001,.0031089658184383,0.003,.7019955960875728,639956,inc_y_gt_p,15,-.0072831535,.0049039926,3,0,-.06297788
inc_y_gt_p20,female,0,2,1,amt_dur,-.0001455230864084,-0.000,.0030525509387563,0.003,.9619772464868777,639956,inc_y_gt_p,20,-.006128523,.0058374768,3,0,-.0077041741
inc_y_gt_p25,female,0,2,1,amt_dur,-.000736763439991,-0.001,.0030276347580976,0.003,.8077376684672825,639956,inc_y_gt_p,25,-.0066709276,.0051974007,3,0,-.039005179
inc_y_gt_p30,female,0,2,1,amt_dur,-.0011625709953603,-0.001,.0028602727502771,0.003,.6844094120755961,639956,inc_y_gt_p,30,-.0067687058,.0044435635,3,0,-.061547965
inc_y_gt_p35,female,0,2,1,amt_dur,-.0037379815289762,-0.004,.0028256824685863,0.003,.1858848065976371,639956,inc_y_gt_p,35,-.0092763193,.0018003561,3,0,-.19789343
inc_y_gt_p40,female,0,2,1,amt_dur,-.0038000832578008,-0.004,.0026141226146883,0.003,.1460394635908457,639956,inc_y_gt_p,40,-.0089237634,.001323597,3,0,-.20118116
inc_y_gt_p45,female,0,2,1,amt_dur,-.0039687481396402,-0.004,.0024978083707509,0.002,.1120876414940493,639956,inc_y_gt_p,45,-.0088644521,.00092695624,3,0,-.2101105
inc_y_gt_p50,female,0,2,1,amt_dur,-.0017661501059166,-0.002,.0023967858062787,0.002,.4611952435339753,639956,inc_y_gt_p,50,-.0064638504,.0029315501,3,0,-.093502194
inc_y_gt_p55,female,0,2,1,amt_dur,-.0016550566011668,-0.002,.0022754732872185,0.002,.4670155317361038,639956,inc_y_gt_p,55,-.0061149844,.002804871,3,0,-.087620765
