outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,female,-2,2,1,amt_dur,.0009280616698912,0.001,.0020502436091172,0.002,.6507950505328587,714200,taxable_income_gt_p,0,-.0030904158,.0049465392,3,-2,-1.9518107
taxable_income_gt_p5,female,-2,2,1,amt_dur,.0001341550553188,0.000,.0021999266181714,0.002,.9513739709358426,714200,taxable_income_gt_p,5,-.0041777012,.004446011,3,-2,-1.993034
taxable_income_gt_p10,female,-2,2,1,amt_dur,-.0007427635609212,-0.001,.0022771256530337,0.002,.7442852384313764,714200,taxable_income_gt_p,10,-.0052059297,.0037204027,3,-2,-2.0385678
taxable_income_gt_p15,female,-2,2,1,amt_dur,-.0010582630488483,-0.001,.0022409208470047,0.002,.6367530648303816,714200,taxable_income_gt_p,15,-.005450468,.0033339418,3,-2,-2.05495
taxable_income_gt_p20,female,-2,2,1,amt_dur,.0004301881543749,0.000,.0022154772931854,0.002,.8460399787485846,714200,taxable_income_gt_p,20,-.0039121471,.0047725234,3,-2,-1.9776627
taxable_income_gt_p25,female,-2,2,1,amt_dur,.0027256116092293,0.003,.0022148346875973,0.002,.2184690713752269,714200,taxable_income_gt_p,25,-.0016154643,.0070666876,3,-2,-1.8584735
taxable_income_gt_p30,female,-2,2,1,amt_dur,.003458945907535,0.003,.0022431187880739,0.002,.1230703500743787,714200,taxable_income_gt_p,30,-.00093756692,.0078554591,3,-2,-1.8203954
taxable_income_gt_p35,female,-2,2,1,amt_dur,.0030897855699085,0.003,.0023170790813236,0.002,.1823761363571829,714200,taxable_income_gt_p,35,-.0014516894,.0076312604,3,-2,-1.839564
taxable_income_gt_p40,female,-2,2,1,amt_dur,.0014527659721892,0.001,.0024557607129421,0.002,.5541366287695368,714200,taxable_income_gt_p,40,-.003360525,.006266057,3,-2,-1.9245656
taxable_income_gt_p45,female,-2,2,1,amt_dur,-.0012751174611919,-0.001,.0024330460167007,0.002,.6002220475024476,714200,taxable_income_gt_p,45,-.0060438877,.0034936527,3,-2,-2.06621
taxable_income_gt_p50,female,-2,2,1,amt_dur,.0002306009918777,0.000,.002382867700838,0.002,.9229055989828653,714200,taxable_income_gt_p,50,-.0044398196,.0049010217,3,-2,-1.9880261
taxable_income_gt_p55,female,-2,2,1,amt_dur,.000379993772597,0.000,.0023547173309095,0.002,.8717979322408276,714200,taxable_income_gt_p,55,-.0042352523,.0049952399,3,-2,-1.980269
taxable_income_gt_p60,female,-2,2,1,amt_dur,.0015807246061071,0.002,.0023195304843906,0.002,.4955662734130581,714200,taxable_income_gt_p,60,-.0029655551,.0061270045,3,-2,-1.9179214
taxable_income_gt_p65,female,-2,2,1,amt_dur,.0018970866478954,0.002,.0023979530770845,0.002,.4288713083511925,714200,taxable_income_gt_p,65,-.0028029014,.0065970747,3,-2,-1.9014944
taxable_income_gt_p70,female,-2,2,1,amt_dur,.004429698442571,0.004*,.0023069619373501,0.002,.0548423564510375,714200,taxable_income_gt_p,70,-.000091946953,.0089513436,2,-2,-1.7699894
taxable_income_gt_p75,female,-2,2,1,amt_dur,-.0003538525907985,-0.000,.0020707238062218,0.002,.8643156655833107,714200,taxable_income_gt_p,75,-.0044124713,.003704766,3,-2,-2.0183737
taxable_income_gt_p80,female,-2,2,1,amt_dur,.0004177011627681,0.000,.0019590817329027,0.002,.8311614388925226,714200,taxable_income_gt_p,80,-.0034220989,.0042575016,3,-2,-1.9783111
taxable_income_gt_p85,female,-2,2,1,amt_dur,.0038199948000063,0.004**,.001839870278426,0.002,.0378749748284949,714200,taxable_income_gt_p,85,.00021384905,.0074261404,1,-2,-1.801648
taxable_income_gt_p90,female,-2,2,1,amt_dur,-.0002922566085918,-0.000,.0015663050348874,0.002,.8519825792104521,714200,taxable_income_gt_p,90,-.0033622144,.0027777012,3,-2,-2.0151753
taxable_income_gt_p95,female,-2,2,1,amt_dur,.0006199944188036,0.001,.0013574120110422,0.001,.6478535206590581,714200,taxable_income_gt_p,95,-.0020405331,.0032805221,3,-2,-1.9678071
taxable_income_gt_p0,female,0,2,1,amt_dur,.0063796003920173,0.006***,.0024745386726535,0.002,.0099359144423622,714200,taxable_income_gt_p,0,.0015295045,.011229696,1,0,.33125862
taxable_income_gt_p5,female,0,2,1,amt_dur,.0061536857004281,0.006**,.0025835065563306,0.003,.0172247098623973,714200,taxable_income_gt_p,5,.0010900128,.011217359,1,0,.31952807
taxable_income_gt_p10,female,0,2,1,amt_dur,.0058732240724413,0.006**,.0027419546199514,0.003,.0321969450121194,714200,taxable_income_gt_p,10,.00049899303,.011247455,1,0,.3049652
taxable_income_gt_p15,female,0,2,1,amt_dur,.0064469820619839,0.006**,.0027642803455406,0.003,.0196895590882614,714200,taxable_income_gt_p,15,.0010289926,.011864971,1,0,.33475739
taxable_income_gt_p20,female,0,2,1,amt_dur,.0048676970877082,0.005*,.0028205047506249,0.003,.0843817680220019,714200,taxable_income_gt_p,20,-.00066049222,.010395886,2,0,.25275356
taxable_income_gt_p25,female,0,2,1,amt_dur,.0049398998473759,0.005*,.0028778862558885,0.003,.0860728949799694,714200,taxable_income_gt_p,25,-.0007007572,.010580556,2,0,.25650266
taxable_income_gt_p30,female,0,2,1,amt_dur,.0077034680416185,0.008***,.0028491162636716,0.003,.0068560176846974,714200,taxable_income_gt_p,30,.0021192001,.013287736,1,0,.40000001
taxable_income_gt_p35,female,0,2,1,amt_dur,.0037128442666832,0.004,.00285091422804,0.003,.192804777162814,714200,taxable_income_gt_p,35,-.0018749476,.0093006361,3,0,.1927882
taxable_income_gt_p40,female,0,2,1,amt_dur,.0041459024996662,0.004,.0028219626579942,0.003,.1417934510471933,714200,taxable_income_gt_p,40,-.0013851443,.0096769491,3,0,.2152746
taxable_income_gt_p45,female,0,2,1,amt_dur,.002087813426352,0.002,.0027499768532623,0.003,.4477278255787311,714200,taxable_income_gt_p,45,-.0033021411,.0074777682,3,0,.10840901
taxable_income_gt_p50,female,0,2,1,amt_dur,.0016808670403445,0.002,.0027055759128457,0.003,.5344296359335106,714200,taxable_income_gt_p,50,-.0036220618,.0069837957,3,0,.087278455
taxable_income_gt_p55,female,0,2,1,amt_dur,.0029437443184887,0.003,.0026897741845566,0.003,.2737729647069912,714200,taxable_income_gt_p,55,-.0023282131,.0082157021,3,0,.15285294
taxable_income_gt_p60,female,0,2,1,amt_dur,.0042345142781458,0.004*,.0025362223873934,0.003,.0949984838447587,714200,taxable_income_gt_p,60,-.00073648163,.0092055099,2,0,.21987574
taxable_income_gt_p65,female,0,2,1,amt_dur,.0024902966352612,0.002,.0024446374767489,0.002,.3083584670475199,714200,taxable_income_gt_p,65,-.0023011928,.0072817863,3,0,.12930782
taxable_income_gt_p70,female,0,2,1,amt_dur,.0015001988022027,0.002,.0022980200635864,0.002,.5138722056497353,714200,taxable_income_gt_p,70,-.0030039204,.0060043181,3,0,.077897318
taxable_income_gt_p75,female,0,2,1,amt_dur,-.0009068321520234,-0.001,.0023168034604405,0.002,.6954911040148859,714200,taxable_income_gt_p,75,-.0054477667,.0036341026,3,0,-.047086958
taxable_income_gt_p80,female,0,2,1,amt_dur,-.0012540661081393,-0.001,.0021622523821294,0.002,.5619283770504016,714200,taxable_income_gt_p,80,-.0054920809,.0029839484,3,0,-.065116964
taxable_income_gt_p85,female,0,2,1,amt_dur,.0001571859553706,0.000,.0019833380368834,0.002,.9368313478463499,714200,taxable_income_gt_p,85,-.0037301567,.0040445286,3,0,.0081618279
taxable_income_gt_p90,female,0,2,1,amt_dur,-.0003518080714769,-0.000,.0015861650147065,0.002,.8244716287335645,714200,taxable_income_gt_p,90,-.0034606915,.0027570752,3,0,-.018267516
taxable_income_gt_p95,female,0,2,1,amt_dur,-.0018667639028166,-0.002,.0012159996461907,0.001,.1247454368847935,714200,taxable_income_gt_p,95,-.0042501232,.00051659538,3,0,-.096931092
taxable_income_gt_p0,female,1,2,1,amt_dur,.0029735152287986,0.003,.0029050336428283,0.003,.3060390752616411,714200,taxable_income_gt_p,0,-.0027203506,.0086673815,3,1,1.1543988
