outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0001934224635268,0.000,.0012497569054673,0.001,.8770045332663781,583643,inc_tot_gt_p,0,-.002256101,.0026429461,3,-2,-1.9928955
inc_tot_gt_p5,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0003315491720603,-0.000,.0017195666873562,0.002,.8471084525864285,583643,inc_tot_gt_p,5,-.0037018999,.0030388015,3,-2,-2.0121779
inc_tot_gt_p10,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0025357858218476,0.003,.0021257074406377,0.002,.2329064584399347,583643,inc_tot_gt_p,10,-.0016306008,.0067021726,3,-2,-1.9068596
inc_tot_gt_p15,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0055188934003874,0.006**,.0023469902392374,0.002,.0187013254572053,583643,inc_tot_gt_p,15,.0009187925,.010118994,1,-2,-1.797289
inc_tot_gt_p20,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0018523010564767,0.002,.0025027982274906,0.003,.4592461957326125,583643,inc_tot_gt_p,20,-.0030531834,.0067577856,3,-2,-1.9319643
inc_tot_gt_p25,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0030759139609896,0.003,.0027878645223175,0.003,.2698902237725753,583643,inc_tot_gt_p,25,-.0023883006,.0085401284,3,-2,-1.8870205
inc_tot_gt_p30,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0014608320923723,0.001,.0030543356994325,0.003,.6324511344863046,583643,inc_tot_gt_p,30,-.0045256657,.0074473303,3,-2,-1.9463431
inc_tot_gt_p35,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0037696279681074,0.004,.0032885469956577,0.003,.2516784867645113,583643,inc_tot_gt_p,35,-.0026759242,.01021518,3,-2,-1.8615402
inc_tot_gt_p40,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0063435349222733,0.006*,.0033312228614081,0.003,.056878913284983,583643,inc_tot_gt_p,40,-.00018566189,.012872731,2,-2,-1.7669996
inc_tot_gt_p45,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0082874289127345,0.008**,.0035125131673801,0.004,.0183066929783342,583643,inc_tot_gt_p,45,.0014029031,.015171954,1,-2,-1.6955997
inc_tot_gt_p50,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0064723575143416,0.006*,.0036471434550282,0.004,.075961351076748,583643,inc_tot_gt_p,50,-.00067604368,.013620758,2,-2,-1.7622678
inc_tot_gt_p55,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0049070374829451,0.005,.0038775296115534,0.004,.2056934320551052,583643,inc_tot_gt_p,55,-.0026929206,.012506995,3,-2,-1.8197627
inc_tot_gt_p60,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0044187757314997,0.004,.0039789129729438,0.004,.2667659023968461,583643,inc_tot_gt_p,60,-.0033798937,.012217445,3,-2,-1.8376967
inc_tot_gt_p65,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0032475010897701,0.003,.0042048581056673,0.004,.4399263611964797,583643,inc_tot_gt_p,65,-.0049940208,.011489023,3,-2,-1.8807181
inc_tot_gt_p70,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0011176542884326,-0.001,.0043446912872227,0.004,.7969895296871913,583643,inc_tot_gt_p,70,-.0096332496,.0073979408,3,-2,-2.0410519
