outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,has_kids_tm1,-2,2,1,amt_dur,.0003949651038693,0.000,.0009805834204339,0.001,.6871065821370561,628526,inc_tot_gt_p,0,-.0015269784,.0023169087,3,-2,-1.9832706
inc_tot_gt_p5,has_kids_tm1,-2,2,1,amt_dur,.0000671719062382,0.000,.0013853566709735,0.001,.9613281465089797,628526,inc_tot_gt_p,5,-.0026481273,.002782471,3,-2,-1.9971548
inc_tot_gt_p10,has_kids_tm1,-2,2,1,amt_dur,.0010403130811264,0.001,.0017478066461572,0.002,.5517039323752868,628526,inc_tot_gt_p,10,-.0023853879,.004466014,3,-2,-1.955936
inc_tot_gt_p15,has_kids_tm1,-2,2,1,amt_dur,.003260203787146,0.003*,.0019077120429537,0.002,.0874611983850662,628526,inc_tot_gt_p,15,-.00047891182,.0069993194,2,-2,-1.861909
inc_tot_gt_p20,has_kids_tm1,-2,2,1,amt_dur,.0028947309959282,0.003,.0020365826716403,0.002,.1552130271794173,628526,inc_tot_gt_p,20,-.001096971,.0068864329,3,-2,-1.8773892
inc_tot_gt_p25,has_kids_tm1,-2,2,1,amt_dur,.0042418386236459,0.004*,.0022118334218209,0.002,.0551398877840515,628526,inc_tot_gt_p,25,-.00009335488,.008577032,2,-2,-1.8203304
inc_tot_gt_p30,has_kids_tm1,-2,2,1,amt_dur,.0019775263441406,0.002,.0024047424103823,0.002,.410882747170362,628526,inc_tot_gt_p,30,-.0027357687,.0066908216,3,-2,-1.9162388
inc_tot_gt_p35,has_kids_tm1,-2,2,1,amt_dur,.0046193583987334,0.005,.0028312287541195,0.003,.1027722229541479,628526,inc_tot_gt_p,35,-.00092984998,.010168566,3,-2,-1.8043399
inc_tot_gt_p40,has_kids_tm1,-2,2,1,amt_dur,.0066386096856008,0.007**,.0029084736476327,0.003,.0224613867771653,628526,inc_tot_gt_p,40,.00093800132,.012339218,1,-2,-1.7188114
inc_tot_gt_p45,has_kids_tm1,-2,2,1,amt_dur,.0078061875033983,0.008**,.0031058407952171,0.003,.0119591613437072,628526,inc_tot_gt_p,45,.0017187395,.013893635,1,-2,-1.6693568
inc_tot_gt_p50,has_kids_tm1,-2,2,1,amt_dur,.0062808425447017,0.006*,.003305019345746,0.003,.0573839386506063,628526,inc_tot_gt_p,50,-.00019699537,.012758681,2,-2,-1.7339652
inc_tot_gt_p55,has_kids_tm1,-2,2,1,amt_dur,.0044548278017181,0.004,.0034843352288695,0.003,.2010652799526775,628526,inc_tot_gt_p,55,-.0023744693,.011284125,3,-2,-1.8113089
inc_tot_gt_p60,has_kids_tm1,-2,2,1,amt_dur,.0042451112103627,0.004,.0036338172851446,0.004,.2427191393859622,628526,inc_tot_gt_p,60,-.0028771707,.011367393,3,-2,-1.8201917
inc_tot_gt_p65,has_kids_tm1,-2,2,1,amt_dur,.0046605577439001,0.005,.0037638507068204,0.004,.215629049758411,628526,inc_tot_gt_p,65,-.0027165897,.012037705,3,-2,-1.8025949
inc_tot_gt_p70,has_kids_tm1,-2,2,1,amt_dur,.0019002534297516,0.002,.003731996433251,0.004,.6106279438726439,628526,inc_tot_gt_p,70,-.0054144594,.0092149666,3,-2,-1.9195118
inc_tot_gt_p75,has_kids_tm1,-2,2,1,amt_dur,.0030800618901415,0.003,.0037275880657416,0.004,.4086424644645053,628526,inc_tot_gt_p,75,-.0042260108,.010386134,3,-2,-1.8695393
inc_tot_gt_p80,has_kids_tm1,-2,2,1,amt_dur,.0072247430543855,0.007**,.0033432800165341,0.003,.0306994858961476,628526,inc_tot_gt_p,80,.0006719142,.013777572,1,-2,-1.6939849
inc_tot_gt_p85,has_kids_tm1,-2,2,1,amt_dur,-.0005567685091966,-0.001,.0032174115938682,0.003,.862613564707539,628526,inc_tot_gt_p,85,-.0068628951,.0057493583,3,-2,-2.0235827
inc_tot_gt_p90,has_kids_tm1,-2,2,1,amt_dur,.0026751096821389,0.003,.0028965614082843,0.003,.3557244379326954,628526,inc_tot_gt_p,90,-.0030021507,.00835237,3,-2,-1.8866916
inc_tot_gt_p95,has_kids_tm1,-2,2,1,amt_dur,.0012125365231123,0.001,.002462306101706,0.002,.6224097531533779,628526,inc_tot_gt_p,95,-.0036135835,.0060386565,3,-2,-1.9486412
inc_tot_gt_p0,has_kids_tm1,0,2,1,amt_dur,.0008798814741528,0.001,.0008842836296191,0.001,.3197278890731766,628526,inc_tot_gt_p,0,-.00085331441,.0026130774,3,0,.037268743
inc_tot_gt_p5,has_kids_tm1,0,2,1,amt_dur,-.0005158331978092,-0.001,.0014313946646547,0.001,.7185703748372561,628526,inc_tot_gt_p,5,-.0033213669,.0022897003,3,0,-.021848915
inc_tot_gt_p10,has_kids_tm1,0,2,1,amt_dur,-.0025684375280949,-0.003,.0018435254762528,0.002,.163555969919526,628526,inc_tot_gt_p,10,-.0061817477,.0010448724,3,0,-.10879015
inc_tot_gt_p15,has_kids_tm1,0,2,1,amt_dur,-.0025048389371341,-0.003,.0020395331409102,0.002,.219395847914903,628526,inc_tot_gt_p,15,-.0065023238,.0014926461,3,0,-.10609633
inc_tot_gt_p20,has_kids_tm1,0,2,1,amt_dur,-.0036249758708423,-0.004,.0024659171535175,0.002,.1415561250668431,628526,inc_tot_gt_p,20,-.0084581738,.0012082218,3,0,-.15354148
inc_tot_gt_p25,has_kids_tm1,0,2,1,amt_dur,5.53519189035e-06,0.000,.0027181455477492,0.003,.9983752044018918,628526,inc_tot_gt_p,25,-.0053220303,.0053331004,3,0,.00023445163
inc_tot_gt_p30,has_kids_tm1,0,2,1,amt_dur,.0008484427633925,0.001,.0033773349575533,0.003,.8016470906155132,628526,inc_tot_gt_p,30,-.0057711336,.0074680191,3,0,.035937108
inc_tot_gt_p35,has_kids_tm1,0,2,1,amt_dur,.0009666078631273,0.001,.0031821062962355,0.003,.7613086307438366,628526,inc_tot_gt_p,35,-.0052703205,.0072035361,3,0,.040942173
inc_tot_gt_p40,has_kids_tm1,0,2,1,amt_dur,.0011745090203898,0.001,.0034427818421768,0.003,.7329904490788974,628526,inc_tot_gt_p,40,-.0055733435,.0079223616,3,0,.049748149
inc_tot_gt_p45,has_kids_tm1,0,2,1,amt_dur,.0011940085825125,0.001,.0038069178271808,0.004,.7537937069333138,628526,inc_tot_gt_p,45,-.0062675504,.0086555677,3,0,.050574083
inc_tot_gt_p50,has_kids_tm1,0,2,1,amt_dur,.0002975212918363,0.000,.0039677762563557,0.004,.9402272682264249,628526,inc_tot_gt_p,50,-.0074793203,.0080743628,3,0,.012601975
inc_tot_gt_p55,has_kids_tm1,0,2,1,amt_dur,.0008379627086995,0.001,.0039722115268845,0.004,.8329218340477152,628526,inc_tot_gt_p,55,-.0069475719,.0086234976,3,0,.03549321
inc_tot_gt_p60,has_kids_tm1,0,2,1,amt_dur,-.0019254004599772,-0.002,.004040024905457,0.004,.6336612374417598,628526,inc_tot_gt_p,60,-.0098438496,.0059930482,3,0,-.081553318
inc_tot_gt_p65,has_kids_tm1,0,2,1,amt_dur,.0005157923489335,0.001,.0039245209414874,0.004,.8954369009093143,628526,inc_tot_gt_p,65,-.0071762688,.008207853,3,0,.021847185
inc_tot_gt_p70,has_kids_tm1,0,2,1,amt_dur,-.0010412516660102,-0.001,.0039394432428868,0.004,.7915381498078953,628526,inc_tot_gt_p,70,-.0087625608,.0066800569,3,0,-.044103827
inc_tot_gt_p75,has_kids_tm1,0,2,1,amt_dur,-.002267569006044,-0.002,.0037752388345095,0.004,.5480793589722696,628526,inc_tot_gt_p,75,-.0096670371,.0051318989,3,0,-.096046396
inc_tot_gt_p80,has_kids_tm1,0,2,1,amt_dur,.0049115521836271,0.005,.003855378133678,0.004,.2026844899407905,628526,inc_tot_gt_p,80,-.0026449889,.012468093,3,0,.20803641
inc_tot_gt_p85,has_kids_tm1,0,2,1,amt_dur,-.0015733082131363,-0.002,.0034511574279703,0.003,.648478317186767,628526,inc_tot_gt_p,85,-.0083375769,.0051909601,3,0,-.066639908
inc_tot_gt_p90,has_kids_tm1,0,2,1,amt_dur,-.0026372998526322,-0.003,.00313242375338,0.003,.3998257184272098,628526,inc_tot_gt_p,90,-.0087768501,.0035022506,3,0,-.11170692
inc_tot_gt_p95,has_kids_tm1,0,2,1,amt_dur,-.0014320247858906,-0.001,.0022706450463991,0.002,.5282584896354562,628526,inc_tot_gt_p,95,-.005882489,.0030184395,3,0,-.060655627
inc_tot_gt_p0,has_kids_tm1,1,2,1,amt_dur,.0004221598014434,0.000,.0008607646609715,0.001,.6238183246920251,628526,inc_tot_gt_p,0,-.001264939,.0021092584,3,1,1.0178813
inc_tot_gt_p5,has_kids_tm1,1,2,1,amt_dur,-.0017805155905639,-0.002,.0014698519170085,0.001,.2257612029220913,628526,inc_tot_gt_p,5,-.0046614255,.0011003942,3,1,.92458349
inc_tot_gt_p10,has_kids_tm1,1,2,1,amt_dur,-.0026777393154223,-0.003,.0018901207187472,0.002,.1565727092524766,628526,inc_tot_gt_p,10,-.006382376,.0010268973,3,1,.88658023
inc_tot_gt_p15,has_kids_tm1,1,2,1,amt_dur,-.0025291619918263,-0.003,.0021867579365025,0.002,.2474462640806635,628526,inc_tot_gt_p,15,-.0068152077,.0017568836,3,1,.89287341
inc_tot_gt_p20,has_kids_tm1,1,2,1,amt_dur,-.0013938455562741,-0.001,.0026745172150177,0.003,.602257899993051,628526,inc_tot_gt_p,20,-.0066358992,.0038482081,3,1,.94096154
inc_tot_gt_p25,has_kids_tm1,1,2,1,amt_dur,-.0006154518548622,-0.001,.0029176734881305,0.003,.8329350729032432,628526,inc_tot_gt_p,25,-.006334092,.0051031881,3,1,.97393161
inc_tot_gt_p30,has_kids_tm1,1,2,1,amt_dur,-.0015784476911392,-0.002,.003383914909631,0.003,.6408900130786637,628526,inc_tot_gt_p,30,-.0082109207,.0050540254,3,1,.93314242
inc_tot_gt_p35,has_kids_tm1,1,2,1,amt_dur,-.0000231411398141,-0.000,.0038178872859606,0.004,.9951638691270924,628526,inc_tot_gt_p,35,-.0075062001,.007459918,3,1,.9990198
inc_tot_gt_p40,has_kids_tm1,1,2,1,amt_dur,.0013653473932546,0.001,.0041326715561623,0.004,.7411143369887706,628526,inc_tot_gt_p,40,-.0067346888,.0094653834,3,1,1.0578314
inc_tot_gt_p45,has_kids_tm1,1,2,1,amt_dur,.0022556599331361,0.002,.0043747707697619,0.004,.6061303700185501,628526,inc_tot_gt_p,45,-.006318891,.010830211,3,1,1.095542
inc_tot_gt_p50,has_kids_tm1,1,2,1,amt_dur,.0028844065540364,0.003,.0045553466816113,0.005,.5266099654726817,628526,inc_tot_gt_p,50,-.006044073,.011812886,3,1,1.1221735
inc_tot_gt_p55,has_kids_tm1,1,2,1,amt_dur,.0048516594742743,0.005,.0047406495771631,0.005,.3061131956971599,628526,inc_tot_gt_p,55,-.0044400138,.014143333,3,1,1.2054995
inc_tot_gt_p60,has_kids_tm1,1,2,1,amt_dur,.0032459019944677,0.003,.0047203010224818,0.005,.4916764188452269,628526,inc_tot_gt_p,60,-.0060058879,.012497692,3,1,1.1374853
inc_tot_gt_p65,has_kids_tm1,1,2,1,amt_dur,.0028657253585976,0.003,.0049934415534833,0.005,.5660381195427329,628526,inc_tot_gt_p,65,-.0069214199,.012652871,3,1,1.1213822
inc_tot_gt_p70,has_kids_tm1,1,2,1,amt_dur,.0049727399728156,0.005,.0049219893632512,0.005,.3123485680771756,628526,inc_tot_gt_p,70,-.0046743592,.014619839,3,1,1.2106282
inc_tot_gt_p75,has_kids_tm1,1,2,1,amt_dur,.0018633183673874,0.002,.004622409667679,0.005,.6868714715558828,628526,inc_tot_gt_p,75,-.0071966047,.010923241,3,1,1.0789237
inc_tot_gt_p80,has_kids_tm1,1,2,1,amt_dur,.0084467768098197,0.008*,.0046298709596939,0.005,.068093058308406,628526,inc_tot_gt_p,80,-.00062777026,.017521324,2,1,1.3577763
inc_tot_gt_p85,has_kids_tm1,1,2,1,amt_dur,.0008183530420203,0.001,.0043263763689348,0.004,.8499721750336566,628526,inc_tot_gt_p,85,-.0076613445,.0092980508,3,1,1.0346626
inc_tot_gt_p90,has_kids_tm1,1,2,1,amt_dur,-.0013957853307829,-0.001,.0038054608966291,0.004,.7137802389014891,628526,inc_tot_gt_p,90,-.0088544888,.0060629179,3,1,.94087934
inc_tot_gt_p95,has_kids_tm1,1,2,1,amt_dur,-.0016168845136898,-0.002,.0028511934541294,0.003,.5706539197154188,628526,inc_tot_gt_p,95,-.0072052237,.0039714547,3,1,.93151432
inc_tot_gt_p0,has_kids_tm1,2,2,1,amt_dur,.0010939630535488,0.001,.0008333408898452,0.001,.1892720833006725,628526,inc_tot_gt_p,0,-.00053938507,.0027273111,3,2,2.0463364
inc_tot_gt_p5,has_kids_tm1,2,2,1,amt_dur,-.0003667748216211,-0.000,.0015026173624785,0.002,.8071610893220896,628526,inc_tot_gt_p,5,-.0033119048,.0025783551,3,2,1.9844646
inc_tot_gt_p10,has_kids_tm1,2,2,1,amt_dur,-.001188786591,-0.001,.0019577344941881,0.002,.5437024462204949,628526,inc_tot_gt_p,10,-.0050259461,.0026483729,3,2,1.9496471
inc_tot_gt_p15,has_kids_tm1,2,2,1,amt_dur,9.06780609046e-06,0.000,.0022418610740733,0.002,.9967727589529388,628526,inc_tot_gt_p,15,-.0043849801,.0044031157,3,2,2.0003841
inc_tot_gt_p20,has_kids_tm1,2,2,1,amt_dur,.0028998184793357,0.003,.0026707262260831,0.003,.2775791872304686,628526,inc_tot_gt_p,20,-.002334805,.0081344415,3,2,2.1228263
inc_tot_gt_p25,has_kids_tm1,2,2,1,amt_dur,.0045090522250318,0.005,.0028483489332665,0.003,.1134151081023594,628526,inc_tot_gt_p,25,-.0010737117,.010091816,3,2,2.1909878
inc_tot_gt_p30,has_kids_tm1,2,2,1,amt_dur,.0056123461220273,0.006*,.0032057093540055,0.003,.0799944714320151,628526,inc_tot_gt_p,30,-.00067084422,.011895536,2,2,2.2377195
inc_tot_gt_p35,has_kids_tm1,2,2,1,amt_dur,.0060426699220404,0.006*,.0035614197902793,0.004,.0897557851689704,628526,inc_tot_gt_p,35,-.00093771284,.013023052,2,2,2.2559466
inc_tot_gt_p40,has_kids_tm1,2,2,1,amt_dur,.0069017451501836,0.007*,.0038349584539946,0.004,.0719120169691402,628526,inc_tot_gt_p,40,-.00061477342,.014418264,2,2,2.2923341
inc_tot_gt_p45,has_kids_tm1,2,2,1,amt_dur,.0089505327104099,0.009**,.0040340466908781,0.004,.0265059401582544,628526,inc_tot_gt_p,45,.0010438012,.016857265,1,2,2.3791137
inc_tot_gt_p50,has_kids_tm1,2,2,1,amt_dur,.0094436398905683,0.009**,.0042870771152587,0.004,.0276098503932704,628526,inc_tot_gt_p,50,.0010409687,.017846311,1,2,2.4000001
inc_tot_gt_p55,has_kids_tm1,2,2,1,amt_dur,.0061890018900327,0.006,.004626088395102,0.005,.1809488810914646,628526,inc_tot_gt_p,55,-.0028781313,.015256135,3,2,2.2621448
inc_tot_gt_p60,has_kids_tm1,2,2,1,amt_dur,.0041580377838132,0.004,.0048601721577846,0.005,.3922580195537915,628526,inc_tot_gt_p,60,-.0053678998,.013683976,3,2,2.17612
inc_tot_gt_p65,has_kids_tm1,2,2,1,amt_dur,.0090703041370377,0.009*,.0050373496781269,0.005,.0717670876490502,628526,inc_tot_gt_p,65,-.00080290122,.018943509,2,2,2.3841867
inc_tot_gt_p70,has_kids_tm1,2,2,1,amt_dur,.0092370735622857,0.009*,.0050402488524604,0.005,.0668555606492469,628526,inc_tot_gt_p,70,-.0006418142,.019115962,2,2,2.3912506
inc_tot_gt_p75,has_kids_tm1,2,2,1,amt_dur,.0082847407136365,0.008*,.004984227873951,0.005,.0964772925066161,628526,inc_tot_gt_p,75,-.0014843459,.018053828,2,2,2.350913
inc_tot_gt_p80,has_kids_tm1,2,2,1,amt_dur,.0077573196105605,0.008,.0048367090688711,0.005,.1087516826792921,628526,inc_tot_gt_p,80,-.0017226301,.01723727,3,2,2.3285732
inc_tot_gt_p85,has_kids_tm1,2,2,1,amt_dur,.0021424670218908,0.002,.0044951482765891,0.004,.6336353704510531,628526,inc_tot_gt_p,85,-.0066680238,.010952958,3,2,2.0907476
inc_tot_gt_p90,has_kids_tm1,2,2,1,amt_dur,-.0005269749957613,-0.001,.0040541714471489,0.004,.8965797997789613,628526,inc_tot_gt_p,90,-.0084731514,.0074192011,3,2,1.9776791
inc_tot_gt_p95,has_kids_tm1,2,2,1,amt_dur,-.0014367871199814,-0.001,.0029697016618615,0.003,.6285179275728285,628526,inc_tot_gt_p,95,-.0072574024,.004383828,3,2,1.9391427
