outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0004513467948757,0.000,.0009915679685442,0.001,.648977110975964,701488,inc_tot_gt_p,0,-.0014921264,.0023948201,3,-2,-1.9771886
inc_tot_gt_p5,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0000602587189782,0.000,.0013946534912279,0.001,.9655366469603014,701488,inc_tot_gt_p,5,-.002673262,.0027937796,3,-2,-1.9969544
inc_tot_gt_p10,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0010287134129907,0.001,.001754815962682,0.002,.5577269089954801,701488,inc_tot_gt_p,10,-.0024107259,.0044681528,3,-2,-1.9480082
inc_tot_gt_p15,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0032476791274546,0.003*,.0019138901243684,0.002,.0897185306168214,701488,inc_tot_gt_p,15,-.00050354551,.0069989036,2,-2,-1.8358601
inc_tot_gt_p20,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.002860750795975,0.003,.002042091995892,0.002,.1612491578149762,701488,inc_tot_gt_p,20,-.0011417496,.0068632513,3,-2,-1.8554157
inc_tot_gt_p25,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0042432909605762,0.004*,.0022166749784801,0.002,.0555896378145707,701488,inc_tot_gt_p,25,-.000101392,.0085879741,2,-2,-1.7855412
inc_tot_gt_p30,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.002042758123805,0.002,.0024094357203919,0.002,.3965423239019299,701488,inc_tot_gt_p,30,-.0026797359,.006765252,3,-2,-1.8967576
inc_tot_gt_p35,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0046907552775803,0.005*,.0028348014854423,0.003,.0979875896428882,701488,inc_tot_gt_p,35,-.00086545566,.010246966,2,-2,-1.7629261
inc_tot_gt_p40,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0067317854691705,0.007**,.0029118982934067,0.003,.0207894492235556,701488,inc_tot_gt_p,40,.0010244648,.012439106,1,-2,-1.659771
inc_tot_gt_p45,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0079000665085884,0.008**,.0031087383006022,0.003,.0110472166199543,701488,inc_tot_gt_p,45,.0018069395,.013993193,1,-2,-1.6007253
inc_tot_gt_p50,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0063827667414217,0.006*,.0033073561363744,0.003,.0536255690240219,701488,inc_tot_gt_p,50,-.000099651283,.012865185,2,-2,-1.6774106
inc_tot_gt_p55,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0045439115721253,0.005,.0034861932931503,0.003,.1924402875745383,701488,inc_tot_gt_p,55,-.0022890272,.01137685,3,-2,-1.7703476
inc_tot_gt_p60,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0043817170471322,0.004,.0036352687016605,0.004,.2280765782875752,701488,inc_tot_gt_p,60,-.0027434097,.011506843,3,-2,-1.778545
inc_tot_gt_p65,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0048015830936055,0.005,.0037648349080574,0.004,.2021786307540494,701488,inc_tot_gt_p,65,-.0025774934,.01218066,3,-2,-1.7573247
inc_tot_gt_p70,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0019357145414223,0.002,.0037315392931366,0.004,.6039401570211873,701488,inc_tot_gt_p,70,-.0053781024,.0092495317,3,-2,-1.9021677
inc_tot_gt_p75,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.003011305683258,0.003,.0037251884601156,0.004,.418883233422196,701488,inc_tot_gt_p,75,-.0042900639,.010312675,3,-2,-1.8478066
inc_tot_gt_p80,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0071154815947747,0.007**,.003342728250914,0.003,.0332858878095339,701488,inc_tot_gt_p,80,.00056373421,.013667229,1,-2,-1.6403787
inc_tot_gt_p85,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,-.0006561025812997,-0.001,.0032173182996436,0.003,.8384098309737834,701488,inc_tot_gt_p,85,-.0069620465,.0056498414,3,-2,-2.03316
inc_tot_gt_p90,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0026740846242457,0.003,.0028957774126673,0.003,.3557785766795729,701488,inc_tot_gt_p,90,-.0030016392,.0083498079,3,-2,-1.8648499
inc_tot_gt_p95,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0012111530025144,0.001,.0024616880070605,0.002,.6227196177533425,701488,inc_tot_gt_p,95,-.0036137556,.0060360613,3,-2,-1.9387875
inc_tot_gt_p0,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0004300222010808,0.000,.0008591225096699,0.001,.6166983527348299,701488,inc_tot_gt_p,0,-.001253858,.0021139022,3,0,.021733612
inc_tot_gt_p5,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0015537682842022,-0.002,.0013954650267681,0.001,.2655214400828225,701488,inc_tot_gt_p,5,-.0042888797,.0011813432,3,0,-.078528501
inc_tot_gt_p10,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0040225849327814,-0.004**,.0017872043417983,0.002,.0244021322241472,701488,inc_tot_gt_p,10,-.0075255055,-.00051966443,1,0,-.20330416
inc_tot_gt_p15,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0035458457229921,-0.004*,.0019914338120854,0.002,.074988928602179,701488,inc_tot_gt_p,15,-.007449056,.00035736454,2,0,-.17920944
inc_tot_gt_p20,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0042550613311373,-0.004*,.002385859690484,0.002,.0745158770510648,701488,inc_tot_gt_p,20,-.0089313462,.00042122367,2,0,-.21505368
inc_tot_gt_p25,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0011282152392685,-0.001,.0026215227106556,0.003,.6669300001175616,701488,inc_tot_gt_p,25,-.0062663998,.0040099691,3,0,-.057020761
inc_tot_gt_p30,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0000257072155686,-0.000,.0032183208592675,0.003,.9936267618945434,701488,inc_tot_gt_p,30,-.0063336161,.0062822015,3,0,-.0012992601
inc_tot_gt_p35,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0002046861852813,-0.000,.0030508379220833,0.003,.9465087510155498,701488,inc_tot_gt_p,35,-.0061843283,.0057749562,3,0,-.010344978
inc_tot_gt_p40,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0011714342396217,0.001,.0032768645054932,0.003,.7207284577918673,701488,inc_tot_gt_p,40,-.00525122,.0075940886,3,0,.059205078
inc_tot_gt_p45,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0011655830067675,0.001,.003613855309783,0.004,.7470505235206282,701488,inc_tot_gt_p,45,-.0059175733,.0082487399,3,0,.058909353
inc_tot_gt_p50,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0013916561347756,0.001,.0037873123675771,0.004,.7132824805662279,701488,inc_tot_gt_p,50,-.006031476,.0088147884,3,0,.070335239
inc_tot_gt_p55,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0012793271470611,0.001,.003811837120792,0.004,.7371584095272197,701488,inc_tot_gt_p,55,-.0061918735,.0087505281,3,0,.064658061
inc_tot_gt_p60,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0014779306267783,-0.001,.003877694330945,0.004,.7031027510150409,701488,inc_tot_gt_p,60,-.0090782112,.0061223502,3,0,-.07469561
inc_tot_gt_p65,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0006622626864938,0.001,.0037637463102296,0.004,.8603269713016064,701488,inc_tot_gt_p,65,-.0067146802,.0080392053,3,0,.033471204
inc_tot_gt_p70,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0004924112209814,-0.000,.0038021595411166,0.004,.8969556967861678,701488,inc_tot_gt_p,70,-.0079446435,.0069598216,3,0,-.024886796
inc_tot_gt_p75,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.002042961899371,-0.002,.0036425087368584,0.004,.5748895595651666,701488,inc_tot_gt_p,75,-.009182279,.0050963555,3,0,-.10325267
inc_tot_gt_p80,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0057691283952767,0.006,.0036992065156324,0.004,.1188671960411924,701488,inc_tot_gt_p,80,-.0014813164,.013019573,3,0,.29157564
inc_tot_gt_p85,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0010948399753668,-0.001,.00342635318452,0.003,.7493214223001465,701488,inc_tot_gt_p,85,-.0078104921,.0056208121,3,0,-.055333953
inc_tot_gt_p90,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0018430458036814,-0.002,.0031314219171368,0.003,.5561542414734939,701488,inc_tot_gt_p,90,-.0079806326,.0042945412,3,0,-.093148783
inc_tot_gt_p95,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0012619165800411,-0.001,.0021927666036956,0.002,.5649607331900485,701488,inc_tot_gt_p,95,-.0055597392,.003035906,3,0,-.063778117
inc_tot_gt_p0,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0001528752271735,0.000,.0008180010735573,0.001,.8517481807535616,701488,inc_tot_gt_p,0,-.0014504069,.0017561574,3,1,1.0077264
inc_tot_gt_p5,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0026015311441032,-0.003*,.0013879061831916,0.001,.0608740429022439,701488,inc_tot_gt_p,5,-.0053218273,.00011876498,2,1,.86851686
inc_tot_gt_p10,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0044527883493268,-0.004**,.0017787554461386,0.002,.0123049904644822,701488,inc_tot_gt_p,10,-.0079391487,-.00096642767,1,1,.77495307
inc_tot_gt_p15,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0045597475417962,-0.005**,.0020631343453692,0.002,.0270998154015251,701488,inc_tot_gt_p,15,-.0086034909,-.00051600422,1,1,.76954728
inc_tot_gt_p20,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0043717191693693,-0.004*,.0024787868759287,0.002,.0777932762812231,701488,inc_tot_gt_p,20,-.0092301415,.00048670309,2,1,.77905035
inc_tot_gt_p25,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0038329775790212,-0.004,.0027039585970786,0.003,.1563270967792586,701488,inc_tot_gt_p,25,-.0091327364,.0014667813,3,1,.80627871
inc_tot_gt_p30,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0047179302893523,-0.005,.0031024047851339,0.003,.1283296838154059,701488,inc_tot_gt_p,30,-.010798643,.0013627831,3,1,.76155263
inc_tot_gt_p35,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0037487602380093,-0.004,.0034976100450213,0.003,.2838094523550493,701488,inc_tot_gt_p,35,-.010604076,.0031065554,3,1,.81053513
inc_tot_gt_p40,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0010091828851656,-0.001,.0037605951315649,0.004,.7884248684174299,701488,inc_tot_gt_p,40,-.0083799493,.0063615837,3,1,.94899523
inc_tot_gt_p45,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0003781240074263,0.000,.0039965459772226,0.004,.924622635877915,701488,inc_tot_gt_p,45,-.0074551059,.0082113538,3,1,1.0191107
inc_tot_gt_p50,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0021834236966113,0.002,.0041783067865988,0.004,.6012802637702636,701488,inc_tot_gt_p,50,-.0060060574,.010372905,3,1,1.1103517
inc_tot_gt_p55,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0034578649910654,0.003,.0043405788014199,0.004,.4256637127143297,701488,inc_tot_gt_p,55,-.0050496696,.0119654,3,1,1.1747628
inc_tot_gt_p60,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0012009095665633,0.001,.0043279805034103,0.004,.7814153634900054,701488,inc_tot_gt_p,60,-.007281932,.0096837515,3,1,1.0606948
inc_tot_gt_p65,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0001951716912299,0.000,.0045439202370799,0.005,.965739660169699,701488,inc_tot_gt_p,65,-.0087109124,.0091012558,3,1,1.0098641
inc_tot_gt_p70,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0020260111072958,0.002,.0045167961691302,0.005,.6537568540470713,701488,inc_tot_gt_p,70,-.0068269093,.010878932,3,1,1.102396
inc_tot_gt_p75,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0009952608775045,-0.001,.0041761042643367,0.004,.811631184882271,701488,inc_tot_gt_p,75,-.0091804257,.0071899034,3,1,.94969887
inc_tot_gt_p80,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0059263893400028,0.006,.0043103658407547,0.004,.1691604371865433,701488,inc_tot_gt_p,80,-.0025219277,.014374706,3,1,1.2995237
inc_tot_gt_p85,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.001189654283787,0.001,.0041232269228432,0.004,.7729454026185099,701488,inc_tot_gt_p,85,-.0068918704,.0092711793,3,1,1.0601259
inc_tot_gt_p90,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0017550235070214,0.002,.0036992765311884,0.004,.6351989318367679,701488,inc_tot_gt_p,90,-.0054955585,.0090056052,3,1,1.0887001
inc_tot_gt_p95,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0004842604046539,-0.000,.0027302861389067,0.003,.8592211060697805,701488,inc_tot_gt_p,95,-.0058356212,.0048671006,3,1,.97552514
inc_tot_gt_p0,has_kids_tm1,2,2,1,0,amt_dur,firstapp,.0006601919309712,0.001,.0008010433022235,0.001,.4098475632802268,701488,inc_tot_gt_p,0,-.00090985297,.0022302368,3,2,2.0333664
inc_tot_gt_p5,has_kids_tm1,2,2,1,0,amt_dur,firstapp,-.0013504133986614,-0.001,.0014000781806704,0.001,.3347838545967038,701488,inc_tot_gt_p,5,-.0040945667,.0013937398,3,2,1.9317492
inc_tot_gt_p10,has_kids_tm1,2,2,1,0,amt_dur,firstapp,-.0024552995867116,-0.002,.0018358336985492,0.002,.1810850212208625,701488,inc_tot_gt_p,10,-.0060535334,.0011429344,3,2,1.8759075
inc_tot_gt_p15,has_kids_tm1,2,2,1,0,amt_dur,firstapp,-.001937407989855,-0.002,.0020904367840467,0.002,.3540346329883894,701488,inc_tot_gt_p,15,-.0060346639,.0021598481,3,2,1.9020821
inc_tot_gt_p20,has_kids_tm1,2,2,1,0,amt_dur,firstapp,.0001432855043903,0.000,.0024569901119436,0.002,.9534958407287634,701488,inc_tot_gt_p,20,-.0046724151,.0049589863,3,2,2.0072417
