outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0010978090983047,-0.001,.0038977924699984,0.004,.7782134013299706,583643,inc_work_gt_p,0,-.0087374821,.006541864,3,-2,-2.0393682
inc_work_gt_p5,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0013957945328566,-0.001,.0040395699776684,0.004,.72969646126041,583643,inc_work_gt_p,5,-.0093133515,.0065217628,3,-2,-2.0500541
inc_work_gt_p10,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0039173019895018,-0.004,.0041370701324946,0.004,.343703489331642,583643,inc_work_gt_p,10,-.01202596,.0041913553,3,-2,-2.1404769
inc_work_gt_p15,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0040611152717423,-0.004,.0041889212246156,0.004,.3323037677955505,583643,inc_work_gt_p,15,-.012271401,.0041491701,3,-2,-2.1456342
inc_work_gt_p20,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0033112373421075,-0.003,.0042667217509859,0.004,.4377149976204797,583643,inc_work_gt_p,20,-.011674012,.0050515374,3,-2,-2.1187432
inc_work_gt_p25,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0007477585256799,0.001,.0043855094807279,0.004,.8646121127759396,583643,inc_work_gt_p,25,-.00784784,.0093433568,3,-2,-1.9731849
inc_work_gt_p30,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0014384703802635,-0.001,.0044615533103452,0.004,.7471393431872715,583643,inc_work_gt_p,30,-.010183115,.0073061739,3,-2,-2.0515845
inc_work_gt_p35,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0002220030172701,-0.000,.0045110143198928,0.005,.960749231008397,583643,inc_work_gt_p,35,-.0090635912,.0086195851,3,-2,-2.0079613
inc_work_gt_p40,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0010998582107004,0.001,.0045345662701457,0.005,.8083547488874151,583643,inc_work_gt_p,40,-.0077878917,.0099876085,3,-2,-1.9605584
inc_work_gt_p45,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.000287022247585,0.000,.0045136245189691,0.005,.949296691931214,583643,inc_work_gt_p,45,-.0085596815,.0091337264,3,-2,-1.9897072
inc_work_gt_p50,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0029757757727151,-0.003,.0042425942978912,0.004,.4830523872152331,583643,inc_work_gt_p,50,-.011291261,.0053397091,3,-2,-2.1067133
inc_work_gt_p55,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0017341689418999,0.002,.0038864294493658,0.004,.655445722964944,583643,inc_work_gt_p,55,-.0058832327,.0093515711,3,-2,-1.9378116
inc_work_gt_p60,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0013303018779591,0.001,.003789480910729,0.004,.7255507988786725,583643,inc_work_gt_p,60,-.0060970807,.0087576844,3,-2,-1.9522945
inc_work_gt_p65,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.003006742644347,0.003,.003707213606575,0.004,.417338143303892,583643,inc_work_gt_p,65,-.0042593959,.010272881,3,-2,-1.8921763
inc_work_gt_p70,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0008826249862161,0.001,.0036642445472848,0.004,.8096525643514184,583643,inc_work_gt_p,70,-.0062992945,.0080645448,3,-2,-1.9683485
inc_work_gt_p75,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0045308076372527,0.005,.0034924158853348,0.003,.1945220112386312,583643,inc_work_gt_p,75,-.0023143275,.011375943,3,-2,-1.8375223
inc_work_gt_p80,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0052705282513601,0.005,.0033207399463171,0.003,.1124813257286771,583643,inc_work_gt_p,80,-.001238122,.011779179,3,-2,-1.8109953
inc_work_gt_p85,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.0053969723915279,0.005*,.0030062878292885,0.003,.0726209261678692,583643,inc_work_gt_p,85,-.00049535173,.011289297,2,-2,-1.806461
inc_work_gt_p90,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,.002550752891043,0.003,.0027230731051789,0.003,.3489060584281478,583643,inc_work_gt_p,90,-.0027864703,.0078879762,3,-2,-1.9085283
inc_work_gt_p95,has_kids_tm1,-2,2,1,1,amt_dur,firstapp,-.0004302620680511,-0.000,.002056274413552,0.002,.8342586538564275,583643,inc_work_gt_p,95,-.0044605597,.0036000358,3,-2,-2.0154295
inc_work_gt_p0,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0005035504646916,0.001,.0036844693516643,0.004,.8912932471173325,583643,inc_work_gt_p,0,-.0067180092,.0077251103,3,0,.018057652
inc_work_gt_p5,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0010872477271296,-0.001,.0039249241639439,0.004,.7817722258318985,583643,inc_work_gt_p,5,-.0087800995,.0066056037,3,0,-.038989417
inc_work_gt_p10,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0016271355926877,-0.002,.0041132284419339,0.004,.6924114612815669,583643,inc_work_gt_p,10,-.0096890638,.0064347922,3,0,-.058350153
inc_work_gt_p15,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0026745120091665,-0.003,.0041907967073215,0.004,.5233536780128545,583643,inc_work_gt_p,15,-.010888473,.0055394494,3,0,-.095909759
inc_work_gt_p20,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0014158117143694,-0.001,.0042894951387663,0.004,.7413517521334373,583643,inc_work_gt_p,20,-.0098232226,.0069915988,3,0,-.05077194
inc_work_gt_p25,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0000290841722656,0.000,.004518135671049,0.005,.9948639029480477,583643,inc_work_gt_p,25,-.0088264616,.0088846302,3,0,.0010429776
inc_work_gt_p30,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0021766964382343,-0.002,.0045278099401857,0.005,.6307029964595898,583643,inc_work_gt_p,30,-.011051204,.0066978112,3,0,-.078057766
inc_work_gt_p35,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0011923852775573,0.001,.0043819579331765,0.004,.7855362252476917,583643,inc_work_gt_p,35,-.0073962524,.0097810226,3,0,.04275972
inc_work_gt_p40,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0018676044689224,0.002,.0043232587045683,0.004,.6657497899983942,583643,inc_work_gt_p,40,-.0066059828,.010341192,3,0,.066973522
inc_work_gt_p45,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0035182822116902,0.004,.0042977505592674,0.004,.4129978987322642,583643,inc_work_gt_p,45,-.0049053091,.011941873,3,0,.12616791
inc_work_gt_p50,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0004038909670536,-0.000,.0041770110491226,0.004,.9229698120220579,583643,inc_work_gt_p,50,-.0085908324,.0077830506,3,0,-.014483796
inc_work_gt_p55,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0000598894782534,-0.000,.0043890376669713,0.004,.9891130425631416,583643,inc_work_gt_p,55,-.0086624036,.0085426243,3,0,-.0021476762
inc_work_gt_p60,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0007961529818033,-0.001,.0042970745229357,0.004,.8530115075586376,583643,inc_work_gt_p,60,-.009218419,.007626113,3,0,-.028550569
inc_work_gt_p65,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0002360108792144,0.000,.0041924751096732,0.004,.9551077910371544,583643,inc_work_gt_p,65,-.0079812407,.008453262,3,0,.0084635057
inc_work_gt_p70,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0000209693783302,0.000,.0040653910389851,0.004,.9958845238947477,583643,inc_work_gt_p,70,-.0079471972,.0079891356,3,0,.00075197569
inc_work_gt_p75,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0050378884047263,0.005,.0038178911534504,0.004,.1869897335956322,583643,inc_work_gt_p,75,-.0024451783,.012520955,3,0,.18066199
inc_work_gt_p80,has_kids_tm1,0,2,1,1,amt_dur,firstapp,.0018855605971284,0.002,.0034337664461484,0.003,.5829223958169137,583643,inc_work_gt_p,80,-.0048446218,.0086157424,3,0,.067617446
inc_work_gt_p85,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0015797714875428,-0.002,.0030680749830358,0.003,.60661976133254,583643,inc_work_gt_p,85,-.0075931987,.0044336556,3,0,-.056651644
inc_work_gt_p90,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0022448264970581,-0.002,.0024918470918243,0.002,.3676608126539814,583643,inc_work_gt_p,90,-.0071288468,.0026391938,3,0,-.080500953
inc_work_gt_p95,has_kids_tm1,0,2,1,1,amt_dur,firstapp,-.0009332983953518,-0.001,.0018385663342745,0.002,.6117191406529128,583643,inc_work_gt_p,95,-.0045368886,.0026702916,3,0,-.033468693
inc_work_gt_p0,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0043265002174136,0.004,.0047510310954079,0.005,.3624853185112691,583643,inc_work_gt_p,0,-.0049855206,.013638522,3,1,1.1551511
inc_work_gt_p5,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0026103520645324,0.003,.0050074907359214,0.005,.6021665149944441,583643,inc_work_gt_p,5,-.0072043296,.012425034,3,1,1.093609
inc_work_gt_p10,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0026666952814766,0.003,.0051566501384348,0.005,.6050617814856498,583643,inc_work_gt_p,10,-.0074403388,.01277373,3,1,1.0956295
inc_work_gt_p15,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0011204561624124,0.001,.0052367059238477,0.005,.8305771918935521,583643,inc_work_gt_p,15,-.0091434876,.0113844,3,1,1.0401803
inc_work_gt_p20,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0030860289784915,0.003,.0053832328890003,0.005,.5664655459133802,583643,inc_work_gt_p,20,-.0074651074,.013637166,3,1,1.110667
inc_work_gt_p25,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0057877924437429,0.006,.0054887875419566,0.005,.2916682396074401,583643,inc_work_gt_p,25,-.0049702311,.016545815,3,1,1.2075541
inc_work_gt_p30,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0070799739902747,0.007,.0055372444712822,0.006,.2010380654045484,583643,inc_work_gt_p,30,-.0037730252,.017932974,3,1,1.2538925
inc_work_gt_p35,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0078820130264546,0.008,.0057066707422057,0.006,.1672233031352832,583643,inc_work_gt_p,35,-.0033030617,.019067088,3,1,1.2826542
inc_work_gt_p40,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0079199115862115,0.008,.0056190166411767,0.006,.1586958999593927,583643,inc_work_gt_p,40,-.0030933609,.018933184,3,1,1.2840133
inc_work_gt_p45,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0072005357168594,0.007,.0056329447328159,0.006,.2011507684036683,583643,inc_work_gt_p,45,-.003840036,.018241107,3,1,1.2582159
inc_work_gt_p50,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0050108381357165,0.005,.0054891236566905,0.005,.3613152556174742,583643,inc_work_gt_p,50,-.005747844,.015769521,3,1,1.1796919
inc_work_gt_p55,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.006760125358615,0.007,.0055264999174572,0.006,.2212500055445795,583643,inc_work_gt_p,55,-.0040718145,.017592065,3,1,1.2424226
inc_work_gt_p60,has_kids_tm1,1,2,1,1,amt_dur,firstapp,.0051433217442349,0.005,.0054076852925138,0.005,.3415495440513421,583643,inc_work_gt_p,60,-.0054557417,.015742386,3,1,1.1844429
