outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,has_kids_tm1,-2,2,1,amt_dur,.0012475988597658,0.001,.0033062827696033,0.003,.7059203125318112,628526,inc_work_gt_p,0,-.0052327155,.0077279131,3,-2,-1.9525031
inc_work_gt_p5,has_kids_tm1,-2,2,1,amt_dur,.0015106259721533,0.002,.0035067386907715,0.004,.6666306341712356,628526,inc_work_gt_p,5,-.0053625819,.0083838338,3,-2,-1.9424895
inc_work_gt_p10,has_kids_tm1,-2,2,1,amt_dur,-.0005027847406874,-0.001,.0036906461739263,0.004,.8916379962255498,628526,inc_work_gt_p,10,-.0077364515,.006730882,3,-2,-2.0191414
inc_work_gt_p15,has_kids_tm1,-2,2,1,amt_dur,.0016075855141077,0.002,.0037066966938635,0.004,.6645089014099494,628526,inc_work_gt_p,15,-.0056575402,.0088727111,3,-2,-1.9387982
inc_work_gt_p20,has_kids_tm1,-2,2,1,amt_dur,-.0003915872279477,-0.000,.0037634856384614,0.004,.9171305899946823,628526,inc_work_gt_p,20,-.0077680191,.0069848448,3,-2,-2.0149081
inc_work_gt_p25,has_kids_tm1,-2,2,1,amt_dur,.0030032604227321,0.003,.0037737530952294,0.004,.4261334410336342,628526,inc_work_gt_p,25,-.0043932959,.010399817,3,-2,-1.885664
inc_work_gt_p30,has_kids_tm1,-2,2,1,amt_dur,.0018621810307729,0.002,.0037484630860292,0.004,.6193415308175283,628526,inc_work_gt_p,30,-.0054848068,.0092091691,3,-2,-1.9291056
inc_work_gt_p35,has_kids_tm1,-2,2,1,amt_dur,-.0002859749574722,-0.000,.0036602517817332,0.004,.9377248994176182,628526,inc_work_gt_p,35,-.0074600684,.0068881186,3,-2,-2.0108871
inc_work_gt_p40,has_kids_tm1,-2,2,1,amt_dur,.0029732749882978,0.003,.0034471081192043,0.003,.3883913245957997,628526,inc_work_gt_p,40,-.003783057,.009729607,3,-2,-1.8868055
inc_work_gt_p45,has_kids_tm1,-2,2,1,amt_dur,.0028400815990739,0.003,.0033897285258718,0.003,.4021172043040833,628526,inc_work_gt_p,45,-.0038037864,.0094839493,3,-2,-1.8918763
