outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0012827812060474,0.001,.0033048765689663,0.003,.6979072773444861,701488,inc_work_gt_p,0,-.0051947767,.0077603394,3,-2,-1.9410148
inc_work_gt_p5,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0020597867622466,0.002,.0034738680227062,0.003,.5532241859901188,701488,inc_work_gt_p,5,-.0047489945,.0088685676,3,-2,-1.9052863
inc_work_gt_p10,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,-.0005466764411666,-0.001,.003582397409779,0.004,.8787134364852505,701488,inc_work_gt_p,10,-.0075681754,.0064748223,3,-2,-2.0251374
inc_work_gt_p15,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,-.0011980294666781,-0.001,.0036459729102954,0.004,.7424664002511597,701488,inc_work_gt_p,15,-.0083441362,.0059480774,3,-2,-2.055088
inc_work_gt_p20,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0006099403314873,0.001,.0037002035016376,0.004,.8690704837639364,701488,inc_work_gt_p,20,-.0066424585,.0078623388,3,-2,-1.9719535
inc_work_gt_p25,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0013516974126285,0.001,.0037201418535979,0.004,.7163473918973928,701488,inc_work_gt_p,25,-.0059397807,.0086431755,3,-2,-1.9378458
inc_work_gt_p30,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,-.0007154557797595,-0.001,.0037650195432277,0.004,.8492882421599633,701488,inc_work_gt_p,30,-.0080948938,.0066639828,3,-2,-2.0328982
inc_work_gt_p35,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0012207093987539,0.001,.0037393018350416,0.004,.7440816453178312,701488,inc_work_gt_p,35,-.0061083222,.0085497405,3,-2,-1.943869
inc_work_gt_p40,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0021471001394134,0.002,.0037585629597751,0.004,.5678275742935883,701488,inc_work_gt_p,40,-.0052196831,.0095138839,3,-2,-1.9012715
inc_work_gt_p45,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0020830635364017,0.002,.0037627169233249,0.004,.5798494984201783,701488,inc_work_gt_p,45,-.0052918615,.0094579887,3,-2,-1.9042161
inc_work_gt_p50,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,-.00014071229888,-0.000,.0036676361740314,0.004,.9693959896228111,701488,inc_work_gt_p,50,-.0073292791,.0070478548,3,-2,-2.0064702
inc_work_gt_p55,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0024169773066133,0.002,.0034206574436725,0.003,.4798273685973368,701488,inc_work_gt_p,55,-.0042875111,.0091214655,3,-2,-1.8888619
inc_work_gt_p60,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0023010895155804,0.002,.0034072714821257,0.003,.4994569627584906,701488,inc_work_gt_p,60,-.0043771625,.0089793419,3,-2,-1.8941907
inc_work_gt_p65,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0036960697729633,0.004,.0033926399496546,0.003,.2759633396172769,701488,inc_work_gt_p,65,-.0029535044,.010345644,3,-2,-1.8300463
inc_work_gt_p70,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0027085633161941,0.003,.003383173876207,0.003,.4233659733564962,701488,inc_work_gt_p,70,-.0039224573,.009339584,3,-2,-1.8754541
inc_work_gt_p75,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0050722047750773,0.005,.0031962002104765,0.003,.112527241280911,701488,inc_work_gt_p,75,-.0011923476,.011336757,3,-2,-1.7667685
inc_work_gt_p80,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0058324541402702,0.006*,.003056866086765,0.003,.0563958066784198,701488,inc_work_gt_p,80,-.00015900339,.011823911,2,-2,-1.7318106
inc_work_gt_p85,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.0030543487471228,0.003,.0025769822020623,0.003,.2359241826770567,701488,inc_work_gt_p,85,-.0019965363,.0081052342,3,-2,-1.8595541
inc_work_gt_p90,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.001722202384308,0.002,.0022996491702346,0.002,.4539203788557973,701488,inc_work_gt_p,90,-.0027851099,.0062295147,3,-2,-1.9208093
inc_work_gt_p95,has_kids_tm1,-2,2,1,0,amt_dur,firstapp,.000087402023808,0.000,.0019086072527627,0.002,.9634748328392259,701488,inc_work_gt_p,95,-.0036534681,.0038282722,3,-2,-1.9959811
inc_work_gt_p0,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0008157717682287,-0.001,.0030076928966297,0.003,.7862158768187852,701488,inc_work_gt_p,0,-.0067108497,.0050793062,3,0,-.03751104
inc_work_gt_p5,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0019065149657273,-0.002,.0031779848850709,0.003,.5485653590108853,701488,inc_work_gt_p,5,-.0081353653,.0043223356,3,0,-.087665886
inc_work_gt_p10,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0032168933828012,-0.003,.0033034511758606,0.003,.3301591271815719,701488,inc_work_gt_p,10,-.0096916575,.0032578709,3,0,-.14792006
inc_work_gt_p15,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0040009738936443,-0.004,.0033554462689356,0.003,.2331140776662781,701488,inc_work_gt_p,15,-.010577649,.0025757009,3,0,-.18397386
inc_work_gt_p20,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0026340984269747,-0.003,.0033964111509312,0.003,.4380143737334775,701488,inc_work_gt_p,20,-.009291064,.0040228674,3,0,-.12112182
inc_work_gt_p25,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0003628386086802,-0.000,.0035374635580636,0.004,.9183042248772089,701488,inc_work_gt_p,25,-.007296267,.0065705902,3,0,-.016684143
inc_work_gt_p30,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0027771908785547,-0.003,.0035934087168538,0.004,.4396087281615787,701488,inc_work_gt_p,30,-.0098202722,.00426589,3,0,-.12770154
inc_work_gt_p35,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0018604297252564,-0.002,.0037786264656067,0.004,.6224686336990046,701488,inc_work_gt_p,35,-.0092665376,.0055456781,3,0,-.085546784
inc_work_gt_p40,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0025111888818348,-0.003,.003772988515687,0.004,.5056872434467732,701488,inc_work_gt_p,40,-.0099062463,.0048838686,3,0,-.11547016
inc_work_gt_p45,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0023741367626355,-0.002,.0038036232232273,0.004,.5325122050896239,701488,inc_work_gt_p,45,-.0098292381,.0050809649,3,0,-.1091682
inc_work_gt_p50,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0032163343141314,-0.003,.0036585038197689,0.004,.3793277193093114,701488,inc_work_gt_p,50,-.010387002,.0039543333,3,0,-.14789435
inc_work_gt_p55,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0041078023957296,-0.004,.0038248415414482,0.004,.2828341363956826,701488,inc_work_gt_p,55,-.011604492,.003388887,3,0,-.18888608
inc_work_gt_p60,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0036512279108215,-0.004,.0037108532375166,0.004,.3251510494323886,701488,inc_work_gt_p,60,-.0109245,.0036220443,3,0,-.16789176
inc_work_gt_p65,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0027830713371055,-0.003,.0036745739220269,0.004,.4488202016831329,701488,inc_work_gt_p,65,-.0099852365,.0044190935,3,0,-.12797193
inc_work_gt_p70,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0025850395285622,-0.003,.0035907889742768,0.004,.471582877050482,701488,inc_work_gt_p,70,-.0096229855,.004452907,3,0,-.11886599
inc_work_gt_p75,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0027199030018855,0.003,.0034344296791478,0.003,.4283904686982305,701488,inc_work_gt_p,75,-.0040115793,.0094513856,3,0,.12506731
inc_work_gt_p80,has_kids_tm1,0,2,1,0,amt_dur,firstapp,.0003773163214032,0.000,.0030244300833241,0.003,.900716816019358,701488,inc_work_gt_p,80,-.0055505666,.0063051991,3,0,.017349862
inc_work_gt_p85,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0032629605780129,-0.003,.0027422661801353,0.003,.2340971761151363,701488,inc_work_gt_p,85,-.0086378027,.002111881,3,0,-.15003833
inc_work_gt_p90,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.00244043315844,-0.002,.002370276899893,0.002,.3032008850868792,701488,inc_work_gt_p,90,-.007086176,.0022053095,3,0,-.11221666
inc_work_gt_p95,has_kids_tm1,0,2,1,0,amt_dur,firstapp,-.0004369039592801,-0.000,.0015886530841255,0.002,.7833049796080744,701488,inc_work_gt_p,95,-.0035506641,.002676856,3,0,-.020089837
inc_work_gt_p0,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0015416460500261,0.002,.0040581480969707,0.004,.7040285131938214,701488,inc_work_gt_p,0,-.006412324,.009495616,3,1,1.0708884
inc_work_gt_p5,has_kids_tm1,1,2,1,0,amt_dur,firstapp,.0017822870378093,0.002,.0042150802632673,0.004,.6724158667983524,701488,inc_work_gt_p,5,-.0064792703,.010043845,3,1,1.0819536
inc_work_gt_p10,has_kids_tm1,1,2,1,0,amt_dur,firstapp,-.0013396171187316,-0.001,.0045537163806161,0.005,.768620112814863,701488,inc_work_gt_p,10,-.010264901,.0075856671,3,1,.93840134
