outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,has_kids_tm1,-2,2,1,amt_dur,-.0040585717707962,-0.004,.0040837166889416,0.004,.3203016899784618,639956,inc_y_gt_p,0,-.012062657,.0039455132,3,-2,-2.1569998
inc_y_gt_p5,has_kids_tm1,-2,2,1,amt_dur,-.0048246897872277,-0.005,.0040699624834452,0.004,.2358467434390811,639956,inc_y_gt_p,5,-.012801817,.0031524366,3,-2,-2.186636
inc_y_gt_p10,has_kids_tm1,-2,2,1,amt_dur,-.0013565594041424,-0.001,.003969369450672,0.004,.7325345051394836,639956,inc_y_gt_p,10,-.0091365231,.0064234049,3,-2,-2.0524764
inc_y_gt_p15,has_kids_tm1,-2,2,1,amt_dur,-.0003359196452535,-0.000,.0039085200585015,0.004,.9315099126863244,639956,inc_y_gt_p,15,-.0079966187,.0073247799,3,-2,-2.0129945
inc_y_gt_p20,has_kids_tm1,-2,2,1,amt_dur,-.0040182340356268,-0.004,.0039671273188954,0.004,.3111185124387788,639956,inc_y_gt_p,20,-.011793803,.0037573355,3,-2,-2.1554394
inc_y_gt_p25,has_kids_tm1,-2,2,1,amt_dur,.0016272531346214,0.002,.0038146866552509,0.004,.6696891461404095,639956,inc_y_gt_p,25,-.0058495328,.0091040386,3,-2,-1.9370521
inc_y_gt_p30,has_kids_tm1,-2,2,1,amt_dur,-.0009499570169878,-0.001,.0038382314033144,0.004,.804522817158617,639956,inc_y_gt_p,30,-.0084728906,.0065729767,3,-2,-2.0367477
inc_y_gt_p35,has_kids_tm1,-2,2,1,amt_dur,-.0032464527163545,-0.003,.003666693879586,0.004,.3759484795804886,639956,inc_y_gt_p,35,-.010433173,.0039402675,3,-2,-2.1255841
inc_y_gt_p40,has_kids_tm1,-2,2,1,amt_dur,.0010548869534732,0.001,.0033517324568566,0.003,.75296812812359,639956,inc_y_gt_p,40,-.0055145086,.0076242825,3,-2,-1.9591932
inc_y_gt_p45,has_kids_tm1,-2,2,1,amt_dur,.0011061385724187,0.001,.0032498131576448,0.003,.73357864078388,639956,inc_y_gt_p,45,-.0052634953,.0074757724,3,-2,-1.9572107
inc_y_gt_p50,has_kids_tm1,-2,2,1,amt_dur,.0013260720675141,0.001,.0032323872448048,0.003,.6816267307055279,639956,inc_y_gt_p,50,-.0050094067,.0076615512,3,-2,-1.9487029
inc_y_gt_p55,has_kids_tm1,-2,2,1,amt_dur,.0027674123442394,0.003,.0031436448334176,0.003,.3786881070907243,639956,inc_y_gt_p,55,-.0033941315,.0089289565,3,-2,-1.8929467
inc_y_gt_p60,has_kids_tm1,-2,2,1,amt_dur,.0027686872071241,0.003,.0030748655616403,0.003,.367895871308374,639956,inc_y_gt_p,60,-.0032580493,.0087954234,3,-2,-1.8928975
inc_y_gt_p65,has_kids_tm1,-2,2,1,amt_dur,.0031221563693481,0.003,.0030567109599515,0.003,.3070623060767679,639956,inc_y_gt_p,65,-.0028689972,.0091133099,3,-2,-1.8792241
inc_y_gt_p70,has_kids_tm1,-2,2,1,amt_dur,.0035922155176815,0.004,.0029497681541796,0.003,.2233041847714628,639956,inc_y_gt_p,70,-.0021893301,.0093737608,3,-2,-1.8610405
inc_y_gt_p75,has_kids_tm1,-2,2,1,amt_dur,.0030764465765574,0.003,.002589156835427,0.003,.2347556265776148,639956,inc_y_gt_p,75,-.0019983009,.0081511941,3,-2,-1.8809923
inc_y_gt_p80,has_kids_tm1,-2,2,1,amt_dur,.0043160521315399,0.004*,.0024992174487493,0.002,.0841774241458815,639956,inc_y_gt_p,80,-.00058241404,.0092145186,2,-2,-1.83304
inc_y_gt_p85,has_kids_tm1,-2,2,1,amt_dur,.0020265726318441,0.002,.0022397560177345,0.002,.3655635603661451,639956,inc_y_gt_p,85,-.0023633491,.0064164945,3,-2,-1.9216051
inc_y_gt_p90,has_kids_tm1,-2,2,1,amt_dur,-.001182171513093,-0.001,.0018524148781858,0.002,.5233587738216023,639956,inc_y_gt_p,90,-.0048129046,.0024485616,3,-2,-2.0457306
inc_y_gt_p95,has_kids_tm1,-2,2,1,amt_dur,-.0006700966100366,-0.001,.0013373101170572,0.001,.6163172772947273,639956,inc_y_gt_p,95,-.0032912244,.0019510313,3,-2,-2.0259216
inc_y_gt_p0,has_kids_tm1,0,2,1,amt_dur,.0011358495708569,0.001,.0043728564749469,0.004,.7950570941998099,639956,inc_y_gt_p,0,-.0074349493,.0097066481,3,0,.043938652
inc_y_gt_p5,has_kids_tm1,0,2,1,amt_dur,.0011147077484699,0.001,.0043880662479736,0.004,.7994715790065261,639956,inc_y_gt_p,5,-.0074859019,.0097153177,3,0,.043120813
