outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,has_kids_tm1,-2,2,1,amt_dur,-.0022953508392598,-0.002,.0022608942973174,0.002,.3099935828028523,714200,taxable_income_gt_p,0,-.0067267036,.0021360021,3,-2,-2.1164663
taxable_income_gt_p5,has_kids_tm1,-2,2,1,amt_dur,-.0031003943942425,-0.003,.0023657024634168,0.002,.1900093114001948,714200,taxable_income_gt_p,5,-.0077371714,.0015363825,3,-2,-2.1573143
taxable_income_gt_p10,has_kids_tm1,-2,2,1,amt_dur,-.0024323398917224,-0.002,.0025309769667113,0.003,.3365401894951519,714200,taxable_income_gt_p,10,-.0073930547,.002528375,3,-2,-2.1234171
taxable_income_gt_p15,has_kids_tm1,-2,2,1,amt_dur,-.0012468728554732,-0.001,.0025367513885446,0.003,.6230572432281608,714200,taxable_income_gt_p,15,-.0062189056,.0037251599,3,-2,-2.0632665
taxable_income_gt_p20,has_kids_tm1,-2,2,1,amt_dur,-.0015749557510846,-0.002,.0026135640428991,0.003,.5467704578241219,714200,taxable_income_gt_p,20,-.0066975411,.0035476298,3,-2,-2.0799134
taxable_income_gt_p25,has_kids_tm1,-2,2,1,amt_dur,-.0007790528118237,-0.001,.0027067394200803,0.003,.7734853367458249,714200,taxable_income_gt_p,25,-.0060842619,.0045261565,3,-2,-2.0395293
taxable_income_gt_p30,has_kids_tm1,-2,2,1,amt_dur,.0023554906762107,0.002,.0028418276588263,0.003,.4071827777836917,714200,taxable_income_gt_p,30,-.0032144915,.0079254732,3,-2,-1.8804822
taxable_income_gt_p35,has_kids_tm1,-2,2,1,amt_dur,.006105295574276,0.006*,.0033355119515806,0.003,.0671940190084341,714200,taxable_income_gt_p,35,-.00043230786,.012642899,2,-2,-1.6902167
taxable_income_gt_p40,has_kids_tm1,-2,2,1,amt_dur,.0078833108070255,0.008**,.0034557418487708,0.003,.0225372936347447,714200,taxable_income_gt_p,40,.0011100568,.014656565,1,-2,-1.6
taxable_income_gt_p45,has_kids_tm1,-2,2,1,amt_dur,.0054167652693751,0.005,.0037457429331637,0.004,.1481485559451621,714200,taxable_income_gt_p,45,-.0019248909,.012758422,3,-2,-1.7251527
taxable_income_gt_p50,has_kids_tm1,-2,2,1,amt_dur,.0045835021072858,0.005,.0036149013964001,0.004,.2048197122031353,714200,taxable_income_gt_p,50,-.0025017047,.011668709,3,-2,-1.7674327
taxable_income_gt_p55,has_kids_tm1,-2,2,1,amt_dur,.0021958644005402,0.002,.0036005022352994,0.004,.5419443953429823,714200,taxable_income_gt_p,55,-.0048611201,.009252849,3,-2,-1.8885816
taxable_income_gt_p60,has_kids_tm1,-2,2,1,amt_dur,.002493723371397,0.002,.0035866596938221,0.004,.4868829663558566,714200,taxable_income_gt_p,60,-.0045361295,.0095235761,3,-2,-1.8734682
taxable_income_gt_p65,has_kids_tm1,-2,2,1,amt_dur,.0029015581355439,0.003,.0034215950830609,0.003,.3964324261664187,714200,taxable_income_gt_p,65,-.0038047682,.0096078841,3,-2,-1.8527746
taxable_income_gt_p70,has_kids_tm1,-2,2,1,amt_dur,.0026094313357986,0.003,.0034729565384991,0.003,.4524392601081709,714200,taxable_income_gt_p,70,-.0041975635,.0094164265,3,-2,-1.8675972
