outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,homeless,-2,2,1,amt_dur,.0031007009320127,0.003,.0028525282177575,0.003,.2770387971529548,628526,inc_tot_gt_p,0,-.0024902544,.0086916564,3,-2,-1.953771
inc_tot_gt_p5,homeless,-2,2,1,amt_dur,.0000340140981043,0.000,.0046791841918291,0.005,.9942000526028831,628526,inc_tot_gt_p,5,-.0091371872,.0092052147,3,-2,-1.9994929
inc_tot_gt_p10,homeless,-2,2,1,amt_dur,-.0061605475921192,-0.006,.0057833161055914,0.006,.2867753441680307,628526,inc_tot_gt_p,10,-.017495846,.0051747519,3,-2,-2.0918489
inc_tot_gt_p15,homeless,-2,2,1,amt_dur,-.011574531149629,-0.012*,.0063077293114796,0.006,.0665119994472234,628526,inc_tot_gt_p,15,-.02393768,.00078861829,2,-2,-2.1725671
inc_tot_gt_p20,homeless,-2,2,1,amt_dur,-.0110363582877781,-0.011*,.00631672492813,0.006,.0806116168360374,628526,inc_tot_gt_p,20,-.023417139,.0013444226,2,-2,-2.1645434
inc_tot_gt_p25,homeless,-2,2,1,amt_dur,-.0063604062713233,-0.006,.0054281013711791,0.005,.241297907672368,628526,inc_tot_gt_p,25,-.016999485,.0042786724,3,-2,-2.0948286
inc_tot_gt_p30,homeless,-2,2,1,amt_dur,.000791252292694,0.001,.0067465781206868,0.007,.9066367917987085,628526,inc_tot_gt_p,30,-.012432041,.014014546,3,-2,-1.988203
inc_tot_gt_p35,homeless,-2,2,1,amt_dur,.0060177721531862,0.006,.0066692951705289,0.007,.3668941840469452,628526,inc_tot_gt_p,35,-.0070540463,.019089591,3,-2,-1.9102798
inc_tot_gt_p40,homeless,-2,2,1,amt_dur,.0059845782139866,0.006,.0068856468719249,0.007,.3847735084104442,628526,inc_tot_gt_p,40,-.0075112898,.019480446,3,-2,-1.9107746
inc_tot_gt_p45,homeless,-2,2,1,amt_dur,.007233230128948,0.007,.0071805369931524,0.007,.3137744636624835,628526,inc_tot_gt_p,45,-.0068406225,.021307083,3,-2,-1.8921583
inc_tot_gt_p50,homeless,-2,2,1,amt_dur,.0072329267872749,0.007,.006601992743053,0.007,.2732706487554135,628526,inc_tot_gt_p,50,-.005706979,.020172833,3,-2,-1.8921628
inc_tot_gt_p55,homeless,-2,2,1,amt_dur,.0028667063731032,0.003,.0074212789102769,0.007,.6992885960614268,628526,inc_tot_gt_p,55,-.011679,.017412413,3,-2,-1.9572597
inc_tot_gt_p60,homeless,-2,2,1,amt_dur,.0046817635550209,0.005,.0054848319072268,0.005,.3933375330909284,628526,inc_tot_gt_p,60,-.0060685072,.015432034,3,-2,-1.9301986
