outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,homeless,-2,2,1,amt_dur,-.0074073898085205,-0.007,.0064673009658396,0.006,.2520624609423264,628526,inc_work_gt_p,0,-.020083299,.0052685202,3,-2,-2.1385667
inc_work_gt_p5,homeless,-2,2,1,amt_dur,.0022187459608561,0.002,.0073664537198286,0.007,.7632656619542866,628526,inc_work_gt_p,5,-.012219504,.016656995,3,-2,-1.9584949
inc_work_gt_p10,homeless,-2,2,1,amt_dur,-.0032653056550509,-0.003,.0077754811315947,0.008,.6745235303602484,628526,inc_work_gt_p,10,-.018505249,.011974637,3,-2,-2.0610826
inc_work_gt_p15,homeless,-2,2,1,amt_dur,-.0089733686248499,-0.009,.0075855161614022,0.008,.2368272570516065,628526,inc_work_gt_p,15,-.023840981,.0058942433,3,-2,-2.167861
inc_work_gt_p20,homeless,-2,2,1,amt_dur,-.0132278905140157,-0.013*,.0074275160428065,0.007,.0749265880524092,628526,inc_work_gt_p,20,-.027785823,.001330041,2,-2,-2.2474484
inc_work_gt_p25,homeless,-2,2,1,amt_dur,-.0045861925409434,-0.005,.0087571872489901,0.009,.6004840292768653,628526,inc_work_gt_p,25,-.021750279,.012577894,3,-2,-2.0857918
inc_work_gt_p30,homeless,-2,2,1,amt_dur,.0032320010822722,0.003,.0078861955272264,0.008,.6819313208476573,628526,inc_work_gt_p,30,-.012224942,.018688945,3,-2,-1.9395404
inc_work_gt_p35,homeless,-2,2,1,amt_dur,.0062031794332744,0.006,.0063573242476722,0.006,.3291889608491242,628526,inc_work_gt_p,35,-.0062571759,.018663535,3,-2,-1.8839599
inc_work_gt_p40,homeless,-2,2,1,amt_dur,.0060468386606997,0.006,.0060964616047648,0.006,.3212678557295874,628526,inc_work_gt_p,40,-.0059022261,.017995903,3,-2,-1.8868845
inc_work_gt_p45,homeless,-2,2,1,amt_dur,.0034400396185992,0.003,.005118088340977,0.005,.5015000198061059,628526,inc_work_gt_p,45,-.0065914136,.013471493,3,-2,-1.9356487
inc_work_gt_p50,homeless,-2,2,1,amt_dur,.0070328589659783,0.007,.0056198354508897,0.006,.210778500590852,628526,inc_work_gt_p,50,-.0039820187,.018047737,3,-2,-1.8684394
inc_work_gt_p55,homeless,-2,2,1,amt_dur,.0080490380897924,0.008,.0060955530805259,0.006,.1866785714203479,628526,inc_work_gt_p,55,-.003898246,.019996323,3,-2,-1.8494302
inc_work_gt_p60,homeless,-2,2,1,amt_dur,.008307417055919,0.008,.0058252076603509,0.006,.153837975813069,628526,inc_work_gt_p,60,-.0031099899,.019724824,3,-2,-1.8445967
inc_work_gt_p65,homeless,-2,2,1,amt_dur,.0058331593299809,0.006,.0054853004599496,0.005,.2875954543953678,628526,inc_work_gt_p,65,-.0049180295,.016584348,3,-2,-1.8908817
inc_work_gt_p70,homeless,-2,2,1,amt_dur,.0061720538378451,0.006,.0053091289038468,0.005,.2450203401187718,628526,inc_work_gt_p,70,-.004233839,.016577946,3,-2,-1.8845421
inc_work_gt_p75,homeless,-2,2,1,amt_dur,.0062186214421023,0.006,.0048130326972862,0.005,.1963467155809251,628526,inc_work_gt_p,75,-.0032149227,.015652165,3,-2,-1.8836709
inc_work_gt_p80,homeless,-2,2,1,amt_dur,.0044617511793336,0.004,.0046304887230144,0.005,.3352689913733654,628526,inc_work_gt_p,80,-.0046140067,.013537509,3,-2,-1.916536
inc_work_gt_p85,homeless,-2,2,1,amt_dur,.005906747247117,0.006,.0046270257353387,0.005,.2017549224784949,628526,inc_work_gt_p,85,-.0031622231,.014975717,3,-2,-1.889505
inc_work_gt_p90,homeless,-2,2,1,amt_dur,.0011661816096931,0.001,.0044807408021893,0.004,.794659586124583,628526,inc_work_gt_p,90,-.0076160706,.0099484334,3,-2,-1.9781847
inc_work_gt_p95,homeless,-2,2,1,amt_dur,-.0030058267390039,-0.003,.0026915523853361,0.003,.264098047141694,628526,inc_work_gt_p,95,-.0082812691,.0022696159,3,-2,-2.0562286
inc_work_gt_p0,homeless,0,2,1,amt_dur,-.0155409082850037,-0.016**,.0076138388133745,0.008,.0412393629466924,628526,inc_work_gt_p,0,-.030464033,-.00061778422,1,0,-.29071698
inc_work_gt_p5,homeless,0,2,1,amt_dur,-.0071246084742151,-0.007,.0070830735564393,0.007,.3144832543688093,628526,inc_work_gt_p,5,-.021007434,.0067582158,3,0,-.13327694
inc_work_gt_p10,homeless,0,2,1,amt_dur,-.0073732811560554,-0.007,.0085635694573229,0.009,.3892368682145866,628526,inc_work_gt_p,10,-.024157878,.0094113154,3,0,-.13792874
inc_work_gt_p15,homeless,0,2,1,amt_dur,-.0213828702127094,-0.021**,.0097431987536161,0.010,.0281911272351579,628526,inc_work_gt_p,15,-.040479541,-.0022862006,1,0,-.40000001
inc_work_gt_p20,homeless,0,2,1,amt_dur,-.0206860869752761,-0.021**,.0099127266490652,0.010,.0369066390166327,628526,inc_work_gt_p,20,-.040115032,-.0012571428,1,0,-.38696557
inc_work_gt_p25,homeless,0,2,1,amt_dur,-.0119122957082923,-0.012,.0089618824210176,0.009,.1837788430356886,628526,inc_work_gt_p,25,-.029477585,.0056529939,3,0,-.2228381
inc_work_gt_p30,homeless,0,2,1,amt_dur,-.0064389246788798,-0.006,.0078313622993269,0.008,.4109664409554635,628526,inc_work_gt_p,30,-.021788394,.0089105451,3,0,-.12045015
inc_work_gt_p35,homeless,0,2,1,amt_dur,.0041704511636515,0.004,.0075014428901389,0.008,.5782439963397188,628526,inc_work_gt_p,35,-.010532377,.01887328,3,0,.078014806
inc_work_gt_p40,homeless,0,2,1,amt_dur,.0016619335211024,0.002,.0070250360011734,0.007,.8129885505926822,628526,inc_work_gt_p,40,-.012107137,.015431004,3,0,.031089064
inc_work_gt_p45,homeless,0,2,1,amt_dur,.0052982362448862,0.005,.0068558217164895,0.007,.4396374966370796,628526,inc_work_gt_p,45,-.0081391744,.018735647,3,0,.099111788
inc_work_gt_p50,homeless,0,2,1,amt_dur,.0114766228017158,0.011,.0069980245954148,0.007,.1010121525383994,628526,inc_work_gt_p,50,-.0022395053,.025192751,3,0,.21468817
inc_work_gt_p55,homeless,0,2,1,amt_dur,.0130245349182747,0.013**,.0060401222774909,0.006,.0310596053439087,628526,inc_work_gt_p,55,.0011858953,.024863174,1,0,.24364428
inc_work_gt_p60,homeless,0,2,1,amt_dur,.0135423216063291,0.014**,.0059318223848881,0.006,.0224325804032523,628526,inc_work_gt_p,60,.0019159497,.025168693,1,0,.25333029
inc_work_gt_p65,homeless,0,2,1,amt_dur,.0115606369043598,0.012**,.0058603026327826,0.006,.0485319386291466,628526,inc_work_gt_p,65,.000074443742,.023046831,1,0,.21625978
inc_work_gt_p70,homeless,0,2,1,amt_dur,.0075858784710767,0.008,.0056863879349491,0.006,.1821929999031349,628526,inc_work_gt_p,70,-.0035594418,.018731199,3,0,.14190571
inc_work_gt_p75,homeless,0,2,1,amt_dur,.00864132934572,0.009,.0053577078392133,0.005,.1067739144527409,628526,inc_work_gt_p,75,-.0018597781,.019142436,3,0,.16164957
inc_work_gt_p80,homeless,0,2,1,amt_dur,.00275553624864,0.003,.0055501525647782,0.006,.6195572449114938,628526,inc_work_gt_p,80,-.0081227627,.013633835,3,0,.051546611
inc_work_gt_p85,homeless,0,2,1,amt_dur,.0018081936786687,0.002,.0047849589558932,0.005,.7055121907892067,628526,inc_work_gt_p,85,-.0075703259,.011186713,3,0,.033825088
inc_work_gt_p90,homeless,0,2,1,amt_dur,.0032196380969438,0.003,.0034271339346559,0.003,.3474992795706652,628526,inc_work_gt_p,90,-.0034975444,.0099368207,3,0,.060228363
inc_work_gt_p95,homeless,0,2,1,amt_dur,.002037621576042,0.002,.0026160304063872,0.003,.4360413378703015,628526,inc_work_gt_p,95,-.0030897979,.0071650413,3,0,.038116895
inc_work_gt_p0,homeless,1,2,1,amt_dur,-.0076142195477348,-0.008,.0097214739098437,0.010,.433489570969729,628526,inc_work_gt_p,0,-.026668308,.011439869,3,1,.85756415
inc_work_gt_p5,homeless,1,2,1,amt_dur,.0026384837228347,0.003,.0091897307885852,0.009,.7740269677884855,628526,inc_work_gt_p,5,-.015373388,.020650355,3,1,1.0493569
inc_work_gt_p10,homeless,1,2,1,amt_dur,-.0006227841155841,-0.001,.0099392668979977,0.010,.9500381946613071,628526,inc_work_gt_p,10,-.020103747,.018858179,3,1,.98834985
inc_work_gt_p15,homeless,1,2,1,amt_dur,-.0063454618975932,-0.006,.0102840956777632,0.010,.5372248053453254,628526,inc_work_gt_p,15,-.026502289,.013811366,3,1,.88129824
inc_work_gt_p20,homeless,1,2,1,amt_dur,-.0063994709680169,-0.006,.0103140380325957,0.010,.5349548209191635,628526,inc_work_gt_p,20,-.026614986,.013816044,3,1,.88028789
inc_work_gt_p25,homeless,1,2,1,amt_dur,.0020790543863264,0.002,.0122326193144009,0.012,.8650420135547582,628526,inc_work_gt_p,25,-.02189688,.026054988,3,1,1.0388919
inc_work_gt_p30,homeless,1,2,1,amt_dur,.0092185341635474,0.009,.0118520979505648,0.012,.4366899982165893,628526,inc_work_gt_p,30,-.014011578,.032448646,3,1,1.1724471
inc_work_gt_p35,homeless,1,2,1,amt_dur,.0025790587240541,0.003,.010197485824101,0.010,.8003372872852655,628526,inc_work_gt_p,35,-.017408013,.02256613,3,1,1.0482453
inc_work_gt_p40,homeless,1,2,1,amt_dur,.0010634876235491,0.001,.0100607443582344,0.010,.9158152961794866,628526,inc_work_gt_p,40,-.018655572,.020782547,3,1,1.0198942
inc_work_gt_p45,homeless,1,2,1,amt_dur,.0054898642240537,0.005,.009850101752033,0.010,.57729571057453,628526,inc_work_gt_p,45,-.013816335,.024796063,3,1,1.1026965
