outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,homeless,-2,2,1,amt_dur,.0014178919370113,0.001,.0101308968083902,0.010,.8886940665736278,639956,inc_y_gt_p,0,-.018438665,.021274449,3,-2,-1.9720969
inc_y_gt_p5,homeless,-2,2,1,amt_dur,.0012522118390442,0.001,.0100832716599023,0.010,.9011673983827764,639956,inc_y_gt_p,5,-.018511001,.021015424,3,-2,-1.9753573
inc_y_gt_p10,homeless,-2,2,1,amt_dur,.0027649890320234,0.003,.0100127212674503,0.010,.7824352189993696,639956,inc_y_gt_p,10,-.016859945,.022389922,3,-2,-1.9455869
inc_y_gt_p15,homeless,-2,2,1,amt_dur,-.0044554488586104,-0.004,.0101891389715085,0.010,.6619132799170085,639956,inc_y_gt_p,15,-.02442616,.015515263,3,-2,-2.0876801
inc_y_gt_p20,homeless,-2,2,1,amt_dur,-.0048676678005334,-0.005,.0097731345599259,0.010,.6184384016125052,639956,inc_y_gt_p,20,-.024023011,.014287676,3,-2,-2.0957923
inc_y_gt_p25,homeless,-2,2,1,amt_dur,.0015182176373959,0.002,.0089878285441003,0.009,.8658604375827943,639956,inc_y_gt_p,25,-.016097926,.019134361,3,-2,-1.9701226
inc_y_gt_p30,homeless,-2,2,1,amt_dur,.0083967470873755,0.008,.0082500434303993,0.008,.3087837471462277,639956,inc_y_gt_p,30,-.0077733379,.024566833,3,-2,-1.8347579
inc_y_gt_p35,homeless,-2,2,1,amt_dur,.0152340145411254,0.015*,.0078364598343257,0.008,.0518989958773464,639956,inc_y_gt_p,35,-.00012544674,.030593475,2,-2,-1.7002052
inc_y_gt_p40,homeless,-2,2,1,amt_dur,.0123202831725051,0.012,.0077674851656417,0.008,.1127114992205634,639956,inc_y_gt_p,40,-.0029039877,.027544554,3,-2,-1.7575455
inc_y_gt_p45,homeless,-2,2,1,amt_dur,.0066417369237442,0.007,.0073362222018835,0.007,.3652900708016616,639956,inc_y_gt_p,45,-.0077372584,.021020733,3,-2,-1.8692952
