outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,homeless,-2,2,1,amt_dur,-.008911456525929,-0.009,.0064656129871385,0.006,.168118182916019,714200,taxable_income_gt_p,0,-.021584058,.0037611448,3,-2,-2.1989558
taxable_income_gt_p5,homeless,-2,2,1,amt_dur,-.0057354894681563,-0.006,.0066146646407122,0.007,.385896272374552,714200,taxable_income_gt_p,5,-.018700233,.0072292532,3,-2,-2.1280496
taxable_income_gt_p10,homeless,-2,2,1,amt_dur,-.0095562672750494,-0.010,.0070729187426371,0.007,.1766640881436959,714200,taxable_income_gt_p,10,-.023419188,.0043066535,3,-2,-2.2133517
taxable_income_gt_p15,homeless,-2,2,1,amt_dur,-.0138887790372776,-0.014**,.0068317985750123,0.007,.0420588965907471,714200,taxable_income_gt_p,15,-.027279105,-.00049845385,1,-2,-2.3100789
taxable_income_gt_p20,homeless,-2,2,1,amt_dur,-.0179164540170603,-0.018***,.0068504092403904,0.007,.0089139337906528,714200,taxable_income_gt_p,20,-.031343255,-.0044896519,1,-2,-2.4000001
taxable_income_gt_p25,homeless,-2,2,1,amt_dur,-.01536071682181,-0.015**,.0064644940193591,0.006,.0174952646134019,714200,taxable_income_gt_p,25,-.028031126,-.0026903085,1,-2,-2.342941
taxable_income_gt_p30,homeless,-2,2,1,amt_dur,-.0033816502156419,-0.003,.0076025322675747,0.008,.6564610077091878,714200,taxable_income_gt_p,30,-.018282613,.011519313,3,-2,-2.0754981
taxable_income_gt_p35,homeless,-2,2,1,amt_dur,.0028289427200521,0.003,.0073794128929611,0.007,.7014565190447426,714200,taxable_income_gt_p,35,-.011634707,.017292593,3,-2,-1.9368415
taxable_income_gt_p40,homeless,-2,2,1,amt_dur,.0024664491135457,0.002,.0075367071737392,0.008,.7434732442917873,714200,taxable_income_gt_p,40,-.012305497,.017238395,3,-2,-1.9449345
taxable_income_gt_p45,homeless,-2,2,1,amt_dur,.0017078999743169,0.002,.0076996432420666,0.008,.8244579526776381,714200,taxable_income_gt_p,45,-.013383401,.0167992,3,-2,-1.9618697
taxable_income_gt_p50,homeless,-2,2,1,amt_dur,-.0002516623443904,-0.000,.0068362833862747,0.007,.9706343807825097,714200,taxable_income_gt_p,50,-.013650778,.013147453,3,-2,-2.0056186
taxable_income_gt_p55,homeless,-2,2,1,amt_dur,-.0065821034941157,-0.007,.0061251307347853,0.006,.2825534512241401,714200,taxable_income_gt_p,55,-.01858736,.0054231528,3,-2,-2.146951
taxable_income_gt_p60,homeless,-2,2,1,amt_dur,-.0017736561886207,-0.002,.0052540766619249,0.005,.7356825192879268,714200,taxable_income_gt_p,60,-.012071647,.0085243341,3,-2,-2.0395985
taxable_income_gt_p65,homeless,-2,2,1,amt_dur,-.0045314243100076,-0.005,.0050426901911797,0.005,.3688610967965901,714200,taxable_income_gt_p,65,-.014415097,.0053522484,3,-2,-2.1011679
taxable_income_gt_p70,homeless,-2,2,1,amt_dur,-.0026457831362466,-0.003,.005014543188318,0.005,.5977628177607612,714200,taxable_income_gt_p,70,-.012474288,.0071827215,3,-2,-2.0590694
taxable_income_gt_p75,homeless,-2,2,1,amt_dur,-.0035166434699477,-0.004,.0046833300292262,0.005,.4527233349892621,714200,taxable_income_gt_p,75,-.01269597,.0056626834,3,-2,-2.078512
taxable_income_gt_p80,homeless,-2,2,1,amt_dur,.0025920969726204,0.003,.0045663691379107,0.005,.5702741850996503,714200,taxable_income_gt_p,80,-.0063579865,.011542181,3,-2,-1.9421293
taxable_income_gt_p85,homeless,-2,2,1,amt_dur,.001932764914682,0.002,.0043354081870446,0.004,.6557359512004697,714200,taxable_income_gt_p,85,-.0065646353,.010430165,3,-2,-1.9568493
taxable_income_gt_p90,homeless,-2,2,1,amt_dur,.0015548603033292,0.002,.0042732958513377,0.004,.7159669529154199,714200,taxable_income_gt_p,90,-.0068207998,.0099305203,3,-2,-1.9652864
taxable_income_gt_p95,homeless,-2,2,1,amt_dur,-.0042880026218484,-0.004,.0036162949650879,0.004,.2357257171569522,714200,taxable_income_gt_p,95,-.01137594,.0027999354,3,-2,-2.0957334
taxable_income_gt_p0,homeless,0,2,1,amt_dur,-.0013002367981662,-0.001,.0072916279355907,0.007,.8584726821693665,714200,taxable_income_gt_p,0,-.015591827,.012991354,3,0,-.029028887
taxable_income_gt_p5,homeless,0,2,1,amt_dur,-.0003892757774941,-0.000,.0076801301213492,0.008,.9595757527072404,714200,taxable_income_gt_p,5,-.01544233,.014663779,3,0,-.0086909113
taxable_income_gt_p10,homeless,0,2,1,amt_dur,.0010466370387069,0.001,.0080382854464643,0.008,.8964032899330013,714200,taxable_income_gt_p,10,-.014708403,.016801676,3,0,.023367058
