outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,hs_dropout_tm1,-2,2,1,amt_dur,.0000809095482643,0.000,.0008753781255862,0.001,.9263580747808432,628526,inc_tot_gt_p,0,-.0016348315,.0017966507,3,-2,-1.9957421
inc_tot_gt_p5,hs_dropout_tm1,-2,2,1,amt_dur,.0020394697355277,0.002,.0018632476193766,0.002,.2737040157995494,628526,inc_tot_gt_p,5,-.0016124956,.0056914352,3,-2,-1.892673
inc_tot_gt_p10,hs_dropout_tm1,-2,2,1,amt_dur,.0076009586997806,0.008***,.0026562651639972,0.003,.0042169408395648,628526,inc_tot_gt_p,10,.002394679,.012807239,1,-2,-1.6
inc_tot_gt_p15,hs_dropout_tm1,-2,2,1,amt_dur,.0049180738108305,0.005*,.0026981366277891,0.003,.0683414722013962,628526,inc_tot_gt_p,15,-.00037027398,.010206422,2,-2,-1.7411866
inc_tot_gt_p20,hs_dropout_tm1,-2,2,1,amt_dur,.0063689936279533,0.006***,.0024594021851603,0.002,.0096086076656693,628526,inc_tot_gt_p,20,.0015485653,.011189422,1,-2,-1.6648321
inc_tot_gt_p25,hs_dropout_tm1,-2,2,1,amt_dur,.0052523567397879,0.005**,.0024261414530472,0.002,.0303974191473498,628526,inc_tot_gt_p,25,.0004971195,.010007594,1,-2,-1.723595
inc_tot_gt_p30,hs_dropout_tm1,-2,2,1,amt_dur,.0024001098343146,0.002,.0023086969386587,0.002,.2985304095298861,628526,inc_tot_gt_p,30,-.0021249361,.0069251559,3,-2,-1.8736944
inc_tot_gt_p35,hs_dropout_tm1,-2,2,1,amt_dur,.0001154692180029,0.000,.0022874869604491,0.002,.9597410678909932,628526,inc_tot_gt_p,35,-.0043680053,.0045989435,3,-2,-1.9939234
inc_tot_gt_p40,hs_dropout_tm1,-2,2,1,amt_dur,.0029311598246575,0.003,.0024098518460972,0.002,.2238642970895209,628526,inc_tot_gt_p,40,-.0017921499,.0076544695,3,-2,-1.8457479
inc_tot_gt_p45,hs_dropout_tm1,-2,2,1,amt_dur,.003531689720681,0.004,.0024484472686288,0.002,.1491867645093673,628526,inc_tot_gt_p,45,-.0012672669,.008330646,3,-2,-1.8141451
inc_tot_gt_p50,hs_dropout_tm1,-2,2,1,amt_dur,.0037237781371118,0.004,.0025646064565697,0.003,.1465077970798889,628526,inc_tot_gt_p,50,-.0013028505,.008750407,3,-2,-1.8040364
inc_tot_gt_p55,hs_dropout_tm1,-2,2,1,amt_dur,.002810786090014,0.003,.0025922750096817,0.003,.2782372417824492,628526,inc_tot_gt_p,55,-.0022700729,.0078916447,3,-2,-1.8520825
