outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,hs_dropout_tm1,-2,2,1,amt_dur,.000097428395751,0.000,.0034014391910459,0.003,.9771491416383333,628526,inc_work_gt_p,0,-.0065693925,.0067642494,3,-2,-1.995481
inc_work_gt_p5,hs_dropout_tm1,-2,2,1,amt_dur,-.0004644585756489,-0.000,.0036628581269566,0.004,.8990971663453999,628526,inc_work_gt_p,5,-.0076436605,.0067147436,3,-2,-2.0215428
inc_work_gt_p10,hs_dropout_tm1,-2,2,1,amt_dur,-.0016471752314623,-0.002,.0036376934267763,0.004,.6506881957560704,628526,inc_work_gt_p,10,-.008777054,.0054827039,3,-2,-2.0763998
inc_work_gt_p15,hs_dropout_tm1,-2,2,1,amt_dur,-.0007667018094272,-0.001,.0035682755612983,0.004,.8298720419633772,628526,inc_work_gt_p,15,-.007760522,.0062271184,3,-2,-2.0355616
inc_work_gt_p20,hs_dropout_tm1,-2,2,1,amt_dur,-.0008730351610473,-0.001,.0033704610287658,0.003,.7956161010197067,628526,inc_work_gt_p,20,-.0074791387,.0057330686,3,-2,-2.0404935
inc_work_gt_p25,hs_dropout_tm1,-2,2,1,amt_dur,-.0016153512170163,-0.002,.003667584128155,0.004,.6596192454482892,628526,inc_work_gt_p,25,-.0088038165,.0055731134,3,-2,-2.0749238
inc_work_gt_p30,hs_dropout_tm1,-2,2,1,amt_dur,-.0016602886463373,-0.002,.0035520559492565,0.004,.640203042533771,628526,inc_work_gt_p,30,-.0086223185,.005301741,3,-2,-2.0770082
inc_work_gt_p35,hs_dropout_tm1,-2,2,1,amt_dur,.0010484132782354,0.001,.0031330440617501,0.003,.7379041977780963,628526,inc_work_gt_p,35,-.0050923531,.0071891798,3,-2,-1.9513721
inc_work_gt_p40,hs_dropout_tm1,-2,2,1,amt_dur,.0015813371946621,0.002,.0030012308103099,0.003,.5982667303827819,628526,inc_work_gt_p,40,-.0043010754,.0074637495,3,-2,-1.9266539
inc_work_gt_p45,hs_dropout_tm1,-2,2,1,amt_dur,.0015239058238233,0.002,.002961869992768,0.003,.6068979125458538,628526,inc_work_gt_p,45,-.0042813593,.0073291711,3,-2,-1.9293176
