outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,hs_dropout_tm1,-2,2,1,amt_dur,.0006691915997641,0.001,.0037313363926565,0.004,.8576681845025733,639956,inc_y_gt_p,0,-.0066442275,.0079826107,3,-2,-1.9706353
inc_y_gt_p5,hs_dropout_tm1,-2,2,1,amt_dur,-.0000982181994884,-0.000,.0036710468511371,0.004,.9786553373126958,639956,inc_y_gt_p,5,-.0072934702,.0070970338,3,-2,-2.0043099
inc_y_gt_p10,hs_dropout_tm1,-2,2,1,amt_dur,.0013880858990447,0.001,.0035892586927593,0.004,.6989544074831952,639956,inc_y_gt_p,10,-.0056468612,.0084230332,3,-2,-1.9390897
inc_y_gt_p15,hs_dropout_tm1,-2,2,1,amt_dur,-.0001746813610805,-0.000,.0033802013302296,0.003,.9587855230262988,639956,inc_y_gt_p,15,-.0067998758,.0064505134,3,-2,-2.0076652
inc_y_gt_p20,hs_dropout_tm1,-2,2,1,amt_dur,-.0020819254559752,-0.002,.0033719526627853,0.003,.5369561988047473,639956,inc_y_gt_p,20,-.0086909523,.0045271018,3,-2,-2.0913565
inc_y_gt_p25,hs_dropout_tm1,-2,2,1,amt_dur,-.0008784760020789,-0.001,.0036320646824158,0.004,.8088838013224069,639956,inc_y_gt_p,25,-.0079973228,.0062403707,3,-2,-2.0385482
inc_y_gt_p30,hs_dropout_tm1,-2,2,1,amt_dur,-.0032346409592776,-0.003,.0034456127439815,0.003,.3478504652480109,639956,inc_y_gt_p,30,-.0099880416,.00351876,3,-2,-2.1419387
inc_y_gt_p35,hs_dropout_tm1,-2,2,1,amt_dur,-.00119390999249,-0.001,.0030127698024293,0.003,.6918969111556352,639956,inc_y_gt_p,35,-.0070989388,.004711119,3,-2,-2.0523899
inc_y_gt_p40,hs_dropout_tm1,-2,2,1,amt_dur,.0001643767548095,0.000,.0024024412943479,0.002,.9454508565518436,639956,inc_y_gt_p,40,-.0045444081,.0048731617,3,-2,-1.992787
inc_y_gt_p45,hs_dropout_tm1,-2,2,1,amt_dur,.0015776099904968,0.002,.0022819421770623,0.002,.4893500449681036,639956,inc_y_gt_p,45,-.0028949967,.0060502165,3,-2,-1.9307731
inc_y_gt_p50,hs_dropout_tm1,-2,2,1,amt_dur,.0012683288116455,0.001,.002033223113391,0.002,.5327588773848251,639956,inc_y_gt_p,50,-.0027167886,.0052534463,3,-2,-1.9443446
inc_y_gt_p55,hs_dropout_tm1,-2,2,1,amt_dur,-.0002143960618379,-0.000,.0019663653773716,0.002,.9131775875001243,639956,inc_y_gt_p,55,-.0040684724,.0036396801,3,-2,-2.0094078
inc_y_gt_p60,hs_dropout_tm1,-2,2,1,amt_dur,-.0008987326217144,-0.001,.0018880654635729,0.002,.6340702526130271,639956,inc_y_gt_p,60,-.0045993407,.0028018756,3,-2,-2.0394371
inc_y_gt_p65,hs_dropout_tm1,-2,2,1,amt_dur,-.0011157882324084,-0.001,.0017869045042784,0.002,.5323496755528487,639956,inc_y_gt_p,65,-.0046181208,.0023865446,3,-2,-2.0489616
inc_y_gt_p70,hs_dropout_tm1,-2,2,1,amt_dur,-.0013794378953266,-0.001,.0016820919098022,0.002,.4121763755288362,639956,inc_y_gt_p,70,-.0046763378,.0019174622,3,-2,-2.0605309
inc_y_gt_p75,hs_dropout_tm1,-2,2,1,amt_dur,.0000806839662767,0.000,.001463245091014,0.001,.9560266861914744,639956,inc_y_gt_p,75,-.0027872764,.0029486443,3,-2,-1.9964595
inc_y_gt_p80,hs_dropout_tm1,-2,2,1,amt_dur,.0004429808430905,0.000,.0013797753380849,0.001,.7481709349445209,639956,inc_y_gt_p,80,-.0022613788,.0031473406,3,-2,-1.9805616
inc_y_gt_p85,hs_dropout_tm1,-2,2,1,amt_dur,.0012271291628274,0.001,.0012500542716284,0.001,.326269206875741,639956,inc_y_gt_p,85,-.0012229772,.0036772355,3,-2,-1.9461526
inc_y_gt_p90,hs_dropout_tm1,-2,2,1,amt_dur,.0019950222003981,0.002*,.0010379017450297,0.001,.0545871429953953,639956,inc_y_gt_p,90,-.000039265218,.0040293098,2,-2,-1.9124568
inc_y_gt_p95,hs_dropout_tm1,-2,2,1,amt_dur,.0004076392049668,0.000,.000787214990506,0.001,.6045817771264692,639956,inc_y_gt_p,95,-.0011353021,.0019505806,3,-2,-1.9821124
inc_y_gt_p0,hs_dropout_tm1,0,2,1,amt_dur,.0046667286594038,0.005,.0034824456256462,0.003,.1802246581099015,639956,inc_y_gt_p,0,-.0021588649,.011492322,3,0,.20477994
inc_y_gt_p5,hs_dropout_tm1,0,2,1,amt_dur,.0050052283749635,0.005,.0034595038101815,0.003,.1479543433551792,639956,inc_y_gt_p,5,-.0017753991,.011785856,3,0,.21963359
inc_y_gt_p10,hs_dropout_tm1,0,2,1,amt_dur,.0060188581311074,0.006*,.003455049750047,0.003,.0815030875519828,639956,inc_y_gt_p,10,-.00075303938,.012790755,2,0,.2641125
inc_y_gt_p15,hs_dropout_tm1,0,2,1,amt_dur,.0055670460170592,0.006*,.0033357962715311,0.003,.0951438969648496,639956,inc_y_gt_p,15,-.00097111467,.012105207,2,0,.24428661
inc_y_gt_p20,hs_dropout_tm1,0,2,1,amt_dur,.0051430123878999,0.005,.0032663379259142,0.003,.1153632533740353,639956,inc_y_gt_p,20,-.0012590099,.011545035,3,0,.22567967
inc_y_gt_p25,hs_dropout_tm1,0,2,1,amt_dur,.0043242609280792,0.004,.0037490766327507,0.004,.2487404604916476,639956,inc_y_gt_p,25,-.0030239292,.011672451,3,0,.18975218
inc_y_gt_p30,hs_dropout_tm1,0,2,1,amt_dur,-.0005018220281266,-0.001,.0033809117520524,0.003,.8820052648771934,639956,inc_y_gt_p,30,-.0071284091,.0061247651,3,0,-.022020368
inc_y_gt_p35,hs_dropout_tm1,0,2,1,amt_dur,.0006324139503497,0.001,.0037759429074837,0.004,.8669887280093876,639956,inc_y_gt_p,35,-.0067684343,.0080332616,3,0,.027750852
inc_y_gt_p40,hs_dropout_tm1,0,2,1,amt_dur,.0008418793892188,0.001,.0032820243291248,0.003,.7975558199281709,639956,inc_y_gt_p,40,-.0055908882,.0072746472,3,0,.03694237
