outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,hs_start_t_tm1,-2,2,1,amt_dur,.0024071012259547,0.002,.0023663610259423,0.002,.3090529655708105,610646,inc_tot_gt_p,0,-.0022309665,.0070451689,3,-2,-1.9244466
inc_tot_gt_p5,hs_start_t_tm1,-2,2,1,amt_dur,.0056136805772126,0.006,.0041976476814594,0.004,.1811148500865983,610646,inc_tot_gt_p,5,-.0026137088,.01384107,3,-2,-1.8237994
inc_tot_gt_p10,hs_start_t_tm1,-2,2,1,amt_dur,.0078084961459426,0.008,.005341002538614,0.005,.1437469017451313,610646,inc_tot_gt_p,10,-.0026598689,.018276861,3,-2,-1.7549092
inc_tot_gt_p15,hs_start_t_tm1,-2,2,1,amt_dur,.0092530905589711,0.009,.0056310592209001,0.006,.100339786595086,610646,inc_tot_gt_p,15,-.0017837855,.020289967,3,-2,-1.7095666
inc_tot_gt_p20,hs_start_t_tm1,-2,2,1,amt_dur,.0109201673058711,0.011*,.0056727745962174,0.006,.0542305164546856,610646,inc_tot_gt_p,20,-.00019847091,.022038806,2,-2,-1.6572409
inc_tot_gt_p25,hs_start_t_tm1,-2,2,1,amt_dur,.0011307597292002,0.001,.0058542854523112,0.006,.8468412873895022,610646,inc_tot_gt_p,25,-.01034364,.01260516,3,-2,-1.9645081
inc_tot_gt_p30,hs_start_t_tm1,-2,2,1,amt_dur,.0044057760233247,0.004,.005736153578941,0.006,.4424465313280276,610646,inc_tot_gt_p,30,-.0068370849,.015648637,3,-2,-1.8617127
inc_tot_gt_p35,hs_start_t_tm1,-2,2,1,amt_dur,-.0013483665819071,-0.001,.0050845237880909,0.005,.7908633854183142,610646,inc_tot_gt_p,35,-.011314034,.0086172996,3,-2,-2.0423222
inc_tot_gt_p40,hs_start_t_tm1,-2,2,1,amt_dur,.0043929329928606,0.004,.0050993826270643,0.005,.388984778875121,610646,inc_tot_gt_p,40,-.0056018569,.014387723,3,-2,-1.8621159
inc_tot_gt_p45,hs_start_t_tm1,-2,2,1,amt_dur,.0076249017433738,0.008,.0059212402022141,0.006,.1978462991468038,610646,inc_tot_gt_p,45,-.0039807293,.019230533,3,-2,-1.7606717
inc_tot_gt_p50,hs_start_t_tm1,-2,2,1,amt_dur,.0066353921968611,0.007,.006486695998483,0.006,.3063466119335538,610646,inc_tot_gt_p,50,-.006078532,.019349316,3,-2,-1.7917302
inc_tot_gt_p55,hs_start_t_tm1,-2,2,1,amt_dur,.0054926647954449,0.005,.0058839099390617,0.006,.3505610707808963,610646,inc_tot_gt_p,55,-.0060397987,.017025128,3,-2,-1.8275977
inc_tot_gt_p60,hs_start_t_tm1,-2,2,1,amt_dur,.0077399202186272,0.008,.0058348318304759,0.006,.1846762744956681,610646,inc_tot_gt_p,60,-.0036963501,.019176191,3,-2,-1.7570616
inc_tot_gt_p65,hs_start_t_tm1,-2,2,1,amt_dur,.005986789384747,0.006,.005665489010826,0.006,.2906456722025589,610646,inc_tot_gt_p,65,-.0051175691,.017091148,3,-2,-1.8120884
inc_tot_gt_p70,hs_start_t_tm1,-2,2,1,amt_dur,-.0016208762831317,-0.002,.004807492718813,0.005,.7359998144508547,610646,inc_tot_gt_p,70,-.011043562,.0078018093,3,-2,-2.0508757
inc_tot_gt_p75,hs_start_t_tm1,-2,2,1,amt_dur,-.0040840412310676,-0.004,.0042060123358568,0.004,.3315502467752368,610646,inc_tot_gt_p,75,-.012327826,.004159743,3,-2,-2.1281888
inc_tot_gt_p80,hs_start_t_tm1,-2,2,1,amt_dur,-.0028437944271986,-0.003,.0036196688027965,0.004,.4320741642554928,610646,inc_tot_gt_p,80,-.0099383453,.0042507565,3,-2,-2.0892603
inc_tot_gt_p85,hs_start_t_tm1,-2,2,1,amt_dur,-.000510180160643,-0.001,.0032940905178979,0.003,.8769182874225818,610646,inc_tot_gt_p,85,-.0069665974,.0059462371,3,-2,-2.0160134
inc_tot_gt_p90,hs_start_t_tm1,-2,2,1,amt_dur,-.0009323336066279,-0.001,.0025049403304755,0.003,.7097462772458767,610646,inc_tot_gt_p,90,-.0058420165,.0039773495,3,-2,-2.0292637
inc_tot_gt_p95,hs_start_t_tm1,-2,2,1,amt_dur,-.0004392701693479,-0.000,.0023147367488065,0.002,.849488878894946,610646,inc_tot_gt_p,95,-.0049761543,.004097614,3,-2,-2.0137877
inc_tot_gt_p0,hs_start_t_tm1,0,2,1,amt_dur,-.0007218709312973,-0.001,.0020143983673963,0.002,.7200779738454994,610646,inc_tot_gt_p,0,-.0046700919,.0032263498,3,0,-.022657882
inc_tot_gt_p5,hs_start_t_tm1,0,2,1,amt_dur,-.0029951485279611,-0.003,.0036235467780175,0.004,.4084775664161578,610646,inc_tot_gt_p,5,-.010097301,.0041070031,3,0,-.094010882
inc_tot_gt_p10,hs_start_t_tm1,0,2,1,amt_dur,-.003897449223253,-0.004,.0053499548336033,0.005,.4663084628841573,610646,inc_tot_gt_p,10,-.014383361,.0065884623,3,0,-.12233204
inc_tot_gt_p15,hs_start_t_tm1,0,2,1,amt_dur,-.0033565668191162,-0.003,.0060904090409046,0.006,.5815503326612681,610646,inc_tot_gt_p,15,-.015293769,.0085806353,3,0,-.10535498
inc_tot_gt_p20,hs_start_t_tm1,0,2,1,amt_dur,.0027397927335683,0.003,.0063742048503936,0.006,.667323858506347,610646,inc_tot_gt_p,20,-.0097536491,.015233235,3,0,.085995845
inc_tot_gt_p25,hs_start_t_tm1,0,2,1,amt_dur,-.0026211005315113,-0.003,.006517492979475,0.007,.6875642539389624,610646,inc_tot_gt_p,25,-.015395387,.010153186,3,0,-.082270369
inc_tot_gt_p30,hs_start_t_tm1,0,2,1,amt_dur,.005540975716816,0.006,.0064634082223139,0.006,.391290070538868,610646,inc_tot_gt_p,30,-.0071273046,.018209256,3,0,.17391859
inc_tot_gt_p35,hs_start_t_tm1,0,2,1,amt_dur,.0057713798824218,0.006,.0061762101251107,0.006,.3500723798891103,610646,inc_tot_gt_p,35,-.0063339919,.017876752,3,0,.18115045
inc_tot_gt_p40,hs_start_t_tm1,0,2,1,amt_dur,.0061457571400444,0.006,.0061737244053623,0.006,.3195101648133915,610646,inc_tot_gt_p,40,-.0059547429,.018246258,3,0,.1929013
inc_tot_gt_p45,hs_start_t_tm1,0,2,1,amt_dur,.0053498315777219,0.005,.0067941696691613,0.007,.4310407984638922,610646,inc_tot_gt_p,45,-.007966741,.018666403,3,0,.16791901
inc_tot_gt_p50,hs_start_t_tm1,0,2,1,amt_dur,-.0006349996071983,-0.001,.006866025723563,0.007,.926313447361906,610646,inc_tot_gt_p,50,-.01409241,.012822411,3,0,-.01993119
inc_tot_gt_p55,hs_start_t_tm1,0,2,1,amt_dur,.0062407666629857,0.006,.006535990374974,0.007,.339665446770345,610646,inc_tot_gt_p,55,-.0065697744,.019051308,3,0,.19588344
inc_tot_gt_p60,hs_start_t_tm1,0,2,1,amt_dur,.0087679386839185,0.009,.0061337332935436,0.006,.1528746185520358,610646,inc_tot_gt_p,60,-.0032541787,.020790055,3,0,.27520561
inc_tot_gt_p65,hs_start_t_tm1,0,2,1,amt_dur,.0014868912445082,0.001,.0057245752828789,0.006,.7950662109232982,610646,inc_tot_gt_p,65,-.0097332764,.012707058,3,0,.046670124
inc_tot_gt_p70,hs_start_t_tm1,0,2,1,amt_dur,.0031138281162261,0.003,.0056322312245469,0.006,.5803613978531981,610646,inc_tot_gt_p,70,-.0079253446,.014153001,3,0,.097735964
inc_tot_gt_p75,hs_start_t_tm1,0,2,1,amt_dur,.0004159167600581,0.000,.0054188420797415,0.005,.9388195526818943,610646,inc_tot_gt_p,75,-.010205014,.011036847,3,0,.013054678
inc_tot_gt_p80,hs_start_t_tm1,0,2,1,amt_dur,-.0048057828257037,-0.005,.0040614570471227,0.004,.2367066797218818,610646,inc_tot_gt_p,80,-.012766238,.0031546729,3,0,-.15084256
inc_tot_gt_p85,hs_start_t_tm1,0,2,1,amt_dur,-.0017544583149381,-0.002,.0034857917996761,0.003,.6147425181247184,610646,inc_tot_gt_p,85,-.0085866107,.0050776936,3,0,-.055068444
inc_tot_gt_p90,hs_start_t_tm1,0,2,1,amt_dur,-.0014307074092526,-0.001,.0028002702971425,0.003,.6094098794080758,610646,inc_tot_gt_p,90,-.0069192373,.0040578223,3,0,-.044906642
inc_tot_gt_p95,hs_start_t_tm1,0,2,1,amt_dur,-.0029265787440318,-0.003,.0021653532505913,0.002,.176523034646167,610646,inc_tot_gt_p,95,-.0071706711,.0013175136,3,0,-.091858633
inc_tot_gt_p0,hs_start_t_tm1,1,2,1,amt_dur,-.0001683921694633,-0.000,.0022499053828372,0.002,.9403388942846285,610646,inc_tot_gt_p,0,-.0045782067,.0042414223,3,1,.99471456
inc_tot_gt_p5,hs_start_t_tm1,1,2,1,amt_dur,-.0043117782845167,-0.004,.0039841396859786,0.004,.2791504148394472,610646,inc_tot_gt_p,5,-.012120692,.0034971356,3,1,.86466312
inc_tot_gt_p10,hs_start_t_tm1,1,2,1,amt_dur,-.0069877977013869,-0.007,.0055287444282734,0.006,.2062677300388143,610646,inc_tot_gt_p,10,-.017824138,.0038485413,3,1,.78066897
inc_tot_gt_p15,hs_start_t_tm1,1,2,1,amt_dur,-.0127438376738829,-0.013**,.0063371789824241,0.006,.0443319622100897,610646,inc_tot_gt_p,15,-.025164708,-.00032296687,1,1,.60000002
inc_tot_gt_p20,hs_start_t_tm1,1,2,1,amt_dur,-.0107144138350215,-0.011,.0069346823888064,0.007,.1223379400849492,610646,inc_tot_gt_p,20,-.02430639,.0028775637,3,1,.66369897
inc_tot_gt_p25,hs_start_t_tm1,1,2,1,amt_dur,-.006993926487755,-0.007,.0075127630540815,0.008,.3518872083402863,610646,inc_tot_gt_p,25,-.021718942,.0077310889,3,1,.78047657
inc_tot_gt_p30,hs_start_t_tm1,1,2,1,amt_dur,.0012882730645831,0.001,.007800079974389,0.008,.86881718639324,610646,inc_tot_gt_p,30,-.013999884,.01657643,3,1,1.0404359
inc_tot_gt_p35,hs_start_t_tm1,1,2,1,amt_dur,.0034827321146702,0.003,.0081697892688813,0.008,.6698945516760704,610646,inc_tot_gt_p,35,-.012530055,.019495519,3,1,1.109315
inc_tot_gt_p40,hs_start_t_tm1,1,2,1,amt_dur,.0048504994814824,0.005,.0081387176400068,0.008,.5511910439988545,610646,inc_tot_gt_p,40,-.011101387,.020802386,3,1,1.1522461
inc_tot_gt_p45,hs_start_t_tm1,1,2,1,amt_dur,.0045281091973981,0.005,.0083788813291342,0.008,.588909105606498,610646,inc_tot_gt_p,45,-.011894498,.020950716,3,1,1.142127
inc_tot_gt_p50,hs_start_t_tm1,1,2,1,amt_dur,.0034490169345061,0.003,.0084685577181442,0.008,.6838081887347324,610646,inc_tot_gt_p,50,-.013149356,.020047391,3,1,1.1082568
inc_tot_gt_p55,hs_start_t_tm1,1,2,1,amt_dur,-.0005454353727918,-0.001,.0080765263499016,0.008,.9461571999516049,610646,inc_tot_gt_p,55,-.016375426,.015284556,3,1,.98288006
inc_tot_gt_p60,hs_start_t_tm1,1,2,1,amt_dur,.0018798783063741,0.002,.0074450416059923,0.007,.8006545838601845,610646,inc_tot_gt_p,60,-.012712403,.016472159,3,1,1.0590051
inc_tot_gt_p65,hs_start_t_tm1,1,2,1,amt_dur,-.0073372614258572,-0.007,.0069009656386264,0.007,.2876836674757238,610646,inc_tot_gt_p,65,-.020863155,.0061886311,3,1,.76970011
inc_tot_gt_p70,hs_start_t_tm1,1,2,1,amt_dur,-.0061342399090191,-0.006,.0064105044285907,0.006,.3386178269874519,610646,inc_tot_gt_p,70,-.018698828,.0064303488,3,1,.80746019
inc_tot_gt_p75,hs_start_t_tm1,1,2,1,amt_dur,-.0105100124837428,-0.011*,.0057304848983997,0.006,.0666491168610544,610646,inc_tot_gt_p,75,-.021741763,.00072173792,2,1,.6701147
inc_tot_gt_p80,hs_start_t_tm1,1,2,1,amt_dur,-.0096068941298054,-0.010*,.0053462753039857,0.005,.0723494098718459,610646,inc_tot_gt_p,80,-.020085594,.00087180547,2,1,.69846153
inc_tot_gt_p85,hs_start_t_tm1,1,2,1,amt_dur,-.0054704853807455,-0.005,.004756510139549,0.005,.2501034449690638,610646,inc_tot_gt_p,85,-.014793245,.0038522745,3,1,.82829392
