outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,hs_start_t_tm1,-2,2,1,amt_dur,.0027459449331765,0.003,.0070223419526018,0.007,.69577604497681,621381,inc_y_gt_p,0,-.011017845,.016509736,3,-2,-1.9508383
inc_y_gt_p5,hs_start_t_tm1,-2,2,1,amt_dur,.0010485417525289,0.001,.0068067413446515,0.007,.8775748795738129,621381,inc_y_gt_p,5,-.012292671,.014389755,3,-2,-1.9812275
inc_y_gt_p10,hs_start_t_tm1,-2,2,1,amt_dur,.0060294339659947,0.006,.0066268920069321,0.007,.3629072929339399,621381,inc_y_gt_p,10,-.0069592744,.019018142,3,-2,-1.8920528
inc_y_gt_p15,hs_start_t_tm1,-2,2,1,amt_dur,.0012424553044562,0.001,.006805128071264,0.007,.8551308283161356,621381,inc_y_gt_p,15,-.012095596,.014580506,3,-2,-1.9777559
inc_y_gt_p20,hs_start_t_tm1,-2,2,1,amt_dur,.0010531466600993,0.001,.0074438721626341,0.007,.8874923566118608,621381,inc_y_gt_p,20,-.013536843,.015643137,3,-2,-1.9811451
inc_y_gt_p25,hs_start_t_tm1,-2,2,1,amt_dur,.0017166256924151,0.002,.0065021875109125,0.007,.7917747514971852,621381,inc_y_gt_p,25,-.011027662,.014460913,3,-2,-1.9692667
inc_y_gt_p30,hs_start_t_tm1,-2,2,1,amt_dur,-.0047306365434,-0.005,.0063259602828888,0.006,.4545746016515914,621381,inc_y_gt_p,30,-.017129518,.0076682456,3,-2,-2.0846944
inc_y_gt_p35,hs_start_t_tm1,-2,2,1,amt_dur,.001437722717267,0.001,.005650783943371,0.006,.7991647526237839,621381,inc_y_gt_p,35,-.009637814,.012513259,3,-2,-1.9742599
inc_y_gt_p40,hs_start_t_tm1,-2,2,1,amt_dur,.0030709087664593,0.003,.0045335879041579,0.005,.4981738668042476,621381,inc_y_gt_p,40,-.0058149234,.011956741,3,-2,-1.9450203
inc_y_gt_p45,hs_start_t_tm1,-2,2,1,amt_dur,.0002228320676108,0.000,.0044108035696364,0.004,.9597084251890287,621381,inc_y_gt_p,45,-.0084223431,.008868007,3,-2,-1.9960105
