outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,hs_start_t_tm1,-2,2,1,amt_dur,.0016601126562358,0.002,.0055305073912486,0.006,.7640453173737828,678034,taxable_income_gt_p,0,-.0091796815,.012499907,3,-2,-1.9634829
taxable_income_gt_p5,hs_start_t_tm1,-2,2,1,amt_dur,.0051971862341262,0.005,.0056090133999836,0.006,.3541481182933837,678034,taxable_income_gt_p,5,-.00579648,.016190853,3,-2,-1.8856785
taxable_income_gt_p10,hs_start_t_tm1,-2,2,1,amt_dur,.0046344073947026,0.005,.005657083477142,0.006,.4126617003232288,678034,taxable_income_gt_p,10,-.0064534764,.015722292,3,-2,-1.8980578
taxable_income_gt_p15,hs_start_t_tm1,-2,2,1,amt_dur,-.0021576321636751,-0.002,.0053998210335746,0.005,.6894706065186772,678034,taxable_income_gt_p,15,-.012741282,.0084260171,3,-2,-2.047461
taxable_income_gt_p20,hs_start_t_tm1,-2,2,1,amt_dur,-.0011586575812841,-0.001,.0053606809448185,0.005,.8288790612566664,678034,taxable_income_gt_p,20,-.011665592,.009348277,3,-2,-2.0254867
taxable_income_gt_p25,hs_start_t_tm1,-2,2,1,amt_dur,-.0012750428365844,-0.001,.0059235690205625,0.006,.8295735587178599,678034,taxable_income_gt_p,25,-.012885238,.010335152,3,-2,-2.0280468
taxable_income_gt_p30,hs_start_t_tm1,-2,2,1,amt_dur,-.0039365158322938,-0.004,.0056970475097565,0.006,.4895830277206824,678034,taxable_income_gt_p,30,-.015102729,.0072296974,3,-2,-2.0865908
taxable_income_gt_p35,hs_start_t_tm1,-2,2,1,amt_dur,.0001890382903104,0.000,.0059852409967785,0.006,.9748038077047471,678034,taxable_income_gt_p,35,-.011542034,.01192011,3,-2,-1.9958417
taxable_income_gt_p40,hs_start_t_tm1,-2,2,1,amt_dur,.0034726557122483,0.003,.0059772073203862,0.006,.5612532337770169,678034,taxable_income_gt_p,40,-.0082426704,.015187982,3,-2,-1.9236127
taxable_income_gt_p45,hs_start_t_tm1,-2,2,1,amt_dur,.0020976993080554,0.002,.0058286408184681,0.006,.7189263360112745,678034,taxable_income_gt_p,45,-.0093264366,.013521835,3,-2,-1.9538573
taxable_income_gt_p50,hs_start_t_tm1,-2,2,1,amt_dur,-.0021406574141546,-0.002,.0057094110224192,0.006,.7077096819926632,678034,taxable_income_gt_p,50,-.013331103,.0090497881,3,-2,-2.0470877
taxable_income_gt_p55,hs_start_t_tm1,-2,2,1,amt_dur,.0054863214344147,0.005,.0055562871609857,0.006,.3234451356405169,678034,taxable_income_gt_p,55,-.0054040016,.016376644,3,-2,-1.8793185
taxable_income_gt_p60,hs_start_t_tm1,-2,2,1,amt_dur,.0077522193585206,0.008,.0054665145593261,0.005,.1561564045529394,678034,taxable_income_gt_p,60,-.0029621492,.018466588,3,-2,-1.829476
taxable_income_gt_p65,hs_start_t_tm1,-2,2,1,amt_dur,.0032855104024157,0.003,.0047123035623294,0.005,.4856669945080612,678034,taxable_income_gt_p,65,-.0059506046,.012521625,3,-2,-1.9277292
taxable_income_gt_p70,hs_start_t_tm1,-2,2,1,amt_dur,-.0015665418925709,-0.002,.0039700486468043,0.004,.6931462617492101,678034,taxable_income_gt_p,70,-.0093478374,.0062147533,3,-2,-2.0344589
taxable_income_gt_p75,hs_start_t_tm1,-2,2,1,amt_dur,-.0027480101700658,-0.003,.0035625886959755,0.004,.4405000967729353,678034,taxable_income_gt_p,75,-.0097306836,.0042346637,3,-2,-2.0604475
taxable_income_gt_p80,hs_start_t_tm1,-2,2,1,amt_dur,.000457058473102,0.000,.0032598996032951,0.003,.8884972737829581,678034,taxable_income_gt_p,80,-.0059323446,.0068464619,3,-2,-1.9899461
taxable_income_gt_p85,hs_start_t_tm1,-2,2,1,amt_dur,-.0000263216558882,-0.000,.0030166032914132,0.003,.9930380889152683,678034,taxable_income_gt_p,85,-.0059388643,.0058862208,3,-2,-2.0005789
