outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,ineduc_tm1,-2,2,1,amt_dur,-.001462954590065,-0.001,.001205148000571,0.001,.2247804960971314,628526,inc_tot_gt_p,0,-.0038250447,.00089913548,3,-2,-2.0499494
inc_tot_gt_p5,ineduc_tm1,-2,2,1,amt_dur,.0008542374869779,0.001,.002636943013631,0.003,.745976571357419,628526,inc_tot_gt_p,5,-.0043141707,.0060226456,3,-2,-1.9708339
inc_tot_gt_p10,ineduc_tm1,-2,2,1,amt_dur,.0035348344253939,0.004,.0032242094082646,0.003,.2729318088439105,628526,inc_tot_gt_p,10,-.0027846161,.009854285,3,-2,-1.8793107
inc_tot_gt_p15,ineduc_tm1,-2,2,1,amt_dur,.0010548019720805,0.001,.0037776935519821,0.004,.7800776701542439,628526,inc_tot_gt_p,15,-.0063494775,.0084590809,3,-2,-1.963986
inc_tot_gt_p20,ineduc_tm1,-2,2,1,amt_dur,.0006123934257125,0.001,.0037775874043601,0.004,.8712177132264515,628526,inc_tot_gt_p,20,-.0067916778,.0080164643,3,-2,-1.9790912
inc_tot_gt_p25,ineduc_tm1,-2,2,1,amt_dur,.0006891811851365,0.001,.0035450849195885,0.004,.8458593707707386,628526,inc_tot_gt_p,25,-.0062591853,.0076375478,3,-2,-1.9764694
inc_tot_gt_p30,ineduc_tm1,-2,2,1,amt_dur,.000630784630254,0.001,.0033241131379269,0.003,.8494973395187246,628526,inc_tot_gt_p,30,-.0058844769,.0071460465,3,-2,-1.9784633
inc_tot_gt_p35,ineduc_tm1,-2,2,1,amt_dur,-.0014998617390448,-0.001,.0029689516562282,0.003,.613431847796897,628526,inc_tot_gt_p,35,-.0073190071,.0043192836,3,-2,-2.0512094
inc_tot_gt_p40,ineduc_tm1,-2,2,1,amt_dur,-.0004326763289554,-0.000,.002938029686428,0.003,.8829211463315039,628526,inc_tot_gt_p,40,-.0061912145,.0053258617,3,-2,-2.0147729
inc_tot_gt_p45,ineduc_tm1,-2,2,1,amt_dur,-.0002077507066044,-0.000,.002804634448598,0.003,.9409515791262841,628526,inc_tot_gt_p,45,-.0057048341,.0052893329,3,-2,-2.0070932
inc_tot_gt_p50,ineduc_tm1,-2,2,1,amt_dur,.0004922218774993,0.000,.0027088254607271,0.003,.8558103086845241,628526,inc_tot_gt_p,50,-.004817076,.0058015198,3,-2,-1.9831941
inc_tot_gt_p55,ineduc_tm1,-2,2,1,amt_dur,.0011423016838628,0.001,.0026048825610642,0.003,.6610078604146398,628526,inc_tot_gt_p,55,-.0039632684,.0062478716,3,-2,-1.9609987
inc_tot_gt_p60,ineduc_tm1,-2,2,1,amt_dur,.0016974304502458,0.002,.0026351013851227,0.003,.5194721764602814,628526,inc_tot_gt_p,60,-.0034673682,.0068622292,3,-2,-1.942045
inc_tot_gt_p65,ineduc_tm1,-2,2,1,amt_dur,.001577741263028,0.002,.0025946980706393,0.003,.5431466134552863,628526,inc_tot_gt_p,65,-.003507867,.0066633495,3,-2,-1.9461315
inc_tot_gt_p70,ineduc_tm1,-2,2,1,amt_dur,.001409676930698,0.001,.0023240248978931,0.002,.5441395407020532,628526,inc_tot_gt_p,70,-.0031454118,.0059647658,3,-2,-1.9518696
inc_tot_gt_p75,ineduc_tm1,-2,2,1,amt_dur,-.0024249316889222,-0.002,.0021344873644945,0.002,.2559288713320539,628526,inc_tot_gt_p,75,-.0066085272,.0017586636,3,-2,-2.082794
inc_tot_gt_p80,ineduc_tm1,-2,2,1,amt_dur,-.0012750260951542,-0.001,.0019034616696103,0.002,.5029574221902866,628526,inc_tot_gt_p,80,-.0050058109,.0024557589,3,-2,-2.0435331
inc_tot_gt_p85,ineduc_tm1,-2,2,1,amt_dur,-.0011831881004758,-0.001,.0017457371995481,0.002,.4979263187876795,628526,inc_tot_gt_p,85,-.0046048332,.0022384569,3,-2,-2.0403974
inc_tot_gt_p90,ineduc_tm1,-2,2,1,amt_dur,-.0021002132416828,-0.002,.0014792168547159,0.001,.1556646243351856,628526,inc_tot_gt_p,90,-.0049994783,.00079905178,3,-2,-2.0717072
inc_tot_gt_p95,ineduc_tm1,-2,2,1,amt_dur,-.0006660075912196,-0.001,.0012309846482309,0.001,.5884835549609442,628526,inc_tot_gt_p,95,-.0030787375,.0017467223,3,-2,-2.0227394
inc_tot_gt_p0,ineduc_tm1,0,2,1,amt_dur,-.0009909276575243,-0.001,.0007409419045609,0.001,.1810984508053073,628526,inc_tot_gt_p,0,-.0024431739,.00046131847,3,0,-.033833064
inc_tot_gt_p5,ineduc_tm1,0,2,1,amt_dur,.0043562497774685,0.004*,.0026467632991335,0.003,.099791753131848,628526,inc_tot_gt_p,5,-.00083140627,.009543906,2,0,.14873466
inc_tot_gt_p10,ineduc_tm1,0,2,1,amt_dur,.0051600931047597,0.005,.0036235812370955,0.004,.1544402872857187,628526,inc_tot_gt_p,10,-.0019421261,.012262313,3,0,.17618014
inc_tot_gt_p15,ineduc_tm1,0,2,1,amt_dur,.0086010349724324,0.009**,.004177651214572,0.004,.039513795709488,628526,inc_tot_gt_p,15,.00041283859,.016789231,1,0,.29366359
inc_tot_gt_p20,ineduc_tm1,0,2,1,amt_dur,.0068525515885721,0.007,.004436495845347,0.004,.1224492304634393,628526,inc_tot_gt_p,20,-.0018429803,.015548083,3,0,.23396544
inc_tot_gt_p25,ineduc_tm1,0,2,1,amt_dur,.0049376634818973,0.005,.0043932811135269,0.004,.2610526421965823,628526,inc_tot_gt_p,25,-.0036731674,.013548494,3,0,.16858576
inc_tot_gt_p30,ineduc_tm1,0,2,1,amt_dur,.0028760688827445,0.003,.0042276919899926,0.004,.4963204651567513,628526,inc_tot_gt_p,30,-.0054102074,.011162345,3,0,.098197103
inc_tot_gt_p35,ineduc_tm1,0,2,1,amt_dur,.0035282164628129,0.004,.0039161486140472,0.004,.3676220141416173,628526,inc_tot_gt_p,35,-.0041474346,.011203867,3,0,.12046327
inc_tot_gt_p40,ineduc_tm1,0,2,1,amt_dur,-.000398243795703,-0.000,.0038837111295537,0.004,.918326607790414,628526,inc_tot_gt_p,40,-.0080103176,.00721383,3,0,-.013597167
inc_tot_gt_p45,ineduc_tm1,0,2,1,amt_dur,-.0028856232790717,-0.003,.00368004156002,0.004,.4329667749331769,628526,inc_tot_gt_p,45,-.010098505,.0043272581,3,0,-.098523319
inc_tot_gt_p50,ineduc_tm1,0,2,1,amt_dur,-.0013980741957951,-0.001,.0035712686938653,0.004,.6954444946322977,628526,inc_tot_gt_p,50,-.0083977608,.0056016124,3,0,-.047734197
inc_tot_gt_p55,ineduc_tm1,0,2,1,amt_dur,-.0016810364934088,-0.002,.0033408737679517,0.003,.614843874339382,628526,inc_tot_gt_p,55,-.0082291495,.0048670759,3,0,-.057395328
inc_tot_gt_p60,ineduc_tm1,0,2,1,amt_dur,-.0025376845317999,-0.003,.003102530919283,0.003,.4133931728190325,628526,inc_tot_gt_p,60,-.0086186454,.0035432761,3,0,-.086643711
inc_tot_gt_p65,ineduc_tm1,0,2,1,amt_dur,-.0030996497985467,-0.003,.0029268781570895,0.003,.2895887825610471,628526,inc_tot_gt_p,65,-.0088363308,.0026370315,3,0,-.10583079
inc_tot_gt_p70,ineduc_tm1,0,2,1,amt_dur,.0012336319680628,0.001,.0028023553729961,0.003,.6597840574539739,628526,inc_tot_gt_p,70,-.0042589847,.0067262487,3,0,.042119674
inc_tot_gt_p75,ineduc_tm1,0,2,1,amt_dur,.0013282449266527,0.001,.0025975802715296,0.003,.6091145180642534,628526,inc_tot_gt_p,75,-.0037630124,.0064195022,3,0,.04535003
inc_tot_gt_p80,ineduc_tm1,0,2,1,amt_dur,-.0007390675839475,-0.001,.002268452317163,0.002,.7445743661514848,628526,inc_tot_gt_p,80,-.0051852339,.003707099,3,0,-.025233852
inc_tot_gt_p85,ineduc_tm1,0,2,1,amt_dur,-.0005578754164417,-0.001,.0020246642160446,0.002,.7829021369567515,628526,inc_tot_gt_p,85,-.0045262175,.0034104665,3,0,-.019047441
inc_tot_gt_p90,ineduc_tm1,0,2,1,amt_dur,.0009653101249997,0.001,.0015977057958359,0.002,.5457218123557454,628526,inc_tot_gt_p,90,-.0021661932,.0040968135,3,0,.032958411
inc_tot_gt_p95,ineduc_tm1,0,2,1,amt_dur,.0010177773946957,0.001,.0011813954249358,0.001,.3889621851929137,628526,inc_tot_gt_p,95,-.0012977576,.0033333125,3,0,.034749791
inc_tot_gt_p0,ineduc_tm1,1,2,1,amt_dur,-.0009052534961004,-0.001,.0008219384087827,0.001,.2707406455661363,628526,inc_tot_gt_p,0,-.0025162527,.00070574577,3,1,.96909207
inc_tot_gt_p5,ineduc_tm1,1,2,1,amt_dur,.0044829985357193,0.004,.002938124308937,0.003,.1270618779927225,628526,inc_tot_gt_p,5,-.0012757251,.010241722,3,1,1.1530622
inc_tot_gt_p10,ineduc_tm1,1,2,1,amt_dur,.0091294247532053,0.009**,.0037554459173056,0.004,.0150595344649296,628526,inc_tot_gt_p,10,.0017687507,.016490098,1,1,1.3117043
inc_tot_gt_p15,ineduc_tm1,1,2,1,amt_dur,.0117154935593435,0.012***,.004466966589567,0.004,.0087249370512612,628526,inc_tot_gt_p,15,.0029602391,.020470748,1,1,1.4
