outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,ineduc_tm1,-2,2,1,amt_dur,.0002673525441726,0.000,.0037831174320872,0.004,.943660604646078,628526,inc_work_gt_p,0,-.0071475576,.0076822629,3,-2,-1.9870501
inc_work_gt_p5,ineduc_tm1,-2,2,1,amt_dur,-.0031409463718967,-0.003,.0040279435094439,0.004,.43551673488186,628526,inc_work_gt_p,5,-.011035715,.0047538229,3,-2,-2.1521401
inc_work_gt_p10,ineduc_tm1,-2,2,1,amt_dur,-.0035645316612749,-0.004,.0040064417032585,0.004,.3736289027210657,628526,inc_work_gt_p,10,-.011417157,.0042880941,3,-2,-2.1726575
inc_work_gt_p15,ineduc_tm1,-2,2,1,amt_dur,-.000262286800574,-0.000,.0037625271404623,0.004,.9444243921205417,628526,inc_work_gt_p,15,-.00763684,.0071122665,3,-2,-2.0127046
inc_work_gt_p20,ineduc_tm1,-2,2,1,amt_dur,-.0040134477675489,-0.004,.0035755030733272,0.004,.2616588609359967,628526,inc_work_gt_p,20,-.011021433,.0029945383,3,-2,-2.194402
inc_work_gt_p25,ineduc_tm1,-2,2,1,amt_dur,-.0030414145255722,-0.003,.0034789938943037,0.003,.3819990637845306,628526,inc_work_gt_p,25,-.0098602427,.0037774134,3,-2,-2.1473188
inc_work_gt_p30,ineduc_tm1,-2,2,1,amt_dur,-.0027401856299567,-0.003,.0032848624869098,0.003,.4041781303820825,628526,inc_work_gt_p,30,-.0091785165,.0036981448,3,-2,-2.1327281
inc_work_gt_p35,ineduc_tm1,-2,2,1,amt_dur,.0014578774487816,0.001,.0030906858837656,0.003,.6371416738385887,628526,inc_work_gt_p,35,-.0045998669,.0075156218,3,-2,-1.9293839
inc_work_gt_p40,ineduc_tm1,-2,2,1,amt_dur,-.0018163271488379,-0.002,.0030023181440245,0.003,.5451969330798823,628526,inc_work_gt_p,40,-.0077008707,.0040682163,3,-2,-2.0879786
inc_work_gt_p45,ineduc_tm1,-2,2,1,amt_dur,.0008237604768415,0.001,.0026450456569236,0.003,.7554703519999959,628526,inc_work_gt_p,45,-.0043605291,.0060080499,3,-2,-1.960099
