outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,ineduc_tm1,-2,2,1,amt_dur,.0017672435816211,0.002,.0044782805560527,0.004,.6931200836761133,639956,inc_y_gt_p,0,-.0070101861,.010544674,3,-2,-1.958689
inc_y_gt_p5,ineduc_tm1,-2,2,1,amt_dur,.0013848277973756,0.001,.0043427112316692,0.004,.7498139240440189,639956,inc_y_gt_p,5,-.0071268864,.0098965419,3,-2,-1.9676284
inc_y_gt_p10,ineduc_tm1,-2,2,1,amt_dur,.0010767430634715,0.001,.0040592870356978,0.004,.7908141214221018,639956,inc_y_gt_p,10,-.0068794596,.0090329461,3,-2,-1.9748302
inc_y_gt_p15,ineduc_tm1,-2,2,1,amt_dur,-.0003452184020733,-0.000,.0038080958358456,0.004,.9277678390924485,639956,inc_y_gt_p,15,-.0078090862,.0071186493,3,-2,-2.0080698
inc_y_gt_p20,ineduc_tm1,-2,2,1,amt_dur,-.002666807100502,-0.003,.0036746933980313,0.004,.4680105602285385,639956,inc_y_gt_p,20,-.0098692058,.0045355922,3,-2,-2.0623391
inc_y_gt_p25,ineduc_tm1,-2,2,1,amt_dur,-.0011749353872928,-0.001,.0033752939033831,0.003,.7277667400434957,639956,inc_y_gt_p,25,-.0077905115,.0054406407,3,-2,-2.0274653
inc_y_gt_p30,ineduc_tm1,-2,2,1,amt_dur,.0018887010134466,0.002,.0034113513148236,0.003,.5798182600087985,639956,inc_y_gt_p,30,-.0047975476,.0085749496,3,-2,-1.9558498
inc_y_gt_p35,ineduc_tm1,-2,2,1,amt_dur,-.0007554696152654,-0.001,.0030343765007339,0.003,.8033842275538983,639956,inc_y_gt_p,35,-.0067028478,.0051919082,3,-2,-2.0176599
inc_y_gt_p40,ineduc_tm1,-2,2,1,amt_dur,-.0016741174924614,-0.002,.0024198753650597,0.002,.489052025753828,639956,inc_y_gt_p,40,-.0064170733,.0030688383,3,-2,-2.039134
inc_y_gt_p45,ineduc_tm1,-2,2,1,amt_dur,.0017398781259902,0.002,.002239177676303,0.002,.4371506888032773,639956,inc_y_gt_p,45,-.00264891,.0061286665,3,-2,-1.9593287
inc_y_gt_p50,ineduc_tm1,-2,2,1,amt_dur,.0001626687561657,0.000,.0020649446948531,0.002,.9372106793406797,639956,inc_y_gt_p,50,-.0038846228,.0042099603,3,-2,-1.9961975
inc_y_gt_p55,ineduc_tm1,-2,2,1,amt_dur,-.0003819404671813,-0.000,.0019379008956049,0.002,.8437576459859334,639956,inc_y_gt_p,55,-.004180226,.0034163452,3,-2,-2.0089283
inc_y_gt_p60,ineduc_tm1,-2,2,1,amt_dur,-.0011223344273861,-0.001,.0017871391705964,0.002,.5300012131441165,639956,inc_y_gt_p,60,-.0046251272,.0023804584,3,-2,-2.0262356
inc_y_gt_p65,ineduc_tm1,-2,2,1,amt_dur,-.0005242883760498,-0.001,.0017693387196117,0.002,.7669871729735488,639956,inc_y_gt_p,65,-.0039921924,.0029436154,3,-2,-2.0122557
inc_y_gt_p70,ineduc_tm1,-2,2,1,amt_dur,-.0002695878572711,-0.000,.0016482788415273,0.002,.8700800506420453,639956,inc_y_gt_p,70,-.0035002143,.0029610386,3,-2,-2.0063019
inc_y_gt_p75,ineduc_tm1,-2,2,1,amt_dur,-.0011307954937104,-0.001,.0015009184210328,0.002,.4512097869928714,639956,inc_y_gt_p,75,-.0040725954,.0018110046,3,-2,-2.0264335
inc_y_gt_p80,ineduc_tm1,-2,2,1,amt_dur,-.0012310137477223,-0.001,.0014321017564547,0.001,.3900195214204292,639956,inc_y_gt_p,80,-.004037933,.0015759057,3,-2,-2.0287762
inc_y_gt_p85,ineduc_tm1,-2,2,1,amt_dur,-.0008818943439121,-0.001,.0011739404321501,0.001,.4525183955716298,639956,inc_y_gt_p,85,-.0031828175,.0014190288,3,-2,-2.0206151
inc_y_gt_p90,ineduc_tm1,-2,2,1,amt_dur,-.0007529743556897,-0.001,.0010291360539504,0.001,.4643796646666934,639956,inc_y_gt_p,90,-.0027700809,.0012641323,3,-2,-2.0176015
inc_y_gt_p95,ineduc_tm1,-2,2,1,amt_dur,-.0005082677683794,-0.001,.0007589477570915,0.001,.5030500875844894,639956,inc_y_gt_p,95,-.0019958054,.00097926985,3,-2,-2.0118814
inc_y_gt_p0,ineduc_tm1,0,2,1,amt_dur,-.0126923375594187,-0.013***,.0047525317439099,0.005,.0075716309782204,639956,inc_y_gt_p,0,-.0220073,-.0033773754,1,0,-.29669541
inc_y_gt_p5,ineduc_tm1,0,2,1,amt_dur,-.0152088593273169,-0.015***,.004581408939291,0.005,.0009014686749156,639956,inc_y_gt_p,5,-.024188422,-.0062292977,1,0,-.3555215
inc_y_gt_p10,ineduc_tm1,0,2,1,amt_dur,-.0114490270028773,-0.011**,.0046844073713266,0.005,.0145241177396941,639956,inc_y_gt_p,10,-.020630466,-.0022675886,1,0,-.26763186
inc_y_gt_p15,ineduc_tm1,0,2,1,amt_dur,-.0125774448626679,-0.013***,.0044951422210671,0.004,.0051427824445952,639956,inc_y_gt_p,15,-.021387924,-.0037669661,1,0,-.29400969
inc_y_gt_p20,ineduc_tm1,0,2,1,amt_dur,-.0086942879717317,-0.009**,.0043379226222744,0.004,.0450455942814522,639956,inc_y_gt_p,20,-.017196616,-.00019195963,1,0,-.20323722
inc_y_gt_p25,ineduc_tm1,0,2,1,amt_dur,-.0095885044616697,-0.010**,.0040237944443559,0.004,.0171761891890633,639956,inc_y_gt_p,25,-.017475141,-.0017018673,1,0,-.22414038
inc_y_gt_p30,ineduc_tm1,0,2,1,amt_dur,-.0044432334284917,-0.004,.0035506538683167,0.004,.2107968932051284,639956,inc_y_gt_p,30,-.011402515,.0025160483,3,0,-.10386479
inc_y_gt_p35,ineduc_tm1,0,2,1,amt_dur,-.0083153744807884,-0.008**,.0032669916860226,0.003,.0109207062597724,639956,inc_y_gt_p,35,-.014718678,-.0019120708,1,0,-.19437976
inc_y_gt_p40,ineduc_tm1,0,2,1,amt_dur,-.0053891217448104,-0.005*,.0028484411694894,0.003,.0584996604464903,639956,inc_y_gt_p,40,-.010972067,.00019382295,2,0,-.12597583
inc_y_gt_p45,ineduc_tm1,0,2,1,amt_dur,-.0033511811210319,-0.003,.0026101264675763,0.003,.1991743470922627,639956,inc_y_gt_p,45,-.0084670288,.0017646668,3,0,-.078337036
inc_y_gt_p50,ineduc_tm1,0,2,1,amt_dur,-.0038067279078504,-0.004,.0024194883058391,0.002,.1156382148094355,639956,inc_y_gt_p,50,-.0085489247,.00093546917,3,0,-.088985875
inc_y_gt_p55,ineduc_tm1,0,2,1,amt_dur,-.0030827516105386,-0.003,.0022522542949377,0.002,.1710832345020597,639956,inc_y_gt_p,55,-.00749717,.0013316668,3,0,-.072062239
inc_y_gt_p60,ineduc_tm1,0,2,1,amt_dur,-.0018642759113759,-0.002,.0021014984127136,0.002,.3750176277602156,639956,inc_y_gt_p,60,-.005983213,.0022546609,3,0,-.043579217
inc_y_gt_p65,ineduc_tm1,0,2,1,amt_dur,-.0012531524492727,-0.001,.0017718757389928,0.002,.4794149813520612,639956,inc_y_gt_p,65,-.004726029,.002219724,3,0,-.029293627
inc_y_gt_p70,ineduc_tm1,0,2,1,amt_dur,-.0009022820303927,-0.001,.0015953678552048,0.002,.5716916238997773,639956,inc_y_gt_p,70,-.0040292032,.0022246391,3,0,-.021091698
inc_y_gt_p75,ineduc_tm1,0,2,1,amt_dur,-.0018684448695607,-0.002,.0013780974295066,0.001,.1751609147553267,639956,inc_y_gt_p,75,-.0045695161,.00083262607,3,0,-.043676671
inc_y_gt_p80,ineduc_tm1,0,2,1,amt_dur,-.0017569559246524,-0.002,.001257049823159,0.001,.1622114229244773,639956,inc_y_gt_p,80,-.0042207735,.00070686173,3,0,-.04107051
inc_y_gt_p85,ineduc_tm1,0,2,1,amt_dur,-.0011528266791614,-0.001,.0011245963589023,0.001,.3053170420384332,639956,inc_y_gt_p,85,-.0033570356,.0010513822,3,0,-.026948417
inc_y_gt_p90,ineduc_tm1,0,2,1,amt_dur,-.0004666713176419,-0.000,.0008344898627774,0.001,.5760062769276815,639956,inc_y_gt_p,90,-.0021022714,.0011689288,3,0,-.010908884
inc_y_gt_p95,ineduc_tm1,0,2,1,amt_dur,-.0000110656227896,-0.000,.0005860812620476,0.001,.9849363128292616,639956,inc_y_gt_p,95,-.0011597848,.0011376536,3,0,-.00025866943
inc_y_gt_p0,ineduc_tm1,1,2,1,amt_dur,-.0171116057707859,-0.017***,.0059686802739918,0.006,.0041459417541719,639956,inc_y_gt_p,0,-.02881022,-.0054129926,1,1,.60000002
inc_y_gt_p5,ineduc_tm1,1,2,1,amt_dur,-.0151476954934843,-0.015**,.005903175994387,0.006,.0102884736398648,639956,inc_y_gt_p,5,-.02671792,-.0035774705,1,1,.64590824
inc_y_gt_p10,ineduc_tm1,1,2,1,amt_dur,-.0124549835998127,-0.012**,.0058051714471513,0.006,.0319152550117216,639956,inc_y_gt_p,10,-.02383312,-.0010768475,1,1,.70885295
inc_y_gt_p15,ineduc_tm1,1,2,1,amt_dur,-.0092015566975501,-0.009,.0058230146562718,0.006,.1140628355461212,639956,inc_y_gt_p,15,-.020614665,.0022115521,3,1,.7849049
inc_y_gt_p20,ineduc_tm1,1,2,1,amt_dur,-.0071846343333999,-0.007,.0057059645691119,0.006,.207980812782674,639956,inc_y_gt_p,20,-.018368324,.0039990563,3,1,.83205235
inc_y_gt_p25,ineduc_tm1,1,2,1,amt_dur,-.0073498579355945,-0.007,.0054932677601269,0.005,.1809071992971001,639956,inc_y_gt_p,25,-.018116662,.0034169469,3,1,.82819009
inc_y_gt_p30,ineduc_tm1,1,2,1,amt_dur,-.0010921290779673,-0.001,.0052216504795157,0.005,.8343284126632579,639956,inc_y_gt_p,30,-.011326564,.0091423057,3,1,.97447044
inc_y_gt_p35,ineduc_tm1,1,2,1,amt_dur,-.0057349316566369,-0.006,.0048036924875096,0.005,.2325357139290055,639956,inc_y_gt_p,35,-.015150169,.0036803056,3,1,.86594051
inc_y_gt_p40,ineduc_tm1,1,2,1,amt_dur,-.0093024034809778,-0.009**,.0042069001790517,0.004,.0270223168753264,639956,inc_y_gt_p,40,-.017547928,-.0010568792,1,1,.78254747
inc_y_gt_p45,ineduc_tm1,1,2,1,amt_dur,-.0067889633489279,-0.007*,.0039721108690115,0.004,.0874246129447652,639956,inc_y_gt_p,45,-.0145743,.00099637394,2,1,.84130156
inc_y_gt_p50,ineduc_tm1,1,2,1,amt_dur,-.0062895362721337,-0.006,.0038296840223285,0.004,.1005282326651178,639956,inc_y_gt_p,50,-.013795717,.0012166444,3,1,.85297614
inc_y_gt_p55,ineduc_tm1,1,2,1,amt_dur,-.0045559067584734,-0.005,.0036065000947535,0.004,.2065024977571248,639956,inc_y_gt_p,55,-.011624647,.0025128333,3,1,.89350134
inc_y_gt_p60,ineduc_tm1,1,2,1,amt_dur,-.004387229153175,-0.004,.0033885330440519,0.003,.1954167645125232,639956,inc_y_gt_p,60,-.011028754,.0022542956,3,1,.89744437
inc_y_gt_p65,ineduc_tm1,1,2,1,amt_dur,-.0025558032087208,-0.003,.0032047957751542,0.003,.4251663205262983,639956,inc_y_gt_p,65,-.0088372026,.0037255965,3,1,.9402557
inc_y_gt_p70,ineduc_tm1,1,2,1,amt_dur,-.0031740805236732,-0.003,.0029615603402533,0.003,.2838304267966037,639956,inc_y_gt_p,70,-.0089787384,.0026305777,3,1,.92580289
inc_y_gt_p75,ineduc_tm1,1,2,1,amt_dur,-.0037682655980664,-0.004,.0026889385763496,0.003,.1610987756882312,639956,inc_y_gt_p,75,-.0090385852,.001502054,3,1,.91191322
inc_y_gt_p80,ineduc_tm1,1,2,1,amt_dur,-.0023540730484858,-0.002,.0024278675795251,0.002,.3322454675033928,639956,inc_y_gt_p,80,-.0071126935,.0024045473,3,1,.94497132
inc_y_gt_p85,ineduc_tm1,1,2,1,amt_dur,-.0002449803188869,-0.000,.0020929375334328,0.002,.9068198972350243,639956,inc_y_gt_p,85,-.0043471381,.0038571772,3,1,.99427336
inc_y_gt_p90,ineduc_tm1,1,2,1,amt_dur,-.0015831067857349,-0.002,.0016814988555435,0.002,.3464582044213649,639956,inc_y_gt_p,90,-.0048788446,.001712631,3,1,.96299338
inc_y_gt_p95,ineduc_tm1,1,2,1,amt_dur,-.0013379695756351,-0.001,.0010658182930417,0.001,.2093562674746191,639956,inc_y_gt_p,95,-.0034269735,.0007510343,3,1,.96872371
inc_y_gt_p0,ineduc_tm1,2,2,1,amt_dur,-.0079745516106976,-0.008,.0059295194253263,0.006,.1786635455989584,639956,inc_y_gt_p,0,-.019596409,.0036473065,3,2,1.8135873
inc_y_gt_p5,ineduc_tm1,2,2,1,amt_dur,-.0083057522554011,-0.008,.005875365658211,0.006,.1574654689539624,639956,inc_y_gt_p,5,-.019821469,.0032099644,3,2,1.8058451
inc_y_gt_p10,ineduc_tm1,2,2,1,amt_dur,-.0095282589080977,-0.010,.0058006193663165,0.006,.1004628396614637,639956,inc_y_gt_p,10,-.020897472,.001840955,3,2,1.7772679
inc_y_gt_p15,ineduc_tm1,2,2,1,amt_dur,-.0093367662535067,-0.009,.0058950809889151,0.006,.1132368508039083,639956,inc_y_gt_p,15,-.020891124,.0022175924,3,2,1.7817442
inc_y_gt_p20,ineduc_tm1,2,2,1,amt_dur,-.0078853054575246,-0.008,.0056252643056296,0.006,.1609879174701485,639956,inc_y_gt_p,20,-.018910823,.0031402125,3,2,1.8156735
inc_y_gt_p25,ineduc_tm1,2,2,1,amt_dur,-.0081469299828273,-0.008,.0052667681561854,0.005,.1219009649144776,639956,inc_y_gt_p,25,-.018469796,.0021759355,3,2,1.8095578
inc_y_gt_p30,ineduc_tm1,2,2,1,amt_dur,-.0056068926246974,-0.006,.0050636387715118,0.005,.2681730541634239,639956,inc_y_gt_p,30,-.015531625,.0043178392,3,2,1.8689336
inc_y_gt_p35,ineduc_tm1,2,2,1,amt_dur,-.0065942458652261,-0.007,.0048540015853099,0.005,.1743023600010586,639956,inc_y_gt_p,35,-.016108088,.0029195973,3,2,1.8458532
inc_y_gt_p40,ineduc_tm1,2,2,1,amt_dur,-.0065309414118038,-0.007,.0044664216392204,0.004,.1436807266888661,639956,inc_y_gt_p,40,-.015285128,.0022232451,3,2,1.8473331
inc_y_gt_p45,ineduc_tm1,2,2,1,amt_dur,-.0034935873264285,-0.003,.0042932906726489,0.004,.4158003660593408,639956,inc_y_gt_p,45,-.011908437,.0049212626,3,2,1.9183341
inc_y_gt_p50,ineduc_tm1,2,2,1,amt_dur,-.0026825098382247,-0.003,.0041337938211186,0.004,.5163901478439126,639956,inc_y_gt_p,50,-.010784746,.005419726,3,2,1.9372938
inc_y_gt_p55,ineduc_tm1,2,2,1,amt_dur,-.001923040690998,-0.002,.0039309400160764,0.004,.6246966214400017,639956,inc_y_gt_p,55,-.0096276831,.0057816016,3,2,1.9550471
inc_y_gt_p60,ineduc_tm1,2,2,1,amt_dur,-.0012929000165604,-0.001,.0037630599720515,0.004,.7311652546194538,639956,inc_y_gt_p,60,-.0086684972,.0060826973,3,2,1.9697772
inc_y_gt_p65,ineduc_tm1,2,2,1,amt_dur,-.0013039093259054,-0.001,.0035890831564631,0.004,.7163824519879061,639956,inc_y_gt_p,65,-.0083385119,.0057306937,3,2,1.9695199
inc_y_gt_p70,ineduc_tm1,2,2,1,amt_dur,-.0020847706282846,-0.002,.0033767344820195,0.003,.5369771408585744,639956,inc_y_gt_p,70,-.0087031703,.0045336289,3,2,1.9512665
inc_y_gt_p75,ineduc_tm1,2,2,1,amt_dur,-.0023744524130235,-0.002,.0031716380534056,0.003,.4540687411504927,639956,inc_y_gt_p,75,-.0085908631,.0038419582,3,2,1.944495
inc_y_gt_p80,ineduc_tm1,2,2,1,amt_dur,-.0016379711724515,-0.002,.0028467158779952,0.003,.5650289140961255,639956,inc_y_gt_p,80,-.0072175344,.0039415918,3,2,1.9617109
inc_y_gt_p85,ineduc_tm1,2,2,1,amt_dur,-.0004758879706198,-0.000,.0025571991347703,0.003,.8523687699091363,639956,inc_y_gt_p,85,-.0054879985,.0045362222,3,2,1.9888756
inc_y_gt_p90,ineduc_tm1,2,2,1,amt_dur,.0011625726028757,0.001,.0021793331459415,0.002,.5937208718050233,639956,inc_y_gt_p,90,-.0031089203,.0054340656,3,2,2.0271761
inc_y_gt_p95,ineduc_tm1,2,2,1,amt_dur,.0003186985087228,0.000,.001576538547474,0.002,.839799222006324,639956,inc_y_gt_p,95,-.002771317,.003408714,3,2,2.0074499
