outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,ineduc_tm1,-2,2,1,amt_dur,.0011866568879482,0.001,.0034769843417101,0.003,.7328866038572392,714200,taxable_income_gt_p,0,-.0056282324,.0080015464,3,-2,-1.9547403
taxable_income_gt_p5,ineduc_tm1,-2,2,1,amt_dur,-.0002654108534023,-0.000,.0037153863960579,0.004,.9430512089699437,714200,taxable_income_gt_p,5,-.0075475681,.0070167463,3,-2,-2.010123
taxable_income_gt_p10,ineduc_tm1,-2,2,1,amt_dur,-.000711642776598,-0.001,.0038361822547005,0.004,.8528308942131178,714200,taxable_income_gt_p,10,-.0082305605,.0068072747,3,-2,-2.0271425
taxable_income_gt_p15,ineduc_tm1,-2,2,1,amt_dur,.0021824366294741,0.002,.0035985887773878,0.004,.5442038696725269,714200,taxable_income_gt_p,15,-.0048707975,.0092356708,3,-2,-1.9167607
taxable_income_gt_p20,ineduc_tm1,-2,2,1,amt_dur,-.0013661103617093,-0.001,.0034336351254386,0.003,.6907332445307381,714200,taxable_income_gt_p,20,-.0080960356,.0053638145,3,-2,-2.0521042
taxable_income_gt_p25,ineduc_tm1,-2,2,1,amt_dur,.0001536893196657,0.000,.0032617397758407,0.003,.9624186164986593,714200,taxable_income_gt_p,25,-.0062393206,.0065466994,3,-2,-1.9941382
taxable_income_gt_p30,ineduc_tm1,-2,2,1,amt_dur,-.0011022568535945,-0.001,.0031195398132709,0.003,.7238345675763088,714200,taxable_income_gt_p,30,-.0072165551,.005012041,3,-2,-2.0420406
taxable_income_gt_p35,ineduc_tm1,-2,2,1,amt_dur,.0008906467698004,0.001,.0029678024473706,0.003,.7640990727559973,714200,taxable_income_gt_p,35,-.0049262461,.0067075398,3,-2,-1.9660302
taxable_income_gt_p40,ineduc_tm1,-2,2,1,amt_dur,-.000588978442042,-0.001,.0030725444024041,0.003,.8479847833129577,714200,taxable_income_gt_p,40,-.0066111656,.0054332088,3,-2,-2.022464
taxable_income_gt_p45,ineduc_tm1,-2,2,1,amt_dur,.0019563457208869,0.002,.0027762501511379,0.003,.4810158913617543,714200,taxable_income_gt_p,45,-.0034851045,.007397796,3,-2,-1.9253839
taxable_income_gt_p50,ineduc_tm1,-2,2,1,amt_dur,.0004532469488652,0.000,.0026259518030596,0.003,.8629638770061514,714200,taxable_income_gt_p,50,-.0046936185,.0056001125,3,-2,-1.9827129
taxable_income_gt_p55,ineduc_tm1,-2,2,1,amt_dur,.0011051271840775,0.001,.0025087623737604,0.003,.6595708755916105,714200,taxable_income_gt_p,55,-.003812047,.0060223015,3,-2,-1.9578499
taxable_income_gt_p60,ineduc_tm1,-2,2,1,amt_dur,.0018682355526043,0.002,.0024039218905473,0.002,.4370651774929527,714200,taxable_income_gt_p,60,-.0028434515,.0065799225,3,-2,-1.9287444
taxable_income_gt_p65,ineduc_tm1,-2,2,1,amt_dur,.0009252352882804,0.001,.0022191071622133,0.002,.6767228693091782,714200,taxable_income_gt_p,65,-.0034242147,.0052746851,3,-2,-1.9647111
taxable_income_gt_p70,ineduc_tm1,-2,2,1,amt_dur,.0013967158851821,0.001,.0021029716913815,0.002,.5065874276779188,714200,taxable_income_gt_p,70,-.0027251085,.0055185403,3,-2,-1.9467285
taxable_income_gt_p75,ineduc_tm1,-2,2,1,amt_dur,-.0002306688938248,-0.000,.0018475564319686,0.002,.9006419016680173,714200,taxable_income_gt_p,75,-.0038518794,.0033905418,3,-2,-2.0087979
taxable_income_gt_p80,ineduc_tm1,-2,2,1,amt_dur,-.0004830035164119,-0.000,.0016796123277167,0.002,.7736776438117082,714200,taxable_income_gt_p,80,-.0037750436,.0028090368,3,-2,-2.0184221
