outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,llm_best,-2,2,1,amt_dur,.0002884976277203,0.000,.0007583094794103,0.001,.7036134116905732,606095,inc_tot_gt_p,0,-.001197789,.0017747842,3,-2,-1.9842802
inc_tot_gt_p5,llm_best,-2,2,1,amt_dur,.0002214274886402,0.000,.0015436456548683,0.002,.8859394283327756,606095,inc_tot_gt_p,5,-.002804118,.003246973,3,-2,-1.9879347
inc_tot_gt_p10,llm_best,-2,2,1,amt_dur,-.0010158848526221,-0.001,.001968472940697,0.002,.6058013460419438,606095,inc_tot_gt_p,10,-.0048740916,.0028423222,3,-2,-2.0553541
inc_tot_gt_p15,llm_best,-2,2,1,amt_dur,-.0008719137833626,-0.001,.0020999648039499,0.002,.6779934742849214,606095,inc_tot_gt_p,15,-.0049878447,.0032440173,3,-2,-2.0475094
inc_tot_gt_p20,llm_best,-2,2,1,amt_dur,-.0023313397263348,-0.002,.0020340164157624,0.002,.2517253326432924,606095,inc_tot_gt_p,20,-.0063180118,.0016553324,3,-2,-2.1270313
inc_tot_gt_p25,llm_best,-2,2,1,amt_dur,-.0021988688729386,-0.002,.0020729596836525,0.002,.2888111937006245,606095,inc_tot_gt_p,25,-.0062618698,.0018641321,3,-2,-2.1198132
inc_tot_gt_p30,llm_best,-2,2,1,amt_dur,-.0016902589555929,-0.002,.0020935111038312,0.002,.4194495420829312,606095,inc_tot_gt_p,30,-.0057935407,.0024130228,3,-2,-2.0920999
inc_tot_gt_p35,llm_best,-2,2,1,amt_dur,-.0012675810884004,-0.001,.0022543068249333,0.002,.5739176409652758,606095,inc_tot_gt_p,35,-.0056860223,.0031508603,3,-2,-2.0690687
inc_tot_gt_p40,llm_best,-2,2,1,amt_dur,.000798015085092,0.001,.0023737205943556,0.002,.7367302270436036,606095,inc_tot_gt_p,40,-.0038544773,.0054505076,3,-2,-1.9565173
inc_tot_gt_p45,llm_best,-2,2,1,amt_dur,.0031107352709005,0.003,.0024479740658263,0.002,.2038246335803609,606095,inc_tot_gt_p,45,-.0016872939,.0079087643,3,-2,-1.8305005
inc_tot_gt_p50,llm_best,-2,2,1,amt_dur,.0048092504979231,0.005*,.0025865165219916,0.003,.0629799144005187,606095,inc_tot_gt_p,50,-.00026032189,.0098788226,2,-2,-1.7379508
inc_tot_gt_p55,llm_best,-2,2,1,amt_dur,.0038382545032534,0.004,.0025875333871347,0.003,.1379808547116056,606095,inc_tot_gt_p,55,-.0012333109,.0089098196,3,-2,-1.790859
