outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,llm_best,-2,2,1,amt_dur,.0003328078629035,0.000,.0029443154115893,0.003,.9100037988005093,606095,inc_work_gt_p,0,-.0054380503,.006103666,3,-2,-1.9823779
inc_work_gt_p5,llm_best,-2,2,1,amt_dur,.0020536570555965,0.002,.0031126060374445,0.003,.5093920545999189,606095,inc_work_gt_p,5,-.0040470506,.0081543652,3,-2,-1.8912594
inc_work_gt_p10,llm_best,-2,2,1,amt_dur,.0012254153626171,0.001,.0031921657576918,0.003,.7010666448943013,606095,inc_work_gt_p,10,-.0050312295,.0074820602,3,-2,-1.9351146
inc_work_gt_p15,llm_best,-2,2,1,amt_dur,.0000159556157662,0.000,.0031702968408092,0.003,.9959843970033175,606095,inc_work_gt_p,15,-.006197826,.0062297373,3,-2,-1.9991552
inc_work_gt_p20,llm_best,-2,2,1,amt_dur,.0020483317094911,0.002,.0031208604194016,0.003,.5116097642126538,606095,inc_work_gt_p,20,-.0040685548,.0081652179,3,-2,-1.8915414
inc_work_gt_p25,llm_best,-2,2,1,amt_dur,.0009228959338263,0.001,.0034354630478841,0.003,.7882088258134943,606095,inc_work_gt_p,25,-.0058106114,.0076564034,3,-2,-1.9511329
inc_work_gt_p30,llm_best,-2,2,1,amt_dur,-.000104178219634,-0.000,.0033675225821559,0.003,.9753205142161111,606095,inc_work_gt_p,30,-.0067045223,.0064961659,3,-2,-2.0055163
inc_work_gt_p35,llm_best,-2,2,1,amt_dur,-.0008067381438665,-0.001,.0029799814120171,0.003,.7866075848968251,606095,inc_work_gt_p,35,-.0066475016,.0050340253,3,-2,-2.0427165
inc_work_gt_p40,llm_best,-2,2,1,amt_dur,-.0013309197323619,-0.001,.0028604504031167,0.003,.6417296364485713,606095,inc_work_gt_p,40,-.0069374023,.0042755632,3,-2,-2.0704718
inc_work_gt_p45,llm_best,-2,2,1,amt_dur,-.001884471207374,-0.002,.0027793413650781,0.003,.4977555428584134,606095,inc_work_gt_p,45,-.0073319804,.0035630378,3,-2,-2.0997822
