outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,llm_best,-2,2,1,amt_dur,-.0008400294374482,-0.001,.0032432752326353,0.003,.795630748231147,613357,inc_y_gt_p,0,-.0071968487,.0055167899,3,-2,-2.0455434
inc_y_gt_p5,llm_best,-2,2,1,amt_dur,.0001624989480354,0.000,.0032479416615994,0.003,.9600974967816992,613357,inc_y_gt_p,5,-.0062034666,.0065284646,3,-2,-1.9911898
inc_y_gt_p10,llm_best,-2,2,1,amt_dur,-.0005592912326067,-0.001,.0031964359014788,0.003,.8611008996601845,613357,inc_y_gt_p,10,-.0068243057,.0057057231,3,-2,-2.0303228
inc_y_gt_p15,llm_best,-2,2,1,amt_dur,-.0017171405060715,-0.002,.0031150540957844,0.003,.5814708310770844,613357,inc_y_gt_p,15,-.0078226468,.0043883654,3,-2,-2.0930974
inc_y_gt_p20,llm_best,-2,2,1,amt_dur,.0010232771919331,0.001,.003236244720646,0.003,.7518568611802722,613357,inc_y_gt_p,20,-.0053197625,.0073663169,3,-2,-1.9445214
inc_y_gt_p25,llm_best,-2,2,1,amt_dur,-.0026514065435542,-0.003,.0033556085036681,0.003,.4294468577194819,613357,inc_y_gt_p,25,-.009228399,.0039255861,3,-2,-2.1437502
inc_y_gt_p30,llm_best,-2,2,1,amt_dur,-.0029461804932852,-0.003,.0033052881348449,0.003,.3727416708800366,613357,inc_y_gt_p,30,-.0094245449,.0035321843,3,-2,-2.1597319
inc_y_gt_p35,llm_best,-2,2,1,amt_dur,-.0026274150009151,-0.003,.0029751196720814,0.003,.3771686286268114,613357,inc_y_gt_p,35,-.0084586497,.0032038195,3,-2,-2.1424496
inc_y_gt_p40,llm_best,-2,2,1,amt_dur,-.0011648941754691,-0.001,.0025212780301965,0.003,.6440642130101344,613357,inc_y_gt_p,40,-.0061065992,.0037768108,3,-2,-2.0631566
inc_y_gt_p45,llm_best,-2,2,1,amt_dur,-.0022214649813503,-0.002,.0024391565705247,0.002,.3624286581322236,613357,inc_y_gt_p,45,-.0070022116,.0025592819,3,-2,-2.1204402
inc_y_gt_p50,llm_best,-2,2,1,amt_dur,-.0002197281502334,-0.000,.0022753437465356,0.002,.9230687042314942,613357,inc_y_gt_p,50,-.0046794019,.0042399457,3,-2,-2.0119128
inc_y_gt_p55,llm_best,-2,2,1,amt_dur,.0002711823746191,0.000,.0022015418942766,0.002,.9019660922781102,613357,inc_y_gt_p,55,-.0040438399,.0045862044,3,-2,-1.9852974
inc_y_gt_p60,llm_best,-2,2,1,amt_dur,.0004988192926389,0.000,.0021385748826382,0.002,.8155689630896183,613357,inc_y_gt_p,60,-.0036927874,.0046904259,3,-2,-1.9729557
inc_y_gt_p65,llm_best,-2,2,1,amt_dur,-1.17908706439e-06,-0.000,.0020986693805539,0.002,.9995517288514438,613357,inc_y_gt_p,65,-.004114571,.0041122129,3,-2,-2.0000639
inc_y_gt_p70,llm_best,-2,2,1,amt_dur,.0015480898349711,0.002,.0020280765435119,0.002,.4452689771420829,613357,inc_y_gt_p,70,-.0024269402,.0055231201,3,-2,-1.9160678
inc_y_gt_p75,llm_best,-2,2,1,amt_dur,.0017468520163338,0.002,.0017921697079398,0.002,.3297047796778342,613357,inc_y_gt_p,75,-.0017658006,.0052595045,3,-2,-1.9052916
inc_y_gt_p80,llm_best,-2,2,1,amt_dur,.002632555544365,0.003,.0017603430931148,0.002,.1347927582091178,613357,inc_y_gt_p,80,-.00081771694,.0060828282,3,-2,-1.8572718
inc_y_gt_p85,llm_best,-2,2,1,amt_dur,.0027373429628429,0.003*,.0016411629669199,0.002,.0953330336819078,613357,inc_y_gt_p,85,-.00047933645,.0059540225,2,-2,-1.8515905
inc_y_gt_p90,llm_best,-2,2,1,amt_dur,.0002093645452932,0.000,.0013803654310972,0.001,.879444946715678,613357,inc_y_gt_p,90,-.0024961517,.0029148809,3,-2,-1.988649
inc_y_gt_p95,llm_best,-2,2,1,amt_dur,.000534329142365,0.001,.001091970239833,0.001,.6246121895237375,613357,inc_y_gt_p,95,-.0016059325,.0026745908,3,-2,-1.9710305
inc_y_gt_p0,llm_best,0,2,1,amt_dur,-.0010297834858031,-0.001,.0031431691879539,0.003,.7431952665973061,613357,inc_y_gt_p,0,-.0071903951,.0051308279,3,0,-.055831369
inc_y_gt_p5,llm_best,0,2,1,amt_dur,-.0008381768846065,-0.001,.003118727950543,0.003,.7881180073953715,613357,inc_y_gt_p,5,-.0069508837,.00527453,3,0,-.04544311
inc_y_gt_p10,llm_best,0,2,1,amt_dur,-.0021513449317462,-0.002,.0031227227899467,0.003,.490867422253351,613357,inc_y_gt_p,10,-.0082718814,.0039691916,3,0,-.11663863
inc_y_gt_p15,llm_best,0,2,1,amt_dur,-.0049792674620286,-0.005,.003243081292333,0.003,.124700884958462,613357,inc_y_gt_p,15,-.011335706,.0013771718,3,0,-.269959
inc_y_gt_p20,llm_best,0,2,1,amt_dur,-.005980096831766,-0.006*,.0031971171481904,0.003,.0614221802290352,613357,inc_y_gt_p,20,-.012246447,.00028625279,2,0,-.32422057
inc_y_gt_p25,llm_best,0,2,1,amt_dur,-.0073778128996136,-0.007**,.0032758285500568,0.003,.0243119801292541,613357,inc_y_gt_p,25,-.013798437,-.00095718895,1,0,-.40000001
inc_y_gt_p30,llm_best,0,2,1,amt_dur,-.0062226836762975,-0.006**,.0031712553613062,0.003,.049740304563531,613357,inc_y_gt_p,30,-.012438344,-7.0231681e-06,1,0,-.33737281
