outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,llm_best,-2,2,1,amt_dur,-.0034611488019845,-0.003*,.0020994584821414,0.002,.0992345910987521,669154,taxable_income_gt_p,0,-.0075760875,.00065378984,2,-2,-2.1078694
taxable_income_gt_p5,llm_best,-2,2,1,amt_dur,-.0021141397812482,-0.002,.0022478053380063,0.002,.3469454629032582,669154,taxable_income_gt_p,5,-.0065198382,.0022915588,3,-2,-2.0658889
taxable_income_gt_p10,llm_best,-2,2,1,amt_dur,-.0014191481449608,-0.001,.0022884811749246,0.002,.53517584432099,669154,taxable_income_gt_p,10,-.0059045712,.003066275,3,-2,-2.0442288
taxable_income_gt_p15,llm_best,-2,2,1,amt_dur,-.004242928870386,-0.004*,.0022674114545499,0.002,.0613112415009012,669154,taxable_income_gt_p,15,-.0086870557,.00020119757,2,-2,-2.1322343
taxable_income_gt_p20,llm_best,-2,2,1,amt_dur,-.0033034540400234,-0.003,.0021748597579557,0.002,.1287839765417938,669154,taxable_income_gt_p,20,-.0075661791,.0009592711,3,-2,-2.1029549
taxable_income_gt_p25,llm_best,-2,2,1,amt_dur,-.0016747385022929,-0.002,.0022197366125364,0.002,.4505651144502513,669154,taxable_income_gt_p,25,-.0060254224,.0026759452,3,-2,-2.0521946
taxable_income_gt_p30,llm_best,-2,2,1,amt_dur,-.00229912883115,-0.002,.0023107346765494,0.002,.3197496832355035,669154,taxable_income_gt_p,30,-.0068281689,.002229911,3,-2,-2.0716541
taxable_income_gt_p35,llm_best,-2,2,1,amt_dur,-.0017648513479499,-0.002,.0025291207795731,0.003,.4852962880407556,669154,taxable_income_gt_p,35,-.0067219283,.0031922255,3,-2,-2.0550029
taxable_income_gt_p40,llm_best,-2,2,1,amt_dur,.0007194808053731,0.001,.0026299674511608,0.003,.7844154851438713,669154,taxable_income_gt_p,40,-.0044352552,.005874217,3,-2,-1.9775769
taxable_income_gt_p45,llm_best,-2,2,1,amt_dur,.001236405585369,0.001,.0025575545273482,0.003,.6287895800023737,669154,taxable_income_gt_p,45,-.0037764013,.0062492127,3,-2,-1.9614664
taxable_income_gt_p50,llm_best,-2,2,1,amt_dur,.0019905891425858,0.002,.002459038513738,0.002,.4182301455807015,669154,taxable_income_gt_p,50,-.0028291263,.0068103047,3,-2,-1.9379617
taxable_income_gt_p55,llm_best,-2,2,1,amt_dur,.0019727692303237,0.002,.0024722825258037,0.002,.4248987513529019,669154,taxable_income_gt_p,55,-.0028729045,.0068184431,3,-2,-1.9385171
taxable_income_gt_p60,llm_best,-2,2,1,amt_dur,.0005570462186889,0.001,.0027354537062927,0.003,.8386357018280304,669154,taxable_income_gt_p,60,-.0048044431,.0059185354,3,-2,-1.9826392
taxable_income_gt_p65,llm_best,-2,2,1,amt_dur,-.0013176905775526,-0.001,.0030444482312402,0.003,.6651482787773857,669154,taxable_income_gt_p,65,-.0072848089,.0046494282,3,-2,-2.0410669
taxable_income_gt_p70,llm_best,-2,2,1,amt_dur,.0001533713377442,0.000,.0030386805695527,0.003,.9597455634174167,669154,taxable_income_gt_p,70,-.0058024428,.0061091851,3,-2,-1.9952201
taxable_income_gt_p75,llm_best,-2,2,1,amt_dur,.0009711956975835,0.001,.0026702817642688,0.003,.7160788448541553,669154,taxable_income_gt_p,75,-.0042625568,.0062049478,3,-2,-1.9697319
taxable_income_gt_p80,llm_best,-2,2,1,amt_dur,.0003440641908757,0.000,.0025108429196383,0.003,.8910062957189071,669154,taxable_income_gt_p,80,-.0045771878,.0052653165,3,-2,-1.989277
