outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,llm_shortspl_p50,-2,2,1,amt_dur,.0002142378363164,0.000,.000831463805441,0.001,.7966672247279127,589909,inc_tot_gt_p,0,-.0014154313,.0018439069,3,-2,-1.986912
inc_tot_gt_p5,llm_shortspl_p50,-2,2,1,amt_dur,.0015266718564954,0.002,.0015477697893838,0.002,.3239547342528512,589909,inc_tot_gt_p,5,-.0015069569,.0045603006,3,-2,-1.9067341
inc_tot_gt_p10,llm_shortspl_p50,-2,2,1,amt_dur,.0018770491449847,0.002,.0018910387169577,0.002,.3209064535277241,589909,inc_tot_gt_p,10,-.0018293867,.0055834851,3,-2,-1.8853292
inc_tot_gt_p15,llm_shortspl_p50,-2,2,1,amt_dur,-.0009890957698336,-0.001,.0020379815492482,0.002,.62744266430935,589909,inc_tot_gt_p,15,-.0049835397,.0030053481,3,-2,-2.0604248
inc_tot_gt_p20,llm_shortspl_p50,-2,2,1,amt_dur,-.0000985768206033,-0.000,.0020493012700206,0.002,.9616345382699625,589909,inc_tot_gt_p,20,-.0041152071,.0039180536,3,-2,-2.0060222
inc_tot_gt_p25,llm_shortspl_p50,-2,2,1,amt_dur,.0016050056962526,0.002,.0021183837012299,0.002,.4486589912798552,589909,inc_tot_gt_p,25,-.0025470264,.0057570376,3,-2,-1.9019487
inc_tot_gt_p30,llm_shortspl_p50,-2,2,1,amt_dur,-.000826888597622,-0.001,.0020469965397162,0.002,.6862488576798617,589909,inc_tot_gt_p,30,-.0048390017,.0031852247,3,-2,-2.0505154
inc_tot_gt_p35,llm_shortspl_p50,-2,2,1,amt_dur,-.0015262382696073,-0.002,.0021143244008704,0.002,.4703846855822549,589909,inc_tot_gt_p,35,-.0056703142,.0026178376,3,-2,-2.0932393
inc_tot_gt_p40,llm_shortspl_p50,-2,2,1,amt_dur,-.0023652770807937,-0.002,.0022368392563785,0.002,.2903230048019038,589909,inc_tot_gt_p,40,-.0067494819,.0020189278,3,-2,-2.1444972
inc_tot_gt_p45,llm_shortspl_p50,-2,2,1,amt_dur,.0008351336886241,0.001,.0024475808107393,0.002,.7329479169878546,589909,inc_tot_gt_p,45,-.0039621247,.0056323921,3,-2,-1.9489809
