outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,llm_shortspl_p50,-2,2,1,amt_dur,.0000892470372609,0.000,.002065092187865,0.002,.9655286665184588,642782,taxable_income_gt_p,0,-.0039583337,.0041368278,3,-2,-1.9900948
taxable_income_gt_p5,llm_shortspl_p50,-2,2,1,amt_dur,.0020102787532318,0.002,.002222694136431,0.002,.3657679925793548,642782,taxable_income_gt_p,5,-.0023462018,.0063667591,3,-2,-1.7768856
taxable_income_gt_p10,llm_shortspl_p50,-2,2,1,amt_dur,.0008727699120436,0.001,.0022764685488946,0.002,.7014332405108201,642782,taxable_income_gt_p,10,-.0035891084,.0053346483,3,-2,-1.9031341
taxable_income_gt_p15,llm_shortspl_p50,-2,2,1,amt_dur,.0000636003818847,0.000,.0022203677284297,0.002,.977148520434695,642782,taxable_income_gt_p,15,-.0042883204,.0044155209,3,-2,-1.9929411
taxable_income_gt_p20,llm_shortspl_p50,-2,2,1,amt_dur,-.0005193630546738,-0.001,.0022105688398306,0.002,.8142516028157003,642782,taxable_income_gt_p,20,-.0048520779,.003813352,3,-2,-2.0576425
taxable_income_gt_p25,llm_shortspl_p50,-2,2,1,amt_dur,-.0009225372212121,-0.001,.002219952671652,0.002,.6777284477370711,642782,taxable_income_gt_p,25,-.0052736443,.00342857,3,-2,-2.1023893
taxable_income_gt_p30,llm_shortspl_p50,-2,2,1,amt_dur,-.0006166517162825,-0.001,.0022550614445293,0.002,.7845061695401375,642782,taxable_income_gt_p,30,-.005036572,.0038032688,3,-2,-2.0684402
taxable_income_gt_p35,llm_shortspl_p50,-2,2,1,amt_dur,.0006203282922239,0.001,.0023622725767809,0.002,.7928609458780591,642782,taxable_income_gt_p,35,-.004009726,.0052503827,3,-2,-1.9311517
taxable_income_gt_p40,llm_shortspl_p50,-2,2,1,amt_dur,-.0001604548244967,-0.000,.0024759168937997,0.002,.9483284252698462,642782,taxable_income_gt_p,40,-.0050132521,.0046923421,3,-2,-2.0178084
taxable_income_gt_p45,llm_shortspl_p50,-2,2,1,amt_dur,.0006907405744849,0.001,.0024772055866582,0.002,.7803692990442826,642782,taxable_income_gt_p,45,-.0041645826,.0055460637,3,-2,-1.923337
taxable_income_gt_p50,llm_shortspl_p50,-2,2,1,amt_dur,.0012739041441825,0.001,.0023760634277234,0.002,.591862643989125,642782,taxable_income_gt_p,50,-.0033831801,.0059309886,3,-2,-1.8586135
taxable_income_gt_p55,llm_shortspl_p50,-2,2,1,amt_dur,.0000392582429202,0.000,.0023729613156825,0.002,.9868004452370371,642782,taxable_income_gt_p,55,-.0046117459,.0046902625,3,-2,-1.9956429
taxable_income_gt_p60,llm_shortspl_p50,-2,2,1,amt_dur,.0017022949463332,0.002,.0025087399835874,0.003,.497427391965599,642782,taxable_income_gt_p,60,-.0032148354,.0066194255,3,-2,-1.8110678
taxable_income_gt_p65,llm_shortspl_p50,-2,2,1,amt_dur,.0018842629396823,0.002,.0028018667707801,0.003,.5012653996300296,642782,taxable_income_gt_p,65,-.003607396,.0073759216,3,-2,-1.7908717
taxable_income_gt_p70,llm_shortspl_p50,-2,2,1,amt_dur,.0013748286367173,0.001,.0027636192302265,0.003,.6188560291880083,642782,taxable_income_gt_p,70,-.004041865,.0067915223,3,-2,-1.8474122
taxable_income_gt_p75,llm_shortspl_p50,-2,2,1,amt_dur,-.0014685296607958,-0.001,.0024971733703401,0.002,.5564821901097142,642782,taxable_income_gt_p,75,-.0063629895,.0034259302,3,-2,-2.1629875
taxable_income_gt_p80,llm_shortspl_p50,-2,2,1,amt_dur,-.0014730038968109,-0.001,.0023842261244393,0.002,.536700678681843,642782,taxable_income_gt_p,80,-.0061460873,.0032000793,3,-2,-2.1634839
taxable_income_gt_p85,llm_shortspl_p50,-2,2,1,amt_dur,.0006088338881719,0.001,.0022512605481915,0.002,.7868213507518542,642782,taxable_income_gt_p,85,-.0038036369,.0050213044,3,-2,-1.9324275
taxable_income_gt_p90,llm_shortspl_p50,-2,2,1,amt_dur,.0000757404087455,0.000,.0018057618355222,0.002,.966543635965421,642782,taxable_income_gt_p,90,-.0034635528,.0036150336,3,-2,-1.9915938
taxable_income_gt_p95,llm_shortspl_p50,-2,2,1,amt_dur,-.0024725987045758,-0.002,.0015273550335527,0.002,.1054772956669859,642782,taxable_income_gt_p,95,-.0054662144,.00052101718,3,-2,-2.2744257
