outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,llm_shortspl_p75,-2,2,1,amt_dur,.0032509522162084,0.003,.0030698272401325,0.003,.2896017707939933,589909,inc_work_gt_p,0,-.0027659091,.0092678135,3,-2,-1.8328234
inc_work_gt_p5,llm_shortspl_p75,-2,2,1,amt_dur,.0060581933926335,0.006*,.0032235707568124,0.003,.0602008803691102,589909,inc_work_gt_p,5,-.0002600053,.012376392,2,-2,-1.6884643
inc_work_gt_p10,llm_shortspl_p75,-2,2,1,amt_dur,.005028030661105,0.005,.0033121923304951,0.003,.1290084682367014,589909,inc_work_gt_p,10,-.0014638663,.011519928,3,-2,-1.7414392
inc_work_gt_p15,llm_shortspl_p75,-2,2,1,amt_dur,.0020068014018992,0.002,.0032974887442053,0.003,.5428011977851217,589909,inc_work_gt_p,15,-.0044562765,.0084698796,3,-2,-1.8968025
inc_work_gt_p20,llm_shortspl_p75,-2,2,1,amt_dur,-.0021663792124206,-0.002,.0031678221491866,0.003,.4940588324596414,589909,inc_work_gt_p,20,-.0083753103,.0040425523,3,-2,-2.1114037
inc_work_gt_p25,llm_shortspl_p75,-2,2,1,amt_dur,-.0014355005310342,-0.001,.0032904400377651,0.003,.662646213888308,589909,inc_work_gt_p,25,-.0078847632,.005013762,3,-2,-2.0738189
inc_work_gt_p30,llm_shortspl_p75,-2,2,1,amt_dur,-.0000175946090021,-0.000,.0031713066710501,0.003,.9955733208823688,589909,inc_work_gt_p,30,-.0062333555,.0061981664,3,-2,-2.0009048
inc_work_gt_p35,llm_shortspl_p75,-2,2,1,amt_dur,.0012932705369738,0.001,.002968061244928,0.003,.6630343328011175,589909,inc_work_gt_p,35,-.0045241294,.0071106707,3,-2,-1.933495
inc_work_gt_p40,llm_shortspl_p75,-2,2,1,amt_dur,-.000610987721493,-0.001,.0027621274582008,0.003,.8249357507738936,589909,inc_work_gt_p,40,-.0060247574,.0048027821,3,-2,-2.0314193
inc_work_gt_p45,llm_shortspl_p75,-2,2,1,amt_dur,-.0020676833463889,-0.002,.0026820074511048,0.003,.4407408086762603,589909,inc_work_gt_p,45,-.0073244181,.0031890513,3,-2,-2.1063282
inc_work_gt_p50,llm_shortspl_p75,-2,2,1,amt_dur,-.0010002213603196,-0.001,.0026254473894403,0.003,.7032250625784537,589909,inc_work_gt_p,50,-.006146098,.0041456553,3,-2,-2.0514352
inc_work_gt_p55,llm_shortspl_p75,-2,2,1,amt_dur,-.0023096394669173,-0.002,.002560796946886,0.003,.367100570559955,589909,inc_work_gt_p,55,-.0073288013,.0027095226,3,-2,-2.1187706
inc_work_gt_p60,llm_shortspl_p75,-2,2,1,amt_dur,-.0022871415988577,-0.002,.0024896915785532,0.002,.358283911008641,589909,inc_work_gt_p,60,-.007166937,.002592654,3,-2,-2.1176138
inc_work_gt_p65,llm_shortspl_p75,-2,2,1,amt_dur,-.0016675586300317,-0.002,.0024091475837818,0.002,.4888273706298752,589909,inc_work_gt_p,65,-.006389488,.0030543706,3,-2,-2.0857522
inc_work_gt_p70,llm_shortspl_p75,-2,2,1,amt_dur,-.001967886350238,-0.002,.0023575923245357,0.002,.4038878272320644,589909,inc_work_gt_p,70,-.0065887673,.0026529946,3,-2,-2.1011963
inc_work_gt_p75,llm_shortspl_p75,-2,2,1,amt_dur,-.0022437721577805,-0.002,.0022829388970927,0.002,.3256869243421856,589909,inc_work_gt_p,75,-.0067183324,.0022307881,3,-2,-2.1153834
inc_work_gt_p80,llm_shortspl_p75,-2,2,1,amt_dur,-.0013339514728478,-0.001,.0021224569637802,0.002,.5296819218047899,589909,inc_work_gt_p,80,-.0054939673,.0028260641,3,-2,-2.0685968
