outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,llm_shortspl_p75,-2,2,1,amt_dur,.0011981220395172,0.001,.0034081447802796,0.003,.7251790428551087,600602,inc_y_gt_p,0,-.0054818415,.0078780856,3,-2,-1.9151512
inc_y_gt_p5,llm_shortspl_p75,-2,2,1,amt_dur,.001392986634695,0.001,.0033707404148692,0.003,.6794182919174219,600602,inc_y_gt_p,5,-.0052136644,.0079996381,3,-2,-1.9013513
inc_y_gt_p10,llm_shortspl_p75,-2,2,1,amt_dur,.000490598614548,0.000,.0033051524425812,0.003,.8820002049998383,600602,inc_y_gt_p,10,-.0059875003,.0069686975,3,-2,-1.9652567
inc_y_gt_p15,llm_shortspl_p75,-2,2,1,amt_dur,-.0028057907319112,-0.003,.0032674304259748,0.003,.3905001193623697,600602,inc_y_gt_p,15,-.0092099542,.0035983729,3,-2,-2.1987007
inc_y_gt_p20,llm_shortspl_p75,-2,2,1,amt_dur,-.0031910685674442,-0.003,.0033574641913288,0.003,.3418911523642845,600602,inc_y_gt_p,20,-.0097716982,.0033895613,3,-2,-2.2259853
inc_y_gt_p25,llm_shortspl_p75,-2,2,1,amt_dur,-.0056482740668821,-0.006*,.0032881700510975,0.003,.0858444470983982,600602,inc_y_gt_p,25,-.012093088,.00079653924,2,-2,-2.4000001
inc_y_gt_p30,llm_shortspl_p75,-2,2,1,amt_dur,-.001184812433477,-0.001,.0031967550574538,0.003,.7109141868172311,600602,inc_y_gt_p,30,-.0074504525,.0050808275,3,-2,-2.0839062
inc_y_gt_p35,llm_shortspl_p75,-2,2,1,amt_dur,-1.18981321169e-06,-0.000,.0029493851365198,0.003,.9996781257891149,600602,inc_y_gt_p,35,-.0057819849,.0057796049,3,-2,-2.0000842
inc_y_gt_p40,llm_shortspl_p75,-2,2,1,amt_dur,-.0028278860787785,-0.003,.0026485475119535,0.003,.2856531959832537,600602,inc_y_gt_p,40,-.0080190394,.0023632671,3,-2,-2.2002654
inc_y_gt_p45,llm_shortspl_p75,-2,2,1,amt_dur,-.0041421205100978,-0.004,.0025441794117507,0.003,.1035119042453768,600602,inc_y_gt_p,45,-.0091287121,.00084447116,3,-2,-2.2933371
inc_y_gt_p50,llm_shortspl_p75,-2,2,1,amt_dur,-.0027610566155746,-0.003,.0023358800752022,0.002,.2372008478784358,600602,inc_y_gt_p,50,-.0073393816,.0018172683,3,-2,-2.1955328
inc_y_gt_p55,llm_shortspl_p75,-2,2,1,amt_dur,.0005073070861729,0.001,.0022667323867088,0.002,.8229091724352549,600602,inc_y_gt_p,55,-.0039354884,.0049501024,3,-2,-1.9640735
inc_y_gt_p60,llm_shortspl_p75,-2,2,1,amt_dur,-.0006149202922859,-0.001,.0021992774472503,0.002,.7797842203410046,600602,inc_y_gt_p,60,-.0049255039,.0036956635,3,-2,-2.0435474
inc_y_gt_p65,llm_shortspl_p75,-2,2,1,amt_dur,-.0014927009557744,-0.001,.002097940220697,0.002,.4767713672951285,600602,inc_y_gt_p,65,-.0056046639,.0026192619,3,-2,-2.1057103
inc_y_gt_p70,llm_shortspl_p75,-2,2,1,amt_dur,.0008227946272492,0.001,.0020100814593188,0.002,.6822955310829626,600602,inc_y_gt_p,70,-.0031169651,.0047625541,3,-2,-1.9417312
inc_y_gt_p75,llm_shortspl_p75,-2,2,1,amt_dur,-.0006469655715473,-0.001,.0018878472929701,0.002,.7318248162069523,600602,inc_y_gt_p,75,-.0043471465,.0030532151,3,-2,-2.0458169
inc_y_gt_p80,llm_shortspl_p75,-2,2,1,amt_dur,5.80649460880e-06,0.000,.0018461657190068,0.002,.9974905328068342,600602,inc_y_gt_p,80,-.0036126783,.0036242914,3,-2,-1.9995888
inc_y_gt_p85,llm_shortspl_p75,-2,2,1,amt_dur,.0006241423869803,0.001,.0017386472850399,0.002,.7196096681625787,600602,inc_y_gt_p,85,-.0027836063,.004031891,3,-2,-1.9557995
inc_y_gt_p90,llm_shortspl_p75,-2,2,1,amt_dur,.0004025329952302,0.000,.0013323711391932,0.001,.7625629635416824,600602,inc_y_gt_p,90,-.0022089144,.0030139803,3,-2,-1.9714934
inc_y_gt_p95,llm_shortspl_p75,-2,2,1,amt_dur,-.0009552519585148,-0.001,.0009971536408622,0.001,.3380759852962807,600602,inc_y_gt_p,95,-.0029096731,.00099916919,3,-2,-2.0676491
inc_y_gt_p0,llm_shortspl_p75,0,2,1,amt_dur,-.0042598515211793,-0.004,.0035202600463019,0.004,.2262452520931042,600602,inc_y_gt_p,0,-.011159562,.0026398583,3,0,-.30167457
inc_y_gt_p5,llm_shortspl_p75,0,2,1,amt_dur,-.0024308849553876,-0.002,.0034989622016103,0.003,.4872171334476727,600602,inc_y_gt_p,5,-.0092888512,.004427081,3,0,-.17215064
inc_y_gt_p10,llm_shortspl_p75,0,2,1,amt_dur,-.0000682564954378,-0.000,.0035603355583318,0.004,.9847044413062913,600602,inc_y_gt_p,10,-.0070465142,.0069100014,3,0,-.0048337947
inc_y_gt_p15,llm_shortspl_p75,0,2,1,amt_dur,-.0008525627494541,-0.001,.0035666434167625,0.004,.8110767654937325,600602,inc_y_gt_p,15,-.0078431843,.0061380584,3,0,-.060376868
inc_y_gt_p20,llm_shortspl_p75,0,2,1,amt_dur,-.0022109488963517,-0.002,.0035064922508965,0.004,.5283493680095079,600602,inc_y_gt_p,20,-.0090836734,.0046617761,3,0,-.15657519
inc_y_gt_p25,llm_shortspl_p75,0,2,1,amt_dur,-.0053729518102936,-0.005,.0035464736147325,0.004,.1297726414463559,600602,inc_y_gt_p,25,-.01232404,.0015781365,3,0,-.38050219
inc_y_gt_p30,llm_shortspl_p75,0,2,1,amt_dur,-.0002552080330678,-0.000,.003414709350534,0.003,.940423453225405,600602,inc_y_gt_p,30,-.0069480385,.0064376225,3,0,-.018073346
inc_y_gt_p35,llm_shortspl_p75,0,2,1,amt_dur,-.0008237769781228,-0.001,.0032598702632692,0.003,.8004987662753115,600602,inc_y_gt_p,35,-.0072131227,.0055655688,3,0,-.058338314
inc_y_gt_p40,llm_shortspl_p75,0,2,1,amt_dur,-.0032633377843943,-0.003,.003050988078694,0.003,.2848020339391064,600602,inc_y_gt_p,40,-.0092432741,.0027165988,3,0,-.23110336
inc_y_gt_p45,llm_shortspl_p75,0,2,1,amt_dur,-.0049840051697814,-0.005*,.0029115537241967,0.003,.0869363919024729,600602,inc_y_gt_p,45,-.010690651,.00072264014,2,0,-.35295776
inc_y_gt_p50,llm_shortspl_p75,0,2,1,amt_dur,-.004770104408929,-0.005*,.0027460961229403,0.003,.0823817771582769,600602,inc_y_gt_p,50,-.010152453,.00061224401,2,0,-.33780971
inc_y_gt_p55,llm_shortspl_p75,0,2,1,amt_dur,-.001514139326676,-0.002,.0025723262462412,0.003,.5561133008995163,600602,inc_y_gt_p,55,-.0065558986,.0035276201,3,0,-.10722846
inc_y_gt_p60,llm_shortspl_p75,0,2,1,amt_dur,-.0020023504337785,-0.002,.0025197450262235,0.003,.4268110598007115,600602,inc_y_gt_p,60,-.0069410508,.0029363497,3,0,-.14180264
inc_y_gt_p65,llm_shortspl_p75,0,2,1,amt_dur,-.0022823686945413,-0.002,.0024130647507004,0.002,.3442336030389361,600602,inc_y_gt_p,65,-.0070119756,.0024472382,3,0,-.161633
inc_y_gt_p70,llm_shortspl_p75,0,2,1,amt_dur,-.0011701861835528,-0.001,.0023044286494911,0.002,.6115956315096613,600602,inc_y_gt_p,70,-.0056868661,.0033464939,3,0,-.082870357
inc_y_gt_p75,llm_shortspl_p75,0,2,1,amt_dur,.0001856956873244,0.000,.0020702503768793,0.002,.9285280245802805,600602,inc_y_gt_p,75,-.003871995,.0042433864,3,0,.013150615
inc_y_gt_p80,llm_shortspl_p75,0,2,1,amt_dur,.0008151290476711,0.001,.0018968341777467,0.002,.6673920963300098,600602,inc_y_gt_p,80,-.0029026659,.0045329239,3,0,.057725884
inc_y_gt_p85,llm_shortspl_p75,0,2,1,amt_dur,.0017406355931223,0.002,.0017358829108651,0.002,.3159899457300147,600602,inc_y_gt_p,85,-.001661695,.0051429663,3,0,.12326849
