outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,llm_worst,-2,2,1,amt_dur,-.0008722296258496,-0.001,.0009594218576251,0.001,.3632889913270024,606095,inc_tot_gt_p,0,-.0027526964,.0010082372,3,-2,-2.0276463
inc_tot_gt_p5,llm_worst,-2,2,1,amt_dur,.002033707666093,0.002,.0018115517438684,0.002,.2615961484103799,606095,inc_tot_gt_p,5,-.0015169338,.0055843489,3,-2,-1.9355391
inc_tot_gt_p10,llm_worst,-2,2,1,amt_dur,.0048282868149645,0.005*,.0025948024855986,0.003,.0627820197364697,606095,inc_tot_gt_p,10,-.00025752606,.0099140992,2,-2,-1.8469614
inc_tot_gt_p15,llm_worst,-2,2,1,amt_dur,.0022048774932137,0.002,.0029389976707287,0.003,.4531275558438813,606095,inc_tot_gt_p,15,-.0035555579,.0079653133,3,-2,-1.9301137
inc_tot_gt_p20,llm_worst,-2,2,1,amt_dur,.001328326015835,0.001,.0027471221878694,0.003,.6287179460727994,606095,inc_tot_gt_p,20,-.0040560337,.0067126853,3,-2,-1.9578971
inc_tot_gt_p25,llm_worst,-2,2,1,amt_dur,.0040775121452305,0.004,.0026683246642062,0.003,.1264867078588489,606095,inc_tot_gt_p,25,-.0011524042,.0093074283,3,-2,-1.8707582
inc_tot_gt_p30,llm_worst,-2,2,1,amt_dur,.0051796379242417,0.005**,.0025501804623858,0.003,.0422488620590707,606095,inc_tot_gt_p,30,.00018128422,.010177991,1,-2,-1.8358248
inc_tot_gt_p35,llm_worst,-2,2,1,amt_dur,.0029321020867908,0.003,.0025923811031795,0.003,.2580385093228637,606095,inc_tot_gt_p,35,-.0021489649,.0080131693,3,-2,-1.9070634
inc_tot_gt_p40,llm_worst,-2,2,1,amt_dur,.0013813769328238,0.001,.0029892400072824,0.003,.6439988439653427,606095,inc_tot_gt_p,40,-.0044775335,.0072402875,3,-2,-1.9562155
inc_tot_gt_p45,llm_worst,-2,2,1,amt_dur,.0003328164820586,0.000,.0028518356910629,0.003,.9070960111171386,606095,inc_tot_gt_p,45,-.0052567814,.0059224144,3,-2,-1.9894509
inc_tot_gt_p50,llm_worst,-2,2,1,amt_dur,-.002139517093715,-0.002,.0031145265285267,0.003,.4921172479278563,606095,inc_tot_gt_p,50,-.0082439892,.003964955,3,-2,-2.0678146
inc_tot_gt_p55,llm_worst,-2,2,1,amt_dur,.0040978031219737,0.004,.0030891264550229,0.003,.1846689658688827,606095,inc_tot_gt_p,55,-.0019568847,.010152491,3,-2,-1.870115
inc_tot_gt_p60,llm_worst,-2,2,1,amt_dur,.0033258677359235,0.003,.0031670554286591,0.003,.2936539773020709,606095,inc_tot_gt_p,60,-.0028815609,.0095332963,3,-2,-1.8945824
inc_tot_gt_p65,llm_worst,-2,2,1,amt_dur,.0004424777451022,0.000,.0031238281357528,0.003,.8873599233086813,606095,inc_tot_gt_p,65,-.0056802253,.0065651811,3,-2,-1.9859751
inc_tot_gt_p70,llm_worst,-2,2,1,amt_dur,.0007287683230867,0.001,.0029969072789717,0.003,.8078715281795015,606095,inc_tot_gt_p,70,-.0051451698,.0066027064,3,-2,-1.9769008
