outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,llm_worst,-2,2,1,amt_dur,.0053208808522167,0.005*,.0031404378152713,0.003,.0902092034243548,606095,inc_work_gt_p,0,-.00083437725,.011476139,2,-2,-1.7788738
inc_work_gt_p5,llm_worst,-2,2,1,amt_dur,.0030780863909622,0.003,.0034794670894543,0.003,.3763513327928502,606095,inc_work_gt_p,5,-.003741669,.0098978421,3,-2,-1.8720803
inc_work_gt_p10,llm_worst,-2,2,1,amt_dur,.000475867801862,0.000,.0035447159526594,0.004,.8932074640514505,606095,inc_work_gt_p,10,-.0064717755,.0074235112,3,-2,-1.9802238
inc_work_gt_p15,llm_worst,-2,2,1,amt_dur,.0055483690088467,0.006*,.0033340394197129,0.003,.0960839944750012,606095,inc_work_gt_p,15,-.00098634826,.012083086,2,-2,-1.7694198
inc_work_gt_p20,llm_worst,-2,2,1,amt_dur,.0040965581510052,0.004,.0032890125858019,0.003,.212940587280327,606095,inc_work_gt_p,20,-.0023499066,.010543023,3,-2,-1.8297545
inc_work_gt_p25,llm_worst,-2,2,1,amt_dur,.0049255323111836,0.005,.0032600682606542,0.003,.1308253252221031,606095,inc_work_gt_p,25,-.0014642015,.011315266,3,-2,-1.7953037
inc_work_gt_p30,llm_worst,-2,2,1,amt_dur,.0045411139435626,0.005,.0031752031692079,0.003,.1526683595057154,606095,inc_work_gt_p,30,-.0016822843,.010764512,3,-2,-1.8112795
inc_work_gt_p35,llm_worst,-2,2,1,amt_dur,.0007905355708166,0.001,.0030908159968022,0.003,.7981295817483779,606095,inc_work_gt_p,35,-.0052674636,.006848535,3,-2,-1.9671468
inc_work_gt_p40,llm_worst,-2,2,1,amt_dur,-.001146035043492,-0.001,.0032419589643728,0.003,.7237137941492602,606095,inc_work_gt_p,40,-.0075002746,.0052082045,3,-2,-2.0476272
inc_work_gt_p45,llm_worst,-2,2,1,amt_dur,-.0002734864600737,-0.000,.0029903036766144,0.003,.9271290579499234,606095,inc_work_gt_p,45,-.0061344816,.0055875089,3,-2,-2.0113657
inc_work_gt_p50,llm_worst,-2,2,1,amt_dur,.0004014202636735,0.000,.0029291502106718,0.003,.8909968887577451,606095,inc_work_gt_p,50,-.0053397142,.0061425548,3,-2,-1.9833177
inc_work_gt_p55,llm_worst,-2,2,1,amt_dur,.0039484669460905,0.004,.0028410417775972,0.003,.1645941330161458,606095,inc_work_gt_p,55,-.001619975,.0095169088,3,-2,-1.8359088
inc_work_gt_p60,llm_worst,-2,2,1,amt_dur,.0021419722792203,0.002,.0027148163291414,0.003,.4301177344199258,606095,inc_work_gt_p,60,-.0031790677,.0074630124,3,-2,-1.9109834
