outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,llm_worst,-2,2,1,amt_dur,.0043614415562156,0.004,.0038292164883714,0.004,.2547098406406457,613357,inc_y_gt_p,0,-.0031438228,.011866705,3,-2,-1.8849633
inc_y_gt_p5,llm_worst,-2,2,1,amt_dur,.0028722047848065,0.003,.0037554571037549,0.004,.4443875285955258,613357,inc_y_gt_p,5,-.004488491,.0102329,3,-2,-1.9242431
inc_y_gt_p10,llm_worst,-2,2,1,amt_dur,.0029260831548731,0.003,.0035735831688789,0.004,.4128971962361955,613357,inc_y_gt_p,10,-.00407814,.0099303061,3,-2,-1.922822
inc_y_gt_p15,llm_worst,-2,2,1,amt_dur,.0031963342293579,0.003,.0033549809451589,0.003,.3407377958669643,613357,inc_y_gt_p,15,-.0033794285,.0097720968,3,-2,-1.915694
inc_y_gt_p20,llm_worst,-2,2,1,amt_dur,.002509881507143,0.003,.0032877222332563,0.003,.4452204736458136,613357,inc_y_gt_p,20,-.0039340542,.0089538172,3,-2,-1.9337997
inc_y_gt_p25,llm_worst,-2,2,1,amt_dur,.0065546370371345,0.007**,.003280595874755,0.003,.0457191831602287,613357,inc_y_gt_p,25,.00012466912,.012984605,1,-2,-1.8271158
inc_y_gt_p30,llm_worst,-2,2,1,amt_dur,.0054787126028551,0.005,.0033852662822578,0.003,.1055797646183326,613357,inc_y_gt_p,30,-.0011564093,.012113835,3,-2,-1.8554943
inc_y_gt_p35,llm_worst,-2,2,1,amt_dur,.0047835714586488,0.005,.0032383611197187,0.003,.1396364426985224,613357,inc_y_gt_p,35,-.0015636163,.011130759,3,-2,-1.8738292
inc_y_gt_p40,llm_worst,-2,2,1,amt_dur,.0018322178132833,0.002,.0029088845605678,0.003,.5287813929263787,613357,inc_y_gt_p,40,-.0038691959,.0075336318,3,-2,-1.9516736
inc_y_gt_p45,llm_worst,-2,2,1,amt_dur,.0025488242204859,0.003,.0027551488459144,0.003,.3549093529656437,613357,inc_y_gt_p,45,-.0028512676,.0079489164,3,-2,-1.9327725
inc_y_gt_p50,llm_worst,-2,2,1,amt_dur,-.0003861611070258,-0.000,.0027125678515505,0.003,.886795961531829,613357,inc_y_gt_p,50,-.0057027941,.004930472,3,-2,-2.0101852
