outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,llm_worst,-2,2,1,amt_dur,.0059458805215719,0.006**,.0025905957962195,0.003,.0217249663093663,669154,taxable_income_gt_p,0,.00086831278,.011023448,1,-2,-1.7446507
taxable_income_gt_p5,llm_worst,-2,2,1,amt_dur,.0044370092635499,0.004,.0029492089294385,0.003,.1324624640233381,669154,taxable_income_gt_p,5,-.0013434403,.010217459,3,-2,-1.8094501
taxable_income_gt_p10,llm_worst,-2,2,1,amt_dur,.0018408020994695,0.002,.0031272420782876,0.003,.556107933964415,669154,taxable_income_gt_p,10,-.0042885924,.0079701962,3,-2,-1.9209456
taxable_income_gt_p15,llm_worst,-2,2,1,amt_dur,.0072206727023858,0.007**,.0028542347085595,0.003,.0114139585055727,669154,taxable_income_gt_p,15,.0016263727,.012814973,1,-2,-1.6899041
taxable_income_gt_p20,llm_worst,-2,2,1,amt_dur,.0064456279865793,0.006**,.0028278810641176,0.003,.0226505488898937,669154,taxable_income_gt_p,20,.00090298109,.011988275,1,-2,-1.7231889
taxable_income_gt_p25,llm_worst,-2,2,1,amt_dur,.0059304043697773,0.006**,.0026818158820905,0.003,.0270146437528926,669154,taxable_income_gt_p,25,.00067404524,.011186764,1,-2,-1.7453154
taxable_income_gt_p30,llm_worst,-2,2,1,amt_dur,.0034527288710915,0.003,.0026907778953506,0.003,.1994350923259233,669154,taxable_income_gt_p,30,-.0018211958,.0087266536,3,-2,-1.8517206
taxable_income_gt_p35,llm_worst,-2,2,1,amt_dur,.0029026196350831,0.003,.0027836450115982,0.003,.2970710068077221,669154,taxable_income_gt_p,35,-.0025533247,.0083585642,3,-2,-1.8753453
taxable_income_gt_p40,llm_worst,-2,2,1,amt_dur,.0012946864196207,0.001,.0032418259772921,0.003,.6896218275203805,669154,taxable_income_gt_p,40,-.0050592925,.0076486655,3,-2,-1.944399
taxable_income_gt_p45,llm_worst,-2,2,1,amt_dur,-.0000940415023082,-0.000,.0030131925489623,0.003,.975102190782911,669154,taxable_income_gt_p,45,-.005999899,.0058118161,3,-2,-2.0040386
taxable_income_gt_p50,llm_worst,-2,2,1,amt_dur,.001473513416214,0.001,.003007749676169,0.003,.6242017868145011,669154,taxable_income_gt_p,50,-.004421676,.0073687029,3,-2,-1.9367192
taxable_income_gt_p55,llm_worst,-2,2,1,amt_dur,.0014006918990691,0.001,.0029810611466736,0.003,.6384535626377772,669154,taxable_income_gt_p,55,-.004442188,.0072435718,3,-2,-1.9398465
