outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,rural,-2,2,1,amt_dur,.0006561917475522,0.001,.0007873303345596,0.001,.4045990821757447,624030,inc_tot_gt_p,0,-.00088697573,.0021993592,3,-2,-1.9734135
inc_tot_gt_p5,rural,-2,2,1,amt_dur,.001179070959108,0.001,.001871761610371,0.002,.5287444611580577,624030,inc_tot_gt_p,5,-.0024895817,.0048477235,3,-2,-1.9522283
inc_tot_gt_p10,rural,-2,2,1,amt_dur,-.0013646846937269,-0.001,.0023029932427534,0.002,.5534702117272685,624030,inc_tot_gt_p,10,-.0058785514,.0031491821,3,-2,-2.0552921
inc_tot_gt_p15,rural,-2,2,1,amt_dur,-.0041958157351172,-0.004,.0027939410329689,0.003,.133163256722231,624030,inc_tot_gt_p,15,-.0096719405,.0012803087,3,-2,-2.1699991
inc_tot_gt_p20,rural,-2,2,1,amt_dur,-.0007021177466936,-0.001,.00254559426511,0.003,.7826892850826883,624030,inc_tot_gt_p,20,-.0056914827,.0042872471,3,-2,-2.0284472
inc_tot_gt_p25,rural,-2,2,1,amt_dur,-.0024112699207345,-0.002,.0026780096638497,0.003,.3679114214256206,624030,inc_tot_gt_p,25,-.0076601687,.0028376291,3,-2,-2.0976958
inc_tot_gt_p30,rural,-2,2,1,amt_dur,-.0008183187651059,-0.001,.002541904130382,0.003,.747505288074228,624030,inc_tot_gt_p,30,-.0058004507,.0041638133,3,-2,-2.0331552
inc_tot_gt_p35,rural,-2,2,1,amt_dur,.0006055820862509,0.001,.0024797700927577,0.002,.8070694509344223,624030,inc_tot_gt_p,35,-.0042547672,.0054659313,3,-2,-1.975464
inc_tot_gt_p40,rural,-2,2,1,amt_dur,-.0014025722600417,-0.001,.0025954181696018,0.003,.5889201279916417,624030,inc_tot_gt_p,40,-.0064895917,.0036844474,3,-2,-2.0568271
inc_tot_gt_p45,rural,-2,2,1,amt_dur,-.0034265082006166,-0.003,.0026621888171884,0.003,.1980615569492582,624030,inc_tot_gt_p,45,-.0086443983,.0017913819,3,-2,-2.1388295
inc_tot_gt_p50,rural,-2,2,1,amt_dur,-.0041405792783195,-0.004,.0028304845128839,0.003,.1435108687198788,624030,inc_tot_gt_p,50,-.009688329,.0014071703,3,-2,-2.1677611
inc_tot_gt_p55,rural,-2,2,1,amt_dur,-.0050061609288174,-0.005*,.0028689660766459,0.003,.0809989453510588,624030,inc_tot_gt_p,55,-.010629334,.00061701256,2,-2,-2.2028313
