outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,rural,-2,2,1,amt_dur,.000277394151385,0.000,.0030430583477522,0.003,.9273685125187533,624030,inc_work_gt_p,0,-.0056870002,.0062417886,3,-2,-1.9877584
inc_work_gt_p5,rural,-2,2,1,amt_dur,.0027787385721748,0.003,.0035028440903923,0.004,.4276160571717771,624030,inc_work_gt_p,5,-.0040868358,.0096443128,3,-2,-1.8773726
inc_work_gt_p10,rural,-2,2,1,amt_dur,-1.86501654288e-07,-0.000,.0035667977739051,0.004,.9999582801006236,624030,inc_work_gt_p,10,-.0069911103,.0069907373,3,-2,-2.0000083
inc_work_gt_p15,rural,-2,2,1,amt_dur,.0025081765521746,0.003,.0034715358851705,0.003,.4699901362330018,624030,inc_work_gt_p,15,-.0042960336,.0093123866,3,-2,-1.8893127
inc_work_gt_p20,rural,-2,2,1,amt_dur,-.0015489927421042,-0.002,.0032795520194957,0.003,.6367005024680659,624030,inc_work_gt_p,20,-.0079769148,.0048789294,3,-2,-2.0683579
inc_work_gt_p25,rural,-2,2,1,amt_dur,-.0011655860419889,-0.001,.0032678162779723,0.003,.7213271926166804,624030,inc_work_gt_p,25,-.0075705061,.005239334,3,-2,-2.0514381
inc_work_gt_p30,rural,-2,2,1,amt_dur,.0017755175552879,0.002,.0032171002790856,0.003,.5810180351117805,624030,inc_work_gt_p,30,-.0045299991,.0080810338,3,-2,-1.9216454
inc_work_gt_p35,rural,-2,2,1,amt_dur,-.0006787782701311,-0.001,.0029984001788532,0.003,.8209061989913048,624030,inc_work_gt_p,35,-.0065556425,.0051980861,3,-2,-2.0299549
inc_work_gt_p40,rural,-2,2,1,amt_dur,-.0014775130260543,-0.001,.0028444048184312,0.003,.6034512419749603,624030,inc_work_gt_p,40,-.0070525464,.0040975204,3,-2,-2.0652034
inc_work_gt_p45,rural,-2,2,1,amt_dur,-.002909274921437,-0.003,.0028079912340835,0.003,.3001719109223769,624030,inc_work_gt_p,45,-.0084129376,.0025943879,3,-2,-2.1283879
inc_work_gt_p50,rural,-2,2,1,amt_dur,-.000891556712466,-0.001,.0027966671201223,0.003,.7498844287566737,624030,inc_work_gt_p,50,-.0063730241,.0045899106,3,-2,-2.039345
inc_work_gt_p55,rural,-2,2,1,amt_dur,.0006698220062734,0.001,.0027177876425329,0.003,.8053277567274028,624030,inc_work_gt_p,55,-.0046570417,.0059966859,3,-2,-1.9704404
inc_work_gt_p60,rural,-2,2,1,amt_dur,.0005333521137605,0.001,.0026561292239941,0.003,.8408549409686982,624030,inc_work_gt_p,60,-.004672661,.0057393652,3,-2,-1.9764628
inc_work_gt_p65,rural,-2,2,1,amt_dur,-.0006498522594291,-0.001,.0026560935312443,0.003,.8067165496368387,624030,inc_work_gt_p,65,-.0058557955,.004556091,3,-2,-2.0286784
inc_work_gt_p70,rural,-2,2,1,amt_dur,-.0025396066652334,-0.003,.0025429127363884,0.003,.3179423439540677,624030,inc_work_gt_p,70,-.0075237155,.0024445022,3,-2,-2.1120744
inc_work_gt_p75,rural,-2,2,1,amt_dur,-.0054341006598466,-0.005**,.002539878528359,0.003,.0323964690791056,624030,inc_work_gt_p,75,-.010412263,-.00045593875,1,-2,-2.23981
inc_work_gt_p80,rural,-2,2,1,amt_dur,-.0015126327611499,-0.002,.0022394509525652,0.002,.4993926050501667,624030,inc_work_gt_p,80,-.0059019565,.0028766911,3,-2,-2.0667534
inc_work_gt_p85,rural,-2,2,1,amt_dur,-.0030017936710698,-0.003,.0022007911125153,0.002,.1725826368988348,624030,inc_work_gt_p,85,-.0073153442,.0013117569,3,-2,-2.1324708
inc_work_gt_p90,rural,-2,2,1,amt_dur,-.0004883636876589,-0.000,.00198757861302,0.002,.8059088565685824,624030,inc_work_gt_p,90,-.0043840175,.0034072904,3,-2,-2.0215518
inc_work_gt_p95,rural,-2,2,1,amt_dur,-.000256358893128,-0.000,.001553578573463,0.002,.8689349559636561,624030,inc_work_gt_p,95,-.003301373,.0027886552,3,-2,-2.0113132
inc_work_gt_p0,rural,0,2,1,amt_dur,-.0002295232880241,-0.000,.0032042170736959,0.003,.9428952018969177,624030,inc_work_gt_p,0,-.0065097888,.0060507422,3,0,-.010128994
inc_work_gt_p5,rural,0,2,1,amt_dur,.0033165643297598,0.003,.0033837215540791,0.003,.32701288077461,624030,inc_work_gt_p,5,-.00331553,.0099486588,3,0,.14636189
inc_work_gt_p10,rural,0,2,1,amt_dur,.0019523805095784,0.002,.0037821708006664,0.004,.6057113717530224,624030,inc_work_gt_p,10,-.0054606744,.0093654357,3,0,.086159676
inc_work_gt_p15,rural,0,2,1,amt_dur,.0061075646493163,0.006*,.0036671330923476,0.004,.0958184330900423,624030,inc_work_gt_p,15,-.0010800163,.013295146,2,0,.26953036
inc_work_gt_p20,rural,0,2,1,amt_dur,.0054194786010025,0.005,.0036349543541367,0.004,.135981646188346,624030,inc_work_gt_p,20,-.001705032,.012543989,3,0,.23916471
inc_work_gt_p25,rural,0,2,1,amt_dur,.0046148474612933,0.005,.0037015401663033,0.004,.2124966275397223,624030,inc_work_gt_p,25,-.0026401712,.011869866,3,0,.20365587
inc_work_gt_p30,rural,0,2,1,amt_dur,.0083275140974102,0.008**,.0036261552801868,0.004,.021648459923253,624030,inc_work_gt_p,30,.0012202498,.015434778,1,0,.36749798
