outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,rural,-2,2,1,amt_dur,-.0068603677640437,-0.007*,.0039403573805283,0.004,.0816772956693055,631234,inc_y_gt_p,0,-.014583468,.0008627327,2,-2,-2.2994058
inc_y_gt_p5,rural,-2,2,1,amt_dur,-.0080012244384788,-0.008**,.0038576452255994,0.004,.0380704143584113,631234,inc_y_gt_p,5,-.015562209,-.00044023979,1,-2,-2.3491962
inc_y_gt_p10,rural,-2,2,1,amt_dur,-.0077286560429723,-0.008**,.0037628292018235,0.004,.0399831245451966,631234,inc_y_gt_p,10,-.015103801,-.00035351081,1,-2,-2.3373005
inc_y_gt_p15,rural,-2,2,1,amt_dur,-.0072302759313657,-0.007**,.0036501891329318,0.004,.0476168265505709,631234,inc_y_gt_p,15,-.014384647,-.000075905227,1,-2,-2.3155499
inc_y_gt_p20,rural,-2,2,1,amt_dur,-.0063077755170994,-0.006*,.0035306759522814,0.004,.0740109411078632,631234,inc_y_gt_p,20,-.0132279,.00061234937,2,-2,-2.2752893
inc_y_gt_p25,rural,-2,2,1,amt_dur,-.0025116917293271,-0.003,.0034970465845862,0.003,.4726156408970903,631234,inc_y_gt_p,25,-.0093659032,.0043425197,3,-2,-2.1096175
inc_y_gt_p30,rural,-2,2,1,amt_dur,.0013868632695562,0.001,.0034313179997084,0.003,.6860826295883125,631234,inc_y_gt_p,30,-.0053385198,.0081122462,3,-2,-1.9394734
inc_y_gt_p35,rural,-2,2,1,amt_dur,.0013030093935215,0.001,.0031336439641302,0.003,.6775477932456795,631234,inc_y_gt_p,35,-.0048389328,.0074449517,3,-2,-1.943133
inc_y_gt_p40,rural,-2,2,1,amt_dur,.0012590739642448,0.001,.0029298545003467,0.003,.667386068594316,631234,inc_y_gt_p,40,-.0044834409,.0070015886,3,-2,-1.9450505
inc_y_gt_p45,rural,-2,2,1,amt_dur,.0019680564464587,0.002,.0028536107968714,0.003,.4904017505615026,631234,inc_y_gt_p,45,-.0036250206,.0075611337,3,-2,-1.9141084
inc_y_gt_p50,rural,-2,2,1,amt_dur,-.0002255571924087,-0.000,.0027107534108349,0.003,.9336860653847548,631234,inc_y_gt_p,50,-.005538634,.0050875195,3,-2,-2.0098441
inc_y_gt_p55,rural,-2,2,1,amt_dur,-.001831262795364,-0.002,.0027240280355489,0.003,.5014178336798495,631234,inc_y_gt_p,55,-.0071703577,.0035078321,3,-2,-2.0799215
inc_y_gt_p60,rural,-2,2,1,amt_dur,-.0018416242036989,-0.002,.0026177083081792,0.003,.4817299264939321,631234,inc_y_gt_p,60,-.0069723325,.0032890842,3,-2,-2.0803738
inc_y_gt_p65,rural,-2,2,1,amt_dur,-.0022430954819165,-0.002,.0025103468426141,0.003,.3715700268704317,631234,inc_y_gt_p,65,-.0071633752,.0026771843,3,-2,-2.0978951
inc_y_gt_p70,rural,-2,2,1,amt_dur,-.001925435931806,-0.002,.0023821690070207,0.002,.4189369119471505,631234,inc_y_gt_p,70,-.006594487,.0027436153,3,-2,-2.0840316
inc_y_gt_p75,rural,-2,2,1,amt_dur,-.0013541377284036,-0.001,.0021220999541985,0.002,.5234020484565058,631234,inc_y_gt_p,75,-.0055134539,.0028051783,3,-2,-2.0590985
inc_y_gt_p80,rural,-2,2,1,amt_dur,-.0003364939999007,-0.000,.0020489448968431,0.002,.8695520154553545,631234,inc_y_gt_p,80,-.0043524262,.003679438,3,-2,-2.0146856
inc_y_gt_p85,rural,-2,2,1,amt_dur,-.0027513946195552,-0.003,.0019534035467216,0.002,.1589820628808314,631234,inc_y_gt_p,85,-.0065800655,.0010772763,3,-2,-2.1200786
inc_y_gt_p90,rural,-2,2,1,amt_dur,-.0006003126033284,-0.001,.0016027208163182,0.002,.7079896279419911,631234,inc_y_gt_p,90,-.0037416455,.0025410203,3,-2,-2.0261993
inc_y_gt_p95,rural,-2,2,1,amt_dur,-.000523329905614,-0.001,.0010980076924134,0.001,.6336353430046315,631234,inc_y_gt_p,95,-.002675425,.0016287651,3,-2,-2.0228395
inc_y_gt_p0,rural,0,2,1,amt_dur,-.003550976629364,-0.004,.0042667249502852,0.004,.4052703848761553,631234,inc_y_gt_p,0,-.011913758,.0048118043,3,0,-.1549747
inc_y_gt_p5,rural,0,2,1,amt_dur,-.0017587639910977,-0.002,.0042380898946016,0.004,.6781502133294395,631234,inc_y_gt_p,5,-.010065421,.006547892,3,0,-.076757453
inc_y_gt_p10,rural,0,2,1,amt_dur,-.0029783275382936,-0.003,.0043285930344859,0.004,.4914170919991698,631234,inc_y_gt_p,10,-.01146237,.005505715,3,0,-.12998267
inc_y_gt_p15,rural,0,2,1,amt_dur,.0040739290496572,0.004,.0040838413584724,0.004,.318488802895645,631234,inc_y_gt_p,15,-.0039304001,.012078258,3,0,.17779784
inc_y_gt_p20,rural,0,2,1,amt_dur,.0060604948418848,0.006,.0040135539173513,0.004,.1310445564910158,631234,inc_y_gt_p,20,-.0018060708,.01392706,3,0,.26449719
inc_y_gt_p25,rural,0,2,1,amt_dur,.0068612401948266,0.007*,.0039323581899006,0.004,.0810198180071651,631234,inc_y_gt_p,25,-.00084618188,.014568662,2,0,.29944402
inc_y_gt_p30,rural,0,2,1,amt_dur,.0031779211361552,0.003,.0036446052512838,0.004,.383236466968195,631234,inc_y_gt_p,30,-.0039655049,.010321347,3,0,.1386935
inc_y_gt_p35,rural,0,2,1,amt_dur,.0019095146390336,0.002,.0034609408123788,0.003,.5811325665006599,631234,inc_y_gt_p,35,-.0048739295,.0086929584,3,0,.083336644
inc_y_gt_p40,rural,0,2,1,amt_dur,-.0009881911199967,-0.001,.0032798060217194,0.003,.7631896794119402,631234,inc_y_gt_p,40,-.0074166111,.0054402286,3,0,-.043127466
inc_y_gt_p45,rural,0,2,1,amt_dur,-.0012692849075774,-0.001,.0031209755207104,0.003,.6842328776011189,631234,inc_y_gt_p,45,-.0073863971,.0048478269,3,0,-.055395197
inc_y_gt_p50,rural,0,2,1,amt_dur,-.0022960558966857,-0.002,.0029952692689258,0.003,.4433443951449577,631234,inc_y_gt_p,50,-.0081667835,.0035746719,3,0,-.1002064
inc_y_gt_p55,rural,0,2,1,amt_dur,-.0040748446879775,-0.004,.0028520672338272,0.003,.1530836820574572,631234,inc_y_gt_p,55,-.0096648969,.0015152071,3,0,-.17783779
inc_y_gt_p60,rural,0,2,1,amt_dur,-.0044690523377729,-0.004,.0027967074492739,0.003,.1100527735717367,631234,inc_y_gt_p,60,-.0099505987,.0010124942,3,0,-.19504213
inc_y_gt_p65,rural,0,2,1,amt_dur,-.0017019966300122,-0.002,.0026550420314671,0.003,.5214959851674162,631234,inc_y_gt_p,65,-.0069058789,.0035018858,3,0,-.074279964
inc_y_gt_p70,rural,0,2,1,amt_dur,-.0022082705596271,-0.002,.0025412430935733,0.003,.3848640707180717,631234,inc_y_gt_p,70,-.0071891071,.0027725659,3,0,-.096375197
inc_y_gt_p75,rural,0,2,1,amt_dur,-.0022246452789806,-0.002,.0022650291571981,0.002,.3260179690567978,631234,inc_y_gt_p,75,-.0066641024,.002214812,3,0,-.097089835
inc_y_gt_p80,rural,0,2,1,amt_dur,-.0009370160620309,-0.001,.0020474910432991,0.002,.6472112324862859,631234,inc_y_gt_p,80,-.0049500987,.0030760665,3,0,-.040894043
inc_y_gt_p85,rural,0,2,1,amt_dur,-.0008085612986826,-0.001,.0018737992208355,0.002,.6660991480517167,631234,inc_y_gt_p,85,-.0044812076,.0028640851,3,0,-.035287909
inc_y_gt_p90,rural,0,2,1,amt_dur,.0021860894844495,0.002,.0015319301566715,0.002,.1535780672653296,631234,inc_y_gt_p,90,-.00081649364,.0051886728,3,0,.095407151
inc_y_gt_p95,rural,0,2,1,amt_dur,-.0005257935555792,-0.001,.0013347471149845,0.001,.6936353693030308,631234,inc_y_gt_p,95,-.003141898,.0020903107,3,0,-.022947123
inc_y_gt_p0,rural,1,2,1,amt_dur,.0066862389551163,0.007,.0053198986049272,0.005,.2088158352528547,631234,inc_y_gt_p,0,-.0037407624,.01711324,3,1,1.2918065
inc_y_gt_p5,rural,1,2,1,amt_dur,.005020619709119,0.005,.0052985288975673,0.005,.3433608504245453,631234,inc_y_gt_p,5,-.0053644967,.015405736,3,1,1.2191141
inc_y_gt_p10,rural,1,2,1,amt_dur,.005288790587741,0.005,.0052491189962472,0.005,.3136690829724973,631234,inc_y_gt_p,10,-.0049994825,.015577064,3,1,1.2308178
inc_y_gt_p15,rural,1,2,1,amt_dur,.0085112744415147,0.009,.0053018049835621,0.005,.1084188343144837,631234,inc_y_gt_p,15,-.0018802633,.018902812,3,1,1.3714561
inc_y_gt_p20,rural,1,2,1,amt_dur,.0091653064673192,0.009*,.0052624440490812,0.005,.0815735392027876,631234,inc_y_gt_p,20,-.0011490838,.019479698,2,1,1.4
inc_y_gt_p25,rural,1,2,1,amt_dur,.008585772058329,0.009*,.0051806832708853,0.005,.0974685556918225,631234,inc_y_gt_p,25,-.0015683671,.018739911,2,1,1.3747075
inc_y_gt_p30,rural,1,2,1,amt_dur,.0081453489966292,0.008,.0050342060067309,0.005,.1056653744865023,631234,inc_y_gt_p,30,-.0017216948,.018012393,3,1,1.3554862
inc_y_gt_p35,rural,1,2,1,amt_dur,.0043100827394468,0.004,.0048115651763773,0.005,.3703746238503109,631234,inc_y_gt_p,35,-.0051205852,.01374075,3,1,1.1881043
inc_y_gt_p40,rural,1,2,1,amt_dur,.0015321619898816,0.002,.0043503154548382,0.004,.7246922621806456,631234,inc_y_gt_p,40,-.0069944565,.01005878,3,1,1.0668679
inc_y_gt_p45,rural,1,2,1,amt_dur,.0011937516526553,0.001,.0041958874635034,0.004,.7760238249556763,631234,inc_y_gt_p,45,-.0070301876,.0094176913,3,1,1.0520988
inc_y_gt_p50,rural,1,2,1,amt_dur,.0008852542924684,0.001,.0041402017304738,0.004,.8306885193737934,631234,inc_y_gt_p,50,-.007229541,.0090000499,3,1,1.038635
inc_y_gt_p55,rural,1,2,1,amt_dur,-.0006942965585196,-0.001,.0039576689444084,0.004,.8607415648145988,631234,inc_y_gt_p,55,-.0084513277,.0070627346,3,1,.96969891
inc_y_gt_p60,rural,1,2,1,amt_dur,-.0012331544725186,-0.001,.0037803712600884,0.004,.7442742033023859,631234,inc_y_gt_p,60,-.0086426819,.006176373,3,1,.94618165
inc_y_gt_p65,rural,1,2,1,amt_dur,-.0010637267930175,-0.001,.0036360767229575,0.004,.7698682680307204,631234,inc_y_gt_p,65,-.0081904372,.0060629835,3,1,.95357597
inc_y_gt_p70,rural,1,2,1,amt_dur,-.0015183087465677,-0.002,.003547275796376,0.004,.6686366452588626,631234,inc_y_gt_p,70,-.0084709693,.005434352,3,1,.93373668
inc_y_gt_p75,rural,1,2,1,amt_dur,-.0008308553267896,-0.001,.0032277002289264,0.003,.7968596653443816,631234,inc_y_gt_p,75,-.0071571479,.005495437,3,1,.9637391
inc_y_gt_p80,rural,1,2,1,amt_dur,.0012762829005911,0.001,.0029026322422455,0.003,.6601564087051746,631234,inc_y_gt_p,80,-.0044128764,.0069654421,3,1,1.0557007
inc_y_gt_p85,rural,1,2,1,amt_dur,.0014404715612794,0.001,.0025622962016057,0.003,.5739945900450049,631234,inc_y_gt_p,85,-.0035816289,.0064625721,3,1,1.0628662
inc_y_gt_p90,rural,1,2,1,amt_dur,.0021906457116201,0.002,.0020898190329822,0.002,.294527359164779,631234,inc_y_gt_p,90,-.0019053996,.0062866909,3,1,1.095606
inc_y_gt_p95,rural,1,2,1,amt_dur,.0016018756668046,0.002,.001429202971203,0.001,.2623680679281806,631234,inc_y_gt_p,95,-.0011993621,.0044031134,3,1,1.0699104
inc_y_gt_p0,rural,2,2,1,amt_dur,-.0060460714688519,-0.006,.005175544737021,0.005,.2427286832798898,631234,inc_y_gt_p,0,-.01619014,.0040979963,3,2,1.7361323
inc_y_gt_p5,rural,2,2,1,amt_dur,-.0071774333415299,-0.007,.0051612348382054,0.005,.1643366925992956,631234,inc_y_gt_p,5,-.017293453,.002938587,3,2,1.6867564
inc_y_gt_p10,rural,2,2,1,amt_dur,-.0084038568220249,-0.008,.005142107788379,0.005,.1021943101870221,631234,inc_y_gt_p,10,-.018482389,.0016746745,3,2,1.6332319
inc_y_gt_p15,rural,2,2,1,amt_dur,-.0046938653144473,-0.005,.0053007220826924,0.005,.3758812802999464,631234,inc_y_gt_p,15,-.01508328,.0056955498,3,2,1.7951463
inc_y_gt_p20,rural,2,2,1,amt_dur,-.0039562860919596,-0.004,.0052035723417592,0.005,.4470757964760651,631234,inc_y_gt_p,20,-.014155288,.0062427158,3,2,1.8273364
inc_y_gt_p25,rural,2,2,1,amt_dur,-.0034855797395458,-0.003,.0050826877447186,0.005,.4928565382921999,631234,inc_y_gt_p,25,-.013447648,.0064764884,3,2,1.8478794
inc_y_gt_p30,rural,2,2,1,amt_dur,-.0024619644123567,-0.002,.0049754037345662,0.005,.6207232113814063,631234,inc_y_gt_p,30,-.012213755,.0072898269,3,2,1.8925529
inc_y_gt_p35,rural,2,2,1,amt_dur,-.0006892186221894,-0.001,.0048757635509931,0.005,.8875889462669841,631234,inc_y_gt_p,35,-.010245715,.0088672778,3,2,1.9699205
inc_y_gt_p40,rural,2,2,1,amt_dur,-.0022099078572641,-0.002,.0045506203180932,0.005,.6272320529896096,631234,inc_y_gt_p,40,-.011129124,.0067093079,3,2,1.9035534
inc_y_gt_p45,rural,2,2,1,amt_dur,-.0017681778929908,-0.002,.0044405560438375,0.004,.6904921090620315,631234,inc_y_gt_p,45,-.010471668,.0069353119,3,2,1.9228317
inc_y_gt_p50,rural,2,2,1,amt_dur,-.0011472228302411,-0.001,.0043286536388652,0.004,.7909869028506812,631234,inc_y_gt_p,50,-.0096313842,.0073369383,3,2,1.949932
inc_y_gt_p55,rural,2,2,1,amt_dur,-.000224409899973,-0.000,.0041922889370693,0.004,.9573103601094531,631234,inc_y_gt_p,55,-.0084412964,.0079924762,3,2,1.9902061
inc_y_gt_p60,rural,2,2,1,amt_dur,-.0015503270628521,-0.002,.0040230286644021,0.004,.6999691311089028,631234,inc_y_gt_p,60,-.0094354637,.0063348091,3,2,1.9323393
inc_y_gt_p65,rural,2,2,1,amt_dur,-.0009726012129,-0.001,.0038553454498684,0.004,.8008302077730043,631234,inc_y_gt_p,65,-.0085290782,.006583876,3,2,1.9575529
inc_y_gt_p70,rural,2,2,1,amt_dur,-.0007089348614355,-0.001,.0036968277003352,0.004,.8479239597425076,631234,inc_y_gt_p,70,-.0079547176,.0065368474,3,2,1.9690601
inc_y_gt_p75,rural,2,2,1,amt_dur,-.000157234462872,-0.000,.0034320208358324,0.003,.9634586176970372,631234,inc_y_gt_p,75,-.0068839951,.0065695262,3,2,1.9931378
inc_y_gt_p80,rural,2,2,1,amt_dur,.0011425264768017,0.001,.0030859636670134,0.003,.7112094048988149,631234,inc_y_gt_p,80,-.0049059624,.0071910154,3,2,2.0498631
inc_y_gt_p85,rural,2,2,1,amt_dur,.0016495995046086,0.002,.0028101048056372,0.003,.5571886918011815,631234,inc_y_gt_p,85,-.0038582059,.0071574049,3,2,2.0719931
inc_y_gt_p90,rural,2,2,1,amt_dur,.0037626260842371,0.004,.0023643270018495,0.002,.1115190917822595,631234,inc_y_gt_p,90,-.00087145483,.0083967065,3,2,2.1642118
inc_y_gt_p95,rural,2,2,1,amt_dur,-.0012338354348747,-0.001,.0017900316158678,0.002,.4906477107554134,631234,inc_y_gt_p,95,-.0047422973,.0022746266,3,2,1.946152
