outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,rural,-2,2,1,amt_dur,.0010222528674473,0.001,.0025872411390511,0.003,.6927602053218916,704360,taxable_income_gt_p,0,-.0040487396,.0060932455,3,-2,-1.9704169
taxable_income_gt_p5,rural,-2,2,1,amt_dur,.0014371906158745,0.001,.0030211371098528,0.003,.6342806697193524,704360,taxable_income_gt_p,5,-.0044842381,.0073586195,3,-2,-1.958409
taxable_income_gt_p10,rural,-2,2,1,amt_dur,-.0000825122740042,-0.000,.0030763709243254,0.003,.9786023124848388,704360,taxable_income_gt_p,10,-.0061121993,.005947175,3,-2,-2.0023878
taxable_income_gt_p15,rural,-2,2,1,amt_dur,.0035740682109223,0.004,.0029604120446814,0.003,.2273241315438825,704360,taxable_income_gt_p,15,-.0022283394,.0093764756,3,-2,-1.8965696
taxable_income_gt_p20,rural,-2,2,1,amt_dur,.000997327424566,0.001,.002790792800204,0.003,.7208204151422004,704360,taxable_income_gt_p,20,-.0044726264,.0064672814,3,-2,-1.9711382
taxable_income_gt_p25,rural,-2,2,1,amt_dur,-.0000444978542967,-0.000,.0027966865115038,0.003,.9873054880374623,704360,taxable_income_gt_p,25,-.0055260034,.0054370076,3,-2,-2.0012877
taxable_income_gt_p30,rural,-2,2,1,amt_dur,.0018764142859208,0.002,.0028133337431883,0.003,.5047915747498444,704360,taxable_income_gt_p,30,-.0036377199,.0073905485,3,-2,-1.9456981
taxable_income_gt_p35,rural,-2,2,1,amt_dur,.0005162873875411,0.001,.0027687477630629,0.003,.8520768401181186,704360,taxable_income_gt_p,35,-.0049104583,.0059430329,3,-2,-1.9850591
taxable_income_gt_p40,rural,-2,2,1,amt_dur,.0012797317340202,0.001,.0028744794563001,0.003,.6561727346131595,704360,taxable_income_gt_p,40,-.0043542478,.0069137113,3,-2,-1.9629657
taxable_income_gt_p45,rural,-2,2,1,amt_dur,-.0030862879286756,-0.003,.0029452625637061,0.003,.2946952852502569,704360,taxable_income_gt_p,45,-.008859003,.0026864267,3,-2,-2.0893145
taxable_income_gt_p50,rural,-2,2,1,amt_dur,.0001492791284161,0.000,.0029455306365341,0.003,.9595807065665638,704360,taxable_income_gt_p,50,-.0056239609,.0059225191,3,-2,-1.99568
taxable_income_gt_p55,rural,-2,2,1,amt_dur,-.0002542538751697,-0.000,.0029779810188616,0.003,.9319610920239777,704360,taxable_income_gt_p,55,-.0060910969,.0055825887,3,-2,-2.0073578
taxable_income_gt_p60,rural,-2,2,1,amt_dur,-.0000944225878056,-0.000,.0028729309216487,0.003,.9737812740358855,704360,taxable_income_gt_p,60,-.005725367,.0055365223,3,-2,-2.0027325
taxable_income_gt_p65,rural,-2,2,1,amt_dur,-.0014928481128372,-0.001,.0028605008467967,0.003,.6017525423377382,704360,taxable_income_gt_p,65,-.0070994296,.0041137338,3,-2,-2.0432017
taxable_income_gt_p70,rural,-2,2,1,amt_dur,-.003845412407053,-0.004,.0027858632694999,0.003,.1674877382714421,704360,taxable_income_gt_p,70,-.0093057044,.0016148796,3,-2,-2.1112828
taxable_income_gt_p75,rural,-2,2,1,amt_dur,-.006190666123654,-0.006**,.0025646609074485,0.003,.0157873056600315,704360,taxable_income_gt_p,75,-.011217401,-.0011639307,1,-2,-2.1791525
taxable_income_gt_p80,rural,-2,2,1,amt_dur,-.0048109871591045,-0.005**,.0024221155238006,0.002,.0470053486526698,704360,taxable_income_gt_p,80,-.009558334,-.000063640735,1,-2,-2.1392257
taxable_income_gt_p85,rural,-2,2,1,amt_dur,-.0036353101190643,-0.004,.0022699785634931,0.002,.1092750621758043,704360,taxable_income_gt_p,85,-.0080844685,.00081384787,3,-2,-2.1052027
taxable_income_gt_p90,rural,-2,2,1,amt_dur,-.0030654380523789,-0.003,.0020885893709865,0.002,.1421866488805441,704360,taxable_income_gt_p,90,-.0071590734,.0010281971,3,-2,-2.088711
taxable_income_gt_p95,rural,-2,2,1,amt_dur,-.0022114400683688,-0.002,.0018338511388497,0.002,.2278589196188762,704360,taxable_income_gt_p,95,-.0058057881,.0013829082,3,-2,-2.0639973
taxable_income_gt_p0,rural,0,2,1,amt_dur,-.0049093348680374,-0.005,.0032922821446009,0.003,.1359211975238721,704360,taxable_income_gt_p,0,-.011362208,.0015435382,3,0,-.1420719
taxable_income_gt_p5,rural,0,2,1,amt_dur,-.0022032929609252,-0.002,.0033929298870806,0.003,.5160956705569788,704360,taxable_income_gt_p,5,-.0088534355,.0044468497,3,0,-.063761391
taxable_income_gt_p10,rural,0,2,1,amt_dur,-.0036713480549918,-0.004,.0037268359118996,0.004,.324571636020029,704360,taxable_income_gt_p,10,-.010975947,.0036332502,3,0,-.10624564
taxable_income_gt_p15,rural,0,2,1,amt_dur,-.0017006788079175,-0.002,.0036979545434604,0.004,.6455909660168191,704360,taxable_income_gt_p,15,-.0089486698,.0055473121,3,0,-.049216174
taxable_income_gt_p20,rural,0,2,1,amt_dur,-.0021668359481259,-0.002,.0036888852213225,0.004,.5569391000546878,704360,taxable_income_gt_p,20,-.0093970513,.0050633792,3,0,-.062706359
taxable_income_gt_p25,rural,0,2,1,amt_dur,-.0015184059568359,-0.002,.003737802461576,0.004,.6845747240366409,704360,taxable_income_gt_p,25,-.0088444985,.0058076871,3,0,-.043941353
taxable_income_gt_p30,rural,0,2,1,amt_dur,.0019249665562698,0.002,.0037131468096191,0.004,.6041668966460897,704360,taxable_income_gt_p,30,-.0053528012,.0092027346,3,0,.055706866
taxable_income_gt_p35,rural,0,2,1,amt_dur,-.0008522242229185,-0.001,.0037444411359766,0.004,.819959849573617,704360,taxable_income_gt_p,35,-.0081913285,.0064868806,3,0,-.024662631
taxable_income_gt_p40,rural,0,2,1,amt_dur,-.0028300816333579,-0.003,.0036924208950757,0.004,.4434061450179996,704360,taxable_income_gt_p,40,-.010067226,.0044070631,3,0,-.081900112
taxable_income_gt_p45,rural,0,2,1,amt_dur,-.0071788841996635,-0.007**,.0036259402854403,0.004,.0477208766223791,704360,taxable_income_gt_p,45,-.014285727,-.000072041243,1,0,-.20775069
taxable_income_gt_p50,rural,0,2,1,amt_dur,-.0062224312992018,-0.006*,.003607084093505,0.004,.0845197938802462,704360,taxable_income_gt_p,50,-.013292316,.00084745354,2,0,-.18007177
taxable_income_gt_p55,rural,0,2,1,amt_dur,-.0035151328260656,-0.004,.0035292893391917,0.004,.3192578054908341,704360,taxable_income_gt_p,55,-.01043254,.0034022743,3,0,-.1017249
taxable_income_gt_p60,rural,0,2,1,amt_dur,-.0023237814019751,-0.002,.0032588668614949,0.003,.4758075582742027,704360,taxable_income_gt_p,60,-.0087111602,.0040635974,3,0,-.067248225
taxable_income_gt_p65,rural,0,2,1,amt_dur,-.0035584825392366,-0.004,.0031689877362968,0.003,.261478962659382,704360,taxable_income_gt_p,65,-.0097696986,.0026527334,3,0,-.10297941
taxable_income_gt_p70,rural,0,2,1,amt_dur,-.0025176795351255,-0.003,.0029437447668706,0.003,.3924068040780588,704360,taxable_income_gt_p,70,-.0082874196,.0032520602,3,0,-.072859466
taxable_income_gt_p75,rural,0,2,1,amt_dur,-.0044180286918767,-0.004,.0029066973969451,0.003,.1285270042979083,704360,taxable_income_gt_p,75,-.010115156,.0012790982,3,0,-.12785393
taxable_income_gt_p80,rural,0,2,1,amt_dur,-.0042007818170083,-0.004,.0027742370678519,0.003,.1299751330541138,704360,taxable_income_gt_p,80,-.0096382862,.0012367228,3,0,-.12156699
