outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,sick_llm_p25,-2,2,1,amt_dur,-.0015631461531355,-0.002*,.0008341753359697,0.001,.0609494060510205,623199,inc_tot_gt_p,0,-.0031981298,.000071837509,2,-2,-2.1070864
inc_tot_gt_p5,sick_llm_p25,-2,2,1,amt_dur,-.001534710344032,-0.002,.0015321071538537,0.002,.3164912051269879,623199,inc_tot_gt_p,5,-.0045376401,.0014682197,3,-2,-2.1051383
inc_tot_gt_p10,sick_llm_p25,-2,2,1,amt_dur,-.00511514348977,-0.005***,.0018691480761411,0.002,.0062084622148026,623199,inc_tot_gt_p,10,-.0087786736,-.0014516133,1,-2,-2.3504231
inc_tot_gt_p15,sick_llm_p25,-2,2,1,amt_dur,-.0023983800375383,-0.002,.0019798412948767,0.002,.2257447512551038,623199,inc_tot_gt_p,15,-.0062788688,.001482109,3,-2,-2.1643057
inc_tot_gt_p20,sick_llm_p25,-2,2,1,amt_dur,-.0022535137045367,-0.002,.002058936165868,0.002,.2737364866038842,623199,inc_tot_gt_p,20,-.0062890286,.0017820012,3,-2,-2.1543815
inc_tot_gt_p25,sick_llm_p25,-2,2,1,amt_dur,-.0019328691524588,-0.002,.0021414230773211,0.002,.3667351253438742,623199,inc_tot_gt_p,25,-.0061300583,.0022643202,3,-2,-2.1324151
inc_tot_gt_p30,sick_llm_p25,-2,2,1,amt_dur,.0004963833690176,0.000,.0021618991534041,0.002,.8183989742676713,623199,inc_tot_gt_p,30,-.0037409391,.0047337059,3,-2,-1.9659942
inc_tot_gt_p35,sick_llm_p25,-2,2,1,amt_dur,.0002188632456094,0.000,.0021884501456206,0.002,.9203378986502543,623199,inc_tot_gt_p,35,-.004070499,.0045082257,3,-2,-1.9850063
inc_tot_gt_p40,sick_llm_p25,-2,2,1,amt_dur,.0004770965907786,0.000,.0023515417091418,0.002,.8392239569663245,623199,inc_tot_gt_p,40,-.0041319253,.0050861184,3,-2,-1.9673156
inc_tot_gt_p45,sick_llm_p25,-2,2,1,amt_dur,-.0011263320275768,-0.001,.002343206103992,0.002,.6307450137165009,623199,inc_tot_gt_p,45,-.0057190158,.0034663519,3,-2,-2.0771616
inc_tot_gt_p50,sick_llm_p25,-2,2,1,amt_dur,.000313202058776,0.000,.0025670511184004,0.003,.9028925143438353,623199,inc_tot_gt_p,50,-.004718218,.0053446223,3,-2,-1.9785435
inc_tot_gt_p55,sick_llm_p25,-2,2,1,amt_dur,-.001950289040353,-0.002,.002602674783327,0.003,.4536537814365311,623199,inc_tot_gt_p,55,-.0070515317,.0031509534,3,-2,-2.1336083
inc_tot_gt_p60,sick_llm_p25,-2,2,1,amt_dur,-.0021528554065858,-0.002,.0029432457681811,0.003,.4645021377933584,623199,inc_tot_gt_p,60,-.0079216175,.0036159062,3,-2,-2.1474855
inc_tot_gt_p65,sick_llm_p25,-2,2,1,amt_dur,-.0024059921384225,-0.002,.0034078711660122,0.003,.4801832664238463,623199,inc_tot_gt_p,65,-.0090854196,.0042734356,3,-2,-2.1648273
inc_tot_gt_p70,sick_llm_p25,-2,2,1,amt_dur,.0002426732939092,0.000,.0033855374395257,0.003,.942857183663407,623199,inc_tot_gt_p,70,-.00639298,.0068783266,3,-2,-1.9833752
inc_tot_gt_p75,sick_llm_p25,-2,2,1,amt_dur,.0007391763676505,0.001,.0030120914756741,0.003,.8061448544149947,623199,inc_tot_gt_p,75,-.0051645231,.0066428757,3,-2,-1.9493612
inc_tot_gt_p80,sick_llm_p25,-2,2,1,amt_dur,-.0027331052568644,-0.003,.0028571867055303,0.003,.338785402293002,623199,inc_tot_gt_p,80,-.0083331913,.0028669806,3,-2,-2.1872368
inc_tot_gt_p85,sick_llm_p25,-2,2,1,amt_dur,-.0029297432696658,-0.003,.0026463777623895,0.003,.2682632329238483,623199,inc_tot_gt_p,85,-.0081166439,.0022571571,3,-2,-2.2007079
inc_tot_gt_p90,sick_llm_p25,-2,2,1,amt_dur,-.0004880559776968,-0.000,.0021477422087171,0.002,.8202364587777554,623199,inc_tot_gt_p,90,-.0046976306,.0037215187,3,-2,-2.0334353
inc_tot_gt_p95,sick_llm_p25,-2,2,1,amt_dur,.0006426765827827,0.001,.001829549636877,0.002,.725382109378804,623199,inc_tot_gt_p,95,-.0029432408,.0042285938,3,-2,-1.9559722
inc_tot_gt_p0,sick_llm_p25,0,2,1,amt_dur,-.0015714922496934,-0.002**,.0007764842099119,0.001,.0429874411400482,623199,inc_tot_gt_p,0,-.0030934012,-.000049583199,1,0,-.10765818
inc_tot_gt_p5,sick_llm_p25,0,2,1,amt_dur,.0002826765826811,0.000,.0017738938223978,0.002,.8733904975810949,623199,inc_tot_gt_p,5,-.0031941554,.0037595085,3,0,.019365316
inc_tot_gt_p10,sick_llm_p25,0,2,1,amt_dur,-.000692226754669,-0.001,.0022191882536745,0.002,.7550959168616714,623199,inc_tot_gt_p,10,-.0050418358,.0036573822,3,0,-.047422361
inc_tot_gt_p15,sick_llm_p25,0,2,1,amt_dur,-.0021567222001811,-0.002,.0023909681501999,0.002,.3670435790068841,623199,inc_tot_gt_p,15,-.0068430197,.0025295755,3,0,-.14775051
inc_tot_gt_p20,sick_llm_p25,0,2,1,amt_dur,-.0058388216491586,-0.006**,.0025713199799821,0.003,.0231641649793204,623199,inc_tot_gt_p,20,-.010878609,-.00079903449,1,0,-.40000001
inc_tot_gt_p25,sick_llm_p25,0,2,1,amt_dur,-.004793678872909,-0.005*,.002677810902384,0.003,.0734328787732448,623199,inc_tot_gt_p,25,-.010042189,.0004548305,2,0,-.32840043
inc_tot_gt_p30,sick_llm_p25,0,2,1,amt_dur,-.0014576268836501,-0.001,.0028735133280552,0.003,.6119713651290624,623199,inc_tot_gt_p,30,-.0070897131,.0041744593,3,0,-.099857606
inc_tot_gt_p35,sick_llm_p25,0,2,1,amt_dur,-.0007419797216289,-0.001,.0028638828920168,0.003,.7955726815050662,623199,inc_tot_gt_p,35,-.0063551902,.0048712306,3,0,-.050830785
inc_tot_gt_p40,sick_llm_p25,0,2,1,amt_dur,-.0039448792007171,-0.004,.0029292795431821,0.003,.1780776892275194,623199,inc_tot_gt_p,40,-.009686267,.0017965087,3,0,-.27025172
inc_tot_gt_p45,sick_llm_p25,0,2,1,amt_dur,-.0023460686547527,-0.002,.0029251067347294,0.003,.4225284233878532,623199,inc_tot_gt_p,45,-.0080792783,.0033871406,3,0,-.16072206
inc_tot_gt_p50,sick_llm_p25,0,2,1,amt_dur,-.002056343088874,-0.002,.0029973173325623,0.003,.4926760072681167,623199,inc_tot_gt_p,50,-.0079310853,.0038183988,3,0,-.14087383
inc_tot_gt_p55,sick_llm_p25,0,2,1,amt_dur,-.0017886920335063,-0.002,.0030932086034958,0.003,.5630869231772662,623199,inc_tot_gt_p,55,-.0078513809,.0042739967,3,0,-.12253788
inc_tot_gt_p60,sick_llm_p25,0,2,1,amt_dur,-.0026646855359391,-0.003,.0030112356793201,0.003,.3762048341887406,623199,inc_tot_gt_p,60,-.0085667074,.0032373364,3,0,-.18254954
inc_tot_gt_p65,sick_llm_p25,0,2,1,amt_dur,.0005018037635065,0.001,.0028740061439826,0.003,.8613936517444192,623199,inc_tot_gt_p,65,-.0051312484,.006134856,3,0,.034377057
inc_tot_gt_p70,sick_llm_p25,0,2,1,amt_dur,.0027907859454663,0.003,.002909958931024,0.003,.3375374787910066,623199,inc_tot_gt_p,70,-.0029127335,.0084943054,3,0,.19118831
inc_tot_gt_p75,sick_llm_p25,0,2,1,amt_dur,.0040344012035649,0.004,.0030502623995647,0.003,.1859577113075224,623199,inc_tot_gt_p,75,-.0019441131,.010012915,3,0,.27638462
inc_tot_gt_p80,sick_llm_p25,0,2,1,amt_dur,.0015292783960747,0.002,.0031156161901069,0.003,.6235384988549895,623199,inc_tot_gt_p,80,-.0045773294,.0076358863,3,0,.10476623
inc_tot_gt_p85,sick_llm_p25,0,2,1,amt_dur,.000690491571021,0.001,.0028768232157418,0.003,.8103161637878286,623199,inc_tot_gt_p,85,-.0049480819,.0063290652,3,0,.047303487
inc_tot_gt_p90,sick_llm_p25,0,2,1,amt_dur,-.0020923070107003,-0.002,.0021746517591388,0.002,.3359843237516356,623199,inc_tot_gt_p,90,-.0063546244,.0021700105,3,0,-.14333762
inc_tot_gt_p95,sick_llm_p25,0,2,1,amt_dur,-.0002708747961837,-0.000,.0017729938533532,0.002,.8785734830544228,623199,inc_tot_gt_p,95,-.0037459428,.0032041932,3,0,-.018556813
inc_tot_gt_p0,sick_llm_p25,1,2,1,amt_dur,-.0009703814614521,-0.001,.0007522946827924,0.001,.1970897539346811,623199,inc_tot_gt_p,0,-.0024448792,.00050411612,3,1,.93352211
inc_tot_gt_p5,sick_llm_p25,1,2,1,amt_dur,-.0003342294787242,-0.000,.0018074167023775,0.002,.8532912732055609,623199,inc_tot_gt_p,5,-.0038767662,.0032083073,3,1,.97710294
inc_tot_gt_p10,sick_llm_p25,1,2,1,amt_dur,-.001074703471461,-0.001,.0023064306682619,0.002,.6412453772559742,623199,inc_tot_gt_p,10,-.0055953078,.0034459007,3,1,.92637533
