outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,sick_llm_p25,-2,2,1,amt_dur,-.0026193020694826,-0.003,.0033209975051282,0.003,.4302835935796603,630493,inc_y_gt_p,0,-.0091284569,.0038898531,3,-2,-2.1640632
inc_y_gt_p5,sick_llm_p25,-2,2,1,amt_dur,-.0025752042604825,-0.003,.003333046668112,0.003,.4397444334771188,630493,inc_y_gt_p,5,-.0091079753,.0039575673,3,-2,-2.1613009
inc_y_gt_p10,sick_llm_p25,-2,2,1,amt_dur,-.0043375762404907,-0.004,.0032553920690413,0.003,.1827223447801508,630493,inc_y_gt_p,10,-.010718144,.0020429923,3,-2,-2.2716892
inc_y_gt_p15,sick_llm_p25,-2,2,1,amt_dur,-.0027616408172519,-0.003,.0032467438830797,0.003,.3950002525338341,630493,inc_y_gt_p,15,-.0091252588,.0036019771,3,-2,-2.1729786
inc_y_gt_p20,sick_llm_p25,-2,2,1,amt_dur,-.0005405448184427,-0.001,.0031614099347626,0.003,.8642380859489911,630493,inc_y_gt_p,20,-.0067369081,.0056558186,3,-2,-2.0338576
inc_y_gt_p25,sick_llm_p25,-2,2,1,amt_dur,-.0032814954040785,-0.003,.00331834459171,0.003,.3227165946118767,630493,inc_y_gt_p,25,-.009785451,.0032224599,3,-2,-2.2055404
inc_y_gt_p30,sick_llm_p25,-2,2,1,amt_dur,-.0001765030789648,-0.000,.0034528106652071,0.003,.9592310563666482,630493,inc_y_gt_p,30,-.0069440119,.0065910057,3,-2,-2.0110555
inc_y_gt_p35,sick_llm_p25,-2,2,1,amt_dur,-.0001995387810552,-0.000,.0030311624858221,0.003,.9475139889217079,630493,inc_y_gt_p,35,-.0061406172,.0057415399,3,-2,-2.0124984
inc_y_gt_p40,sick_llm_p25,-2,2,1,amt_dur,.0027093869264342,0.003,.0025074175262594,0.003,.2799003089254752,630493,inc_y_gt_p,40,-.0022051514,.0076239253,3,-2,-1.8302943
inc_y_gt_p45,sick_llm_p25,-2,2,1,amt_dur,-.0000145126618828,-0.000,.0024310625876818,0.002,.9952369251355995,630493,inc_y_gt_p,45,-.0047793952,.00475037,3,-2,-2.0009091
