outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,sick_llm_p75,-2,2,1,amt_dur,-.0031519850022063,-0.003,.0030301835460723,0.003,.2982511635357504,623199,inc_work_gt_p,0,-.0090911444,.0027871747,3,-2,-2.1359799
inc_work_gt_p5,sick_llm_p75,-2,2,1,amt_dur,-.0056310151328506,-0.006*,.0033044950211866,0.003,.0883751857886693,623199,inc_work_gt_p,5,-.012107826,.00084579509,2,-2,-2.2429278
inc_work_gt_p10,sick_llm_p75,-2,2,1,amt_dur,-.0036888874400928,-0.004,.0034199911627108,0.003,.2807574261120186,623199,inc_work_gt_p,10,-.01039207,.0030142951,3,-2,-2.1591423
inc_work_gt_p15,sick_llm_p75,-2,2,1,amt_dur,-.0012031214678857,-0.001,.0033863334371787,0.003,.7223750221816978,623199,inc_work_gt_p,15,-.0078403354,.0054340921,3,-2,-2.051904
inc_work_gt_p20,sick_llm_p75,-2,2,1,amt_dur,-.0032456918170891,-0.003,.0032703549315993,0.003,.3209761128229207,623199,inc_work_gt_p,20,-.0096555874,.0031642038,3,-2,-2.1400225
inc_work_gt_p25,sick_llm_p75,-2,2,1,amt_dur,-.0041496698443572,-0.004,.0032530525847788,0.003,.2020914572091546,623199,inc_work_gt_p,25,-.010525653,.0022263131,3,-2,-2.1790209
inc_work_gt_p30,sick_llm_p75,-2,2,1,amt_dur,-.004302111961915,-0.004,.0031337771410882,0.003,.1698111787189668,623199,inc_work_gt_p,30,-.010444315,.0018400912,3,-2,-2.1855974
inc_work_gt_p35,sick_llm_p75,-2,2,1,amt_dur,-.0031113000597941,-0.003,.002934900805675,0.003,.2890996788033388,623199,inc_work_gt_p,35,-.0088637052,.0026411056,3,-2,-2.1342247
inc_work_gt_p40,sick_llm_p75,-2,2,1,amt_dur,-.001184540760856,-0.001,.002738895084911,0.003,.6653872424984696,623199,inc_work_gt_p,40,-.0065527749,.0041836938,3,-2,-2.0511024
inc_work_gt_p45,sick_llm_p75,-2,2,1,amt_dur,.0003070077618856,0.000,.0027243768197382,0.003,.9102771987079866,623199,inc_work_gt_p,45,-.0050327708,.0056467862,3,-2,-1.9867554
inc_work_gt_p50,sick_llm_p75,-2,2,1,amt_dur,.0004381111609004,0.000,.0026665625434292,0.003,.8694967864632187,623199,inc_work_gt_p,50,-.0047883512,.0056645735,3,-2,-1.9810995
