outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,sick_llm_p75,-2,2,1,amt_dur,-.0029203863712653,-0.003,.0028841041021321,0.003,.3112630597435638,703426,taxable_income_gt_p,0,-.0085732304,.0027324576,3,-2,-2.1332548
taxable_income_gt_p5,sick_llm_p75,-2,2,1,amt_dur,-.0056809562609435,-0.006*,.0031079541941733,0.003,.0675708715629956,703426,taxable_income_gt_p,5,-.011772547,.00041063395,2,-2,-2.2592175
taxable_income_gt_p10,sick_llm_p75,-2,2,1,amt_dur,-.0044191376116514,-0.004,.0032173594846439,0.003,.1695907190054709,703426,taxable_income_gt_p,10,-.010725162,.001886887,3,-2,-2.2016418
taxable_income_gt_p15,sick_llm_p75,-2,2,1,amt_dur,-.0041897605833677,-0.004,.00316559418947,0.003,.185661826497764,703426,taxable_income_gt_p,15,-.010394325,.0020148039,3,-2,-2.1911755
taxable_income_gt_p20,sick_llm_p75,-2,2,1,amt_dur,-.0056872214519325,-0.006*,.0030456983562009,0.003,.0618629372128275,703426,taxable_income_gt_p,20,-.01165679,.00028234732,2,-2,-2.2595034
taxable_income_gt_p25,sick_llm_p75,-2,2,1,amt_dur,-.0045392606400489,-0.005,.0030138919618228,0.003,.1320412150455414,703426,taxable_income_gt_p,25,-.010446489,.0013679676,3,-2,-2.2071228
taxable_income_gt_p30,sick_llm_p75,-2,2,1,amt_dur,-.0049607682931316,-0.005,.003049901480595,0.003,.1038390534699635,703426,taxable_income_gt_p,30,-.010938575,.0010170386,3,-2,-2.2263558
taxable_income_gt_p35,sick_llm_p75,-2,2,1,amt_dur,-.0026677801749017,-0.003,.0030610731662137,0.003,.3834733650054045,703426,taxable_income_gt_p,35,-.0086674839,.0033319232,3,-2,-2.1217287
taxable_income_gt_p40,sick_llm_p75,-2,2,1,amt_dur,-.005806119206647,-0.006*,.0031695583299139,0.003,.0669782442299069,703426,taxable_income_gt_p,40,-.012018453,.00040621511,2,-2,-2.2649286
taxable_income_gt_p45,sick_llm_p75,-2,2,1,amt_dur,-.0034085718741036,-0.003,.003155324694645,0.003,.2800287283149601,703426,taxable_income_gt_p,45,-.0095930081,.0027758644,3,-2,-2.1555305
taxable_income_gt_p50,sick_llm_p75,-2,2,1,amt_dur,-.0050624547436233,-0.005,.0031835476532324,0.003,.1117942849117096,703426,taxable_income_gt_p,50,-.011302209,.0011772986,3,-2,-2.2309957
taxable_income_gt_p55,sick_llm_p75,-2,2,1,amt_dur,-.0055744241193853,-0.006*,.0031592169594418,0.003,.0776514355485661,703426,taxable_income_gt_p,55,-.01176649,.00061764114,2,-2,-2.2543564
taxable_income_gt_p60,sick_llm_p75,-2,2,1,amt_dur,-.0050195647637165,-0.005*,.0029755726418072,0.003,.0916208815058811,703426,taxable_income_gt_p,60,-.010851687,.00081255764,2,-2,-2.2290387
taxable_income_gt_p65,sick_llm_p75,-2,2,1,amt_dur,-.0036816644525612,-0.004,.0028615159656262,0.003,.1982318863897886,703426,taxable_income_gt_p,65,-.009290236,.0019269069,3,-2,-2.1679914
taxable_income_gt_p70,sick_llm_p75,-2,2,1,amt_dur,-.0054724958451507,-0.005**,.0026910219031306,0.003,.0419931326816936,703426,taxable_income_gt_p,70,-.010746899,-.00019809291,1,-2,-2.2497056
taxable_income_gt_p75,sick_llm_p75,-2,2,1,amt_dur,-.0025264587956041,-0.003,.0023424455940754,0.002,.2807881201008493,703426,taxable_income_gt_p,75,-.0071176523,.0020647345,3,-2,-2.1152804
taxable_income_gt_p80,sick_llm_p75,-2,2,1,amt_dur,-.000328110104706,-0.000,.0021611725643838,0.002,.8793288692689621,703426,taxable_income_gt_p,80,-.0045640082,.0039077881,3,-2,-2.0149715
taxable_income_gt_p85,sick_llm_p75,-2,2,1,amt_dur,-.0012093710775761,-0.001,.0019923908787603,0.002,.543855588886732,703426,taxable_income_gt_p,85,-.0051144571,.0026957151,3,-2,-2.0551827
taxable_income_gt_p90,sick_llm_p75,-2,2,1,amt_dur,-.0035094124949385,-0.004**,.0017468787119222,0.002,.0445436907933645,703426,taxable_income_gt_p,90,-.0069332947,-.000085530221,1,-2,-2.1601317
taxable_income_gt_p95,sick_llm_p75,-2,2,1,amt_dur,-.0034359823328808,-0.003**,.0014695020333516,0.001,.0193789601632517,703426,taxable_income_gt_p,95,-.0063162064,-.00055575836,1,-2,-2.1567812
