outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,single_tm1,-2,2,1,1,amt_dur,firstapp,-.000549269344572,-0.001,.0008181415298971,0.001,.5019916121100612,583643,inc_tot_gt_p,0,-.0021528266,.001054288,3,-2,-2.0330136
inc_tot_gt_p5,single_tm1,-2,2,1,1,amt_dur,firstapp,.000964863490403,0.001,.0015269158343182,0.002,.5274516274820573,583643,inc_tot_gt_p,5,-.0020278916,.0039576185,3,-2,-1.9420074
inc_tot_gt_p10,single_tm1,-2,2,1,1,amt_dur,firstapp,.00176443211785,0.002,.0017536258340643,0.002,.3143403996287997,583643,inc_tot_gt_p,10,-.0016726746,.0052015386,3,-2,-1.8939497
inc_tot_gt_p15,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0038280837393325,-0.004**,.0019247969778801,0.002,.0467237671155954,583643,inc_tot_gt_p,15,-.007600686,-.000055481662,1,-2,-2.2300849
inc_tot_gt_p20,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0030421010767627,-0.003,.002186145480589,0.002,.1640664726931509,583643,inc_tot_gt_p,20,-.0073269461,.001242744,3,-2,-2.1828439
inc_tot_gt_p25,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0043195519706306,-0.004*,.0023589029782468,0.002,.067078706416982,583643,inc_tot_gt_p,25,-.0089430017,.00030389786,2,-2,-2.2596242
inc_tot_gt_p30,single_tm1,-2,2,1,1,amt_dur,firstapp,-.001123852930824,-0.001,.0023487567113182,0.002,.6323038355400558,583643,inc_tot_gt_p,30,-.0057274159,.0034797103,3,-2,-2.0675485
inc_tot_gt_p35,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0001753310178132,-0.000,.0025286904757221,0.003,.9447217882606892,583643,inc_tot_gt_p,35,-.0051315646,.0047809025,3,-2,-2.0105381
inc_tot_gt_p40,single_tm1,-2,2,1,1,amt_dur,firstapp,.0002049586672825,0.000,.0027398041262695,0.003,.9403678273070926,583643,inc_tot_gt_p,40,-.0051650573,.0055749747,3,-2,-1.987681
inc_tot_gt_p45,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0003861062910703,-0.000,.0028569355448146,0.003,.8924959649580247,583643,inc_tot_gt_p,45,-.0059857001,.0052134874,3,-2,-2.0232067
inc_tot_gt_p50,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0028692145523404,-0.003,.0031112067694514,0.003,.3564168861854938,583643,inc_tot_gt_p,50,-.0089671798,.0032287508,3,-2,-2.1724527
inc_tot_gt_p55,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0041253600134635,-0.004,.003216417241265,0.003,.19963758212355,583643,inc_tot_gt_p,55,-.010429538,.0021788178,3,-2,-2.2479525
inc_tot_gt_p60,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0002783056182655,-0.000,.003916393915986,0.004,.9433488159362533,583643,inc_tot_gt_p,60,-.0079544373,.0073978263,3,-2,-2.0167274
inc_tot_gt_p65,single_tm1,-2,2,1,1,amt_dur,firstapp,.0007895302380538,0.001,.0040810107351884,0.004,.8465957582086705,583643,inc_tot_gt_p,65,-.0072092507,.0087883109,3,-2,-1.9525458
inc_tot_gt_p70,single_tm1,-2,2,1,1,amt_dur,firstapp,.0023769365134926,0.002,.003943995096091,0.004,.5467283387099504,583643,inc_tot_gt_p,70,-.0053532938,.010107167,3,-2,-1.8571355
inc_tot_gt_p75,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0033773720592825,-0.003,.0033218795494157,0.003,.3092966152657157,583643,inc_tot_gt_p,75,-.009888256,.0031335119,3,-2,-2.2029951
inc_tot_gt_p80,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0012260046119397,-0.001,.0031905409154296,0.003,.7007850062575389,583643,inc_tot_gt_p,80,-.0074794646,.0050274557,3,-2,-2.0736883
inc_tot_gt_p85,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0066550797433521,-0.007**,.0030506316489478,0.003,.0291461213620111,583643,inc_tot_gt_p,85,-.012634317,-.0006758417,1,-2,-2.4000001
inc_tot_gt_p90,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0014190461452879,-0.001,.0028594508602668,0.003,.6197085549599021,583643,inc_tot_gt_p,90,-.0070235697,.0041854777,3,-2,-2.0852909
inc_tot_gt_p95,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0005676065734238,-0.001,.0023087410504657,0.002,.8057980783569622,583643,inc_tot_gt_p,95,-.0050927391,.0039575258,3,-2,-2.0341158
inc_tot_gt_p0,single_tm1,0,2,1,1,amt_dur,firstapp,-.0001296818457237,-0.000,.0008538199893407,0.001,.8792785581611485,583643,inc_tot_gt_p,0,-.001803169,.0015438054,3,0,-.007794458
inc_tot_gt_p5,single_tm1,0,2,1,1,amt_dur,firstapp,-.0001108887015718,-0.000,.0017218550388389,0.002,.9486513098508983,583643,inc_tot_gt_p,5,-.0034857246,.0032639471,3,0,-.0066649062
inc_tot_gt_p10,single_tm1,0,2,1,1,amt_dur,firstapp,.0018341197849298,0.002,.0020720548400973,0.002,.3760677208063874,583643,inc_tot_gt_p,10,-.0022271078,.0058953473,3,0,.11023878
inc_tot_gt_p15,single_tm1,0,2,1,1,amt_dur,firstapp,.0001776995238871,0.000,.0022462572877321,0.002,.9369459856469879,583643,inc_tot_gt_p,15,-.0042249649,.0045803636,3,0,.010680535
inc_tot_gt_p20,single_tm1,0,2,1,1,amt_dur,firstapp,-.0008231215588883,-0.001,.0025834164365706,0.003,.7500174040280361,583643,inc_tot_gt_p,20,-.0058866176,.0042403745,3,0,-.049473278
inc_tot_gt_p25,single_tm1,0,2,1,1,amt_dur,firstapp,-.0029495291440639,-0.003,.0028006298364718,0.003,.2922677533933227,583643,inc_tot_gt_p,25,-.0084387632,.0025397053,3,0,-.17727987
inc_tot_gt_p30,single_tm1,0,2,1,1,amt_dur,firstapp,-.0042608692012231,-0.004,.0030259772274479,0.003,.1591060419835073,583643,inc_tot_gt_p,30,-.010191784,.0016700461,3,0,-.25609726
inc_tot_gt_p35,single_tm1,0,2,1,1,amt_dur,firstapp,-.0025174298564265,-0.003,.0031791137286216,0.003,.428441436180708,583643,inc_tot_gt_p,35,-.0087484932,.0037136332,3,0,-.15130877
inc_tot_gt_p40,single_tm1,0,2,1,1,amt_dur,firstapp,.0021654701948781,0.002,.0033912665727226,0.003,.5231218702497611,583643,inc_tot_gt_p,40,-.0044814125,.008812353,3,0,.13015443
inc_tot_gt_p45,single_tm1,0,2,1,1,amt_dur,firstapp,.0022712454943778,0.002,.0038120686273359,0.004,.5513078046145787,583643,inc_tot_gt_p,45,-.0052004089,.0097428998,3,0,.136512
inc_tot_gt_p50,single_tm1,0,2,1,1,amt_dur,firstapp,.0016071365317478,0.002,.0038805438287957,0.004,.6787635489660617,583643,inc_tot_gt_p,50,-.0059987293,.0092130024,3,0,.096596077
inc_tot_gt_p55,single_tm1,0,2,1,1,amt_dur,firstapp,.0023549138225768,0.002,.0039957014637297,0.004,.5556201644107244,583643,inc_tot_gt_p,55,-.005476661,.010186489,3,0,.14154083
inc_tot_gt_p60,single_tm1,0,2,1,1,amt_dur,firstapp,.0019190887165786,0.002,.0040096303426238,0.004,.6322103212008924,583643,inc_tot_gt_p,60,-.0059397868,.0097779641,3,0,.1153458
inc_tot_gt_p65,single_tm1,0,2,1,1,amt_dur,firstapp,.0015466105341264,0.002,.0037526663850662,0.004,.6802404691229034,583643,inc_tot_gt_p,65,-.0058086156,.0089018364,3,0,.092958197
inc_tot_gt_p70,single_tm1,0,2,1,1,amt_dur,firstapp,.004461658261634,0.004,.0037869497990383,0.004,.2387334511011565,583643,inc_tot_gt_p,70,-.0029607634,.01188408,3,0,.26816559
inc_tot_gt_p75,single_tm1,0,2,1,1,amt_dur,firstapp,-.002168203162701,-0.002,.0041579268373785,0.004,.6020459447983891,583643,inc_tot_gt_p,75,-.01031774,.0059813336,3,0,-.13031869
inc_tot_gt_p80,single_tm1,0,2,1,1,amt_dur,firstapp,-.0015321694083217,-0.002,.00397578471983,0.004,.6999603135344558,583643,inc_tot_gt_p,80,-.0093247071,.0062603685,3,0,-.092090219
inc_tot_gt_p85,single_tm1,0,2,1,1,amt_dur,firstapp,-.0056994829239575,-0.006,.003558132546254,0.004,.1091994535033884,583643,inc_tot_gt_p,85,-.012673423,.0012744569,3,0,-.34256437
inc_tot_gt_p90,single_tm1,0,2,1,1,amt_dur,firstapp,-.001635050999643,-0.002,.0026158925303894,0.003,.5319430930778043,583643,inc_tot_gt_p,90,-.0067622005,.0034920983,3,0,-.098273866
inc_tot_gt_p95,single_tm1,0,2,1,1,amt_dur,firstapp,-.0022457334951556,-0.002,.0019927800067844,0.002,.2597731633084952,583643,inc_tot_gt_p,95,-.0061515821,.0016601153,3,0,-.13497861
inc_tot_gt_p0,single_tm1,1,2,1,1,amt_dur,firstapp,.0004899014651783,0.000,.0008598389771428,0.001,.5688423069889865,583643,inc_tot_gt_p,0,-.0011953829,.0021751858,3,1,1.0294453
inc_tot_gt_p5,single_tm1,1,2,1,1,amt_dur,firstapp,.0020560084698312,0.002,.0017897010207613,0.002,.2506417158341391,583643,inc_tot_gt_p,5,-.0014518056,.0055638226,3,1,1.1235753
inc_tot_gt_p10,single_tm1,1,2,1,1,amt_dur,firstapp,.0039251445919592,0.004*,.0021789758611544,0.002,.071647928346577,583643,inc_tot_gt_p,10,-.00034564809,.0081959376,2,1,1.2359188
