outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,single_tm1,-2,2,1,amt_dur,-.0008511810944944,-0.001,.0007169435213596,0.001,.2351371792065031,628526,inc_tot_gt_p,0,-.0022563904,.0005540282,3,-2,-2.0456462
inc_tot_gt_p5,single_tm1,-2,2,1,amt_dur,.0011069453981799,0.001,.0013246344268827,0.001,.403347452665983,628526,inc_tot_gt_p,5,-.0014893381,.0037032289,3,-2,-1.9406381
inc_tot_gt_p10,single_tm1,-2,2,1,amt_dur,.0030963967522924,0.003*,.0015913590240858,0.002,.051686606249954,628526,inc_tot_gt_p,10,-.000022666934,.0062154606,2,-2,-1.8339503
inc_tot_gt_p15,single_tm1,-2,2,1,amt_dur,-.0017367051047643,-0.002,.0017082760473856,0.002,.3093260538200149,628526,inc_tot_gt_p,15,-.0050849263,.001611516,3,-2,-2.0931339
inc_tot_gt_p20,single_tm1,-2,2,1,amt_dur,-.0025999764964843,-0.003,.001887194028192,0.002,.1683005270388415,628526,inc_tot_gt_p,20,-.0062988768,.0010989239,3,-2,-2.1394284
inc_tot_gt_p25,single_tm1,-2,2,1,amt_dur,-.0032444298217047,-0.003,.0019842274480745,0.002,.1020289252164494,628526,inc_tot_gt_p,25,-.0071335156,.00064465596,3,-2,-2.1739881
inc_tot_gt_p30,single_tm1,-2,2,1,amt_dur,-.0006559738755952,-0.001,.0019917278945936,0.002,.7418924389596895,628526,inc_tot_gt_p,30,-.0045597604,.0032478129,3,-2,-2.0351777
inc_tot_gt_p35,single_tm1,-2,2,1,amt_dur,-.0007124565566889,-0.001,.0021443803208055,0.002,.7397059941087947,628526,inc_tot_gt_p,35,-.0049154419,.0034905288,3,-2,-2.0382068
inc_tot_gt_p40,single_tm1,-2,2,1,amt_dur,-.0004853911702864,-0.000,.0023457618598807,0.002,.8360706854810516,628526,inc_tot_gt_p,40,-.0050830846,.0041123019,3,-2,-2.0260301
inc_tot_gt_p45,single_tm1,-2,2,1,amt_dur,-.0010378275153864,-0.001,.0025135223101964,0.003,.6796824012956723,628526,inc_tot_gt_p,45,-.0059643313,.0038886762,3,-2,-2.0556552
inc_tot_gt_p50,single_tm1,-2,2,1,amt_dur,-.0014473462787148,-0.001,.0027316725430711,0.003,.5962247406796055,628526,inc_tot_gt_p,50,-.0068014245,.003906732,3,-2,-2.0776165
inc_tot_gt_p55,single_tm1,-2,2,1,amt_dur,-.0029064140228499,-0.003,.002813248952211,0.003,.3015516669306355,628526,inc_tot_gt_p,55,-.0084203817,.002607554,3,-2,-2.1558616
inc_tot_gt_p60,single_tm1,-2,2,1,amt_dur,-.0003785978478513,-0.000,.0032696131961486,0.003,.9078169273447324,628526,inc_tot_gt_p,60,-.0067870398,.0060298438,3,-2,-2.020303
inc_tot_gt_p65,single_tm1,-2,2,1,amt_dur,.0001891962600045,0.000,.0034182107874759,0.003,.955860128729363,628526,inc_tot_gt_p,65,-.0065104971,.0068888892,3,-2,-1.989854
inc_tot_gt_p70,single_tm1,-2,2,1,amt_dur,.0022276913125379,0.002,.0032512344954058,0.003,.493229776586144,628526,inc_tot_gt_p,70,-.0041447282,.0086001111,3,-2,-1.8805362
inc_tot_gt_p75,single_tm1,-2,2,1,amt_dur,-.0026555768755509,-0.003,.0028038500709771,0.003,.3435807622549867,628526,inc_tot_gt_p,75,-.0081511233,.0028399692,3,-2,-2.14241
inc_tot_gt_p80,single_tm1,-2,2,1,amt_dur,-.0015011861894036,-0.002,.0026596508307527,0.003,.5724628290538889,628526,inc_tot_gt_p,80,-.0067141019,.0037117295,3,-2,-2.0805037
inc_tot_gt_p85,single_tm1,-2,2,1,amt_dur,-.0063947859075598,-0.006**,.002584984053298,0.003,.0133692119438622,628526,inc_tot_gt_p,85,-.011461355,-.0013282172,1,-2,-2.3429315
inc_tot_gt_p90,single_tm1,-2,2,1,amt_dur,-.0016026381211531,-0.002,.0023474047378655,0.002,.4947804120137721,628526,inc_tot_gt_p,90,-.0062035513,.0029982752,3,-2,-2.0859442
inc_tot_gt_p95,single_tm1,-2,2,1,amt_dur,-.0005243220064858,-0.001,.0020552635728842,0.002,.7986372277724088,628526,inc_tot_gt_p,95,-.0045526386,.0035039946,3,-2,-2.0281177
inc_tot_gt_p0,single_tm1,0,2,1,amt_dur,.0001877975898837,0.000,.0007409839038179,0.001,.799925959339899,628526,inc_tot_gt_p,0,-.0012645308,.001640126,3,0,.010070974
inc_tot_gt_p5,single_tm1,0,2,1,amt_dur,.0010373714291376,0.001,.0015464055402731,0.002,.5023318271335084,628526,inc_tot_gt_p,5,-.0019935835,.0040683262,3,0,.055630855
inc_tot_gt_p10,single_tm1,0,2,1,amt_dur,.0036007749037336,0.004*,.001880537421523,0.002,.055525943518957,628526,inc_tot_gt_p,10,-.000085078442,.0072866282,2,0,.19309784
inc_tot_gt_p15,single_tm1,0,2,1,amt_dur,.0030031765133097,0.003,.0020497778264713,0.002,.1428902770939629,628526,inc_tot_gt_p,15,-.001014388,.0070207412,3,0,.16105059
