outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0008513231712237,-0.001,.0007181778382566,0.001,.2358645840488064,701488,inc_tot_gt_p,0,-.0022589518,.0005563054,3,-2,-2.0436175
inc_tot_gt_p5,single_tm1,-2,2,1,0,amt_dur,firstapp,.0010840789423133,0.001,.0013250523276027,0.001,.4132787713580973,701488,inc_tot_gt_p,5,-.0015130236,.0036811815,3,-2,-1.9444573
inc_tot_gt_p10,single_tm1,-2,2,1,0,amt_dur,firstapp,.0030671115593535,0.003*,.0015916039546792,0.002,.0539751271823016,701488,inc_tot_gt_p,10,-.000052432191,.0061866553,2,-2,-1.8428568
inc_tot_gt_p15,single_tm1,-2,2,1,0,amt_dur,firstapp,-.001766584437036,-0.002,.0017084106865976,0.002,.3011144408121179,701488,inc_tot_gt_p,15,-.0051150694,.0015819005,3,-2,-2.0905108
inc_tot_gt_p20,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0026588557664149,-0.003,.0018871793766533,0.002,.1588662284241266,701488,inc_tot_gt_p,20,-.0063577276,.0010400158,3,-2,-2.1362262
inc_tot_gt_p25,single_tm1,-2,2,1,0,amt_dur,firstapp,-.003342120631267,-0.003*,.0019841301457755,0.002,.0921022168245398,701488,inc_tot_gt_p,25,-.0072310157,.00054677448,2,-2,-2.1712334
inc_tot_gt_p30,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0007248563506194,-0.001,.0019914919564094,0.002,.7158762359056743,701488,inc_tot_gt_p,30,-.0046281805,.003178468,3,-2,-2.037138
inc_tot_gt_p35,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0007522982552461,-0.001,.0021438216321006,0.002,.7256531169693616,701488,inc_tot_gt_p,35,-.0049541886,.003449592,3,-2,-2.0385439
inc_tot_gt_p40,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0005180861978932,-0.001,.0023452056903211,0.002,.8251606649315197,701488,inc_tot_gt_p,40,-.0051146895,.0040785167,3,-2,-2.0265441
inc_tot_gt_p45,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0010917756811431,-0.001,.0025128280562789,0.003,.6639401567168657,701488,inc_tot_gt_p,45,-.0060169185,.0038333673,3,-2,-2.0559371
inc_tot_gt_p50,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0015008177678718,-0.002,.0027309403406499,0.003,.5826217778398898,701488,inc_tot_gt_p,50,-.0068534608,.0038518254,3,-2,-2.0768943
inc_tot_gt_p55,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0029874535683708,-0.003,.0028132047103281,0.003,.2882654506663428,701488,inc_tot_gt_p,55,-.008501335,.0025264276,3,-2,-2.1530619
inc_tot_gt_p60,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0004853912321856,-0.000,.0032702345390162,0.003,.8820060368824794,701488,inc_tot_gt_p,60,-.0068950509,.0059242686,3,-2,-2.024869
inc_tot_gt_p65,single_tm1,-2,2,1,0,amt_dur,firstapp,.0000898120795397,0.000,.0034184802289401,0.003,.9790400238916824,701488,inc_tot_gt_p,65,-.0066104094,.0067900335,3,-2,-1.9953985
inc_tot_gt_p70,single_tm1,-2,2,1,0,amt_dur,firstapp,.0021260057106115,0.002,.003250277105051,0.003,.5130488723013393,701488,inc_tot_gt_p,70,-.0042445376,.008496549,3,-2,-1.8910743
inc_tot_gt_p75,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0027600236825467,-0.003,.0028024784653922,0.003,.3246994624041933,701488,inc_tot_gt_p,75,-.0082528815,.0027328341,3,-2,-2.1414096
inc_tot_gt_p80,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0016078973986797,-0.002,.0026588587760116,0.003,.545358240550804,701488,inc_tot_gt_p,80,-.0068192608,.0036034659,3,-2,-2.0823805
inc_tot_gt_p85,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0064909620185962,-0.006**,.0025841955718619,0.003,.0120134194858586,701488,inc_tot_gt_p,85,-.011555986,-.0014259387,1,-2,-2.3325641
inc_tot_gt_p90,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0016303680858145,-0.002,.0023468315134591,0.002,.4872383395538457,701488,inc_tot_gt_p,90,-.0062301578,.0029694217,3,-2,-2.0835319
