outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,single_tm1,-2,2,1,1,amt_dur,firstapp,-.000516103251859,-0.001,.0036623715969212,0.004,.8879330787033782,583643,inc_work_gt_p,0,-.0076943515,.0066621453,3,-2,-2.0209563
inc_work_gt_p5,single_tm1,-2,2,1,1,amt_dur,firstapp,.0002792585970081,0.000,.0037817811532284,0.004,.9411353738154136,583643,inc_work_gt_p,5,-.0071330327,.0076915496,3,-2,-1.9886608
inc_work_gt_p10,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0008285767776567,-0.001,.0038999238373789,0.004,.831748899892601,583643,inc_work_gt_p,10,-.0084724277,.0068152738,3,-2,-2.0336442
inc_work_gt_p15,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0017050094200011,-0.002,.0040293496501216,0.004,.6721886875011446,583643,inc_work_gt_p,15,-.0096025346,.0061925161,3,-2,-2.0692315
inc_work_gt_p20,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0040418844220294,-0.004,.0041680414220607,0.004,.3321827098715382,583643,inc_work_gt_p,20,-.012211245,.0041274768,3,-2,-2.1641197
inc_work_gt_p25,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0069057333297147,-0.007,.0044147185995562,0.004,.1177620836054682,583643,inc_work_gt_p,25,-.015558582,.0017471152,3,-2,-2.2804058
inc_work_gt_p30,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0076008407400116,-0.008*,.0044953447057434,0.004,.0908739277491541,583643,inc_work_gt_p,30,-.016411716,.0012100349,2,-2,-2.3086302
inc_work_gt_p35,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0066320605013632,-0.007,.0045247417992588,0.005,.1427249227331605,583643,inc_work_gt_p,35,-.015500555,.0022364333,3,-2,-2.2692933
inc_work_gt_p40,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0054645997205787,-0.005,.0044399388666479,0.004,.2184075820863103,583643,inc_work_gt_p,40,-.014166879,.0032376805,3,-2,-2.2218888
inc_work_gt_p45,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0011947811813032,-0.001,.0042304120964678,0.004,.7776170605430641,583643,inc_work_gt_p,45,-.0094863893,.0070968266,3,-2,-2.0485139
inc_work_gt_p50,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0000557107471129,-0.000,.0034506957801499,0.003,.9871189215957383,583643,inc_work_gt_p,50,-.0068190745,.0067076529,3,-2,-2.0022621
inc_work_gt_p55,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0025044005475832,-0.003,.0033170215265523,0.003,.4502421632479717,583643,inc_work_gt_p,55,-.0090057626,.0039969618,3,-2,-2.1016905
inc_work_gt_p60,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0018867826900481,-0.002,.0032495440692855,0.003,.561491409628998,583643,inc_work_gt_p,60,-.0082558887,.0044823238,3,-2,-2.0766125
inc_work_gt_p65,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0048301763798001,-0.005,.003264554049321,0.003,.1389884703356687,583643,inc_work_gt_p,65,-.011228702,.0015683495,3,-2,-2.1961281
inc_work_gt_p70,single_tm1,-2,2,1,1,amt_dur,firstapp,-.00544670676562,-0.005*,.0030271057445813,0.003,.071972944814899,583643,inc_work_gt_p,70,-.011379834,.0004864205,2,-2,-2.2211623
inc_work_gt_p75,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0088999800559348,-0.009***,.0031163639491332,0.003,.0042927350779692,583643,inc_work_gt_p,75,-.015008054,-.0027919067,1,-2,-2.3613815
inc_work_gt_p80,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0051656370869956,-0.005*,.002918837950583,0.003,.0767710424127425,583643,inc_work_gt_p,80,-.010886559,.00055528531,2,-2,-2.2097495
inc_work_gt_p85,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0044184728359512,-0.004,.0027824344924359,0.003,.1122927623646414,583643,inc_work_gt_p,85,-.0098720444,.0010350988,3,-2,-2.1794109
inc_work_gt_p90,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0003856051529204,-0.000,.0023885639496577,0.002,.8717487695548206,583643,inc_work_gt_p,90,-.0050671906,.0042959801,3,-2,-2.0156574
inc_work_gt_p95,single_tm1,-2,2,1,1,amt_dur,firstapp,-.0012336936524482,-0.001,.0019489735177694,0.002,.5267375569415862,583643,inc_work_gt_p,95,-.0050536818,.0025862944,3,-2,-2.0500939
inc_work_gt_p0,single_tm1,0,2,1,1,amt_dur,firstapp,.000173307479546,0.000,.0033612935713989,0.003,.9588796074768696,583643,inc_work_gt_p,0,-.0064148279,.0067614429,3,0,.0070371088
inc_work_gt_p5,single_tm1,0,2,1,1,amt_dur,firstapp,.0028231045502021,0.003,.0035081878444975,0.004,.4209842521686535,583643,inc_work_gt_p,5,-.0040529436,.0096991528,3,0,.11463148
inc_work_gt_p10,single_tm1,0,2,1,1,amt_dur,firstapp,.0019002484224271,0.002,.0037232122787492,0.004,.6097874716699129,583643,inc_work_gt_p,10,-.0053972476,.0091977445,3,0,.077159129
inc_work_gt_p15,single_tm1,0,2,1,1,amt_dur,firstapp,.0028506842776744,0.003,.0037089940884308,0.004,.4421407247394358,583643,inc_work_gt_p,15,-.004418944,.010120313,3,0,.11575135
inc_work_gt_p20,single_tm1,0,2,1,1,amt_dur,firstapp,.0015041832665676,0.002,.00376305653108,0.004,.6893609656787126,583643,inc_work_gt_p,20,-.0058714077,.0088797743,3,0,.061076999
inc_work_gt_p25,single_tm1,0,2,1,1,amt_dur,firstapp,-.0035035813593848,-0.004,.0038378852542586,0.004,.3613010356130947,583643,inc_work_gt_p,25,-.011025837,.0040186737,3,0,-.14226209
inc_work_gt_p30,single_tm1,0,2,1,1,amt_dur,firstapp,-.0024702274660373,-0.002,.0037828055537534,0.004,.5137486015588908,583643,inc_work_gt_p,30,-.009884526,.0049440716,3,0,-.10030299
inc_work_gt_p35,single_tm1,0,2,1,1,amt_dur,firstapp,-.0020666319142714,-0.002,.0037728865954954,0.004,.5838589594849871,583643,inc_work_gt_p,35,-.0094614895,.0053282259,3,0,-.083915092
inc_work_gt_p40,single_tm1,0,2,1,1,amt_dur,firstapp,-.0024152064557208,-0.002,.0037397142586303,0.004,.518393492312714,583643,inc_work_gt_p,40,-.0097450465,.0049146335,3,0,-.098068878
inc_work_gt_p45,single_tm1,0,2,1,1,amt_dur,firstapp,-.0011721739478324,-0.001,.003688544274813,0.004,.7506467753195754,583643,inc_work_gt_p,45,-.0084017208,.0060573728,3,0,-.04759584
inc_work_gt_p50,single_tm1,0,2,1,1,amt_dur,firstapp,-.0016782982150283,-0.002,.0043392149944376,0.004,.6989240416918623,583643,inc_work_gt_p,50,-.010183159,.0068265633,3,0,-.068146899
inc_work_gt_p55,single_tm1,0,2,1,1,amt_dur,firstapp,-.0009032979211227,-0.001,.004382479539516,0.004,.8367010154994494,583643,inc_work_gt_p,55,-.009492958,.0076863621,3,0,-.036678195
inc_work_gt_p60,single_tm1,0,2,1,1,amt_dur,firstapp,-.0008894749114075,-0.001,.0043372295739131,0.004,.8375108583804497,583643,inc_work_gt_p,60,-.0093904445,.007611495,3,0,-.036116917
inc_work_gt_p65,single_tm1,0,2,1,1,amt_dur,firstapp,-.0025433402421541,-0.003,.0041952546090558,0.004,.5443555799692088,583643,inc_work_gt_p,65,-.01076604,.0056793587,3,0,-.10327172
