outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,single_tm1,-2,2,1,amt_dur,-.0008154208706252,-0.001,.002993934484267,0.003,.7853475739819106,628526,inc_work_gt_p,0,-.0066835326,.0050526909,3,-2,-2.0305991
inc_work_gt_p5,single_tm1,-2,2,1,amt_dur,.0019203879567836,0.002,.0030904636444771,0.003,.5343433440179917,628526,inc_work_gt_p,5,-.0041369209,.0079776971,3,-2,-1.9279362
inc_work_gt_p10,single_tm1,-2,2,1,amt_dur,-.0025204633256061,-0.003,.003356802034121,0.003,.4527430354744363,628526,inc_work_gt_p,10,-.0090997955,.0040588686,3,-2,-2.0945821
inc_work_gt_p15,single_tm1,-2,2,1,amt_dur,-.0061157794905891,-0.006*,.003519740474048,0.004,.0822902472849926,628526,inc_work_gt_p,15,-.013014471,.00078291184,2,-2,-2.2294986
inc_work_gt_p20,single_tm1,-2,2,1,amt_dur,-.0073131946456547,-0.007**,.003558601137273,0.004,.0398740844910088,628526,inc_work_gt_p,20,-.014288053,-.00033833642,1,-2,-2.2744324
inc_work_gt_p25,single_tm1,-2,2,1,amt_dur,-.0074331646164808,-0.007**,.0036068748849067,0.004,.0393214105368633,628526,inc_work_gt_p,25,-.014502639,-.00036368985,1,-2,-2.2789345
inc_work_gt_p30,single_tm1,-2,2,1,amt_dur,-.0036323351592077,-0.004,.003457333120959,0.003,.2934365768571998,628526,inc_work_gt_p,30,-.010408708,.0031440377,3,-2,-2.1363058
inc_work_gt_p35,single_tm1,-2,2,1,amt_dur,-.0011495065173933,-0.001,.0029189405579476,0.003,.6937224650773707,628526,inc_work_gt_p,35,-.0068706302,.0045716171,3,-2,-2.0431359
inc_work_gt_p40,single_tm1,-2,2,1,amt_dur,-.0035537899678393,-0.004,.0028688335018047,0.003,.2154378746530972,628526,inc_work_gt_p,40,-.0091767032,.0020691238,3,-2,-2.1333582
inc_work_gt_p45,single_tm1,-2,2,1,amt_dur,-.002493723586835,-0.002,.0028089111255914,0.003,.3746556186328309,628526,inc_work_gt_p,45,-.0079991892,.0030117421,3,-2,-2.0935786
