outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0008633827632221,-0.001,.0029940298342883,0.003,.7730655155678969,701488,inc_work_gt_p,0,-.0067316811,.0050049159,3,-2,-2.0465002
inc_work_gt_p5,single_tm1,-2,2,1,0,amt_dur,firstapp,.0001272370705637,0.000,.0031092024774469,0.003,.967357567445564,701488,inc_work_gt_p,5,-.0059667998,.0062212739,3,-2,-1.9931473
inc_work_gt_p10,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0009540403997088,-0.001,.0031986197587026,0.003,.7655005121010164,701488,inc_work_gt_p,10,-.0072233351,.0053152544,3,-2,-2.0513828
inc_work_gt_p15,single_tm1,-2,2,1,0,amt_dur,firstapp,-.001201041443219,-0.001,.0032939479177123,0.003,.7153953042080188,701488,inc_work_gt_p,15,-.0076571791,.0052550966,3,-2,-2.0646858
inc_work_gt_p20,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0045208089306689,-0.005,.0033918760002515,0.003,.1825889541731721,701488,inc_work_gt_p,20,-.011168886,.0021272681,3,-2,-2.2434821
inc_work_gt_p25,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0062341923745676,-0.006*,.0035220451647374,0.004,.0767217864274927,701488,inc_work_gt_p,25,-.013137401,.00066901615,2,-2,-2.3357615
inc_work_gt_p30,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0074269274331498,-0.007**,.0035816549184839,0.004,.0381186209790723,701488,inc_work_gt_p,30,-.014446971,-.0004068838,1,-2,-2.4000001
inc_work_gt_p35,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0064494129300155,-0.006*,.0035907005422404,0.004,.0724744945588547,701488,inc_work_gt_p,35,-.013487186,.00058836013,2,-2,-2.347353
inc_work_gt_p40,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0064461621118258,-0.006*,.0035707953650831,0.004,.0710390447713921,701488,inc_work_gt_p,40,-.013444921,.00055259682,2,-2,-2.347178
inc_work_gt_p45,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0033064019358138,-0.003,.0034534017641765,0.003,.3383507126624071,701488,inc_work_gt_p,45,-.010075069,.0034622655,3,-2,-2.1780765
inc_work_gt_p50,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0016493804946142,-0.002,.0029275835499199,0.003,.5731683675659484,701488,inc_work_gt_p,50,-.0073874444,.0040886831,3,-2,-2.0888324
inc_work_gt_p55,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0026672945704707,-0.003,.0028572763637812,0.003,.3505590508606704,701488,inc_work_gt_p,55,-.0082675563,.0029329672,3,-2,-2.1436553
inc_work_gt_p60,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0019430949135274,-0.002,.0028149748001868,0.003,.4900253786425995,701488,inc_work_gt_p,60,-.0074604456,.0035742556,3,-2,-2.1046515
inc_work_gt_p65,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0044655139916634,-0.004,.0028191684315057,0.003,.1132005661397747,701488,inc_work_gt_p,65,-.0099910842,.0010600562,3,-2,-2.240504
inc_work_gt_p70,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0051498861280501,-0.005*,.0026509859600142,0.003,.0520633989049236,701488,inc_work_gt_p,70,-.010345818,.000046046353,2,-2,-2.2773631
inc_work_gt_p75,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0072825318356311,-0.007***,.0026685541437013,0.003,.0063533477669775,701488,inc_work_gt_p,75,-.012512898,-.0020521658,1,-2,-2.3922231
inc_work_gt_p80,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0034141947993945,-0.003,.0025323523730085,0.003,.1775870535557484,701488,inc_work_gt_p,80,-.0083776051,.0015492159,3,-2,-2.183882
inc_work_gt_p85,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0049080111164498,-0.005**,.0023869700613632,0.002,.039768720187912,701488,inc_work_gt_p,85,-.0095864721,-.0002295498,1,-2,-2.2643361
inc_work_gt_p90,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0009365978102566,-0.001,.0020606231247713,0.002,.6494543243940785,701488,inc_work_gt_p,90,-.004975419,.0031022236,3,-2,-2.0504434
inc_work_gt_p95,single_tm1,-2,2,1,0,amt_dur,firstapp,-.0021028472393035,-0.002,.0017654663511337,0.002,.2336168695888129,701488,inc_work_gt_p,95,-.0055631613,.0013574668,3,-2,-2.1132553
inc_work_gt_p0,single_tm1,0,2,1,0,amt_dur,firstapp,.0000673329138235,0.000,.0028095516413347,0.003,.980880000306657,701488,inc_work_gt_p,0,-.0054393881,.0055740541,3,0,.0036264211
inc_work_gt_p5,single_tm1,0,2,1,0,amt_dur,firstapp,.00150294048131,0.002,.0029130662005573,0.003,.6059038128332898,701488,inc_work_gt_p,5,-.0042066691,.0072125504,3,0,.080945477
inc_work_gt_p10,single_tm1,0,2,1,0,amt_dur,firstapp,.0012908553698777,0.001,.0030745130610235,0.003,.6745908607155251,701488,inc_work_gt_p,10,-.0047351904,.0073169009,3,0,.069522984
inc_work_gt_p15,single_tm1,0,2,1,0,amt_dur,firstapp,.0021769910072952,0.002,.0030894476108535,0.003,.4810272161659183,701488,inc_work_gt_p,15,-.0038783264,.0082323086,3,0,.11724854
inc_work_gt_p20,single_tm1,0,2,1,0,amt_dur,firstapp,.0015204499350894,0.002,.0031316700666306,0.003,.6273172291410694,701488,inc_work_gt_p,20,-.0046176235,.007658523,3,0,.081888504
inc_work_gt_p25,single_tm1,0,2,1,0,amt_dur,firstapp,-.0020089586935088,-0.002,.003177565362472,0.003,.5272365801743066,701488,inc_work_gt_p,25,-.0082369866,.0042190696,3,0,-.10819864
inc_work_gt_p30,single_tm1,0,2,1,0,amt_dur,firstapp,-.001477087930768,-0.001,.0031667969473388,0.003,.6409089404458949,701488,inc_work_gt_p,30,-.0076840101,.0047298339,3,0,-.079553112
inc_work_gt_p35,single_tm1,0,2,1,0,amt_dur,firstapp,.0001683428593034,0.000,.0032538251117682,0.003,.9587384211237515,701488,inc_work_gt_p,35,-.0062091541,.0065458403,3,0,.0090666218
inc_work_gt_p40,single_tm1,0,2,1,0,amt_dur,firstapp,-.0001344237294178,-0.000,.0032664073023833,0.003,.9671736881243957,701488,inc_work_gt_p,40,-.006536582,.0062677348,3,0,-.0072398032
inc_work_gt_p45,single_tm1,0,2,1,0,amt_dur,firstapp,.0020241603398074,0.002,.0032501837700676,0.003,.5334282062603745,701488,inc_work_gt_p,45,-.0043461998,.0083945207,3,0,.10901737
inc_work_gt_p50,single_tm1,0,2,1,0,amt_dur,firstapp,.0018485676748773,0.002,.0037363872280226,0.004,.6207794736261145,701488,inc_work_gt_p,50,-.0054747513,.0091718864,3,0,.099560291
inc_work_gt_p55,single_tm1,0,2,1,0,amt_dur,firstapp,.003225465113083,0.003,.0037759379081636,0.004,.3929874156341551,701488,inc_work_gt_p,55,-.0041753734,.010626303,3,0,.17371733
inc_work_gt_p60,single_tm1,0,2,1,0,amt_dur,firstapp,.002305916375903,0.002,.0037051172059733,0.004,.5337065463590486,701488,inc_work_gt_p,60,-.0049561132,.0095679462,3,0,.12419222
inc_work_gt_p65,single_tm1,0,2,1,0,amt_dur,firstapp,.0012078001065448,0.001,.0036212485416526,0.004,.7387338319772947,701488,inc_work_gt_p,65,-.0058898469,.0083054472,3,0,.06504979
inc_work_gt_p70,single_tm1,0,2,1,0,amt_dur,firstapp,.0012540123646826,0.001,.0035353208508284,0.004,.7228078206154113,701488,inc_work_gt_p,70,-.0056752167,.0081832409,3,0,.067538686
inc_work_gt_p75,single_tm1,0,2,1,0,amt_dur,firstapp,-.0018653033707212,-0.002,.0033331342546936,0.003,.5757367874967922,701488,inc_work_gt_p,75,-.008398247,.0046676397,3,0,-.10046165
inc_work_gt_p80,single_tm1,0,2,1,0,amt_dur,firstapp,-.0005344738974121,-0.001,.0031958452647727,0.003,.8671813420400188,701488,inc_work_gt_p,80,-.0067983307,.0057293829,3,0,-.028785734
inc_work_gt_p85,single_tm1,0,2,1,0,amt_dur,firstapp,-.001571773868766,-0.002,.0029006627511701,0.003,.5879111357791221,701488,inc_work_gt_p,85,-.0072570727,.0041135252,3,0,-.084652714
inc_work_gt_p90,single_tm1,0,2,1,0,amt_dur,firstapp,.0010075441203825,0.001,.0019657760353238,0.002,.6082722977260523,701488,inc_work_gt_p,90,-.002845377,.0048604649,3,0,.054264385
inc_work_gt_p95,single_tm1,0,2,1,0,amt_dur,firstapp,-.0015834279406486,-0.002,.0014239518595689,0.001,.2661425791986611,701488,inc_work_gt_p,95,-.0043743737,.0012075177,3,0,-.085280381
inc_work_gt_p0,single_tm1,1,2,1,0,amt_dur,firstapp,.0001822106851259,0.000,.0034716104314662,0.003,.9581416064039655,701488,inc_work_gt_p,0,-.0066221459,.0069865673,3,1,1.0098135
inc_work_gt_p5,single_tm1,1,2,1,0,amt_dur,firstapp,.000396481289412,0.000,.0036323933946242,0.004,.9130825069163497,701488,inc_work_gt_p,5,-.00672301,.0075159725,3,1,1.0213537
inc_work_gt_p10,single_tm1,1,2,1,0,amt_dur,firstapp,.0022692179358162,0.002,.0038823024465138,0.004,.5588830717107741,701488,inc_work_gt_p,10,-.0053400947,.0098785311,3,1,1.1222157
inc_work_gt_p15,single_tm1,1,2,1,0,amt_dur,firstapp,.0024570542732907,0.002,.0040134733863935,0.004,.5404057545170928,701488,inc_work_gt_p,15,-.0054093534,.010323462,3,1,1.1323322
inc_work_gt_p20,single_tm1,1,2,1,0,amt_dur,firstapp,.0002199853212605,0.000,.004075742208184,0.004,.956955741380232,701488,inc_work_gt_p,20,-.0077684694,.0082084397,3,1,1.011848
inc_work_gt_p25,single_tm1,1,2,1,0,amt_dur,firstapp,-.0018654575458448,-0.002,.0041383785028405,0.004,.6521561075418634,701488,inc_work_gt_p,25,-.0099766795,.0062457644,3,1,.89953005
inc_work_gt_p30,single_tm1,1,2,1,0,amt_dur,firstapp,-.0029841922985613,-0.003,.0041748072111598,0.004,.4747282327958541,701488,inc_work_gt_p,30,-.011166815,.0051984298,3,1,.83927715
inc_work_gt_p35,single_tm1,1,2,1,0,amt_dur,firstapp,-.002781714708239,-0.003,.0042361659771205,0.004,.5114018664341273,701488,inc_work_gt_p,35,-.0110846,.0055211708,3,1,.85018224
inc_work_gt_p40,single_tm1,1,2,1,0,amt_dur,firstapp,-.0016968483224818,-0.002,.0042200900833768,0.004,.6876199247594736,701488,inc_work_gt_p,40,-.0099682249,.0065745283,3,1,.908611
inc_work_gt_p45,single_tm1,1,2,1,0,amt_dur,firstapp,-.0005954338281199,-0.001,.0042142671019857,0.004,.8876411054026029,701488,inc_work_gt_p,45,-.0088553978,.0076645296,3,1,.96793109
inc_work_gt_p50,single_tm1,1,2,1,0,amt_dur,firstapp,-.0011493693419255,-0.001,.0045284530745864,0.005,.7996423722478809,701488,inc_work_gt_p,50,-.010025137,.0077263988,3,1,.93809718
inc_work_gt_p55,single_tm1,1,2,1,0,amt_dur,firstapp,.0008241120757489,0.001,.0045523444422143,0.005,.8563441655210393,701488,inc_work_gt_p,55,-.0080984831,.009746707,3,1,1.0443851
inc_work_gt_p60,single_tm1,1,2,1,0,amt_dur,firstapp,.0018254856833666,0.002,.0044721315635275,0.004,.6831339585610013,701488,inc_work_gt_p,60,-.0069398922,.010590863,3,1,1.0983171
inc_work_gt_p65,single_tm1,1,2,1,0,amt_dur,firstapp,-.0020311301609189,-0.002,.0043347464198208,0.004,.6393782889009743,701488,inc_work_gt_p,65,-.010527234,.0064649726,3,1,.89060724
inc_work_gt_p70,single_tm1,1,2,1,0,amt_dur,firstapp,-.0007571492231322,-0.001,.0042369018624894,0.004,.8581708479106409,701488,inc_work_gt_p,70,-.0090614771,.0075471783,3,1,.95922142
inc_work_gt_p75,single_tm1,1,2,1,0,amt_dur,firstapp,-.0014789719318214,-0.001,.0039252251859906,0.004,.7063329954527893,701488,inc_work_gt_p,75,-.0091724135,.0062144692,3,1,.92034543
inc_work_gt_p80,single_tm1,1,2,1,0,amt_dur,firstapp,-.0007785602362182,-0.001,.0036554942809986,0.004,.8313401740866164,701488,inc_work_gt_p,80,-.0079433294,.0063862083,3,1,.95806825
inc_work_gt_p85,single_tm1,1,2,1,0,amt_dur,firstapp,.000824879353142,0.001,.0027847226130254,0.003,.7670657072795267,701488,inc_work_gt_p,85,-.0046331771,.0062829359,3,1,1.0444264
inc_work_gt_p90,single_tm1,1,2,1,0,amt_dur,firstapp,-.0000517616792167,-0.000,.0024015507868524,0.002,.9828042144533632,701488,inc_work_gt_p,90,-.0047588013,.0046552778,3,1,.99721223
inc_work_gt_p95,single_tm1,1,2,1,0,amt_dur,firstapp,-.0028927350083752,-0.003*,.0016332857224943,0.002,.0765445668924294,701488,inc_work_gt_p,95,-.0060939752,.000308505,2,1,.84420288
inc_work_gt_p0,single_tm1,2,2,1,0,amt_dur,firstapp,.0001473689661296,0.000,.0037915903668415,0.004,.9689962409620986,701488,inc_work_gt_p,0,-.0072841481,.0075788861,3,2,2.007937
inc_work_gt_p5,single_tm1,2,2,1,0,amt_dur,firstapp,.0007850391933772,0.001,.0038790173554016,0.004,.8396193033621784,701488,inc_work_gt_p,5,-.0068178349,.008387913,3,2,2.0422807
inc_work_gt_p10,single_tm1,2,2,1,0,amt_dur,firstapp,.0008935046284167,0.001,.0039745020706318,0.004,.8221281315260196,701488,inc_work_gt_p,10,-.0068965196,.0086835288,3,2,2.0481224
inc_work_gt_p15,single_tm1,2,2,1,0,amt_dur,firstapp,-.0002624057567001,-0.000,.0040406678588841,0.004,.948220948694638,701488,inc_work_gt_p,15,-.0081821149,.0076573035,3,2,1.9858674
