outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,single_tm1,-2,2,1,amt_dur,.0028191344676554,0.003,.0036475889753864,0.004,.439597365795017,639956,inc_y_gt_p,0,-.0043301401,.0099684093,3,-2,-1.9041183
inc_y_gt_p5,single_tm1,-2,2,1,amt_dur,.0030455071097496,0.003,.0036217926275004,0.004,.4004148232101156,639956,inc_y_gt_p,5,-.0040532066,.010144221,3,-2,-1.8964192
inc_y_gt_p10,single_tm1,-2,2,1,amt_dur,-.0014165227535134,-0.001,.0036629276755258,0.004,.6989652003428019,639956,inc_y_gt_p,10,-.0085958606,.0057628155,3,-2,-2.0481775
inc_y_gt_p15,single_tm1,-2,2,1,amt_dur,-.0036164625533018,-0.004,.0036500053356333,0.004,.3217804621021469,639956,inc_y_gt_p,15,-.010770473,.003537548,3,-2,-2.1229997
inc_y_gt_p20,single_tm1,-2,2,1,amt_dur,-.002444848155949,-0.002,.0036328129391087,0.004,.5009548385626656,639956,inc_y_gt_p,20,-.0095651615,.0046754652,3,-2,-2.0831518
inc_y_gt_p25,single_tm1,-2,2,1,amt_dur,-.0036916773657282,-0.004,.0036146165637672,0.004,.3071054903428186,639956,inc_y_gt_p,25,-.010776326,.0033929711,3,-2,-2.1255579
inc_y_gt_p30,single_tm1,-2,2,1,amt_dur,-.000905483029097,-0.001,.0035266787479986,0.004,.7973704468373843,639956,inc_y_gt_p,30,-.0078177731,.0060068071,3,-2,-2.0307965
inc_y_gt_p35,single_tm1,-2,2,1,amt_dur,-.0007132434339994,-0.001,.0030207814551922,0.003,.8133460306589648,639956,inc_y_gt_p,35,-.0066339751,.0052074883,3,-2,-2.0242581
inc_y_gt_p40,single_tm1,-2,2,1,amt_dur,.0004328833888704,0.000,.0027775184904104,0.003,.8761495223265402,639956,inc_y_gt_p,40,-.0050110528,.0058768196,3,-2,-1.9852772
inc_y_gt_p45,single_tm1,-2,2,1,amt_dur,.0015825849021261,0.002,.0026778230699319,0.003,.5545237812209783,639956,inc_y_gt_p,45,-.0036659483,.0068311179,3,-2,-1.9461746
inc_y_gt_p50,single_tm1,-2,2,1,amt_dur,.0008009621710498,0.001,.0026223588567794,0.003,.7600348726583653,639956,inc_y_gt_p,50,-.004338861,.0059407856,3,-2,-1.9727584
inc_y_gt_p55,single_tm1,-2,2,1,amt_dur,-.0007543453111243,-0.001,.0025299117482447,0.003,.7655735256986613,639956,inc_y_gt_p,55,-.0057129725,.0042042816,3,-2,-2.025656
inc_y_gt_p60,single_tm1,-2,2,1,amt_dur,-.0013672415382838,-0.001,.0024421661543724,0.002,.5755843539128863,639956,inc_y_gt_p,60,-.0061538871,.0034194042,3,-2,-2.0465014
inc_y_gt_p65,single_tm1,-2,2,1,amt_dur,-.0018226051065277,-0.002,.0024143967853356,0.002,.4503163396331321,639956,inc_y_gt_p,65,-.0065548229,.0029096126,3,-2,-2.0619886
inc_y_gt_p70,single_tm1,-2,2,1,amt_dur,-.0017038357955323,-0.002,.0022850480211378,0.002,.4558831917458894,639956,inc_y_gt_p,70,-.00618253,.0027748584,3,-2,-2.0579493
inc_y_gt_p75,single_tm1,-2,2,1,amt_dur,-.0006444828240003,-0.001,.0021246414518493,0.002,.761633465674908,639956,inc_y_gt_p,75,-.0048087803,.0035198145,3,-2,-2.0219195
inc_y_gt_p80,single_tm1,-2,2,1,amt_dur,-.0001736210380099,-0.000,.0020895794597175,0.002,.9337809362057512,639956,inc_y_gt_p,80,-.0042691967,.0039219549,3,-2,-2.0059052
inc_y_gt_p85,single_tm1,-2,2,1,amt_dur,-.0011488977126376,-0.001,.0019254566680704,0.002,.5507166591485904,639956,inc_y_gt_p,85,-.0049227928,.0026249974,3,-2,-2.0390751
inc_y_gt_p90,single_tm1,-2,2,1,amt_dur,.0012395948071028,0.001,.0016059136493069,0.002,.4401789965075097,639956,inc_y_gt_p,90,-.0019079959,.0043871854,3,-2,-1.9578401
inc_y_gt_p95,single_tm1,-2,2,1,amt_dur,-.0001536746375618,-0.000,.0012136610072542,0.001,.8992408257331483,639956,inc_y_gt_p,95,-.0025324502,.002225101,3,-2,-2.0052266
inc_y_gt_p0,single_tm1,0,2,1,amt_dur,-.0010911986808827,-0.001,.0037629906873001,0.004,.7718307395820712,639956,inc_y_gt_p,0,-.00846666,.006284263,3,0,-.03711281
inc_y_gt_p5,single_tm1,0,2,1,amt_dur,-.0012195833497545,-0.001,.0037492384531484,0.004,.7449635200466926,639956,inc_y_gt_p,5,-.0085680904,.006128924,3,0,-.041479308
