outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,single_tm1,-2,2,1,amt_dur,.0002653981810091,0.000,.0019940217629491,0.002,.8941169663531846,714200,taxable_income_gt_p,0,-.0036428845,.0041736807,3,-2,-1.9818815
taxable_income_gt_p5,single_tm1,-2,2,1,amt_dur,.0015271623798482,0.002,.0020986693153342,0.002,.4668102734525178,714200,taxable_income_gt_p,5,-.0025862295,.0056405542,3,-2,-1.8957422
taxable_income_gt_p10,single_tm1,-2,2,1,amt_dur,-.0004190294939267,-0.000,.0021891885081037,0.002,.8482058441558675,714200,taxable_income_gt_p,10,-.0047098389,.0038717799,3,-2,-2.0286067
taxable_income_gt_p15,single_tm1,-2,2,1,amt_dur,.0004788574945048,0.000,.0021857755327001,0.002,.8265889275194728,714200,taxable_income_gt_p,15,-.0038052625,.0047629774,3,-2,-1.9673089
taxable_income_gt_p20,single_tm1,-2,2,1,amt_dur,-.0017187070126695,-0.002,.0022612599992695,0.002,.4472167335909678,714200,taxable_income_gt_p,20,-.0061507765,.0027133627,3,-2,-2.1173344
taxable_income_gt_p25,single_tm1,-2,2,1,amt_dur,-.0004537108381967,-0.000,.0024058863745212,0.002,.8504194979789289,714200,taxable_income_gt_p,25,-.0051692482,.0042618266,3,-2,-2.0309744
taxable_income_gt_p30,single_tm1,-2,2,1,amt_dur,-.0005242927403369,-0.001,.0024532816090231,0.002,.8307729995424034,714200,taxable_income_gt_p,30,-.0053327247,.0042841393,3,-2,-2.0357931
taxable_income_gt_p35,single_tm1,-2,2,1,amt_dur,.0013536389252836,0.001,.0026109841403678,0.003,.6041522825771393,714200,taxable_income_gt_p,35,-.0037638899,.0064711678,3,-2,-1.9075884
taxable_income_gt_p40,single_tm1,-2,2,1,amt_dur,.000316917023389,0.000,.0027913132146547,0.003,.9096051266860852,714200,taxable_income_gt_p,40,-.0051540569,.0057878909,3,-2,-1.9783643
taxable_income_gt_p45,single_tm1,-2,2,1,amt_dur,.0020145493576682,0.002,.0027985646393917,0.003,.4716183267876838,714200,taxable_income_gt_p,45,-.0034706374,.0074997363,3,-2,-1.8624687
taxable_income_gt_p50,single_tm1,-2,2,1,amt_dur,.0002592874392335,0.000,.0028484106017362,0.003,.9274698629924238,714200,taxable_income_gt_p,50,-.0053235972,.0058421721,3,-2,-1.9822987
taxable_income_gt_p55,single_tm1,-2,2,1,amt_dur,.0023830457972038,0.002,.0028505683589169,0.003,.4031625280316018,714200,taxable_income_gt_p,55,-.0032040682,.0079701599,3,-2,-1.8373119
taxable_income_gt_p60,single_tm1,-2,2,1,amt_dur,.0011284554087233,0.001,.0031297678632862,0.003,.7184323654537353,714200,taxable_income_gt_p,60,-.0050058896,.0072628004,3,-2,-1.9229615
taxable_income_gt_p65,single_tm1,-2,2,1,amt_dur,.0029391514603201,0.003,.0031930452711582,0.003,.3573212114066915,714200,taxable_income_gt_p,65,-.0033192174,.0091975201,3,-2,-1.799347
taxable_income_gt_p70,single_tm1,-2,2,1,amt_dur,.0014933294588438,0.001,.0031826832790489,0.003,.6389243757426734,714200,taxable_income_gt_p,70,-.00474473,.0077313888,3,-2,-1.8980519
