outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,student,-2,2,1,amt_dur,-.0027830872359348,-0.003,.0016962726031753,0.002,.1008610395798764,628526,inc_tot_gt_p,0,-.0061077815,.00054160709,3,-2,-2.0642879
inc_tot_gt_p5,student,-2,2,1,amt_dur,.0049841035401027,0.005,.006159373061174,0.006,.4184075983554567,628526,inc_tot_gt_p,5,-.0070882677,.017056474,3,-2,-1.8848697
inc_tot_gt_p10,student,-2,2,1,amt_dur,.0042445080911271,0.004,.0057984971585651,0.006,.4641692888701059,628526,inc_tot_gt_p,10,-.0071205464,.015609562,3,-2,-1.9019539
inc_tot_gt_p15,student,-2,2,1,amt_dur,-.0037556788734888,-0.004,.0064786540657549,0.006,.5621178231843518,628526,inc_tot_gt_p,15,-.016453842,.008942483,3,-2,-2.0867543
inc_tot_gt_p20,student,-2,2,1,amt_dur,-.0059838087203558,-0.006,.0066901413393489,0.007,.3710982001437899,628526,inc_tot_gt_p,20,-.019096486,.0071288683,3,-2,-2.1382229
inc_tot_gt_p25,student,-2,2,1,amt_dur,-.0005071142554076,-0.001,.005920049634026,0.006,.9317364821529939,628526,inc_tot_gt_p,25,-.012110411,.011096183,3,-2,-2.011714
inc_tot_gt_p30,student,-2,2,1,amt_dur,.0032510053191198,0.003,.0054274674345036,0.005,.54917999278209,628526,inc_tot_gt_p,30,-.0073868306,.013888841,3,-2,-1.9249034
inc_tot_gt_p35,student,-2,2,1,amt_dur,.0032536310807266,0.003,.0051516479259523,0.005,.5276686165960509,628526,inc_tot_gt_p,35,-.006843599,.013350861,3,-2,-1.9248427
inc_tot_gt_p40,student,-2,2,1,amt_dur,-.000614685923965,-0.001,.0071530217806684,0.007,.9315192475245468,628526,inc_tot_gt_p,40,-.014634608,.013405236,3,-2,-2.014199
inc_tot_gt_p45,student,-2,2,1,amt_dur,.0050768351793425,0.005,.0064134691688231,0.006,.4286017721907912,628526,inc_tot_gt_p,45,-.0074935644,.017647235,3,-2,-1.8827276
inc_tot_gt_p50,student,-2,2,1,amt_dur,.0009787296861111,0.001,.0063550206312127,0.006,.8776030108845658,628526,inc_tot_gt_p,50,-.011477111,.01343457,3,-2,-1.9773918
inc_tot_gt_p55,student,-2,2,1,amt_dur,.0023407502989353,0.002,.0063895119720589,0.006,.7141101749685981,628526,inc_tot_gt_p,55,-.010182694,.014864194,3,-2,-1.9459298
inc_tot_gt_p60,student,-2,2,1,amt_dur,-.000018644418824,-0.000,.0064970273784766,0.006,.9977103314545366,628526,inc_tot_gt_p,60,-.012752818,.01271553,3,-2,-2.0004306
inc_tot_gt_p65,student,-2,2,1,amt_dur,.0007502702095504,0.001,.0068379436416459,0.007,.9126303617299378,628526,inc_tot_gt_p,65,-.012652099,.01415264,3,-2,-1.9826691
inc_tot_gt_p70,student,-2,2,1,amt_dur,-.0041547636138962,-0.004,.0056616364555324,0.006,.4630447957848646,628526,inc_tot_gt_p,70,-.015251571,.006942044,3,-2,-2.095973
inc_tot_gt_p75,student,-2,2,1,amt_dur,-.0060190185356802,-0.006,.0048749386066114,0.005,.2169500557024099,628526,inc_tot_gt_p,75,-.015573898,.0035358611,3,-2,-2.1390364
inc_tot_gt_p80,student,-2,2,1,amt_dur,-.0056002755489565,-0.006,.0044656654611898,0.004,.2098177627409777,628526,inc_tot_gt_p,80,-.01435298,.0031524287,3,-2,-2.1293635
