outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,student,-2,2,1,amt_dur,-.0020651080767608,-0.002,.0068058239588207,0.007,.7615608742245124,628526,inc_work_gt_p,0,-.015404523,.011274307,3,-2,-2.0492761
inc_work_gt_p5,student,-2,2,1,amt_dur,-.0019867242961719,-0.002,.0069875967059104,0.007,.7761645187305363,628526,inc_work_gt_p,5,-.015682414,.011708966,3,-2,-2.0474057
inc_work_gt_p10,student,-2,2,1,amt_dur,.0001270425548688,0.000,.007189622840436,0.007,.9859019329729068,628526,inc_work_gt_p,10,-.013964619,.014218703,3,-2,-1.9969686
inc_work_gt_p15,student,-2,2,1,amt_dur,-.0050912883886251,-0.005,.0067076131471717,0.007,.4478354769297191,628526,inc_work_gt_p,15,-.018238211,.0080556329,3,-2,-2.1214848
inc_work_gt_p20,student,-2,2,1,amt_dur,.0011869266731071,0.001,.0062850372125765,0.006,.8502110605646581,628526,inc_work_gt_p,20,-.011131747,.013505599,3,-2,-1.9716784
inc_work_gt_p25,student,-2,2,1,amt_dur,.0000332473858844,0.000,.006273540449511,0.006,.9957715438685052,628526,inc_work_gt_p,25,-.012262892,.012329387,3,-2,-1.9992067
inc_work_gt_p30,student,-2,2,1,amt_dur,-.0019794146977859,-0.002,.0055911201175001,0.006,.7233183696612639,628526,inc_work_gt_p,30,-.012938011,.0089791808,3,-2,-2.0472314
inc_work_gt_p35,student,-2,2,1,amt_dur,.0076468556956289,0.008,.0064808179242586,0.006,.2380340686491035,628526,inc_work_gt_p,35,-.0050555472,.020349259,3,-2,-1.8175361
inc_work_gt_p40,student,-2,2,1,amt_dur,-.0029848585670266,-0.003,.0080429449926555,0.008,.7105525078678403,628526,inc_work_gt_p,40,-.01874903,.012779314,3,-2,-2.0712225
inc_work_gt_p45,student,-2,2,1,amt_dur,.000409351658585,0.000,.0064226117319617,0.006,.9491805470007297,628526,inc_work_gt_p,45,-.012178968,.012997671,3,-2,-1.9902323
inc_work_gt_p50,student,-2,2,1,amt_dur,.0007731287706145,0.001,.0064116126994735,0.006,.9040218943796264,628526,inc_work_gt_p,50,-.011793632,.013339889,3,-2,-1.9815521
inc_work_gt_p55,student,-2,2,1,amt_dur,.0011656091797028,0.001,.0059462587135954,0.006,.844591779631903,628526,inc_work_gt_p,55,-.010489058,.012820276,3,-2,-1.972187
inc_work_gt_p60,student,-2,2,1,amt_dur,.0006651659106878,0.001,.005632675378127,0.006,.905996104742933,628526,inc_work_gt_p,60,-.010374878,.01170521,3,-2,-1.9841282
inc_work_gt_p65,student,-2,2,1,amt_dur,-.0023857516296066,-0.002,.004211621916714,0.004,.5710764348469681,628526,inc_work_gt_p,65,-.010640531,.0058690272,3,-2,-2.0569272
inc_work_gt_p70,student,-2,2,1,amt_dur,-.0055617101493873,-0.006,.003995208366752,0.004,.1638964433663878,628526,inc_work_gt_p,70,-.013392319,.0022688983,3,-2,-2.1327095
inc_work_gt_p75,student,-2,2,1,amt_dur,-.0076930159240072,-0.008**,.0033632744702504,0.003,.0221767966387696,628526,inc_work_gt_p,75,-.014285034,-.0011009979,1,-2,-2.1835654
inc_work_gt_p80,student,-2,2,1,amt_dur,-.0035296784934878,-0.004,.0027319066343319,0.003,.1963529092894387,628526,inc_work_gt_p,80,-.0088842157,.0018248585,3,-2,-2.0842228
inc_work_gt_p85,student,-2,2,1,amt_dur,-.0034350336590974,-0.003,.0024957797102013,0.002,.1687202005945641,628526,inc_work_gt_p,85,-.0083267624,.0014566946,3,-2,-2.0819643
inc_work_gt_p90,student,-2,2,1,amt_dur,-.0033148309934568,-0.003,.002187436568342,0.002,.1296752520034427,628526,inc_work_gt_p,90,-.0076022069,.00097254466,3,-2,-2.0790961
inc_work_gt_p95,student,-2,2,1,amt_dur,-.0014818615496589,-0.001,.001829365993628,0.002,.4179183600449368,628526,inc_work_gt_p,95,-.0050674188,.0021036959,3,-2,-2.0353591
inc_work_gt_p0,student,0,2,1,amt_dur,-.0051390256157203,-0.005,.0073792699313366,0.007,.4861711980662508,628526,inc_work_gt_p,0,-.019602396,.0093243439,3,0,-.12262382
inc_work_gt_p5,student,0,2,1,amt_dur,-.0049007730806601,-0.005,.0080371337117669,0.008,.5420179223148528,628526,inc_work_gt_p,5,-.020653555,.010852009,3,0,-.11693881
inc_work_gt_p10,student,0,2,1,amt_dur,-.0009523886103265,-0.001,.0078278169597134,0.008,.9031628122305974,628526,inc_work_gt_p,10,-.01629491,.014390132,3,0,-.022725228
inc_work_gt_p15,student,0,2,1,amt_dur,-.0047507129169014,-0.005,.0078910164887688,0.008,.5471483186171119,628526,inc_work_gt_p,15,-.020217106,.010715679,3,0,-.11335818
inc_work_gt_p20,student,0,2,1,amt_dur,.0010792291958906,0.001,.0089339482986541,0.009,.9038489431283996,628526,inc_work_gt_p,20,-.016431309,.018589769,3,0,.025751809
inc_work_gt_p25,student,0,2,1,amt_dur,-.0037832733958927,-0.004,.0084126628428395,0.008,.652919190584619,628526,inc_work_gt_p,25,-.020272093,.012705546,3,0,-.090273812
inc_work_gt_p30,student,0,2,1,amt_dur,-.0071974575214146,-0.007,.0085841859068862,0.009,.4017768013426761,628526,inc_work_gt_p,30,-.024022462,.0096275471,3,0,-.17174068
inc_work_gt_p35,student,0,2,1,amt_dur,-.0007419678925348,-0.001,.007577012085581,0.008,.9219931836262426,628526,inc_work_gt_p,35,-.015592911,.014108975,3,0,-.017704317
inc_work_gt_p40,student,0,2,1,amt_dur,-.0070305910455146,-0.007,.0068259757575647,0.007,.3030235792125831,628526,inc_work_gt_p,40,-.020409504,.0063483212,3,0,-.16775903
inc_work_gt_p45,student,0,2,1,amt_dur,-.0025184331201301,-0.003,.0050847505924986,0.005,.6203954603555346,628526,inc_work_gt_p,45,-.012484544,.0074476781,3,0,-.060093082
inc_work_gt_p50,student,0,2,1,amt_dur,.0013554674985626,0.001,.004842559237559,0.005,.779549189002962,628526,inc_work_gt_p,50,-.0081359483,.010846884,3,0,.032343213
inc_work_gt_p55,student,0,2,1,amt_dur,.0006093129124885,0.001,.004362285721344,0.004,.8889151093155621,628526,inc_work_gt_p,55,-.0079407673,.0091593927,3,0,.014538997
inc_work_gt_p60,student,0,2,1,amt_dur,.0028324614161042,0.003,.0039940193951254,0.004,.4782169881470663,628526,inc_work_gt_p,60,-.0049958164,.01066074,3,0,.067586206
inc_work_gt_p65,student,0,2,1,amt_dur,.0072276559838332,0.007*,.0037704374455026,0.004,.0552497409788486,628526,inc_work_gt_p,65,-.00016240141,.014617713,2,0,.17246126
inc_work_gt_p70,student,0,2,1,amt_dur,.0023120167559573,0.002,.0032835134097869,0.003,.4813540018206912,628526,inc_work_gt_p,70,-.0041236696,.0087477034,3,0,.05516772
inc_work_gt_p75,student,0,2,1,amt_dur,-.0007234545491013,-0.001,.0031012876714518,0.003,.8155478928445616,628526,inc_work_gt_p,75,-.0068019782,.0053550694,3,0,-.017262565
inc_work_gt_p80,student,0,2,1,amt_dur,.0031466093982265,0.003,.0031198418282914,0.003,.3131784558939164,628526,inc_work_gt_p,80,-.0029682806,.0092614992,3,0,.075082183
inc_work_gt_p85,student,0,2,1,amt_dur,.0039241326896436,0.004,.0028445514043247,0.003,.1677354713793762,628526,inc_work_gt_p,85,-.001651188,.009499453,3,0,.093634896
inc_work_gt_p90,student,0,2,1,amt_dur,.0013778602247894,0.001,.0019736339721251,0.002,.485095132260779,628526,inc_work_gt_p,90,-.0024904623,.0052461829,3,0,.032877531
inc_work_gt_p95,student,0,2,1,amt_dur,.0025797352245486,0.003,.0015737340732317,0.002,.1011652092001841,628526,inc_work_gt_p,95,-.00050478359,.0056642541,3,0,.061555829
inc_work_gt_p0,student,1,2,1,amt_dur,-.0044439749157842,-0.004,.0109592452761958,0.011,.6851107539233001,628526,inc_work_gt_p,0,-.025924096,.017036146,3,1,.89396101
inc_work_gt_p5,student,1,2,1,amt_dur,-.0078977246878726,-0.008,.0114773712659171,0.011,.4913832980303292,628526,inc_work_gt_p,5,-.030393373,.014597923,3,1,.81155002
inc_work_gt_p10,student,1,2,1,amt_dur,-.0016561518546329,-0.002,.0104363775569859,0.010,.8739131785102638,628526,inc_work_gt_p,10,-.022111451,.018799148,3,1,.96048206
