outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,student,-2,2,1,amt_dur,.0031014940801048,0.003,.0077182830324128,0.008,.6878045507737289,639956,inc_y_gt_p,0,-.012026341,.018229328,3,-2,-1.9247708
inc_y_gt_p5,student,-2,2,1,amt_dur,.0045924557420783,0.005,.0076156340212563,0.008,.5464899902076898,639956,inc_y_gt_p,5,-.010334187,.019519098,3,-2,-1.8886063
inc_y_gt_p10,student,-2,2,1,amt_dur,.0052164312118337,0.005,.0071564551004601,0.007,.4660566144040735,639956,inc_y_gt_p,10,-.0088102212,.019243084,3,-2,-1.8734713
inc_y_gt_p15,student,-2,2,1,amt_dur,.0016297140649481,0.002,.0067458681209771,0.007,.8091006480133038,639956,inc_y_gt_p,15,-.011592187,.014851616,3,-2,-1.96047
inc_y_gt_p20,student,-2,2,1,amt_dur,.0052610304363743,0.005,.0075244751876516,0.008,.4844354030824713,639956,inc_y_gt_p,20,-.0094869407,.020009002,3,-2,-1.8723894
inc_y_gt_p25,student,-2,2,1,amt_dur,.0050341421687203,0.005,.0060609878997087,0.006,.406212118455982,639956,inc_y_gt_p,25,-.0068453941,.016913678,3,-2,-1.8778929
inc_y_gt_p30,student,-2,2,1,amt_dur,.0118600772464476,0.012*,.0072048577564973,0.007,.0997414585448858,639956,inc_y_gt_p,30,-.002261444,.025981598,2,-2,-1.7123244
inc_y_gt_p35,student,-2,2,1,amt_dur,.0130523467961236,0.013*,.0067322325304995,0.007,.0525301852264214,639956,inc_y_gt_p,35,-.00014282897,.026247522,2,-2,-1.6834049
inc_y_gt_p40,student,-2,2,1,amt_dur,.0032076516830156,0.003,.0046322828662201,0.005,.4886525352992371,639956,inc_y_gt_p,40,-.0058716228,.012286926,3,-2,-1.9221958
inc_y_gt_p45,student,-2,2,1,amt_dur,.0030282723331413,0.003,.0045833916405546,0.005,.5088025547365811,639956,inc_y_gt_p,45,-.0059551755,.01201172,3,-2,-1.9265468
inc_y_gt_p50,student,-2,2,1,amt_dur,-.0023003119073217,-0.002,.0041926682388315,0.004,.5832460561058161,639956,inc_y_gt_p,50,-.010517942,.0059173177,3,-2,-2.0557959
inc_y_gt_p55,student,-2,2,1,amt_dur,-.000142771519665,-0.000,.0036872716145574,0.004,.9691136201422024,639956,inc_y_gt_p,55,-.0073698238,.0070842807,3,-2,-2.003463
inc_y_gt_p60,student,-2,2,1,amt_dur,-.0016143741365944,-0.002,.0034799227084995,0.003,.6427124969377898,639956,inc_y_gt_p,60,-.008435023,.0052062743,3,-2,-2.0391579
inc_y_gt_p65,student,-2,2,1,amt_dur,-.0029339449895473,-0.003,.0030120660293999,0.003,.3300269400712239,639956,inc_y_gt_p,65,-.0088375947,.0029697043,3,-2,-2.0711651
inc_y_gt_p70,student,-2,2,1,amt_dur,-.0022289450412756,-0.002,.0025502003471833,0.003,.3821052444636495,639956,inc_y_gt_p,70,-.0072273379,.0027694476,3,-2,-2.0540648
inc_y_gt_p75,student,-2,2,1,amt_dur,-.0013103006983776,-0.001,.0021833595709718,0.002,.5484205064760352,639956,inc_y_gt_p,75,-.0055896854,.0029690841,3,-2,-2.0317824
inc_y_gt_p80,student,-2,2,1,amt_dur,-.001100725349061,-0.001,.0018564630542428,0.002,.5532390680345387,639956,inc_y_gt_p,80,-.004739393,.0025379423,3,-2,-2.0266991
inc_y_gt_p85,student,-2,2,1,amt_dur,-.0006427376483923,-0.001,.0015595814278563,0.002,.6802508940265343,639956,inc_y_gt_p,85,-.0036995173,.0024140419,3,-2,-2.0155902
inc_y_gt_p90,student,-2,2,1,amt_dur,-.0007506827193226,-0.001,.0013378561899918,0.001,.5747246054263936,639956,inc_y_gt_p,90,-.0033728809,.0018715154,3,-2,-2.0182085
inc_y_gt_p95,student,-2,2,1,amt_dur,-.0010822934699938,-0.001,.0011671632674233,0.001,.3537804201196224,639956,inc_y_gt_p,95,-.0033699335,.0012053465,3,-2,-2.0262518
inc_y_gt_p0,student,0,2,1,amt_dur,-.0120085735937552,-0.012,.009576468488206,0.010,.2098567602802139,639956,inc_y_gt_p,0,-.030778453,.0067613046,3,0,-.29127756
inc_y_gt_p5,student,0,2,1,amt_dur,-.0090997734249674,-0.009,.0096338045852886,0.010,.3448820997276774,639956,inc_y_gt_p,5,-.02798203,.0097824838,3,0,-.22072229
inc_y_gt_p10,student,0,2,1,amt_dur,-.0075242830427404,-0.008,.0095811989933859,0.010,.4322691567817629,639956,inc_y_gt_p,10,-.026303433,.011254867,3,0,-.18250751
