outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,student,-2,2,1,amt_dur,-.0067123374790741,-0.007,.0063791929675467,0.006,.2926993002975837,714200,taxable_income_gt_p,0,-.019215556,.0057908809,3,-2,-2.2984543
taxable_income_gt_p5,student,-2,2,1,amt_dur,-.0009856595475834,-0.001,.0064016355409129,0.006,.8776337091196466,714200,taxable_income_gt_p,5,-.013532865,.011561546,3,-2,-2.0438259
taxable_income_gt_p10,student,-2,2,1,amt_dur,-.0034498465101099,-0.003,.0062733909589457,0.006,.582377192535801,714200,taxable_income_gt_p,10,-.015745692,.0088459998,3,-2,-2.1533923
taxable_income_gt_p15,student,-2,2,1,amt_dur,-.0047523746631733,-0.005,.0058934941819949,0.006,.4200276055701392,714200,taxable_income_gt_p,15,-.016303623,.0067988741,3,-2,-2.2113075
taxable_income_gt_p20,student,-2,2,1,amt_dur,.0035479692123315,0.004,.0054527958270811,0.005,.5152610758509487,714200,taxable_income_gt_p,20,-.0071395105,.014235449,3,-2,-1.8422447
taxable_income_gt_p25,student,-2,2,1,amt_dur,.004062891454471,0.004,.0053817216362486,0.005,.4502849956726871,714200,taxable_income_gt_p,25,-.0064852829,.014611066,3,-2,-1.8193494
taxable_income_gt_p30,student,-2,2,1,amt_dur,.0024335129723724,0.002,.0053320817598778,0.005,.6481099013711589,714200,taxable_income_gt_p,30,-.0080173677,.012884393,3,-2,-1.8917974
taxable_income_gt_p35,student,-2,2,1,amt_dur,.0080410661005006,0.008,.006540463353411,0.007,.2189118929243471,714200,taxable_income_gt_p,35,-.0047782422,.020860374,3,-2,-1.6424657
taxable_income_gt_p40,student,-2,2,1,amt_dur,-.0018338820997464,-0.002,.0082767832211521,0.008,.8246495011903188,714200,taxable_income_gt_p,40,-.018056378,.014388613,3,-2,-2.0815408
taxable_income_gt_p45,student,-2,2,1,amt_dur,.0062635653301855,0.006,.0067047552368332,0.007,.3502041136649323,714200,taxable_income_gt_p,45,-.0068777548,.019404886,3,-2,-1.7214997
taxable_income_gt_p50,student,-2,2,1,amt_dur,.0006741658189282,0.001,.0064953382144341,0.006,.9173344015520256,714200,taxable_income_gt_p,50,-.012056697,.013405029,3,-2,-1.9700242
taxable_income_gt_p55,student,-2,2,1,amt_dur,-.0025732423129631,-0.003,.0064863371340817,0.006,.6915766999505628,714200,taxable_income_gt_p,55,-.015286463,.010139978,3,-2,-2.1144154
taxable_income_gt_p60,student,-2,2,1,amt_dur,.0006401334317423,0.001,.0063579823068466,0.006,.9198032035675873,714200,taxable_income_gt_p,60,-.011821512,.013101779,3,-2,-1.9715374
taxable_income_gt_p65,student,-2,2,1,amt_dur,-.0022987776048105,-0.002,.0053561079233081,0.005,.6677872147954347,714200,taxable_income_gt_p,65,-.012796749,.0081991935,3,-2,-2.1022117
taxable_income_gt_p70,student,-2,2,1,amt_dur,-.0058680577838908,-0.006,.0053260605035859,0.005,.2705670394150565,714200,taxable_income_gt_p,70,-.016307136,.0045710206,3,-2,-2.2609146
